ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,282.003,0.528,-5.236,9.021
2026-02-25T00:10:00+00:00,286.282,0.529,-5.316,8.99
2026-02-25T00:15:00+00:00,287.452,0.53,-5.33,8.983
2026-02-25T00:20:00+00:00,287.848,0.531,-5.325,8.985
2026-02-25T00:25:00+00:00,288.244,0.531,-5.32,8.992
2026-02-25T00:30:00+00:00,288.64,0.532,-5.314,9.004
2026-02-25T00:35:00+00:00,289.036,0.533,-5.309,8.997
2026-02-25T00:40:00+00:00,289.429,0.534,-5.304,8.989
2026-02-25T00:45:00+00:00,288.363,0.534,-5.299,8.999
2026-02-25T00:50:00+00:00,287.62,0.535,-5.293,9.003
2026-02-25T00:55:00+00:00,286.477,0.536,-5.282,9.011
2026-02-25T01:00:00+00:00,284.661,0.537,-5.26,9.011
2026-02-25T01:05:00+00:00,282.958,0.538,-5.24,8.992
2026-02-25T01:10:00+00:00,281.258,0.538,-5.216,8.999
2026-02-25T01:15:00+00:00,279.335,0.539,-5.178,9.012
2026-02-25T01:20:00+00:00,278.872,0.54,-5.147,9.015
2026-02-25T01:25:00+00:00,278.612,0.541,-5.125,9.024
2026-02-25T01:30:00+00:00,275.921,0.541,-5.103,9.03
2026-02-25T01:35:00+00:00,274.004,0.542,-5.081,9.02
2026-02-25T01:40:00+00:00,272.191,0.543,-5.058,9.025
2026-02-25T01:45:00+00:00,270.399,0.544,-5.035,9.041
2026-02-25T01:50:00+00:00,268.808,0.544,-5.003,9.06
2026-02-25T01:55:00+00:00,267.788,0.545,-4.972,9.066
2026-02-25T02:00:00+00:00,266.923,0.546,-4.965,9.063
2026-02-25T02:05:00+00:00,266.058,0.546,-4.966,9.058
2026-02-25T02:10:00+00:00,265.194,0.547,-4.967,9.064
2026-02-25T02:15:00+00:00,264.329,0.548,-4.967,9.09
2026-02-25T02:20:00+00:00,263.46,0.549,-4.96,9.097
2026-02-25T02:25:00+00:00,262.511,0.55,-4.918,9.106
2026-02-25T02:30:00+00:00,261.534,0.55,-4.891,9.107
2026-02-25T02:35:00+00:00,260.579,0.551,-4.878,9.102
2026-02-25T02:40:00+00:00,259.681,0.552,-4.862,9.111
2026-02-25T02:45:00+00:00,258.766,0.552,-4.845,9.12
2026-02-25T02:50:00+00:00,257.937,0.553,-4.828,9.135
2026-02-25T02:55:00+00:00,257.23,0.551,-4.811,9.104
2026-02-25T03:00:00+00:00,256.522,0.518,-4.794,9.063
2026-02-25T03:05:00+00:00,255.814,0.497,-4.778,9.042
2026-02-25T03:10:00+00:00,255.107,0.5,-4.762,9.041
2026-02-25T03:15:00+00:00,254.399,0.504,-4.805,9.042
2026-02-25T03:20:00+00:00,253.692,0.507,-4.799,9.045
2026-02-25T03:25:00+00:00,252.984,0.51,-4.779,9.049
2026-02-25T03:30:00+00:00,252.277,0.514,-4.734,9.056
2026-02-25T03:35:00+00:00,251.69,0.516,-4.699,9.035
2026-02-25T03:40:00+00:00,251.614,0.519,-4.689,9.036
2026-02-25T03:45:00+00:00,251.731,0.518,-4.686,9.051
2026-02-25T03:50:00+00:00,252.062,0.515,-4.694,9.057
2026-02-25T03:55:00+00:00,252.397,0.513,-4.702,9.066
2026-02-25T04:00:00+00:00,252.734,0.511,-4.71,9.074
2026-02-25T04:05:00+00:00,253.07,0.508,-4.718,9.087
2026-02-25T04:10:00+00:00,253.406,0.506,-4.722,9.083
2026-02-25T04:15:00+00:00,253.742,0.504,-4.707,9.071
2026-02-25T04:20:00+00:00,254.079,0.501,-4.695,9.074
2026-02-25T04:25:00+00:00,254.415,0.499,-4.726,9.07
2026-02-25T04:30:00+00:00,254.751,0.497,-4.715,9.072
2026-02-25T04:35:00+00:00,255.088,0.494,-4.717,9.074
2026-02-25T04:40:00+00:00,255.424,0.492,-4.725,9.075
2026-02-25T04:45:00+00:00,255.76,0.49,-4.736,9.08
2026-02-25T04:50:00+00:00,256.096,0.488,-4.75,9.074
2026-02-25T04:55:00+00:00,256.432,0.485,-4.764,9.072
2026-02-25T05:00:00+00:00,256.769,0.483,-4.777,9.077
2026-02-25T05:05:00+00:00,257.105,0.481,-4.791,9.065
2026-02-25T05:10:00+00:00,257.441,0.478,-4.767,9.054
2026-02-25T05:15:00+00:00,257.589,0.476,-4.771,9.052
2026-02-25T05:20:00+00:00,256.805,0.474,-4.78,9.053
2026-02-25T05:25:00+00:00,255.907,0.472,-4.787,9.055
2026-02-25T05:30:00+00:00,257.498,0.47,-4.794,9.062
2026-02-25T05:35:00+00:00,260.919,0.467,-4.82,9.055
2026-02-25T05:40:00+00:00,264.648,0.465,-4.913,9.05
2026-02-25T05:45:00+00:00,267.415,0.462,-4.937,9.026
2026-02-25T05:50:00+00:00,269.196,0.46,-4.987,9.017
2026-02-25T05:55:00+00:00,270.964,0.458,-5.018,9.019
2026-02-25T06:00:00+00:00,273.003,0.456,-5.043,9.012
2026-02-25T06:05:00+00:00,277.94,0.454,-5.111,8.976
2026-02-25T06:10:00+00:00,284.725,0.451,-5.247,8.946
2026-02-25T06:15:00+00:00,290.08,0.449,-5.344,8.976
2026-02-25T06:20:00+00:00,295.494,0.446,-5.445,8.967
2026-02-25T06:25:00+00:00,299.764,0.444,-5.53,8.973
2026-02-25T06:30:00+00:00,302.311,0.442,-5.596,8.963
2026-02-25T06:35:00+00:00,304.529,0.44,-5.638,8.963
2026-02-25T06:40:00+00:00,307.589,0.437,-5.676,8.95
2026-02-25T06:45:00+00:00,310.884,0.435,-5.714,8.92
2026-02-25T06:50:00+00:00,314.779,0.443,-5.759,8.912
2026-02-25T06:55:00+00:00,320.365,0.446,-5.891,8.938
2026-02-25T07:00:00+00:00,324.4,0.42,-5.983,8.949
2026-02-25T07:05:00+00:00,331.17,0.394,-6.12,8.937
2026-02-25T07:10:00+00:00,340.39,0.369,-6.299,8.988
2026-02-25T07:15:00+00:00,344.352,0.344,-6.366,9.009
2026-02-25T07:20:00+00:00,347.32,0.318,-6.421,9.02
2026-02-25T07:25:00+00:00,349.888,0.298,-6.484,9.021
2026-02-25T07:30:00+00:00,352.932,0.294,-6.53,9.032
2026-02-25T07:35:00+00:00,356.197,0.294,-6.576,9.002
2026-02-25T07:40:00+00:00,358.505,0.294,-6.644,8.988
2026-02-25T07:45:00+00:00,360.429,0.294,-6.666,8.989
2026-02-25T07:50:00+00:00,362.278,0.293,-6.724,8.983
2026-02-25T07:55:00+00:00,362.669,0.294,-6.726,8.984
2026-02-25T08:00:00+00:00,362.262,0.293,-6.695,8.986
2026-02-25T08:05:00+00:00,364.233,0.293,-6.718,8.98
2026-02-25T08:10:00+00:00,366.158,0.293,-6.76,8.972
2026-02-25T08:15:00+00:00,367.243,0.293,-6.78,8.968
2026-02-25T08:20:00+00:00,368.072,0.292,-6.797,8.979
2026-02-25T08:25:00+00:00,368.902,0.293,-6.814,8.98
2026-02-25T08:30:00+00:00,369.731,0.292,-6.833,8.994
2026-02-25T08:35:00+00:00,370.56,0.292,-6.851,8.992
2026-02-25T08:40:00+00:00,371.225,0.292,-6.861,8.982
2026-02-25T08:45:00+00:00,370.141,0.292,-6.832,8.981
2026-02-25T08:50:00+00:00,370.158,0.292,-6.827,8.975
2026-02-25T08:55:00+00:00,365.456,0.292,-6.763,8.969
2026-02-25T09:00:00+00:00,362.612,0.292,-6.711,8.958
2026-02-25T09:05:00+00:00,361.1,0.292,-6.676,8.965
2026-02-25T09:10:00+00:00,359.834,0.291,-6.64,8.964
2026-02-25T09:15:00+00:00,358.704,0.291,-6.606,8.964
2026-02-25T09:20:00+00:00,358.202,0.291,-6.639,8.976
2026-02-25T09:25:00+00:00,358.477,0.291,-6.692,8.986
2026-02-25T09:30:00+00:00,358.755,0.291,-6.721,8.993
2026-02-25T09:35:00+00:00,358.681,0.29,-6.734,8.997
2026-02-25T09:40:00+00:00,356.719,0.29,-6.714,9.006
2026-02-25T09:45:00+00:00,362.001,0.29,-6.756,9.013
2026-02-25T09:50:00+00:00,366.033,0.29,-6.794,9.007
2026-02-25T09:55:00+00:00,367.083,0.29,-6.814,9.003
2026-02-25T10:00:00+00:00,363.527,0.29,-6.745,9.024
2026-02-25T10:05:00+00:00,359.935,0.29,-6.697,9.03
2026-02-25T10:10:00+00:00,355.246,0.29,-6.614,9.048
2026-02-25T10:15:00+00:00,350.91,0.289,-6.541,9.059
2026-02-25T10:20:00+00:00,349.63,0.289,-6.543,9.06
2026-02-25T10:25:00+00:00,353.34,0.289,-6.604,9.042
2026-02-25T10:30:00+00:00,350.296,0.289,-6.556,9.052
2026-02-25T10:35:00+00:00,347.314,0.288,-6.508,9.056
2026-02-25T10:40:00+00:00,345.179,0.289,-6.456,9.051
2026-02-25T10:45:00+00:00,342.136,0.29,-6.388,9.052
2026-02-25T10:50:00+00:00,341.404,0.292,-6.398,9.079
2026-02-25T10:55:00+00:00,340.672,0.294,-6.415,9.089
2026-02-25T11:00:00+00:00,339.994,0.296,-6.406,9.092
2026-02-25T11:05:00+00:00,344.918,0.298,-6.477,9.067
2026-02-25T11:10:00+00:00,346.999,0.3,-6.458,9.05
2026-02-25T11:15:00+00:00,347.797,0.302,-6.43,9.036
2026-02-25T11:20:00+00:00,345.101,0.304,-6.412,9.032
2026-02-25T11:25:00+00:00,345.228,0.306,-6.417,9.046
2026-02-25T11:30:00+00:00,343.84,0.308,-6.393,9.053
2026-02-25T11:35:00+00:00,343.645,0.311,-6.368,9.06
2026-02-25T11:40:00+00:00,343.449,0.313,-6.342,9.061
2026-02-25T11:45:00+00:00,341.723,0.315,-6.319,9.062
2026-02-25T11:50:00+00:00,341.708,0.317,-6.386,9.063
2026-02-25T11:55:00+00:00,344.668,0.319,-6.45,9.065
2026-02-25T12:00:00+00:00,351.901,0.321,-6.587,9.055
2026-02-25T12:05:00+00:00,356.806,0.323,-6.698,9.045
2026-02-25T12:10:00+00:00,356.556,0.325,-6.71,9.059
2026-02-25T12:15:00+00:00,355.295,0.328,-6.679,9.054
2026-02-25T12:20:00+00:00,351.898,0.33,-6.61,9.062
2026-02-25T12:25:00+00:00,349.601,0.332,-6.554,9.056
2026-02-25T12:30:00+00:00,344.797,0.334,-6.448,9.06
2026-02-25T12:35:00+00:00,338.952,0.336,-6.338,9.052
2026-02-25T12:40:00+00:00,337.445,0.338,-6.291,9.051
2026-02-25T12:45:00+00:00,345.439,0.34,-6.432,9.045
2026-02-25T12:50:00+00:00,349.79,0.342,-6.53,9.042
2026-02-25T12:55:00+00:00,353.579,0.344,-6.604,9.038
2026-02-25T13:00:00+00:00,359.083,0.346,-6.687,9.028
2026-02-25T13:05:00+00:00,362.812,0.349,-6.741,9.013
2026-02-25T13:10:00+00:00,363.996,0.351,-6.788,9.007
2026-02-25T13:15:00+00:00,364.448,0.353,-6.807,9.014
2026-02-25T13:20:00+00:00,362.472,0.355,-6.781,9.014
2026-02-25T13:25:00+00:00,360.366,0.357,-6.73,9.027
2026-02-25T13:30:00+00:00,358.337,0.359,-6.705,9.047
2026-02-25T13:35:00+00:00,358.002,0.361,-6.739,9.053
2026-02-25T13:40:00+00:00,360.296,0.363,-6.76,9.05
2026-02-25T13:45:00+00:00,360.658,0.365,-6.74,9.044
2026-02-25T13:50:00+00:00,357.695,0.368,-6.701,9.05
2026-02-25T13:55:00+00:00,356.604,0.369,-6.667,9.056
2026-02-25T14:00:00+00:00,355.962,0.372,-6.643,9.067
2026-02-25T14:05:00+00:00,355.321,0.374,-6.649,9.057
2026-02-25T14:10:00+00:00,354.68,0.376,-6.626,9.052
2026-02-25T14:15:00+00:00,354.038,0.378,-6.613,9.051
2026-02-25T14:20:00+00:00,353.397,0.38,-6.6,9.055
2026-02-25T14:25:00+00:00,352.755,0.382,-6.592,9.054
2026-02-25T14:30:00+00:00,352.161,0.384,-6.586,9.051
2026-02-25T14:35:00+00:00,351.76,0.386,-6.58,9.046
2026-02-25T14:40:00+00:00,351.366,0.388,-6.574,9.043
2026-02-25T14:45:00+00:00,350.971,0.39,-6.568,9.051
2026-02-25T14:50:00+00:00,350.577,0.387,-6.561,9.074
2026-02-25T14:55:00+00:00,350.472,0.383,-6.558,9.1
2026-02-25T15:00:00+00:00,351.594,0.379,-6.597,9.122
2026-02-25T15:05:00+00:00,352.975,0.376,-6.624,9.118
2026-02-25T15:10:00+00:00,354.417,0.372,-6.649,9.089
2026-02-25T15:15:00+00:00,355.904,0.368,-6.666,9.057
2026-02-25T15:20:00+00:00,357.338,0.364,-6.681,9.063
2026-02-25T15:25:00+00:00,358.711,0.36,-6.701,9.068
2026-02-25T15:30:00+00:00,360.026,0.356,-6.734,9.051
2026-02-25T15:35:00+00:00,361.502,0.352,-6.762,9.039
2026-02-25T15:40:00+00:00,362.232,0.349,-6.757,9.031
2026-02-25T15:45:00+00:00,365.508,0.345,-6.805,9.028
2026-02-25T15:50:00+00:00,367.995,0.341,-6.883,9.025
2026-02-25T15:55:00+00:00,368.847,0.337,-6.914,8.999
2026-02-25T16:00:00+00:00,372.904,0.336,-6.939,8.98
2026-02-25T16:05:00+00:00,374.349,0.338,-6.964,8.97
2026-02-25T16:10:00+00:00,376.14,0.34,-6.988,8.956
2026-02-25T16:15:00+00:00,378.999,0.343,-7.021,8.958
2026-02-25T16:20:00+00:00,382.265,0.351,-7.094,8.95
2026-02-25T16:25:00+00:00,382.329,0.358,-7.062,8.944
2026-02-25T16:30:00+00:00,383.321,0.366,-7.094,8.987
2026-02-25T16:35:00+00:00,384.976,0.374,-7.118,8.989
2026-02-25T16:40:00+00:00,386.268,0.381,-7.115,8.996
2026-02-25T16:45:00+00:00,387.546,0.389,-7.133,8.96
2026-02-25T16:50:00+00:00,388.833,0.397,-7.168,8.935
2026-02-25T16:55:00+00:00,391.857,0.404,-7.202,8.927
2026-02-25T17:00:00+00:00,395.909,0.41,-7.248,8.936
2026-02-25T17:05:00+00:00,397.3,0.414,-7.284,8.948
2026-02-25T17:10:00+00:00,398.638,0.418,-7.309,8.937
2026-02-25T17:15:00+00:00,399.977,0.422,-7.332,8.939
2026-02-25T17:20:00+00:00,401.316,0.426,-7.354,8.935
2026-02-25T17:25:00+00:00,401.353,0.429,-7.36,8.927
2026-02-25T17:30:00+00:00,398.733,0.433,-7.348,8.937
2026-02-25T17:35:00+00:00,396.216,0.437,-7.338,8.936
2026-02-25T17:40:00+00:00,396.534,0.441,-7.343,8.949
2026-02-25T17:45:00+00:00,397.82,0.445,-7.355,8.99
2026-02-25T17:50:00+00:00,399.106,0.449,-7.368,8.998
2026-02-25T17:55:00+00:00,400.392,0.452,-7.38,8.995
2026-02-25T18:00:00+00:00,401.678,0.456,-7.393,8.991
2026-02-25T18:05:00+00:00,402.964,0.46,-7.402,8.992
2026-02-25T18:10:00+00:00,403.757,0.464,-7.397,8.99
2026-02-25T18:15:00+00:00,400.57,0.468,-7.386,8.987
2026-02-25T18:20:00+00:00,395.978,0.472,-7.332,9.003
2026-02-25T18:25:00+00:00,393.287,0.476,-7.295,9.01
2026-02-25T18:30:00+00:00,391.04,0.479,-7.258,9.023
2026-02-25T18:35:00+00:00,389.74,0.483,-7.235,9.024
2026-02-25T18:40:00+00:00,392.281,0.487,-7.292,9.024
2026-02-25T18:45:00+00:00,389.361,0.491,-7.228,9.036
2026-02-25T18:50:00+00:00,387.16,0.495,-7.19,9.048
2026-02-25T18:55:00+00:00,385.098,0.499,-7.155,9.073
2026-02-25T19:00:00+00:00,383.338,0.502,-7.126,9.088
2026-02-25T19:05:00+00:00,381.598,0.506,-7.117,9.06
2026-02-25T19:10:00+00:00,379.942,0.51,-7.098,9.051
2026-02-25T19:15:00+00:00,378.531,0.514,-7.067,9.059
2026-02-25T19:20:00+00:00,378.936,0.518,-7.037,9.064
2026-02-25T19:25:00+00:00,377.336,0.522,-7.008,9.066
2026-02-25T19:30:00+00:00,375.414,0.526,-6.977,9.076
2026-02-25T19:35:00+00:00,373.516,0.53,-6.958,9.088
2026-02-25T19:40:00+00:00,371.262,0.534,-6.962,9.09
2026-02-25T19:45:00+00:00,368.958,0.537,-6.9,9.098
2026-02-25T19:50:00+00:00,367.807,0.541,-6.805,9.003
2026-02-25T19:55:00+00:00,364.227,0.545,-6.749,9.025
2026-02-25T20:00:00+00:00,362.062,0.549,-6.716,9.008
2026-02-25T20:05:00+00:00,360.332,0.552,-6.704,9.041
2026-02-25T20:10:00+00:00,358.724,0.555,-6.677,9.091
2026-02-25T20:15:00+00:00,356.934,0.546,-6.647,9.089
2026-02-25T20:20:00+00:00,355.166,0.537,-6.614,9.098
2026-02-25T20:25:00+00:00,353.404,0.526,-6.582,9.105
2026-02-25T20:30:00+00:00,351.513,0.516,-6.584,9.11
2026-02-25T20:35:00+00:00,349.25,0.506,-6.537,9.094
2026-02-25T20:40:00+00:00,346.295,0.496,-6.497,9.124
2026-02-25T20:45:00+00:00,346.794,0.49,-6.479,9.108
2026-02-25T20:50:00+00:00,341.751,0.494,-6.435,9.122
2026-02-25T20:55:00+00:00,338.421,0.499,-6.391,9.101
2026-02-25T21:00:00+00:00,336.31,0.503,-6.348,9.078
2026-02-25T21:05:00+00:00,334.642,0.508,-6.306,9.104
2026-02-25T21:10:00+00:00,332.935,0.513,-6.272,9.12
2026-02-25T21:15:00+00:00,331.15,0.518,-6.234,9.129
2026-02-25T21:20:00+00:00,329.372,0.531,-6.206,9.127
2026-02-25T21:25:00+00:00,327.529,0.542,-6.129,9.088
2026-02-25T21:30:00+00:00,325.485,0.54,-6.066,9.032
2026-02-25T21:35:00+00:00,323.48,0.538,-6.023,9.053
2026-02-25T21:40:00+00:00,321.491,0.536,-5.991,9.062
2026-02-25T21:45:00+00:00,319.602,0.534,-5.96,9.019
2026-02-25T21:50:00+00:00,317.714,0.532,-5.928,9.056
2026-02-25T21:55:00+00:00,315.768,0.53,-5.898,9.059
2026-02-25T22:00:00+00:00,313.578,0.528,-5.863,9.068
2026-02-25T22:05:00+00:00,311.178,0.526,-5.816,9.098
2026-02-25T22:10:00+00:00,308.508,0.524,-5.765,9.114
2026-02-25T22:15:00+00:00,305.171,0.522,-5.686,9.06
2026-02-25T22:20:00+00:00,301.624,0.52,-5.625,9.059
2026-02-25T22:25:00+00:00,298.642,0.518,-5.575,9.073
2026-02-25T22:30:00+00:00,296.621,0.516,-5.528,9.071
2026-02-25T22:35:00+00:00,295.032,0.514,-5.482,9.012
2026-02-25T22:40:00+00:00,293.435,0.512,-5.433,9.019
2026-02-25T22:45:00+00:00,290.702,0.51,-5.387,9.031
2026-02-25T22:50:00+00:00,288.54,0.508,-5.345,9.026
2026-02-25T22:55:00+00:00,285.513,0.506,-5.306,9.036
2026-02-25T23:00:00+00:00,283.42,0.504,-5.268,9.042
2026-02-25T23:05:00+00:00,281.326,0.502,-5.232,9.035
2026-02-25T23:10:00+00:00,279.238,0.5,-5.197,9.066
2026-02-25T23:15:00+00:00,277.193,0.498,-5.162,9.086
2026-02-25T23:20:00+00:00,275.393,0.496,-5.124,9.08
2026-02-25T23:25:00+00:00,273.931,0.494,-5.092,9.071
2026-02-25T23:30:00+00:00,273.82,0.492,-5.071,9.075
2026-02-25T23:35:00+00:00,274.157,0.49,-5.068,9.08
2026-02-25T23:40:00+00:00,274.495,0.488,-5.074,9.068
2026-02-25T23:45:00+00:00,274.917,0.486,-5.079,9.082
2026-02-25T23:50:00+00:00,276.313,0.484,-5.093,9.085
2026-02-25T23:55:00+00:00,277.988,0.482,-5.125,9.086
2026-02-26T00:00:00+00:00,279.662,0.48,-5.158,9.096
2026-02-26T00:05:00+00:00,281.95,0.478,-5.218,9.064
2026-02-26T00:10:00+00:00,285.056,0.476,-5.3,9.024
2026-02-26T00:15:00+00:00,285.495,0.474,-5.297,8.978
2026-02-26T00:20:00+00:00,285.477,0.472,-5.28,8.981
2026-02-26T00:25:00+00:00,285.46,0.47,-5.288,9.029
2026-02-26T00:30:00+00:00,285.442,0.468,-5.302,9.074
2026-02-26T00:35:00+00:00,285.424,0.466,-5.315,9.027
2026-02-26T00:40:00+00:00,285.029,0.465,-5.312,8.998
2026-02-26T00:45:00+00:00,282.965,0.479,-5.262,8.997
2026-02-26T00:50:00+00:00,281.576,0.498,-5.218,8.978
2026-02-26T00:55:00+00:00,280.754,0.516,-5.188,8.974
2026-02-26T01:00:00+00:00,279.933,0.536,-5.17,8.997
2026-02-26T01:05:00+00:00,278.922,0.547,-5.164,9.019
2026-02-26T01:10:00+00:00,277.523,0.553,-5.146,9.027
2026-02-26T01:15:00+00:00,275.911,0.558,-5.12,9.029
2026-02-26T01:20:00+00:00,274.021,0.564,-5.094,9.04
2026-02-26T01:25:00+00:00,272.084,0.569,-5.067,9.051
2026-02-26T01:30:00+00:00,270.078,0.574,-5.036,9.058
2026-02-26T01:35:00+00:00,269.379,0.572,-5.003,9.068
2026-02-26T01:40:00+00:00,266.099,0.568,-4.97,9.08
2026-02-26T01:45:00+00:00,265.223,0.565,-4.956,9.089
2026-02-26T01:50:00+00:00,266.626,0.562,-4.983,9.085
2026-02-26T01:55:00+00:00,268.029,0.558,-5.003,9.09
2026-02-26T02:00:00+00:00,269.432,0.554,-5.013,9.105
2026-02-26T02:05:00+00:00,270.437,0.551,-5.033,9.094
2026-02-26T02:10:00+00:00,270.446,0.548,-5.071,9.077
2026-02-26T02:15:00+00:00,271.277,0.546,-5.073,9.075
2026-02-26T02:20:00+00:00,266.293,0.545,-4.962,9.074
2026-02-26T02:25:00+00:00,263.27,0.544,-4.912,9.088
2026-02-26T02:30:00+00:00,261.926,0.543,-4.904,9.084
2026-02-26T02:35:00+00:00,260.804,0.542,-4.908,9.089
2026-02-26T02:40:00+00:00,259.682,0.541,-4.873,9.107
2026-02-26T02:45:00+00:00,258.563,0.54,-4.834,9.115
2026-02-26T02:50:00+00:00,257.504,0.539,-4.806,9.125
2026-02-26T02:55:00+00:00,256.476,0.538,-4.778,9.138
2026-02-26T03:00:00+00:00,255.52,0.537,-4.757,9.112
2026-02-26T03:05:00+00:00,254.649,0.536,-4.795,9.068
2026-02-26T03:10:00+00:00,253.778,0.534,-4.764,9.055
2026-02-26T03:15:00+00:00,252.908,0.534,-4.726,9.071
2026-02-26T03:20:00+00:00,252.048,0.533,-4.696,9.08
2026-02-26T03:25:00+00:00,251.276,0.532,-4.672,9.054
2026-02-26T03:30:00+00:00,250.822,0.53,-4.66,9.017
2026-02-26T03:35:00+00:00,250.479,0.527,-4.678,9.005
2026-02-26T03:40:00+00:00,250.136,0.524,-4.68,9.009
2026-02-26T03:45:00+00:00,249.793,0.521,-4.674,9.017
2026-02-26T03:50:00+00:00,249.732,0.517,-4.668,9.027
2026-02-26T03:55:00+00:00,250.148,0.514,-4.663,9.03
2026-02-26T04:00:00+00:00,250.572,0.51,-4.657,9.058
2026-02-26T04:05:00+00:00,250.916,0.507,-4.651,9.036
2026-02-26T04:10:00+00:00,250.258,0.504,-4.645,9.032
2026-02-26T04:15:00+00:00,249.296,0.5,-4.64,9.032
2026-02-26T04:20:00+00:00,248.722,0.497,-4.635,9.04
2026-02-26T04:25:00+00:00,249.177,0.494,-4.637,9.039
2026-02-26T04:30:00+00:00,250.164,0.491,-4.647,9.04
2026-02-26T04:35:00+00:00,251.152,0.488,-4.659,9.042
2026-02-26T04:40:00+00:00,251.959,0.484,-4.672,9.046
2026-02-26T04:45:00+00:00,252.502,0.481,-4.684,9.056
2026-02-26T04:50:00+00:00,253.044,0.478,-4.696,9.051
2026-02-26T04:55:00+00:00,253.585,0.482,-4.708,9.064
2026-02-26T05:00:00+00:00,254.127,0.488,-4.722,9.058
2026-02-26T05:05:00+00:00,254.668,0.494,-4.739,9.031
2026-02-26T05:10:00+00:00,255.21,0.5,-4.756,9.019
2026-02-26T05:15:00+00:00,255.753,0.505,-4.773,9.027
2026-02-26T05:20:00+00:00,256.463,0.509,-4.79,9.031
2026-02-26T05:25:00+00:00,257.681,0.505,-4.808,9.02
2026-02-26T05:30:00+00:00,259.64,0.499,-4.827,9.016
2026-02-26T05:35:00+00:00,261.691,0.493,-4.85,9.006
2026-02-26T05:40:00+00:00,263.69,0.487,-4.874,9.006
2026-02-26T05:45:00+00:00,263.48,0.481,-4.896,9.004
2026-02-26T05:50:00+00:00,265.225,0.475,-4.919,8.995
2026-02-26T05:55:00+00:00,267.465,0.469,-4.941,8.991
2026-02-26T06:00:00+00:00,270.63,0.464,-4.964,8.974
2026-02-26T06:05:00+00:00,275.862,0.458,-5.047,8.91
2026-02-26T06:10:00+00:00,280.944,0.453,-5.208,9.003
2026-02-26T06:15:00+00:00,284.012,0.452,-5.298,9.022
2026-02-26T06:20:00+00:00,286.607,0.45,-5.352,9.05
2026-02-26T06:25:00+00:00,289.411,0.45,-5.401,9.036
2026-02-26T06:30:00+00:00,292.075,0.449,-5.445,9.031
2026-02-26T06:35:00+00:00,294.181,0.448,-5.493,9.014
2026-02-26T06:40:00+00:00,298.851,0.447,-5.554,8.981
2026-02-26T06:45:00+00:00,302.981,0.446,-5.614,8.996
2026-02-26T06:50:00+00:00,307.988,0.444,-5.732,9.027
2026-02-26T06:55:00+00:00,313.281,0.444,-5.819,9.013
2026-02-26T07:00:00+00:00,318.823,0.44,-5.904,8.987
2026-02-26T07:05:00+00:00,325.698,0.435,-6.007,8.956
2026-02-26T07:10:00+00:00,334.413,0.432,-6.128,8.906
2026-02-26T07:15:00+00:00,338.305,0.441,-6.239,8.953
2026-02-26T07:20:00+00:00,341.038,0.426,-6.298,8.971
2026-02-26T07:25:00+00:00,343.87,0.408,-6.358,8.953
2026-02-26T07:30:00+00:00,347.126,0.392,-6.44,8.932
2026-02-26T07:35:00+00:00,349.845,0.375,-6.495,8.951
2026-02-26T07:40:00+00:00,352.366,0.358,-6.505,8.96
2026-02-26T07:45:00+00:00,355.364,0.341,-6.563,8.954
2026-02-26T07:50:00+00:00,356.117,0.325,-6.584,8.964
