ValueDate,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,1.774,0.761,-1.809,11.27
2026-02-25T00:10:00+00:00,1.774,0.754,-1.9,11.242
2026-02-25T00:15:00+00:00,1.774,0.76,-1.983,11.302
2026-02-25T00:20:00+00:00,1.774,0.759,-1.982,11.314
2026-02-25T00:25:00+00:00,1.774,0.759,-1.989,11.308
2026-02-25T00:30:00+00:00,1.774,0.762,-1.983,11.324
2026-02-25T00:35:00+00:00,1.774,0.768,-2.02,11.29
2026-02-25T00:40:00+00:00,1.774,0.75,-2.116,11.34
2026-02-25T00:45:00+00:00,1.774,0.763,-2.128,11.343
2026-02-25T00:50:00+00:00,1.774,0.76,-2.138,11.358
2026-02-25T00:55:00+00:00,1.774,0.758,-2.128,11.375
2026-02-25T01:00:00+00:00,1.774,0.753,-2.139,11.385
2026-02-25T01:05:00+00:00,1.774,0.754,-2.144,11.362
2026-02-25T01:10:00+00:00,1.774,0.756,-2.142,11.366
2026-02-25T01:15:00+00:00,1.774,0.744,-2.133,11.378
2026-02-25T01:20:00+00:00,1.774,0.735,-2.1,11.383
2026-02-25T01:25:00+00:00,1.774,0.754,-2.083,11.406
2026-02-25T01:30:00+00:00,1.774,0.756,-2.08,11.424
2026-02-25T01:35:00+00:00,1.774,0.759,-2.074,11.418
2026-02-25T01:40:00+00:00,1.774,0.766,-2.077,11.432
2026-02-25T01:45:00+00:00,1.774,0.762,-2.059,11.392
2026-02-25T01:50:00+00:00,1.774,0.773,-2.005,11.32
2026-02-25T01:55:00+00:00,1.774,0.796,-1.974,11.336
2026-02-25T02:00:00+00:00,1.774,0.781,-1.998,11.328
2026-02-25T02:05:00+00:00,1.774,0.792,-1.991,11.314
2026-02-25T02:10:00+00:00,1.774,0.796,-1.978,11.326
2026-02-25T02:15:00+00:00,1.774,0.798,-1.968,11.358
2026-02-25T02:20:00+00:00,1.774,0.797,-1.957,11.368
2026-02-25T02:25:00+00:00,1.774,0.782,-1.94,11.38
2026-02-25T02:30:00+00:00,1.774,0.789,-1.93,11.355
2026-02-25T02:35:00+00:00,1.774,0.782,-1.914,11.311
2026-02-25T02:40:00+00:00,1.774,0.777,-1.927,11.315
2026-02-25T02:45:00+00:00,1.774,0.778,-1.919,11.325
2026-02-25T02:50:00+00:00,1.774,0.815,-1.887,11.332
2026-02-25T02:55:00+00:00,1.774,0.791,-1.889,11.332
2026-02-25T03:00:00+00:00,1.774,0.799,-1.861,11.338
2026-02-25T03:05:00+00:00,1.774,0.785,-1.828,11.293
2026-02-25T03:10:00+00:00,1.774,0.79,-1.839,11.284
2026-02-25T03:15:00+00:00,1.774,0.813,-1.832,11.295
2026-02-25T03:20:00+00:00,1.774,0.823,-1.805,11.304
2026-02-25T03:25:00+00:00,1.774,0.835,-1.768,11.316
2026-02-25T03:30:00+00:00,1.774,0.806,-1.762,11.318
2026-02-25T03:35:00+00:00,1.774,0.811,-1.761,11.312
2026-02-25T03:40:00+00:00,1.774,0.795,-1.735,11.308
2026-02-25T03:45:00+00:00,1.774,0.826,-1.742,11.333
2026-02-25T03:50:00+00:00,1.774,0.827,-1.73,11.348
2026-02-25T03:55:00+00:00,1.774,0.813,-1.723,11.366
2026-02-25T04:00:00+00:00,1.774,0.833,-1.716,11.382
2026-02-25T04:05:00+00:00,1.774,0.841,-1.708,11.338
2026-02-25T04:10:00+00:00,1.774,0.815,-1.715,11.338
2026-02-25T04:15:00+00:00,1.774,0.802,-1.694,11.329
2026-02-25T04:20:00+00:00,1.774,0.793,-1.705,11.313
2026-02-25T04:25:00+00:00,1.774,0.802,-1.692,11.319
2026-02-25T04:30:00+00:00,1.774,0.814,-1.651,11.324
2026-02-25T04:35:00+00:00,1.774,0.801,-1.664,11.322
2026-02-25T04:40:00+00:00,1.774,0.803,-1.665,11.331
2026-02-25T04:45:00+00:00,1.774,0.803,-1.646,11.348
2026-02-25T04:50:00+00:00,1.774,0.814,-1.63,11.352
2026-02-25T04:55:00+00:00,1.774,0.807,-1.649,11.348
2026-02-25T05:00:00+00:00,1.774,0.814,-1.654,11.358
2026-02-25T05:05:00+00:00,1.774,0.815,-1.637,11.34
2026-02-25T05:10:00+00:00,1.774,0.832,-1.632,11.324
2026-02-25T05:15:00+00:00,1.774,0.823,-1.649,11.32
2026-02-25T05:20:00+00:00,1.774,0.824,-1.66,11.317
2026-02-25T05:25:00+00:00,1.774,0.816,-1.654,11.307
2026-02-25T05:30:00+00:00,1.774,0.812,-1.677,11.306
2026-02-25T05:35:00+00:00,1.774,0.803,-1.662,11.302
2026-02-25T05:40:00+00:00,1.774,0.809,-1.672,11.298
2026-02-25T05:45:00+00:00,1.774,0.811,-1.676,11.268
2026-02-25T05:50:00+00:00,1.774,0.797,-1.688,11.306
2026-02-25T05:55:00+00:00,1.774,0.796,-1.709,11.336
2026-02-25T06:00:00+00:00,1.774,0.787,-1.707,11.316
2026-02-25T06:05:00+00:00,1.774,0.786,-1.744,11.284
2026-02-25T06:10:00+00:00,1.774,0.773,-1.789,11.285
2026-02-25T06:15:00+00:00,1.774,0.779,-1.816,11.291
2026-02-25T06:20:00+00:00,1.774,0.782,-1.816,11.274
2026-02-25T06:25:00+00:00,1.774,0.759,-1.846,11.256
2026-02-25T06:30:00+00:00,1.774,0.745,-1.841,11.243
2026-02-25T06:35:00+00:00,1.774,0.74,-1.879,11.218
2026-02-25T06:40:00+00:00,1.774,0.732,-1.931,11.234
2026-02-25T06:45:00+00:00,1.774,0.733,-1.945,11.339
2026-02-25T06:50:00+00:00,1.774,0.741,-1.917,11.362
2026-02-25T06:55:00+00:00,1.774,0.758,-1.944,11.34
2026-02-25T07:00:00+00:00,1.774,0.745,-2.0,11.338
2026-02-25T07:05:00+00:00,1.774,0.739,-2.037,11.294
2026-02-25T07:10:00+00:00,1.774,0.76,-2.068,11.248
2026-02-25T07:15:00+00:00,1.774,0.737,-2.091,11.215
