ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,164.924,-0.28,2.882,10.859
2026-02-25T00:10:00+00:00,165.327,-0.394,2.978,10.869
2026-02-25T00:15:00+00:00,165.178,-0.367,2.989,10.933
2026-02-25T00:20:00+00:00,163.382,-0.371,2.958,10.959
2026-02-25T00:25:00+00:00,163.352,-0.372,2.973,10.958
2026-02-25T00:30:00+00:00,163.65,-0.37,2.978,10.974
2026-02-25T00:35:00+00:00,163.137,-0.359,2.962,10.952
2026-02-25T00:40:00+00:00,163.248,-0.362,2.956,10.937
2026-02-25T00:45:00+00:00,162.784,-0.4,2.948,10.943
2026-02-25T00:50:00+00:00,162.138,-0.375,2.93,10.954
2026-02-25T00:55:00+00:00,161.722,-0.382,2.931,10.964
2026-02-25T01:00:00+00:00,160.248,-0.383,2.915,10.969
2026-02-25T01:05:00+00:00,160.222,-0.351,2.913,10.946
2026-02-25T01:10:00+00:00,157.892,-0.394,2.856,10.946
2026-02-25T01:15:00+00:00,158.202,-0.401,2.858,10.956
2026-02-25T01:20:00+00:00,157.433,-0.404,2.846,10.962
2026-02-25T01:25:00+00:00,157.362,-0.4,2.852,10.972
2026-02-25T01:30:00+00:00,157.345,-0.406,2.856,10.979
2026-02-25T01:35:00+00:00,157.262,-0.391,2.854,10.975
2026-02-25T01:40:00+00:00,156.731,-0.373,2.828,10.972
2026-02-25T01:45:00+00:00,161.433,-0.354,2.832,10.92
2026-02-25T01:50:00+00:00,160.854,-0.353,2.812,10.945
2026-02-25T01:55:00+00:00,159.73,-0.351,2.8,10.96
2026-02-25T02:00:00+00:00,159.376,-0.352,2.802,10.962
2026-02-25T02:05:00+00:00,161.012,-0.325,2.812,10.948
2026-02-25T02:10:00+00:00,160.937,-0.333,2.816,10.954
2026-02-25T02:15:00+00:00,159.302,-0.359,2.787,10.979
2026-02-25T02:20:00+00:00,158.279,-0.352,2.774,10.99
2026-02-25T02:25:00+00:00,157.541,-0.346,2.769,11.001
2026-02-25T02:30:00+00:00,157.056,-0.352,2.758,11.011
2026-02-25T02:35:00+00:00,157.438,-0.354,2.779,11.002
2026-02-25T02:40:00+00:00,157.564,-0.344,2.772,11.005
2026-02-25T02:45:00+00:00,157.062,-0.356,2.748,11.016
2026-02-25T02:50:00+00:00,150.936,-0.386,2.716,10.94
2026-02-25T02:55:00+00:00,150.618,-0.401,2.707,10.894
2026-02-25T03:00:00+00:00,148.764,-0.401,2.668,10.895
2026-02-25T03:05:00+00:00,149.48,-0.366,2.68,10.864
2026-02-25T03:10:00+00:00,148.416,-0.367,2.662,10.846
2026-02-25T03:15:00+00:00,148.45,-0.37,2.662,10.854
2026-02-25T03:20:00+00:00,147.518,-0.374,2.644,10.862
2026-02-25T03:25:00+00:00,147.77,-0.361,2.636,10.863
2026-02-25T03:30:00+00:00,145.898,-0.372,2.617,10.87
2026-02-25T03:35:00+00:00,144.698,-0.382,2.589,10.862
2026-02-25T03:40:00+00:00,144.926,-0.383,2.598,10.86
2026-02-25T03:45:00+00:00,143.324,-0.405,2.568,10.88
2026-02-25T03:50:00+00:00,143.884,-0.389,2.584,10.888
2026-02-25T03:55:00+00:00,142.064,-0.372,2.547,10.9
2026-02-25T04:00:00+00:00,143.882,-0.371,2.58,10.911
2026-02-25T04:05:00+00:00,144.067,-0.379,2.584,10.932
2026-02-25T04:10:00+00:00,144.722,-0.362,2.6,10.939
2026-02-25T04:15:00+00:00,143.668,-0.368,2.598,10.933
2026-02-25T04:20:00+00:00,143.39,-0.363,2.593,10.928
2026-02-25T04:25:00+00:00,142.767,-0.372,2.554,10.93
2026-02-25T04:30:00+00:00,139.09,-0.367,2.504,10.928
2026-02-25T04:35:00+00:00,133.409,-0.368,2.387,10.936
2026-02-25T04:40:00+00:00,133.11,-0.401,2.375,10.939
2026-02-25T04:45:00+00:00,129.863,-0.4,2.328,10.95
2026-02-25T04:50:00+00:00,124.119,-0.402,2.213,10.952
2026-02-25T04:55:00+00:00,122.442,-0.403,2.182,10.95
2026-02-25T05:00:00+00:00,116.988,-0.417,2.067,10.954
2026-02-25T05:05:00+00:00,111.925,-0.406,1.964,10.947
2026-02-25T05:10:00+00:00,111.527,-0.402,1.951,10.933
2026-02-25T05:15:00+00:00,113.248,-0.402,1.993,10.93
2026-02-25T05:20:00+00:00,113.95,-0.403,2.019,10.93
2026-02-25T05:25:00+00:00,114.586,-0.398,2.018,10.928
2026-02-25T05:30:00+00:00,112.409,-0.374,1.982,10.931
2026-02-25T05:35:00+00:00,110.736,-0.401,1.949,10.933
2026-02-25T05:40:00+00:00,113.306,-0.396,2.0,10.928
