ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,147.8,2.832,0.0,0.0,10.937
2026-02-25T00:10:00+00:00,178.812,3.475,0.0,0.0,11.034
2026-02-25T00:15:00+00:00,190.471,3.645,0.0,0.0,11.066
2026-02-25T00:20:00+00:00,189.522,3.568,0.0,0.0,11.066
2026-02-25T00:25:00+00:00,186.74,3.577,0.0,0.0,11.066
2026-02-25T00:30:00+00:00,187.078,3.597,0.0,0.0,11.086
2026-02-25T00:35:00+00:00,199.465,3.838,0.0,0.0,11.013
2026-02-25T00:40:00+00:00,211.235,4.0,0.0,0.0,10.967
2026-02-25T00:45:00+00:00,211.677,3.956,0.0,0.0,10.984
2026-02-25T00:50:00+00:00,207.172,3.912,0.0,0.0,11.009
2026-02-25T00:55:00+00:00,206.811,3.868,0.0,0.0,11.028
2026-02-25T01:00:00+00:00,205.708,3.974,0.0,0.0,11.025
2026-02-25T01:05:00+00:00,208.088,3.933,0.0,0.0,10.988
2026-02-25T01:10:00+00:00,206.08,3.856,0.0,0.0,11.002
2026-02-25T01:15:00+00:00,202.393,3.823,0.0,0.0,11.017
2026-02-25T01:20:00+00:00,200.26,3.8,0.0,0.0,11.027
2026-02-25T01:25:00+00:00,198.882,3.776,0.0,0.0,11.053
2026-02-25T01:30:00+00:00,196.601,3.753,0.0,0.0,11.066
2026-02-25T01:35:00+00:00,201.694,3.729,0.0,0.0,11.047
2026-02-25T01:40:00+00:00,200.928,3.706,0.0,0.0,11.062
2026-02-25T01:45:00+00:00,200.382,3.682,0.0,0.0,11.084
2026-02-25T01:50:00+00:00,194.742,3.659,0.0,0.0,11.12
2026-02-25T01:55:00+00:00,192.373,3.641,0.0,0.0,11.139
2026-02-25T02:00:00+00:00,191.084,3.771,0.0,0.0,11.13
2026-02-25T02:05:00+00:00,193.373,3.727,0.0,0.0,11.107
2026-02-25T02:10:00+00:00,192.564,3.652,0.0,0.0,11.128
2026-02-25T02:15:00+00:00,189.568,3.579,0.0,0.0,11.165
2026-02-25T02:20:00+00:00,183.863,3.506,0.0,0.0,11.188
2026-02-25T02:25:00+00:00,182.462,3.512,0.0,0.0,11.203
2026-02-25T02:30:00+00:00,182.502,3.585,0.0,0.0,11.197
2026-02-25T02:35:00+00:00,184.283,3.653,0.0,0.0,11.184
2026-02-25T02:40:00+00:00,186.92,3.697,0.0,0.0,11.18
2026-02-25T02:45:00+00:00,190.245,3.615,0.0,0.0,11.204
2026-02-25T02:50:00+00:00,187.817,3.629,0.0,0.0,11.173
2026-02-25T02:55:00+00:00,189.842,3.643,0.0,0.0,11.178
2026-02-25T03:00:00+00:00,183.098,3.485,0.0,0.0,11.187
2026-02-25T03:05:00+00:00,181.919,3.495,0.0,0.0,11.146
2026-02-25T03:10:00+00:00,179.795,3.562,0.0,0.0,11.153
2026-02-25T03:15:00+00:00,180.687,3.538,0.0,0.0,11.169
2026-02-25T03:20:00+00:00,175.761,3.357,0.0,0.0,11.184
2026-02-25T03:25:00+00:00,172.22,3.254,0.0,0.0,11.191
2026-02-25T03:30:00+00:00,165.451,3.168,0.0,0.0,11.202
2026-02-25T03:35:00+00:00,164.591,3.084,0.0,0.0,11.101
2026-02-25T03:40:00+00:00,159.36,3.028,0.0,0.0,11.09
2026-02-25T03:45:00+00:00,160.803,2.982,0.0,0.0,11.116
2026-02-25T03:50:00+00:00,161.837,2.936,0.0,0.0,11.112
2026-02-25T03:55:00+00:00,156.541,2.937,0.0,0.0,11.057
2026-02-25T04:00:00+00:00,156.324,3.007,0.0,0.0,11.066
2026-02-25T04:05:00+00:00,158.614,2.926,0.0,0.0,11.085
2026-02-25T04:10:00+00:00,153.574,2.988,0.0,0.0,11.103
2026-02-25T04:15:00+00:00,154.23,2.936,0.0,0.0,11.09
2026-02-25T04:20:00+00:00,148.766,2.819,0.0,0.0,11.096
2026-02-25T04:25:00+00:00,144.561,2.735,0.0,0.0,11.104
2026-02-25T04:30:00+00:00,142.69,2.798,0.0,0.0,11.104
2026-02-25T04:35:00+00:00,143.862,2.771,0.0,0.0,11.103
2026-02-25T04:40:00+00:00,144.178,2.84,0.0,0.0,11.106
2026-02-25T04:45:00+00:00,144.86,2.771,0.0,0.0,11.129
2026-02-25T04:50:00+00:00,140.695,2.761,0.0,0.0,11.13
2026-02-25T04:55:00+00:00,141.283,2.817,0.0,0.0,11.127
2026-02-25T05:00:00+00:00,141.091,2.873,0.0,0.0,11.122
2026-02-25T05:05:00+00:00,145.539,2.826,0.0,0.0,11.104
2026-02-25T05:10:00+00:00,145.538,2.838,0.0,0.0,11.083
2026-02-25T05:15:00+00:00,145.418,2.858,0.0,0.0,11.086
2026-02-25T05:20:00+00:00,148.589,2.873,0.0,0.0,11.076
2026-02-25T05:25:00+00:00,150.186,2.799,0.0,0.0,11.067
2026-02-25T05:30:00+00:00,143.808,2.723,0.0,0.0,11.092
2026-02-25T05:35:00+00:00,143.254,2.78,0.0,0.0,11.095
2026-02-25T05:40:00+00:00,147.922,2.837,0.0,0.0,11.082
2026-02-25T05:45:00+00:00,145.036,2.891,0.0,0.0,11.049
2026-02-25T05:50:00+00:00,149.582,2.924,0.0,0.0,11.024
2026-02-25T05:55:00+00:00,152.19,2.898,0.0,0.0,11.024
2026-02-25T06:00:00+00:00,157.928,3.026,0.0,0.0,10.982
2026-02-25T06:05:00+00:00,167.172,3.256,0.0,0.0,10.92
2026-02-25T06:10:00+00:00,166.512,3.267,0.0,0.0,11.063
2026-02-25T06:15:00+00:00,168.156,3.293,0.0,0.0,11.131
2026-02-25T06:20:00+00:00,172.433,3.382,0.0,0.0,11.069
2026-02-25T06:25:00+00:00,172.1,3.452,0.0,0.0,11.05
2026-02-25T06:30:00+00:00,172.835,3.521,0.0,0.0,11.033
2026-02-25T06:35:00+00:00,184.423,3.588,0.0,0.0,10.972
2026-02-25T06:40:00+00:00,187.692,3.647,0.0,0.0,10.929
2026-02-25T06:45:00+00:00,192.877,3.706,0.0,0.0,10.89
2026-02-25T06:50:00+00:00,188.682,3.738,0.0,0.0,10.93
2026-02-25T06:55:00+00:00,196.122,3.846,0.0,0.0,11.044
2026-02-25T07:00:00+00:00,204.901,3.94,0.0,0.0,11.075
2026-02-25T07:05:00+00:00,209.029,3.877,0.0,0.0,11.021
2026-02-25T07:10:00+00:00,209.504,3.791,0.0,0.0,10.959
2026-02-25T07:15:00+00:00,202.249,3.821,0.0,0.0,10.959
2026-02-25T07:20:00+00:00,199.971,3.828,0.0,0.0,10.964
