ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,108.411,2.096,-0.296,-2.062,10.894
2026-02-25T00:10:00+00:00,116.259,2.198,-0.294,-2.174,10.853
2026-02-25T00:15:00+00:00,122.072,2.274,-0.294,-2.253,10.988
2026-02-25T00:20:00+00:00,121.973,2.348,-0.292,-2.33,11.013
2026-02-25T00:25:00+00:00,121.682,2.399,-0.291,-2.38,11.017
2026-02-25T00:30:00+00:00,121.553,2.446,-0.29,-2.426,11.024
2026-02-25T00:35:00+00:00,128.77,2.512,-0.289,-2.488,10.857
2026-02-25T00:40:00+00:00,135.25,2.582,-0.288,-2.554,10.82
2026-02-25T00:45:00+00:00,140.434,2.578,-0.286,-2.548,10.82
2026-02-25T00:50:00+00:00,139.17,2.564,-0.285,-2.532,10.829
2026-02-25T00:55:00+00:00,139.272,2.549,-0.284,-2.514,10.85
2026-02-25T01:00:00+00:00,138.421,2.536,-0.283,-2.497,10.859
2026-02-25T01:05:00+00:00,138.983,2.521,-0.282,-2.48,10.821
2026-02-25T01:10:00+00:00,136.346,2.507,-0.28,-2.463,10.822
2026-02-25T01:15:00+00:00,137.64,2.492,-0.279,-2.446,10.84
2026-02-25T01:20:00+00:00,136.168,2.479,-0.277,-2.429,10.844
2026-02-25T01:25:00+00:00,134.85,2.464,-0.276,-2.412,10.866
2026-02-25T01:30:00+00:00,131.804,2.45,-0.275,-2.394,10.881
2026-02-25T01:35:00+00:00,129.17,2.424,-0.274,-2.378,10.878
2026-02-25T01:40:00+00:00,128.394,2.388,-0.272,-2.362,10.89
2026-02-25T01:45:00+00:00,127.16,2.352,-0.272,-2.345,10.914
2026-02-25T01:50:00+00:00,124.464,2.321,-0.27,-2.327,10.887
2026-02-25T01:55:00+00:00,124.534,2.332,-0.269,-2.31,10.859
2026-02-25T02:00:00+00:00,125.169,2.351,-0.268,-2.292,10.858
2026-02-25T02:05:00+00:00,127.533,2.368,-0.266,-2.274,10.838
2026-02-25T02:10:00+00:00,126.132,2.324,-0.266,-2.256,10.85
2026-02-25T02:15:00+00:00,123.348,2.278,-0.264,-2.239,10.893
2026-02-25T02:20:00+00:00,122.782,2.261,-0.263,-2.221,10.898
2026-02-25T02:25:00+00:00,122.598,2.244,-0.261,-2.203,10.91
2026-02-25T02:30:00+00:00,119.738,2.244,-0.26,-2.212,10.922
2026-02-25T02:35:00+00:00,121.94,2.287,-0.259,-2.289,10.918
2026-02-25T02:40:00+00:00,122.667,2.293,-0.258,-2.328,10.918
2026-02-25T02:45:00+00:00,122.368,2.266,-0.256,-2.336,10.942
2026-02-25T02:50:00+00:00,122.258,2.242,-0.255,-2.284,10.86
2026-02-25T02:55:00+00:00,123.008,2.216,-0.252,-2.218,10.812
2026-02-25T03:00:00+00:00,122.375,2.19,-0.248,-2.17,10.818
2026-02-25T03:05:00+00:00,118.688,2.166,-0.246,-2.126,10.852
2026-02-25T03:10:00+00:00,115.379,2.148,-0.25,-2.106,10.918
2026-02-25T03:15:00+00:00,112.721,2.129,-0.254,-2.088,10.934
2026-02-25T03:20:00+00:00,112.96,2.111,-0.258,-2.072,10.957
2026-02-25T03:25:00+00:00,112.588,2.093,-0.263,-2.054,10.951
2026-02-25T03:30:00+00:00,111.637,2.074,-0.268,-2.038,10.965
2026-02-25T03:35:00+00:00,112.934,2.056,-0.272,-2.02,10.95
2026-02-25T03:40:00+00:00,112.562,2.037,-0.276,-2.002,10.958
2026-02-25T03:45:00+00:00,111.979,2.018,-0.281,-1.986,10.979
2026-02-25T03:50:00+00:00,108.816,2.0,-0.286,-1.97,11.002
2026-02-25T03:55:00+00:00,106.792,1.982,-0.29,-1.964,11.016
2026-02-25T04:00:00+00:00,106.9,2.03,-0.296,-1.961,10.996
2026-02-25T04:05:00+00:00,109.254,2.077,-0.316,-1.969,10.997
2026-02-25T04:10:00+00:00,107.536,2.061,-0.332,-1.98,10.962
