ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,64.284,0.186,-1.202,11.154
2026-02-25T00:10:00+00:00,66.345,0.178,-1.24,11.133
2026-02-25T00:15:00+00:00,65.376,0.184,-1.223,11.164
2026-02-25T00:20:00+00:00,61.862,0.194,-1.15,11.162
2026-02-25T00:25:00+00:00,63.174,0.208,-1.174,11.163
2026-02-25T00:30:00+00:00,62.912,0.192,-1.17,11.177
2026-02-25T00:35:00+00:00,64.221,0.18,-1.196,11.146
2026-02-25T00:40:00+00:00,64.768,0.189,-1.214,11.168
2026-02-25T00:45:00+00:00,65.195,0.19,-1.218,11.167
2026-02-25T00:50:00+00:00,65.487,0.178,-1.227,11.182
2026-02-25T00:55:00+00:00,64.916,0.2,-1.216,11.201
2026-02-25T01:00:00+00:00,63.898,0.202,-1.196,11.207
2026-02-25T01:05:00+00:00,63.632,0.195,-1.192,11.176
2026-02-25T01:10:00+00:00,64.134,0.195,-1.201,11.176
2026-02-25T01:15:00+00:00,64.335,0.208,-1.208,11.192
2026-02-25T01:20:00+00:00,63.93,0.196,-1.2,11.2
2026-02-25T01:25:00+00:00,62.291,0.201,-1.17,11.223
2026-02-25T01:30:00+00:00,62.441,0.202,-1.172,11.238
2026-02-25T01:35:00+00:00,61.396,0.206,-1.158,11.234
2026-02-25T01:40:00+00:00,61.464,0.218,-1.156,11.238
2026-02-25T01:45:00+00:00,61.794,0.219,-1.162,11.255
2026-02-25T01:50:00+00:00,61.374,0.228,-1.155,11.284
2026-02-25T01:55:00+00:00,59.642,0.209,-1.127,11.295
2026-02-25T02:00:00+00:00,58.889,0.204,-1.112,11.294
2026-02-25T02:05:00+00:00,59.602,0.204,-1.121,11.278
2026-02-25T02:10:00+00:00,60.025,0.21,-1.132,11.29
2026-02-25T02:15:00+00:00,59.836,0.214,-1.128,11.319
2026-02-25T02:20:00+00:00,60.303,0.208,-1.141,11.32
2026-02-25T02:25:00+00:00,59.978,0.202,-1.136,11.332
2026-02-25T02:30:00+00:00,59.522,0.209,-1.125,11.324
2026-02-25T02:35:00+00:00,59.12,0.213,-1.106,11.272
2026-02-25T02:40:00+00:00,57.958,0.218,-1.089,11.282
2026-02-25T02:45:00+00:00,58.412,0.205,-1.098,11.303
2026-02-25T02:50:00+00:00,57.427,0.215,-1.082,11.35
2026-02-25T02:55:00+00:00,56.694,0.218,-1.07,11.357
2026-02-25T03:00:00+00:00,55.28,0.2,-1.047,11.36
2026-02-25T03:05:00+00:00,55.9,0.196,-1.048,11.327
2026-02-25T03:10:00+00:00,55.83,0.209,-1.048,11.318
2026-02-25T03:15:00+00:00,56.025,0.202,-1.056,11.331
2026-02-25T03:20:00+00:00,55.348,0.213,-1.044,11.34
2026-02-25T03:25:00+00:00,54.649,0.209,-1.03,11.344
2026-02-25T03:30:00+00:00,54.697,0.193,-1.037,11.348
2026-02-25T03:35:00+00:00,54.24,0.192,-1.026,11.336
2026-02-25T03:40:00+00:00,53.022,0.196,-0.997,11.334
2026-02-25T03:45:00+00:00,52.644,0.198,-0.996,11.366
2026-02-25T03:50:00+00:00,52.286,0.206,-0.983,11.306
2026-02-25T03:55:00+00:00,52.825,0.205,-0.991,11.276
2026-02-25T04:00:00+00:00,52.774,0.212,-0.986,11.255
2026-02-25T04:05:00+00:00,53.918,0.219,-1.009,11.24
2026-02-25T04:10:00+00:00,54.298,0.21,-1.02,11.247
2026-02-25T04:15:00+00:00,53.852,0.206,-1.011,11.243
2026-02-25T04:20:00+00:00,54.333,0.199,-1.022,11.228
2026-02-25T04:25:00+00:00,54.95,0.198,-1.034,11.226
2026-02-25T04:30:00+00:00,55.405,0.204,-1.04,11.224
2026-02-25T04:35:00+00:00,55.554,0.206,-1.041,11.226
2026-02-25T04:40:00+00:00,53.536,0.218,-1.002,11.23
2026-02-25T04:45:00+00:00,53.83,0.205,-1.015,11.247
2026-02-25T04:50:00+00:00,52.964,0.216,-0.993,11.25
2026-02-25T04:55:00+00:00,54.039,0.196,-1.014,11.241
2026-02-25T05:00:00+00:00,55.342,0.19,-1.042,11.247
2026-02-25T05:05:00+00:00,55.616,0.19,-1.047,11.233
2026-02-25T05:10:00+00:00,54.212,0.175,-1.024,11.214
2026-02-25T05:15:00+00:00,55.36,0.179,-1.042,11.208
2026-02-25T05:20:00+00:00,54.858,0.19,-1.03,11.213
2026-02-25T05:25:00+00:00,54.922,0.186,-1.029,11.206
2026-02-25T05:30:00+00:00,57.234,0.176,-1.079,11.214
2026-02-25T05:35:00+00:00,57.797,0.191,-1.088,11.213
2026-02-25T05:40:00+00:00,58.153,0.178,-1.095,11.202
2026-02-25T05:45:00+00:00,59.034,0.175,-1.107,11.17
2026-02-25T05:50:00+00:00,59.95,0.168,-1.122,11.144
2026-02-25T05:55:00+00:00,59.306,0.168,-1.113,11.145
2026-02-25T06:00:00+00:00,59.334,0.178,-1.111,11.137
2026-02-25T06:05:00+00:00,63.1,0.196,-1.174,11.1
2026-02-25T06:10:00+00:00,67.026,0.166,-1.258,11.12
