ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,311.79,1.214,-5.837,11.254
2026-02-26T00:10:00+00:00,323.859,1.225,-6.045,11.17
2026-02-26T00:15:00+00:00,331.637,1.244,-6.199,11.146
2026-02-26T00:20:00+00:00,331.082,1.248,-6.203,11.238
2026-02-26T00:25:00+00:00,330.54,1.231,-6.206,11.264
2026-02-26T00:30:00+00:00,328.082,1.224,-6.175,11.3
2026-02-26T00:35:00+00:00,334.474,1.21,-6.268,11.228
2026-02-26T00:40:00+00:00,337.547,1.226,-6.36,11.25
2026-02-26T00:45:00+00:00,339.84,1.25,-6.412,11.251
2026-02-26T00:50:00+00:00,341.554,1.246,-6.435,11.242
2026-02-26T00:55:00+00:00,338.446,1.252,-6.37,11.222
2026-02-26T01:00:00+00:00,334.501,1.282,-6.302,11.254
2026-02-26T01:05:00+00:00,335.66,1.298,-6.326,11.249
2026-02-26T01:10:00+00:00,337.743,1.264,-6.37,11.258
2026-02-26T01:15:00+00:00,337.008,1.244,-6.361,11.276
2026-02-26T01:20:00+00:00,335.085,1.238,-6.332,11.29
2026-02-26T01:25:00+00:00,334.532,1.235,-6.323,11.309
2026-02-26T01:30:00+00:00,332.994,1.259,-6.302,11.324
2026-02-26T01:35:00+00:00,330.422,1.249,-6.258,11.329
2026-02-26T01:40:00+00:00,328.7,1.245,-6.19,11.291
2026-02-26T01:45:00+00:00,327.785,1.262,-6.176,11.301
2026-02-26T01:50:00+00:00,325.048,1.271,-6.124,11.313
2026-02-26T01:55:00+00:00,324.074,1.269,-6.102,11.316
2026-02-26T02:00:00+00:00,322.206,1.265,-6.078,11.341
2026-02-26T02:05:00+00:00,323.212,1.262,-6.058,11.27
2026-02-26T02:10:00+00:00,324.128,1.242,-6.068,11.244
2026-02-26T02:15:00+00:00,322.693,1.266,-6.038,11.252
2026-02-26T02:20:00+00:00,322.554,1.271,-6.042,11.248
2026-02-26T02:25:00+00:00,319.164,1.28,-5.987,11.282
2026-02-26T02:30:00+00:00,320.072,1.261,-6.007,11.283
2026-02-26T02:35:00+00:00,318.182,1.276,-5.968,11.288
2026-02-26T02:40:00+00:00,318.748,1.289,-5.981,11.294
2026-02-26T02:45:00+00:00,317.664,1.273,-5.944,11.274
2026-02-26T02:50:00+00:00,316.918,1.257,-5.937,11.29
2026-02-26T02:55:00+00:00,316.107,1.268,-5.92,11.296
2026-02-26T03:00:00+00:00,314.881,1.253,-5.906,11.31
2026-02-26T03:05:00+00:00,312.703,1.253,-5.864,11.314
2026-02-26T03:10:00+00:00,311.74,1.268,-5.838,11.288
2026-02-26T03:15:00+00:00,312.362,1.267,-5.854,11.302
2026-02-26T03:20:00+00:00,312.602,1.242,-5.866,11.32
2026-02-26T03:25:00+00:00,310.808,1.271,-5.84,11.344
2026-02-26T03:30:00+00:00,308.39,1.268,-5.792,11.343
2026-02-26T03:35:00+00:00,311.1,1.26,-5.838,11.338
2026-02-26T03:40:00+00:00,311.269,1.278,-5.839,11.336
2026-02-26T03:45:00+00:00,308.587,1.285,-5.789,11.346
2026-02-26T03:50:00+00:00,308.764,1.28,-5.802,11.36
2026-02-26T03:55:00+00:00,305.836,1.28,-5.748,11.375
2026-02-26T04:00:00+00:00,305.148,1.281,-5.738,11.368
2026-02-26T04:05:00+00:00,305.346,1.261,-5.704,11.239
2026-02-26T04:10:00+00:00,308.17,1.238,-5.762,11.233
2026-02-26T04:15:00+00:00,307.605,1.24,-5.745,11.235
2026-02-26T04:20:00+00:00,308.252,1.244,-5.768,11.241
2026-02-26T04:25:00+00:00,305.89,1.225,-5.72,11.244
2026-02-26T04:30:00+00:00,306.052,1.252,-5.717,11.246
2026-02-26T04:35:00+00:00,308.0,1.255,-5.76,11.24
2026-02-26T04:40:00+00:00,307.408,1.222,-5.747,11.253
2026-02-26T04:45:00+00:00,306.09,1.217,-5.73,11.276
2026-02-26T04:50:00+00:00,307.26,1.212,-5.754,11.28
2026-02-26T04:55:00+00:00,304.225,1.225,-5.686,11.269
2026-02-26T05:00:00+00:00,303.392,1.244,-5.653,11.246
2026-02-26T05:05:00+00:00,302.574,1.247,-5.628,11.196
2026-02-26T05:10:00+00:00,302.618,1.256,-5.623,11.181
2026-02-26T05:15:00+00:00,302.59,1.259,-5.621,11.18
2026-02-26T05:20:00+00:00,305.152,1.259,-5.674,11.189
2026-02-26T05:25:00+00:00,304.614,1.298,-5.653,11.177
2026-02-26T05:30:00+00:00,304.618,1.275,-5.672,11.202
2026-02-26T05:35:00+00:00,301.183,1.274,-5.618,11.225
2026-02-26T05:40:00+00:00,302.27,1.265,-5.638,11.218
2026-02-26T05:45:00+00:00,302.583,1.272,-5.643,11.208
2026-02-26T05:50:00+00:00,304.944,1.289,-5.69,11.207
2026-02-26T05:55:00+00:00,303.338,1.284,-5.668,11.23
2026-02-26T06:00:00+00:00,303.388,1.266,-5.668,11.202
2026-02-26T06:05:00+00:00,305.404,1.26,-5.682,11.136
2026-02-26T06:10:00+00:00,308.854,1.247,-5.77,11.21
2026-02-26T06:15:00+00:00,311.998,1.253,-5.84,11.257
2026-02-26T06:20:00+00:00,315.144,1.27,-5.909,11.284
2026-02-26T06:25:00+00:00,315.231,1.284,-5.902,11.252
2026-02-26T06:30:00+00:00,318.598,1.281,-5.961,11.238
2026-02-26T06:35:00+00:00,319.36,1.279,-5.959,11.2
2026-02-26T06:40:00+00:00,322.338,1.267,-5.999,11.141
2026-02-26T06:45:00+00:00,325.946,1.2,-6.08,11.16
2026-02-26T06:50:00+00:00,329.322,1.248,-6.155,11.208
2026-02-26T06:55:00+00:00,333.003,1.261,-6.217,11.194
2026-02-26T07:00:00+00:00,333.66,1.248,-6.222,11.166
2026-02-26T07:05:00+00:00,335.4,1.24,-6.254,11.144
2026-02-26T07:10:00+00:00,340.979,1.193,-6.414,11.186
2026-02-26T07:15:00+00:00,340.556,1.2,-6.411,11.201
2026-02-26T07:20:00+00:00,340.352,1.192,-6.414,11.218
2026-02-26T07:25:00+00:00,343.02,1.203,-6.46,11.195
2026-02-26T07:30:00+00:00,343.631,1.245,-6.464,11.168
2026-02-26T07:35:00+00:00,346.435,1.18,-6.499,11.144
2026-02-26T07:40:00+00:00,346.588,1.22,-6.493,11.114
2026-02-26T07:45:00+00:00,346.9,1.166,-6.496,11.128
2026-02-26T07:50:00+00:00,347.523,1.162,-6.507,11.138
2026-02-26T07:55:00+00:00,351.86,1.186,-6.588,11.114
2026-02-26T08:00:00+00:00,347.18,1.188,-6.5,11.116
2026-02-26T08:05:00+00:00,351.425,1.203,-6.604,11.164
2026-02-26T08:10:00+00:00,353.894,1.188,-6.65,11.19
2026-02-26T08:15:00+00:00,349.98,1.164,-6.587,11.24
2026-02-26T08:20:00+00:00,345.332,1.166,-6.498,11.247
2026-02-26T08:25:00+00:00,344.647,1.14,-6.494,11.259
2026-02-26T08:30:00+00:00,342.971,1.104,-6.462,11.262
2026-02-26T08:35:00+00:00,342.654,1.139,-6.459,11.272
2026-02-26T08:40:00+00:00,342.554,1.144,-6.451,11.264
2026-02-26T08:45:00+00:00,346.284,1.157,-6.518,11.247
2026-02-26T08:50:00+00:00,350.914,1.154,-6.608,11.25
2026-02-26T08:55:00+00:00,350.722,1.15,-6.605,11.249
2026-02-26T09:00:00+00:00,351.892,1.137,-6.626,11.247
2026-02-26T09:05:00+00:00,351.739,1.136,-6.619,11.232
2026-02-26T09:10:00+00:00,351.564,1.132,-6.618,11.248
2026-02-26T09:15:00+00:00,347.048,1.121,-6.542,11.264
2026-02-26T09:20:00+00:00,346.346,1.15,-6.551,11.303
2026-02-26T09:25:00+00:00,341.989,1.146,-6.473,11.313
2026-02-26T09:30:00+00:00,338.283,1.111,-6.414,11.34
2026-02-26T09:35:00+00:00,352.357,1.116,-6.694,11.336
2026-02-26T09:40:00+00:00,356.15,1.137,-6.758,11.33
2026-02-26T09:45:00+00:00,357.986,1.148,-6.792,11.32
2026-02-26T09:50:00+00:00,355.598,1.17,-6.752,11.334
2026-02-26T09:55:00+00:00,348.384,1.171,-6.542,11.247
2026-02-26T10:00:00+00:00,345.79,1.158,-6.489,11.248
2026-02-26T10:05:00+00:00,350.414,1.19,-6.568,11.223
2026-02-26T10:10:00+00:00,352.744,1.168,-6.608,11.214
2026-02-26T10:15:00+00:00,353.96,1.138,-6.634,11.228
2026-02-26T10:20:00+00:00,359.049,1.145,-6.74,11.226
2026-02-26T10:25:00+00:00,361.862,1.163,-6.774,11.187
2026-02-26T10:30:00+00:00,366.826,1.163,-6.911,11.23
2026-02-26T10:35:00+00:00,361.96,1.173,-6.834,11.254
2026-02-26T10:40:00+00:00,356.772,1.153,-6.726,11.247
2026-02-26T10:45:00+00:00,356.822,1.182,-6.726,11.248
2026-02-26T10:50:00+00:00,357.774,1.182,-6.744,11.251
2026-02-26T10:55:00+00:00,356.21,1.212,-6.714,11.248
2026-02-26T11:00:00+00:00,359.072,1.191,-6.769,11.244
2026-02-26T11:05:00+00:00,362.183,1.179,-6.831,11.262
2026-02-26T11:10:00+00:00,362.335,1.166,-6.828,11.262
2026-02-26T11:15:00+00:00,361.106,1.174,-6.802,11.263
2026-02-26T11:20:00+00:00,359.241,1.182,-6.772,11.29
2026-02-26T11:25:00+00:00,353.752,1.182,-6.664,11.3
2026-02-26T11:30:00+00:00,352.842,1.176,-6.651,11.296
2026-02-26T11:35:00+00:00,354.362,1.172,-6.68,11.301
2026-02-26T11:40:00+00:00,355.306,1.182,-6.704,11.34
2026-02-26T11:45:00+00:00,358.754,1.197,-6.776,11.332
2026-02-26T11:50:00+00:00,359.464,1.191,-6.792,11.322
2026-02-26T11:55:00+00:00,361.646,1.202,-6.822,11.297
2026-02-26T12:00:00+00:00,359.714,1.204,-6.785,11.312
2026-02-26T12:05:00+00:00,355.802,1.195,-6.71,11.32
2026-02-26T12:10:00+00:00,355.799,1.176,-6.712,11.304
2026-02-26T12:15:00+00:00,355.571,1.183,-6.709,11.304
2026-02-26T12:20:00+00:00,358.438,1.206,-6.761,11.299
2026-02-26T12:25:00+00:00,357.238,1.214,-6.739,11.304
2026-02-26T12:30:00+00:00,356.658,1.222,-6.731,11.298
2026-02-26T12:35:00+00:00,356.039,1.202,-6.712,11.282
2026-02-26T12:40:00+00:00,358.639,1.178,-6.76,11.27
2026-02-26T12:45:00+00:00,363.082,1.195,-6.844,11.247
2026-02-26T12:50:00+00:00,367.023,1.156,-6.906,11.236
2026-02-26T12:55:00+00:00,371.708,1.155,-6.998,11.231
2026-02-26T13:00:00+00:00,368.351,1.179,-6.937,11.238
2026-02-26T13:05:00+00:00,363.612,1.211,-6.847,11.23
2026-02-26T13:10:00+00:00,364.45,1.195,-6.854,11.216
2026-02-26T13:15:00+00:00,363.739,1.188,-6.847,11.242
2026-02-26T13:20:00+00:00,366.189,1.223,-6.893,11.238
2026-02-26T13:25:00+00:00,362.927,1.22,-6.829,11.248
2026-02-26T13:30:00+00:00,364.224,1.215,-6.838,11.234
2026-02-26T13:35:00+00:00,361.93,1.226,-6.8,11.248
2026-02-26T13:40:00+00:00,366.685,1.237,-6.876,11.201
2026-02-26T13:45:00+00:00,368.056,1.248,-6.898,11.181
2026-02-26T13:50:00+00:00,366.964,1.211,-6.874,11.176
2026-02-26T13:55:00+00:00,368.193,1.234,-6.916,11.182
2026-02-26T14:00:00+00:00,367.726,1.226,-6.898,11.178
2026-02-26T14:05:00+00:00,369.972,1.21,-6.949,11.175
