ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,112.034,2.126,0.319,1.0,10.846
2026-02-25T00:10:00+00:00,117.68,2.222,0.308,1.068,10.802
2026-02-25T00:15:00+00:00,121.778,2.327,0.278,1.099,10.901
2026-02-25T00:20:00+00:00,123.388,2.38,0.248,1.107,10.928
2026-02-25T00:25:00+00:00,125.025,2.432,0.195,1.115,10.913
2026-02-25T00:30:00+00:00,126.748,2.488,0.119,1.124,10.895
2026-02-25T00:35:00+00:00,131.146,2.54,0.132,1.178,10.84
2026-02-25T00:40:00+00:00,136.522,2.564,0.144,1.207,10.814
2026-02-25T00:45:00+00:00,137.432,2.542,0.156,1.191,10.831
2026-02-25T00:50:00+00:00,135.794,2.508,0.168,1.175,10.837
2026-02-25T00:55:00+00:00,135.276,2.475,0.18,1.159,10.856
2026-02-25T01:00:00+00:00,132.234,2.458,0.193,1.156,10.847
2026-02-25T01:05:00+00:00,132.852,2.466,0.205,1.174,10.83
2026-02-25T01:10:00+00:00,132.918,2.447,0.218,1.16,10.833
2026-02-25T01:15:00+00:00,132.138,2.427,0.23,1.148,10.852
2026-02-25T01:20:00+00:00,132.726,2.407,0.242,1.134,10.857
2026-02-25T01:25:00+00:00,129.326,2.392,0.254,1.126,10.872
2026-02-25T01:30:00+00:00,129.019,2.415,0.266,1.148,10.871
2026-02-25T01:35:00+00:00,129.782,2.42,0.279,1.144,10.869
2026-02-25T01:40:00+00:00,129.137,2.423,0.291,1.138,10.89
2026-02-25T01:45:00+00:00,128.831,2.426,0.304,1.134,10.904
2026-02-25T01:50:00+00:00,127.125,2.43,0.316,1.129,10.929
2026-02-25T01:55:00+00:00,127.206,2.433,0.328,1.124,10.894
2026-02-25T02:00:00+00:00,126.035,2.444,0.34,1.12,10.856
2026-02-25T02:05:00+00:00,129.042,2.45,0.347,1.114,10.85
2026-02-25T02:10:00+00:00,127.643,2.4,0.275,1.11,10.908
2026-02-25T02:15:00+00:00,123.293,2.364,0.177,1.099,10.922
2026-02-25T02:20:00+00:00,123.23,2.308,0.154,1.058,10.811
2026-02-25T02:25:00+00:00,122.464,2.296,0.189,1.088,10.819
2026-02-25T02:30:00+00:00,121.706,2.284,0.223,1.055,10.828
2026-02-25T02:35:00+00:00,119.757,2.272,0.257,1.041,10.811
2026-02-25T02:40:00+00:00,120.504,2.26,0.292,1.033,10.822
2026-02-25T02:45:00+00:00,119.61,2.249,0.326,1.026,10.842
2026-02-25T02:50:00+00:00,117.941,2.215,0.357,1.017,10.832
