ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,157.473,3.062,-0.562,-0.123,10.939
2026-02-25T00:10:00+00:00,176.406,3.408,-0.562,-0.115,10.941
2026-02-25T00:15:00+00:00,189.538,3.622,-0.562,-0.034,11.034
2026-02-25T00:20:00+00:00,188.877,3.712,-0.561,-0.016,11.062
2026-02-25T00:25:00+00:00,188.214,3.777,-0.562,-0.023,11.065
2026-02-25T00:30:00+00:00,188.238,3.842,-0.561,-0.029,11.072
2026-02-25T00:35:00+00:00,199.846,3.923,-0.561,-0.053,11.015
2026-02-25T00:40:00+00:00,208.968,4.002,-0.56,-0.118,10.971
2026-02-25T00:45:00+00:00,211.892,4.005,-0.56,-0.142,10.985
2026-02-25T00:50:00+00:00,212.89,3.992,-0.56,-0.147,11.004
2026-02-25T00:55:00+00:00,211.541,3.978,-0.56,-0.153,11.02
2026-02-25T01:00:00+00:00,209.646,3.963,-0.56,-0.158,11.026
2026-02-25T01:05:00+00:00,211.389,3.95,-0.56,-0.164,10.997
2026-02-25T01:10:00+00:00,211.949,3.935,-0.559,-0.17,11.012
2026-02-25T01:15:00+00:00,209.782,3.922,-0.559,-0.175,11.028
2026-02-25T01:20:00+00:00,206.178,3.907,-0.559,-0.181,11.042
2026-02-25T01:25:00+00:00,204.799,3.893,-0.558,-0.186,11.048
2026-02-25T01:30:00+00:00,205.15,3.88,-0.558,-0.192,11.048
2026-02-25T01:35:00+00:00,203.217,3.864,-0.558,-0.198,11.044
2026-02-25T01:40:00+00:00,200.233,3.814,-0.558,-0.165,11.073
2026-02-25T01:45:00+00:00,197.985,3.744,-0.558,-0.109,11.093
2026-02-25T01:50:00+00:00,195.652,3.698,-0.558,-0.079,11.086
2026-02-25T01:55:00+00:00,196.9,3.681,-0.558,-0.078,11.026
2026-02-25T02:00:00+00:00,194.217,3.664,-0.557,-0.078,11.027
2026-02-25T02:05:00+00:00,197.858,3.646,-0.557,-0.077,11.004
2026-02-25T02:10:00+00:00,198.369,3.629,-0.556,-0.077,11.017
2026-02-25T02:15:00+00:00,197.328,3.612,-0.556,-0.077,11.044
2026-02-25T02:20:00+00:00,196.714,3.595,-0.556,-0.076,11.046
2026-02-25T02:25:00+00:00,196.105,3.578,-0.556,-0.076,11.058
2026-02-25T02:30:00+00:00,193.419,3.561,-0.556,-0.077,11.066
2026-02-25T02:35:00+00:00,192.227,3.544,-0.556,-0.076,11.063
2026-02-25T02:40:00+00:00,193.267,3.527,-0.556,-0.076,11.067
2026-02-25T02:45:00+00:00,193.328,3.51,-0.556,-0.075,11.082
2026-02-25T02:50:00+00:00,189.966,3.493,-0.556,-0.075,11.064
2026-02-25T02:55:00+00:00,188.59,3.476,-0.558,-0.075,11.009
2026-02-25T03:00:00+00:00,187.651,3.458,-0.562,-0.074,11.019
2026-02-25T03:05:00+00:00,185.308,3.441,-0.564,-0.074,10.988
2026-02-25T03:10:00+00:00,183.18,3.423,-0.568,-0.064,10.982
2026-02-25T03:15:00+00:00,180.678,3.401,-0.57,-0.043,10.996
2026-02-25T03:20:00+00:00,180.022,3.368,-0.574,-0.022,11.008
2026-02-25T03:25:00+00:00,178.064,3.335,-0.577,-0.002,11.014
2026-02-25T03:30:00+00:00,175.37,3.3,-0.58,0.002,11.028
2026-02-25T03:35:00+00:00,175.716,3.266,-0.582,-0.014,11.006
2026-02-25T03:40:00+00:00,170.396,3.232,-0.586,-0.03,11.03
2026-02-25T03:45:00+00:00,167.202,3.194,-0.588,-0.064,11.047
2026-02-25T03:50:00+00:00,166.492,3.159,-0.592,-0.107,11.061
2026-02-25T03:55:00+00:00,164.26,3.125,-0.595,-0.149,11.084
2026-02-25T04:00:00+00:00,163.674,3.113,-0.598,-0.171,11.106
2026-02-25T04:05:00+00:00,165.704,3.122,-0.599,-0.172,11.003
2026-02-25T04:10:00+00:00,164.836,3.131,-0.598,-0.172,10.978
2026-02-25T04:15:00+00:00,165.42,3.14,-0.596,-0.173,10.968
2026-02-25T04:20:00+00:00,163.826,3.149,-0.594,-0.174,10.98
2026-02-25T04:25:00+00:00,160.711,3.158,-0.593,-0.175,10.988
2026-02-25T04:30:00+00:00,160.238,3.168,-0.591,-0.177,10.988
2026-02-25T04:35:00+00:00,161.829,3.176,-0.59,-0.178,10.984
2026-02-25T04:40:00+00:00,160.964,3.186,-0.588,-0.179,10.994
2026-02-25T04:45:00+00:00,160.158,3.194,-0.586,-0.18,10.993
