ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,158.032,0.174,2.778,11.046
2026-02-25T00:10:00+00:00,160.903,0.251,2.867,11.028
2026-02-25T00:15:00+00:00,165.863,0.194,2.919,11.071
2026-02-25T00:20:00+00:00,165.213,0.163,2.915,11.076
2026-02-25T00:25:00+00:00,170.409,0.205,3.021,11.071
2026-02-25T00:30:00+00:00,167.348,0.194,2.955,11.083
2026-02-25T00:35:00+00:00,198.333,0.147,3.606,11.055
2026-02-25T00:40:00+00:00,216.342,0.105,3.994,11.053
2026-02-25T00:45:00+00:00,209.51,0.051,3.868,11.07
2026-02-25T00:50:00+00:00,217.436,0.1,4.021,11.065
2026-02-25T00:55:00+00:00,217.352,0.121,4.025,11.078
2026-02-25T01:00:00+00:00,175.598,0.151,3.143,11.097
2026-02-25T01:05:00+00:00,174.567,0.16,3.109,11.069
2026-02-25T01:10:00+00:00,176.823,0.15,3.165,11.072
2026-02-25T01:15:00+00:00,174.073,0.158,3.112,11.086
2026-02-25T01:20:00+00:00,175.585,0.211,3.138,11.079
2026-02-25T01:25:00+00:00,173.205,0.254,3.081,11.089
2026-02-25T01:30:00+00:00,174.98,0.25,3.125,11.098
2026-02-25T01:35:00+00:00,171.297,0.201,3.061,11.103
2026-02-25T01:40:00+00:00,163.177,0.134,2.887,11.122
2026-02-25T01:45:00+00:00,165.302,0.153,2.936,11.13
2026-02-25T01:50:00+00:00,171.11,0.164,3.072,11.148
2026-02-25T01:55:00+00:00,174.464,0.198,3.148,11.153
2026-02-25T02:00:00+00:00,172.851,0.205,3.114,11.15
2026-02-25T02:05:00+00:00,170.33,0.189,3.061,11.141
2026-02-25T02:10:00+00:00,165.023,0.156,2.951,11.157
2026-02-25T02:15:00+00:00,164.758,0.183,2.935,11.175
2026-02-25T02:20:00+00:00,164.026,0.172,2.935,11.187
2026-02-25T02:25:00+00:00,167.86,0.215,3.014,11.19
2026-02-25T02:30:00+00:00,167.786,0.233,3.011,11.185
2026-02-25T02:35:00+00:00,167.233,0.202,2.998,11.171
2026-02-25T02:40:00+00:00,164.427,0.209,2.93,11.178
2026-02-25T02:45:00+00:00,166.854,0.232,2.993,11.184
2026-02-25T02:50:00+00:00,161.247,0.206,2.876,11.228
2026-02-25T02:55:00+00:00,158.931,0.137,2.833,11.248
2026-02-25T03:00:00+00:00,156.161,0.15,2.771,11.25
2026-02-25T03:05:00+00:00,145.976,0.117,2.541,11.21
2026-02-25T03:10:00+00:00,142.051,0.138,2.452,11.203
2026-02-25T03:15:00+00:00,147.734,0.116,2.592,11.209
2026-02-25T03:20:00+00:00,153.664,0.151,2.728,11.213
2026-02-25T03:25:00+00:00,153.769,0.207,2.713,11.205
2026-02-25T03:30:00+00:00,146.003,0.16,2.543,11.223
2026-02-25T03:35:00+00:00,143.704,0.161,2.491,11.209
2026-02-25T03:40:00+00:00,147.662,0.132,2.588,11.199
2026-02-25T03:45:00+00:00,145.415,0.148,2.543,11.218
2026-02-25T03:50:00+00:00,144.864,0.203,2.524,11.212
2026-02-25T03:55:00+00:00,145.574,0.178,2.538,11.229
2026-02-25T04:00:00+00:00,141.684,0.14,2.47,11.25
2026-02-25T04:05:00+00:00,138.116,0.109,2.417,11.271
2026-02-25T04:10:00+00:00,128.425,-0.017,2.303,11.232
2026-02-25T04:15:00+00:00,139.796,0.036,2.45,11.197
2026-02-25T04:20:00+00:00,149.141,0.156,2.63,11.169
2026-02-25T04:25:00+00:00,147.24,0.159,2.588,11.166
2026-02-25T04:30:00+00:00,147.499,0.189,2.587,11.159
2026-02-25T04:35:00+00:00,145.737,0.147,2.557,11.168
2026-02-25T04:40:00+00:00,141.388,0.106,2.475,11.178
2026-02-25T04:45:00+00:00,140.55,0.078,2.455,11.196
2026-02-25T04:50:00+00:00,140.981,0.118,2.445,11.188
2026-02-25T04:55:00+00:00,145.846,0.144,2.556,11.181
2026-02-25T05:00:00+00:00,139.291,0.136,2.418,11.187
2026-02-25T05:05:00+00:00,141.56,0.159,2.473,11.17
2026-02-25T05:10:00+00:00,146.033,0.191,2.557,11.147
2026-02-25T05:15:00+00:00,147.678,0.194,2.591,11.138
2026-02-25T05:20:00+00:00,149.502,0.189,2.632,11.142
2026-02-25T05:25:00+00:00,154.076,0.21,2.734,11.127
2026-02-25T05:30:00+00:00,159.156,0.184,2.841,11.129
2026-02-25T05:35:00+00:00,156.793,0.205,2.793,11.134
2026-02-25T05:40:00+00:00,152.526,0.176,2.701,11.138
2026-02-25T05:45:00+00:00,151.9,0.175,2.679,11.117
