ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,60.948,0.027,1.137,10.802
2026-02-25T00:10:00+00:00,71.902,-0.045,1.34,10.813
2026-02-25T00:15:00+00:00,73.741,-0.063,1.372,10.816
2026-02-25T00:20:00+00:00,74.928,-0.091,1.393,10.828
2026-02-25T00:25:00+00:00,74.965,-0.079,1.392,10.806
2026-02-25T00:30:00+00:00,74.828,-0.081,1.392,10.813
2026-02-25T00:35:00+00:00,77.318,-0.104,1.439,10.829
2026-02-25T00:40:00+00:00,81.687,-0.118,1.526,10.898
2026-02-25T00:45:00+00:00,87.032,-0.128,1.628,10.927
2026-02-25T00:50:00+00:00,87.892,-0.142,1.647,10.945
2026-02-25T00:55:00+00:00,87.352,-0.133,1.637,10.97
2026-02-25T01:00:00+00:00,86.907,-0.138,1.632,10.99
2026-02-25T01:05:00+00:00,87.986,-0.161,1.646,10.957
2026-02-25T01:10:00+00:00,87.879,-0.188,1.639,10.974
2026-02-25T01:15:00+00:00,88.613,-0.18,1.658,10.987
2026-02-25T01:20:00+00:00,87.347,-0.167,1.638,11.005
2026-02-25T01:25:00+00:00,87.23,-0.121,1.646,11.006
2026-02-25T01:30:00+00:00,84.887,-0.13,1.602,11.019
2026-02-25T01:35:00+00:00,82.568,-0.1,1.556,11.005
2026-02-25T01:40:00+00:00,81.887,-0.116,1.546,11.024
2026-02-25T01:45:00+00:00,81.163,-0.104,1.537,11.04
2026-02-25T01:50:00+00:00,79.838,-0.09,1.518,11.064
2026-02-25T01:55:00+00:00,80.685,-0.077,1.54,11.08
2026-02-25T02:00:00+00:00,79.323,-0.072,1.495,10.963
2026-02-25T02:05:00+00:00,80.868,-0.087,1.508,10.868
2026-02-25T02:10:00+00:00,81.203,-0.076,1.518,10.875
2026-02-25T02:15:00+00:00,81.145,-0.067,1.522,10.897
2026-02-25T02:20:00+00:00,82.132,-0.077,1.541,10.912
2026-02-25T02:25:00+00:00,79.992,-0.075,1.505,10.933
2026-02-25T02:30:00+00:00,81.427,-0.079,1.533,10.949
2026-02-25T02:35:00+00:00,80.312,-0.077,1.508,10.932
2026-02-25T02:40:00+00:00,78.956,-0.084,1.482,10.936
2026-02-25T02:45:00+00:00,78.957,-0.077,1.485,10.957
2026-02-25T02:50:00+00:00,77.67,-0.079,1.47,11.006
2026-02-25T02:55:00+00:00,76.421,-0.064,1.45,11.008
2026-02-25T03:00:00+00:00,75.512,-0.067,1.432,11.027
2026-02-25T03:05:00+00:00,76.92,-0.076,1.457,11.003
2026-02-25T03:10:00+00:00,76.883,-0.088,1.454,11.004
2026-02-25T03:15:00+00:00,77.943,-0.112,1.472,11.017
2026-02-25T03:20:00+00:00,76.06,-0.121,1.437,11.028
2026-02-25T03:25:00+00:00,76.032,-0.093,1.44,11.029
2026-02-25T03:30:00+00:00,73.758,-0.099,1.399,11.045
2026-02-25T03:35:00+00:00,73.077,-0.091,1.385,11.036
2026-02-25T03:40:00+00:00,71.742,-0.083,1.358,11.035
2026-02-25T03:45:00+00:00,69.078,-0.07,1.315,11.065
2026-02-25T03:50:00+00:00,67.235,-0.059,1.283,11.076
2026-02-25T03:55:00+00:00,65.987,-0.063,1.255,11.015
2026-02-25T04:00:00+00:00,64.925,-0.059,1.227,10.988
2026-02-25T04:05:00+00:00,66.772,-0.046,1.261,10.95
2026-02-25T04:10:00+00:00,65.538,-0.051,1.242,10.973
2026-02-25T04:15:00+00:00,65.902,-0.057,1.246,10.975
2026-02-25T04:20:00+00:00,66.117,-0.063,1.25,10.96
2026-02-25T04:25:00+00:00,66.012,-0.073,1.248,10.97
2026-02-25T04:30:00+00:00,63.53,-0.074,1.198,10.982
2026-02-25T04:35:00+00:00,63.12,-0.055,1.193,10.98
2026-02-25T04:40:00+00:00,62.577,-0.04,1.185,10.975
2026-02-25T04:45:00+00:00,63.842,-0.051,1.21,11.001
2026-02-25T04:50:00+00:00,64.514,-0.061,1.223,11.007
2026-02-25T04:55:00+00:00,62.088,-0.067,1.174,11.002
2026-02-25T05:00:00+00:00,59.633,-0.061,1.13,11.004
2026-02-25T05:05:00+00:00,61.901,-0.061,1.169,10.976
2026-02-25T05:10:00+00:00,61.145,-0.026,1.154,10.949
2026-02-25T05:15:00+00:00,61.888,-0.028,1.168,10.962
2026-02-25T05:20:00+00:00,59.554,-0.022,1.127,10.962
2026-02-25T05:25:00+00:00,60.353,-0.044,1.14,10.949
2026-02-25T05:30:00+00:00,59.535,-0.042,1.126,10.964
2026-02-25T05:35:00+00:00,60.675,-0.025,1.148,10.961
2026-02-25T05:40:00+00:00,59.415,-0.03,1.125,10.958
2026-02-25T05:45:00+00:00,60.91,-0.043,1.147,10.927
2026-02-25T05:50:00+00:00,60.082,-0.032,1.129,10.9
2026-02-25T05:55:00+00:00,62.177,-0.043,1.169,10.905
2026-02-25T06:00:00+00:00,62.629,-0.056,1.173,10.892
2026-02-25T06:05:00+00:00,68.214,-0.021,1.272,10.801
2026-02-25T06:10:00+00:00,67.235,-0.041,1.252,10.787
2026-02-25T06:15:00+00:00,67.658,-0.044,1.263,10.839
2026-02-25T06:20:00+00:00,66.66,-0.051,1.244,10.828
2026-02-25T06:25:00+00:00,66.288,-0.06,1.235,10.805
2026-02-25T06:30:00+00:00,64.648,-0.057,1.203,10.79
2026-02-25T06:35:00+00:00,65.836,-0.075,1.226,10.816
2026-02-25T06:40:00+00:00,68.237,-0.109,1.274,10.901
2026-02-25T06:45:00+00:00,72.317,-0.12,1.353,10.942
2026-02-25T06:50:00+00:00,69.852,-0.147,1.305,10.97
2026-02-25T06:55:00+00:00,69.372,-0.153,1.3,10.984
2026-02-25T07:00:00+00:00,70.449,-0.128,1.328,11.04
2026-02-25T07:05:00+00:00,71.248,-0.115,1.342,10.993
2026-02-25T07:10:00+00:00,74.196,-0.14,1.384,10.904
2026-02-25T07:15:00+00:00,74.805,-0.168,1.388,10.896
2026-02-25T07:20:00+00:00,78.692,-0.168,1.462,10.901
2026-02-25T07:25:00+00:00,74.325,-0.141,1.381,10.896
2026-02-25T07:30:00+00:00,74.13,-0.144,1.379,10.9
2026-02-25T07:35:00+00:00,72.465,-0.143,1.347,10.888
2026-02-25T07:40:00+00:00,69.28,-0.134,1.286,10.879
2026-02-25T07:45:00+00:00,70.173,-0.129,1.307,10.888
2026-02-25T07:50:00+00:00,72.082,-0.111,1.342,10.861
2026-02-25T07:55:00+00:00,69.672,-0.123,1.293,10.843
2026-02-25T08:00:00+00:00,71.248,-0.1,1.326,10.836
2026-02-25T08:05:00+00:00,70.442,-0.125,1.312,10.871
2026-02-25T08:10:00+00:00,69.468,-0.127,1.297,10.903
2026-02-25T08:15:00+00:00,67.075,-0.131,1.25,10.909
2026-02-25T08:20:00+00:00,69.093,-0.16,1.287,10.937
2026-02-25T08:25:00+00:00,68.714,-0.142,1.284,10.935
2026-02-25T08:30:00+00:00,71.013,-0.127,1.334,10.961
2026-02-25T08:35:00+00:00,70.653,-0.124,1.323,10.946
2026-02-25T08:40:00+00:00,69.658,-0.118,1.305,10.942
2026-02-25T08:45:00+00:00,69.962,-0.109,1.315,10.947
2026-02-25T08:50:00+00:00,69.207,-0.096,1.3,10.931
2026-02-25T08:55:00+00:00,65.888,-0.075,1.238,10.919
2026-02-25T09:00:00+00:00,64.627,-0.102,1.21,10.918
2026-02-25T09:05:00+00:00,63.665,-0.095,1.19,10.902
2026-02-25T09:10:00+00:00,63.375,-0.103,1.184,10.914
2026-02-25T09:15:00+00:00,63.313,-0.105,1.183,10.901
2026-02-25T09:20:00+00:00,65.993,-0.108,1.232,10.894
2026-02-25T09:25:00+00:00,65.412,-0.11,1.223,10.907
2026-02-25T09:30:00+00:00,67.457,-0.081,1.268,10.932
2026-02-25T09:35:00+00:00,63.476,-0.08,1.193,10.933
2026-02-25T09:40:00+00:00,60.14,-0.07,1.133,10.945
2026-02-25T09:45:00+00:00,60.712,-0.075,1.144,10.97
2026-02-25T09:50:00+00:00,62.568,-0.062,1.18,10.985
2026-02-25T09:55:00+00:00,59.79,-0.068,1.129,11.003
2026-02-25T10:00:00+00:00,63.052,-0.087,1.191,11.004
2026-02-25T10:05:00+00:00,63.725,-0.082,1.202,10.983
2026-02-25T10:10:00+00:00,63.613,-0.107,1.199,11.005
2026-02-25T10:15:00+00:00,60.944,-0.087,1.151,11.012
2026-02-25T10:20:00+00:00,62.728,-0.073,1.188,11.02
2026-02-25T10:25:00+00:00,62.333,-0.061,1.181,11.008
2026-02-25T10:30:00+00:00,63.915,-0.077,1.212,11.043
2026-02-25T10:35:00+00:00,61.174,-0.067,1.158,11.004
2026-02-25T10:40:00+00:00,60.798,-0.055,1.148,10.983
2026-02-25T10:45:00+00:00,59.052,-0.07,1.117,10.977
2026-02-25T10:50:00+00:00,57.878,-0.062,1.096,10.996
2026-02-25T10:55:00+00:00,59.245,-0.076,1.125,11.046
2026-02-25T11:00:00+00:00,59.067,-0.076,1.122,11.036
2026-02-25T11:05:00+00:00,58.22,-0.1,1.096,11.007
2026-02-25T11:10:00+00:00,58.003,-0.102,1.092,10.999
2026-02-25T11:15:00+00:00,58.598,-0.08,1.104,10.982
2026-02-25T11:20:00+00:00,59.457,-0.06,1.123,10.984
2026-02-25T11:25:00+00:00,57.135,-0.051,1.082,10.996
2026-02-25T11:30:00+00:00,56.27,-0.05,1.064,10.996
2026-02-25T11:35:00+00:00,56.277,-0.058,1.063,10.989
2026-02-25T11:40:00+00:00,54.422,-0.021,1.029,10.992
2026-02-25T11:45:00+00:00,54.752,-0.078,1.032,10.995
2026-02-25T11:50:00+00:00,57.727,-0.079,1.088,10.984
2026-02-25T11:55:00+00:00,55.898,-0.076,1.054,10.972
2026-02-25T12:00:00+00:00,56.44,-0.082,1.064,10.979
2026-02-25T12:05:00+00:00,58.78,-0.079,1.11,10.971
