ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,44.555,0.916,0.0,0.0,11.004
2026-02-25T00:10:00+00:00,47.305,0.93,0.0,0.0,11.078
2026-02-25T00:15:00+00:00,48.124,0.935,0.0,0.0,11.094
2026-02-25T00:20:00+00:00,47.915,0.925,0.0,0.0,11.084
2026-02-25T00:25:00+00:00,48.051,0.942,0.0,0.0,11.088
2026-02-25T00:30:00+00:00,47.733,0.958,0.0,0.0,11.104
2026-02-25T00:35:00+00:00,49.785,0.976,0.0,0.0,11.054
2026-02-25T00:40:00+00:00,52.918,1.02,0.0,0.0,11.034
2026-02-25T00:45:00+00:00,54.871,1.03,0.0,0.0,11.045
2026-02-25T00:50:00+00:00,54.819,1.02,0.0,0.0,11.066
2026-02-25T00:55:00+00:00,53.744,1.01,0.0,0.0,11.086
2026-02-25T01:00:00+00:00,53.04,1.001,0.0,0.0,11.082
2026-02-25T01:05:00+00:00,53.832,0.992,0.0,0.0,11.063
2026-02-25T01:10:00+00:00,53.138,0.982,0.0,0.0,11.068
2026-02-25T01:15:00+00:00,51.6,0.974,0.0,0.0,11.084
2026-02-25T01:20:00+00:00,52.194,0.97,0.0,0.0,11.086
2026-02-25T01:25:00+00:00,51.357,0.967,0.0,0.0,11.103
2026-02-25T01:30:00+00:00,51.469,0.964,0.0,0.0,11.056
2026-02-25T01:35:00+00:00,50.644,0.96,0.0,0.0,11.005
2026-02-25T01:40:00+00:00,50.725,0.956,0.0,0.0,11.021
2026-02-25T01:45:00+00:00,50.878,0.954,0.0,0.0,10.96
2026-02-25T01:50:00+00:00,48.916,0.95,0.0,0.0,10.974
2026-02-25T01:55:00+00:00,49.25,0.947,0.0,0.0,10.986
2026-02-25T02:00:00+00:00,49.846,0.944,0.0,0.0,10.972
2026-02-25T02:05:00+00:00,51.838,0.94,0.0,0.0,10.964
2026-02-25T02:10:00+00:00,51.616,0.937,0.0,0.0,10.977
2026-02-25T02:15:00+00:00,50.761,0.934,0.0,0.0,11.008
2026-02-25T02:20:00+00:00,50.994,0.93,0.0,0.0,11.006
2026-02-25T02:25:00+00:00,51.187,0.927,0.0,0.0,11.022
2026-02-25T02:30:00+00:00,50.404,0.924,0.0,0.0,11.036
2026-02-25T02:35:00+00:00,50.368,0.92,0.0,0.0,11.024
2026-02-25T02:40:00+00:00,49.52,0.917,0.0,0.0,11.038
2026-02-25T02:45:00+00:00,49.284,0.914,0.0,0.0,11.054
2026-02-25T02:50:00+00:00,49.347,0.91,0.0,0.0,11.047
2026-02-25T02:55:00+00:00,48.62,0.907,0.0,0.0,10.991
2026-02-25T03:00:00+00:00,48.18,0.902,0.0,0.0,11.004
2026-02-25T03:05:00+00:00,48.17,0.889,0.0,0.0,10.963
2026-02-25T03:10:00+00:00,47.29,0.872,0.0,0.0,10.949
2026-02-25T03:15:00+00:00,46.421,0.855,0.0,0.0,10.965
2026-02-25T03:20:00+00:00,45.401,0.84,0.0,0.0,10.978
2026-02-25T03:25:00+00:00,45.196,0.832,0.0,0.0,10.977
2026-02-25T03:30:00+00:00,44.166,0.827,0.0,0.0,10.988
2026-02-25T03:35:00+00:00,44.584,0.821,0.0,0.0,10.968
2026-02-25T03:40:00+00:00,44.786,0.815,0.0,0.0,10.975
2026-02-25T03:45:00+00:00,43.978,0.809,0.0,0.0,11.003
2026-02-25T03:50:00+00:00,43.228,0.804,0.0,0.0,11.008
