ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,150.253,0.208,-1.233,10.762
2026-02-25T00:10:00+00:00,156.173,0.205,-1.372,10.834
2026-02-25T00:15:00+00:00,155.954,0.2,-1.422,10.98
2026-02-25T00:20:00+00:00,154.161,0.189,-1.425,10.984
2026-02-25T00:25:00+00:00,156.433,0.185,-1.478,10.987
2026-02-25T00:30:00+00:00,157.187,0.183,-1.485,11.003
2026-02-25T00:35:00+00:00,161.286,0.184,-1.543,10.957
2026-02-25T00:40:00+00:00,164.419,0.176,-1.62,10.934
2026-02-25T00:45:00+00:00,167.729,0.176,-1.677,10.942
2026-02-25T00:50:00+00:00,166.352,0.166,-1.637,10.955
2026-02-25T00:55:00+00:00,163.301,0.172,-1.598,10.971
2026-02-25T01:00:00+00:00,160.97,0.173,-1.578,10.977
2026-02-25T01:05:00+00:00,162.724,0.173,-1.564,10.95
2026-02-25T01:10:00+00:00,162.318,0.174,-1.561,10.955
2026-02-25T01:15:00+00:00,159.184,0.176,-1.536,10.969
2026-02-25T01:20:00+00:00,158.196,0.208,-1.508,10.973
2026-02-25T01:25:00+00:00,157.591,0.198,-1.486,10.987
2026-02-25T01:30:00+00:00,153.509,0.196,-1.47,11.003
2026-02-25T01:35:00+00:00,149.554,0.202,-1.422,11.002
2026-02-25T01:40:00+00:00,149.298,0.203,-1.394,11.012
2026-02-25T01:45:00+00:00,148.156,0.203,-1.383,11.026
2026-02-25T01:50:00+00:00,147.422,0.205,-1.363,11.05
2026-02-25T01:55:00+00:00,147.264,0.208,-1.328,10.982
2026-02-25T02:00:00+00:00,144.448,0.21,-1.327,10.936
2026-02-25T02:05:00+00:00,144.149,0.212,-1.308,10.915
2026-02-25T02:10:00+00:00,144.93,0.205,-1.293,10.931
2026-02-25T02:15:00+00:00,144.38,0.208,-1.299,10.961
2026-02-25T02:20:00+00:00,142.152,0.203,-1.268,10.97
2026-02-25T02:25:00+00:00,142.9,0.209,-1.257,10.984
2026-02-25T02:30:00+00:00,142.234,0.204,-1.248,10.993
2026-02-25T02:35:00+00:00,141.155,0.199,-1.232,10.98
2026-02-25T02:40:00+00:00,139.609,0.193,-1.234,10.988
2026-02-25T02:45:00+00:00,142.175,0.188,-1.218,10.993
2026-02-25T02:50:00+00:00,141.459,0.195,-1.188,10.866
2026-02-25T02:55:00+00:00,140.053,0.195,-1.162,10.858
2026-02-25T03:00:00+00:00,135.466,0.195,-1.139,10.862
2026-02-25T03:05:00+00:00,138.916,0.199,-1.17,10.829
2026-02-25T03:10:00+00:00,138.348,0.201,-1.152,10.814
2026-02-25T03:15:00+00:00,136.685,0.199,-1.138,10.83
2026-02-25T03:20:00+00:00,136.381,0.198,-1.14,10.84
2026-02-25T03:25:00+00:00,135.184,0.199,-1.122,10.843
2026-02-25T03:30:00+00:00,134.694,0.199,-1.092,10.847
2026-02-25T03:35:00+00:00,133.727,0.199,-1.112,10.838
2026-02-25T03:40:00+00:00,134.322,0.193,-1.107,10.836
2026-02-25T03:45:00+00:00,132.984,0.183,-1.07,10.86
2026-02-25T03:50:00+00:00,132.28,0.178,-1.054,10.871
