ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,160.047,0.158,2.923,7.233
2026-02-25T00:10:00+00:00,159.594,0.309,2.915,7.247
2026-02-25T00:15:00+00:00,157.289,0.24,2.877,7.249
2026-02-25T00:20:00+00:00,161.055,0.334,2.938,7.243
2026-02-25T00:25:00+00:00,161.572,0.213,2.959,7.261
2026-02-25T00:30:00+00:00,156.492,-0.028,2.892,7.279
2026-02-25T00:35:00+00:00,157.108,0.114,2.895,7.279
2026-02-25T00:40:00+00:00,166.675,0.329,3.043,7.257
2026-02-25T00:45:00+00:00,164.137,-0.027,3.028,7.268
2026-02-25T00:50:00+00:00,164.133,0.149,3.017,7.274
2026-02-25T00:55:00+00:00,161.864,-0.144,3.004,7.295
2026-02-25T01:00:00+00:00,160.108,-0.166,2.972,7.298
2026-02-25T01:05:00+00:00,161.954,-0.168,3.003,7.28
2026-02-25T01:10:00+00:00,160.885,-0.147,2.981,7.282
2026-02-25T01:15:00+00:00,163.14,-0.107,3.023,7.281
2026-02-25T01:20:00+00:00,164.705,-0.094,3.047,7.28
2026-02-25T01:25:00+00:00,165.463,0.12,3.047,7.288
2026-02-25T01:30:00+00:00,156.857,-0.125,2.91,7.306
2026-02-25T01:35:00+00:00,154.477,-0.144,2.873,7.307
2026-02-25T01:40:00+00:00,151.999,0.023,2.816,7.305
2026-02-25T01:45:00+00:00,153.352,-0.027,2.847,7.311
2026-02-25T01:50:00+00:00,153.526,-0.079,2.858,7.324
2026-02-25T01:55:00+00:00,149.718,-0.041,2.795,7.333
2026-02-25T02:00:00+00:00,148.935,-0.071,2.78,7.334
2026-02-25T02:05:00+00:00,151.338,0.05,2.813,7.319
2026-02-25T02:10:00+00:00,151.535,-0.048,2.825,7.321
2026-02-25T02:15:00+00:00,154.037,-0.119,2.878,7.338
2026-02-25T02:20:00+00:00,157.534,-0.023,2.941,7.338
2026-02-25T02:25:00+00:00,157.309,0.237,2.915,7.34
2026-02-25T02:30:00+00:00,161.243,0.326,2.977,7.338
2026-02-25T02:35:00+00:00,161.228,0.359,2.975,7.33
2026-02-25T02:40:00+00:00,158.665,0.119,2.95,7.345
2026-02-25T02:45:00+00:00,156.774,0.038,2.924,7.35
2026-02-25T02:50:00+00:00,158.409,-0.046,2.941,7.307
2026-02-25T02:55:00+00:00,158.152,-0.155,2.922,7.26
2026-02-25T03:00:00+00:00,158.384,0.034,2.912,7.255
2026-02-25T03:05:00+00:00,154.566,-0.06,2.846,7.243
2026-02-25T03:10:00+00:00,156.155,-0.028,2.867,7.238
2026-02-25T03:15:00+00:00,159.167,-0.108,2.926,7.237
2026-02-25T03:20:00+00:00,157.508,-0.093,2.893,7.245
2026-02-25T03:25:00+00:00,156.074,0.014,2.863,7.244
2026-02-25T03:30:00+00:00,159.448,0.139,2.916,7.243
2026-02-25T03:35:00+00:00,158.226,-0.026,2.9,7.227
2026-02-25T03:40:00+00:00,157.414,0.121,2.88,7.26
2026-02-25T03:45:00+00:00,152.837,0.091,2.81,7.279
2026-02-25T03:50:00+00:00,152.61,0.105,2.801,7.281
2026-02-25T03:55:00+00:00,153.357,0.082,2.82,7.288
2026-02-25T04:00:00+00:00,153.031,0.077,2.818,7.295
2026-02-25T04:05:00+00:00,159.466,0.111,2.936,7.307
2026-02-25T04:10:00+00:00,159.778,0.101,2.942,7.307
2026-02-25T04:15:00+00:00,153.837,0.068,2.834,7.31
2026-02-25T04:20:00+00:00,159.147,0.101,2.928,7.297
2026-02-25T04:25:00+00:00,161.509,0.1,2.975,7.296
2026-02-25T04:30:00+00:00,162.539,0.112,2.991,7.288
2026-02-25T04:35:00+00:00,153.264,0.078,2.826,7.303
2026-02-25T04:40:00+00:00,152.234,0.065,2.809,7.307
2026-02-25T04:45:00+00:00,147.132,0.042,2.718,7.32
2026-02-25T04:50:00+00:00,146.272,0.031,2.708,7.322
2026-02-25T04:55:00+00:00,148.715,0.034,2.746,7.32
2026-02-25T05:00:00+00:00,151.531,0.013,2.805,7.327
2026-02-25T05:05:00+00:00,148.088,-0.014,2.745,7.329
2026-02-25T05:10:00+00:00,140.561,-0.053,2.608,7.33
2026-02-25T05:15:00+00:00,141.299,-0.033,2.618,7.327
2026-02-25T05:20:00+00:00,146.169,-0.016,2.706,7.32
2026-02-25T05:25:00+00:00,146.589,-0.036,2.719,7.32
2026-02-25T05:30:00+00:00,149.203,-0.034,2.769,7.322
2026-02-25T05:35:00+00:00,144.715,-0.065,2.692,7.33
2026-02-25T05:40:00+00:00,141.805,-0.079,2.636,7.335
2026-02-25T05:45:00+00:00,138.625,-0.079,2.578,7.325
2026-02-25T05:50:00+00:00,138.786,-0.094,2.578,7.322
2026-02-25T05:55:00+00:00,137.077,-0.151,2.549,7.332
2026-02-25T06:00:00+00:00,135.652,-0.151,2.523,7.326
2026-02-25T06:05:00+00:00,143.55,-0.08,2.656,7.294
2026-02-25T06:10:00+00:00,149.983,-0.039,2.756,7.252
2026-02-25T06:15:00+00:00,151.05,-0.21,2.803,7.27
2026-02-25T06:20:00+00:00,150.216,-0.223,2.8,7.294
2026-02-25T06:25:00+00:00,154.016,-0.208,2.878,7.325
2026-02-25T06:30:00+00:00,154.35,-0.212,2.891,7.333
2026-02-25T06:35:00+00:00,154.016,-0.212,2.882,7.327
2026-02-25T06:40:00+00:00,155.051,-0.189,2.9,7.318
2026-02-25T06:45:00+00:00,156.083,-0.171,2.918,7.315
2026-02-25T06:50:00+00:00,151.022,-0.148,2.833,7.351
2026-02-25T06:55:00+00:00,153.218,-0.127,2.867,7.329
2026-02-25T07:00:00+00:00,159.386,-0.061,2.976,7.322
2026-02-25T07:05:00+00:00,159.954,-0.127,2.976,7.281
2026-02-25T07:10:00+00:00,157.879,-0.145,2.934,7.279
2026-02-25T07:15:00+00:00,157.353,-0.168,2.932,7.292
2026-02-25T07:20:00+00:00,160.1,-0.157,2.988,7.3
2026-02-25T07:25:00+00:00,161.791,-0.159,3.022,7.307
2026-02-25T07:30:00+00:00,160.425,-0.167,2.997,7.298
2026-02-25T07:35:00+00:00,160.287,-0.167,2.981,7.271
2026-02-25T07:40:00+00:00,155.35,-0.161,2.896,7.308
2026-02-25T07:45:00+00:00,152.409,-0.161,2.842,7.309
2026-02-25T07:50:00+00:00,155.697,-0.168,2.89,7.273
2026-02-25T07:55:00+00:00,162.061,-0.136,3.018,7.293
2026-02-25T08:00:00+00:00,163.51,-0.139,3.047,7.293
2026-02-25T08:05:00+00:00,165.801,-0.102,3.078,7.287
2026-02-25T08:10:00+00:00,167.655,-0.156,3.106,7.285
2026-02-25T08:15:00+00:00,158.193,-0.151,2.936,7.292
2026-02-25T08:20:00+00:00,155.078,-0.123,2.898,7.357
2026-02-25T08:25:00+00:00,154.169,-0.025,2.866,7.352
2026-02-25T08:30:00+00:00,150.202,-0.013,2.786,7.336
2026-02-25T08:35:00+00:00,145.257,0.231,2.671,7.35
2026-02-25T08:40:00+00:00,144.565,0.136,2.653,7.321
2026-02-25T08:45:00+00:00,145.06,0.129,2.664,7.323
2026-02-25T08:50:00+00:00,133.214,0.026,2.445,7.319
2026-02-25T08:55:00+00:00,136.107,-0.049,2.492,7.281
2026-02-25T09:00:00+00:00,130.695,-0.132,2.39,7.263
2026-02-25T09:05:00+00:00,123.328,-0.145,2.263,7.287
2026-02-25T09:10:00+00:00,119.621,-0.13,2.2,7.29
2026-02-25T09:15:00+00:00,117.382,-0.047,2.148,7.29
2026-02-25T09:20:00+00:00,118.958,0.189,2.162,7.29
2026-02-25T09:25:00+00:00,119.419,0.223,2.163,7.295
2026-02-25T09:30:00+00:00,116.363,-0.061,2.123,7.28
2026-02-25T09:35:00+00:00,112.132,0.295,2.031,7.303
2026-02-25T09:40:00+00:00,120.698,0.272,2.189,7.303
2026-02-25T09:45:00+00:00,120.732,0.327,2.19,7.313
2026-02-25T09:50:00+00:00,106.03,0.2,1.92,7.325
2026-02-25T09:55:00+00:00,105.257,0.325,1.898,7.326
2026-02-25T10:00:00+00:00,97.39,0.243,1.764,7.336
2026-02-25T10:05:00+00:00,92.164,0.06,1.669,7.29
2026-02-25T10:10:00+00:00,89.671,0.023,1.626,7.299
2026-02-25T10:15:00+00:00,94.364,0.04,1.713,7.303
2026-02-25T10:20:00+00:00,95.622,-0.085,1.743,7.311
