ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,97.146,0.546,-1.734,10.97
2026-02-25T00:10:00+00:00,97.742,0.541,-1.74,10.914
2026-02-25T00:15:00+00:00,96.154,0.538,-1.709,10.978
2026-02-25T00:20:00+00:00,95.255,0.573,-1.693,11.003
2026-02-25T00:25:00+00:00,94.966,0.584,-1.678,11.005
2026-02-25T00:30:00+00:00,94.712,0.588,-1.683,11.02
2026-02-25T00:35:00+00:00,96.216,0.593,-1.688,10.994
2026-02-25T00:40:00+00:00,97.048,0.597,-1.705,10.978
2026-02-25T00:45:00+00:00,95.658,0.601,-1.68,10.988
2026-02-25T00:50:00+00:00,93.61,0.606,-1.655,10.998
2026-02-25T00:55:00+00:00,93.487,0.61,-1.644,11.013
2026-02-25T01:00:00+00:00,92.644,0.615,-1.632,11.014
2026-02-25T01:05:00+00:00,92.126,0.619,-1.614,10.992
2026-02-25T01:10:00+00:00,91.73,0.624,-1.586,10.997
2026-02-25T01:15:00+00:00,91.832,0.628,-1.615,10.997
2026-02-25T01:20:00+00:00,90.998,0.632,-1.604,11.004
2026-02-25T01:25:00+00:00,90.724,0.637,-1.586,11.014
2026-02-25T01:30:00+00:00,90.298,0.641,-1.57,11.018
2026-02-25T01:35:00+00:00,90.66,0.645,-1.558,11.012
2026-02-25T01:40:00+00:00,89.215,0.649,-1.545,11.024
2026-02-25T01:45:00+00:00,88.217,0.654,-1.537,11.038
2026-02-25T01:50:00+00:00,88.062,0.658,-1.542,11.061
2026-02-25T01:55:00+00:00,88.023,0.663,-1.548,11.074
2026-02-25T02:00:00+00:00,88.089,0.667,-1.554,11.068
2026-02-25T02:05:00+00:00,89.134,0.672,-1.558,11.062
2026-02-25T02:10:00+00:00,86.336,0.678,-1.516,11.072
2026-02-25T02:15:00+00:00,85.622,0.65,-1.506,11.098
2026-02-25T02:20:00+00:00,84.91,0.622,-1.497,11.109
2026-02-25T02:25:00+00:00,84.196,0.594,-1.5,11.118
2026-02-25T02:30:00+00:00,86.398,0.584,-1.504,11.101
2026-02-25T02:35:00+00:00,87.346,0.608,-1.495,11.054
2026-02-25T02:40:00+00:00,85.804,0.599,-1.482,11.062
2026-02-25T02:45:00+00:00,84.538,0.59,-1.462,11.078
2026-02-25T02:50:00+00:00,83.657,0.584,-1.446,11.018
2026-02-25T02:55:00+00:00,82.729,0.583,-1.436,10.968
2026-02-25T03:00:00+00:00,83.003,0.581,-1.445,10.969
2026-02-25T03:05:00+00:00,83.326,0.58,-1.435,10.939
2026-02-25T03:10:00+00:00,83.125,0.578,-1.432,10.924
2026-02-25T03:15:00+00:00,82.944,0.577,-1.424,10.932
2026-02-25T03:20:00+00:00,82.284,0.575,-1.41,10.94
2026-02-25T03:25:00+00:00,81.789,0.574,-1.4,10.946
2026-02-25T03:30:00+00:00,81.42,0.572,-1.405,10.95
2026-02-25T03:35:00+00:00,81.051,0.571,-1.386,10.931
2026-02-25T03:40:00+00:00,80.682,0.569,-1.4,10.942
2026-02-25T03:45:00+00:00,80.312,0.568,-1.39,10.96
2026-02-25T03:50:00+00:00,79.944,0.566,-1.377,10.97
2026-02-25T03:55:00+00:00,79.603,0.565,-1.368,10.982
2026-02-25T04:00:00+00:00,79.724,0.564,-1.376,10.994
2026-02-25T04:05:00+00:00,80.006,0.562,-1.388,11.016
2026-02-25T04:10:00+00:00,80.287,0.56,-1.384,11.02
2026-02-25T04:15:00+00:00,80.568,0.559,-1.38,11.01
2026-02-25T04:20:00+00:00,80.85,0.558,-1.389,11.005
2026-02-25T04:25:00+00:00,81.131,0.556,-1.394,11.009
2026-02-25T04:30:00+00:00,81.411,0.554,-1.388,11.01
2026-02-25T04:35:00+00:00,81.693,0.553,-1.4,11.014
2026-02-25T04:40:00+00:00,81.718,0.552,-1.4,11.018
2026-02-25T04:45:00+00:00,80.525,0.55,-1.393,11.026
2026-02-25T04:50:00+00:00,80.727,0.548,-1.386,11.024
2026-02-25T04:55:00+00:00,82.026,0.548,-1.425,11.026
2026-02-25T05:00:00+00:00,82.376,0.546,-1.438,11.027
2026-02-25T05:05:00+00:00,84.315,0.544,-1.465,11.012
2026-02-25T05:10:00+00:00,85.81,0.543,-1.474,11.005
2026-02-25T05:15:00+00:00,84.288,0.541,-1.453,11.008
2026-02-25T05:20:00+00:00,84.534,0.54,-1.478,11.01
2026-02-25T05:25:00+00:00,84.339,0.538,-1.481,11.01
2026-02-25T05:30:00+00:00,85.599,0.536,-1.494,11.012
2026-02-25T05:35:00+00:00,86.104,0.536,-1.521,11.007
2026-02-25T05:40:00+00:00,86.049,0.534,-1.532,10.999
2026-02-25T05:45:00+00:00,88.498,0.532,-1.547,10.978
2026-02-25T05:50:00+00:00,88.412,0.531,-1.56,10.97
2026-02-25T05:55:00+00:00,90.394,0.554,-1.59,10.968
2026-02-25T06:00:00+00:00,92.58,0.596,-1.62,10.962
2026-02-25T06:05:00+00:00,98.02,0.596,-1.72,10.922
2026-02-25T06:10:00+00:00,98.914,0.595,-1.756,10.86
2026-02-25T06:15:00+00:00,100.668,0.594,-1.766,10.848
2026-02-25T06:20:00+00:00,100.927,0.568,-1.8,10.88
2026-02-25T06:25:00+00:00,101.842,0.554,-1.817,10.928
2026-02-25T06:30:00+00:00,103.132,0.552,-1.858,10.974
2026-02-25T06:35:00+00:00,104.528,0.548,-1.902,11.068
2026-02-25T06:40:00+00:00,109.148,0.526,-1.981,11.012
2026-02-25T06:45:00+00:00,114.838,0.508,-2.098,10.994
2026-02-25T06:50:00+00:00,119.002,0.516,-2.168,10.975
2026-02-25T06:55:00+00:00,122.533,0.523,-2.238,10.959
2026-02-25T07:00:00+00:00,124.212,0.532,-2.281,10.961
2026-02-25T07:05:00+00:00,123.946,0.54,-2.276,10.934
2026-02-25T07:10:00+00:00,124.432,0.54,-2.286,10.984
2026-02-25T07:15:00+00:00,126.752,0.528,-2.348,10.98
2026-02-25T07:20:00+00:00,127.759,0.514,-2.404,10.965
2026-02-25T07:25:00+00:00,129.504,0.503,-2.404,10.965
2026-02-25T07:30:00+00:00,130.684,0.492,-2.406,10.99
2026-02-25T07:35:00+00:00,130.902,0.482,-2.402,10.98
2026-02-25T07:40:00+00:00,130.94,0.479,-2.46,10.962
2026-02-25T07:45:00+00:00,133.571,0.48,-2.503,10.965
2026-02-25T07:50:00+00:00,131.985,0.48,-2.46,10.968
2026-02-25T07:55:00+00:00,131.79,0.479,-2.423,10.957
2026-02-25T08:00:00+00:00,134.361,0.451,-2.452,10.955
2026-02-25T08:05:00+00:00,134.908,0.45,-2.466,10.966
2026-02-25T08:10:00+00:00,134.31,0.52,-2.458,10.959
2026-02-25T08:15:00+00:00,128.911,0.538,-2.39,10.974
2026-02-25T08:20:00+00:00,130.065,0.535,-2.405,10.991
2026-02-25T08:25:00+00:00,129.507,0.531,-2.396,10.992
2026-02-25T08:30:00+00:00,131.194,0.527,-2.417,11.002
2026-02-25T08:35:00+00:00,132.924,0.523,-2.443,10.992
2026-02-25T08:40:00+00:00,132.67,0.519,-2.45,10.99
2026-02-25T08:45:00+00:00,132.616,0.515,-2.466,10.992
2026-02-25T08:50:00+00:00,132.698,0.511,-2.455,10.982
2026-02-25T08:55:00+00:00,134.959,0.507,-2.486,10.968
2026-02-25T09:00:00+00:00,139.505,0.503,-2.566,10.957
2026-02-25T09:05:00+00:00,140.896,0.499,-2.6,10.939
2026-02-25T09:10:00+00:00,139.458,0.496,-2.572,10.936
2026-02-25T09:15:00+00:00,140.332,0.492,-2.564,10.935
2026-02-25T09:20:00+00:00,140.4,0.51,-2.552,10.942
2026-02-25T09:25:00+00:00,142.094,0.529,-2.581,10.95
2026-02-25T09:30:00+00:00,143.561,0.526,-2.625,10.962
2026-02-25T09:35:00+00:00,140.466,0.524,-2.538,10.962
2026-02-25T09:40:00+00:00,140.462,0.522,-2.553,10.966
2026-02-25T09:45:00+00:00,142.171,0.519,-2.598,10.98
2026-02-25T09:50:00+00:00,135.264,0.516,-2.51,10.992
2026-02-25T09:55:00+00:00,137.354,0.514,-2.562,10.998
2026-02-25T10:00:00+00:00,137.526,0.512,-2.558,11.007
2026-02-25T10:05:00+00:00,137.378,0.51,-2.548,10.992
2026-02-25T10:10:00+00:00,137.252,0.507,-2.548,11.002
2026-02-25T10:15:00+00:00,135.45,0.504,-2.504,11.012
2026-02-25T10:20:00+00:00,136.897,0.502,-2.508,11.021
2026-02-25T10:25:00+00:00,135.056,0.5,-2.456,11.023
2026-02-25T10:30:00+00:00,135.495,0.498,-2.484,11.04
2026-02-25T10:35:00+00:00,135.197,0.495,-2.454,10.97
2026-02-25T10:40:00+00:00,129.97,0.492,-2.376,10.928
2026-02-25T10:45:00+00:00,130.58,0.49,-2.39,10.934
2026-02-25T10:50:00+00:00,133.052,0.488,-2.418,10.95
2026-02-25T10:55:00+00:00,138.84,0.489,-2.564,10.965
2026-02-25T11:00:00+00:00,140.375,0.504,-2.604,10.957
2026-02-25T11:05:00+00:00,141.695,0.5,-2.636,10.934
2026-02-25T11:10:00+00:00,145.684,0.496,-2.705,10.918
2026-02-25T11:15:00+00:00,146.305,0.516,-2.695,10.904
2026-02-25T11:20:00+00:00,145.797,0.522,-2.662,10.904
2026-02-25T11:25:00+00:00,144.798,0.528,-2.65,10.915
2026-02-25T11:30:00+00:00,144.022,0.534,-2.634,10.91
2026-02-25T11:35:00+00:00,142.783,0.538,-2.629,10.91
2026-02-25T11:40:00+00:00,141.844,0.534,-2.599,10.898
2026-02-25T11:45:00+00:00,141.45,0.53,-2.59,10.9
2026-02-25T11:50:00+00:00,143.979,0.527,-2.626,10.888
2026-02-25T11:55:00+00:00,146.52,0.536,-2.665,10.884
2026-02-25T12:00:00+00:00,145.91,0.549,-2.681,10.888
2026-02-25T12:05:00+00:00,144.54,0.558,-2.658,10.894
2026-02-25T12:10:00+00:00,144.779,0.558,-2.686,10.91
2026-02-25T12:15:00+00:00,146.09,0.558,-2.698,10.91
2026-02-25T12:20:00+00:00,147.474,0.556,-2.691,10.912
2026-02-25T12:25:00+00:00,146.058,0.555,-2.663,10.91
2026-02-25T12:30:00+00:00,146.504,0.554,-2.69,10.908
2026-02-25T12:35:00+00:00,143.178,0.554,-2.624,10.898
2026-02-25T12:40:00+00:00,144.216,0.552,-2.626,10.896
2026-02-25T12:45:00+00:00,145.464,0.552,-2.628,10.898
2026-02-25T12:50:00+00:00,144.446,0.55,-2.632,10.902
2026-02-25T12:55:00+00:00,144.942,0.549,-2.642,10.908
2026-02-25T13:00:00+00:00,142.043,0.548,-2.588,10.901
2026-02-25T13:05:00+00:00,143.204,0.548,-2.6,10.9
2026-02-25T13:10:00+00:00,142.606,0.546,-2.601,10.896
2026-02-25T13:15:00+00:00,142.907,0.545,-2.62,10.926
2026-02-25T13:20:00+00:00,141.817,0.544,-2.591,10.939
2026-02-25T13:25:00+00:00,142.0,0.543,-2.601,10.935
2026-02-25T13:30:00+00:00,142.013,0.542,-2.591,10.942
2026-02-25T13:35:00+00:00,143.312,0.542,-2.617,10.932
2026-02-25T13:40:00+00:00,142.69,0.54,-2.635,10.936
2026-02-25T13:45:00+00:00,143.568,0.539,-2.642,10.942
