ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,46.944,0.034,-0.412,10.828
2026-02-25T00:10:00+00:00,49.221,-0.052,-0.453,10.838
2026-02-25T00:15:00+00:00,54.424,-0.04,-0.502,10.967
2026-02-25T00:20:00+00:00,51.748,-0.023,-0.474,11.008
2026-02-25T00:25:00+00:00,50.634,-0.016,-0.48,11.0
2026-02-25T00:30:00+00:00,53.08,-0.049,-0.504,11.014
2026-02-25T00:35:00+00:00,55.042,-0.038,-0.502,10.986
2026-02-25T00:40:00+00:00,57.467,-0.011,-0.522,10.96
2026-02-25T00:45:00+00:00,57.619,-0.032,-0.536,10.958
2026-02-25T00:50:00+00:00,58.552,-0.037,-0.536,10.976
2026-02-25T00:55:00+00:00,59.604,-0.034,-0.538,10.988
2026-02-25T01:00:00+00:00,58.324,-0.031,-0.529,11.002
2026-02-25T01:05:00+00:00,58.232,-0.034,-0.534,10.969
2026-02-25T01:10:00+00:00,60.975,-0.037,-0.538,10.971
2026-02-25T01:15:00+00:00,62.038,-0.05,-0.553,10.971
2026-02-25T01:20:00+00:00,62.592,-0.033,-0.552,10.979
2026-02-25T01:25:00+00:00,61.76,-0.028,-0.552,11.0
2026-02-25T01:30:00+00:00,61.503,-0.036,-0.548,11.02
2026-02-25T01:35:00+00:00,60.682,-0.048,-0.542,11.006
2026-02-25T01:40:00+00:00,60.124,-0.049,-0.54,11.011
2026-02-25T01:45:00+00:00,59.11,-0.02,-0.537,11.032
2026-02-25T01:50:00+00:00,59.396,0.0,-0.534,11.016
2026-02-25T01:55:00+00:00,59.503,-0.036,-0.54,10.986
2026-02-25T02:00:00+00:00,60.406,-0.034,-0.539,10.981
2026-02-25T02:05:00+00:00,58.701,-0.036,-0.524,10.958
2026-02-25T02:10:00+00:00,59.129,-0.027,-0.527,10.968
2026-02-25T02:15:00+00:00,60.308,-0.048,-0.538,11.003
2026-02-25T02:20:00+00:00,59.976,-0.038,-0.544,11.014
2026-02-25T02:25:00+00:00,59.677,-0.024,-0.54,11.029
2026-02-25T02:30:00+00:00,59.274,-0.036,-0.534,11.05
2026-02-25T02:35:00+00:00,58.771,-0.036,-0.537,11.047
2026-02-25T02:40:00+00:00,56.346,-0.032,-0.508,11.054
2026-02-25T02:45:00+00:00,56.021,-0.036,-0.508,11.064
2026-02-25T02:50:00+00:00,53.922,-0.038,-0.49,10.972
2026-02-25T02:55:00+00:00,53.95,-0.076,-0.488,10.878
2026-02-25T03:00:00+00:00,51.53,-0.088,-0.497,10.881
2026-02-25T03:05:00+00:00,51.02,-0.027,-0.46,10.882
2026-02-25T03:10:00+00:00,54.32,-0.034,-0.486,10.914
2026-02-25T03:15:00+00:00,50.98,-0.033,-0.46,10.93
2026-02-25T03:20:00+00:00,52.988,-0.038,-0.488,10.938
2026-02-25T03:25:00+00:00,51.311,-0.036,-0.463,10.947
2026-02-25T03:30:00+00:00,51.886,-0.048,-0.47,10.954
2026-02-25T03:35:00+00:00,50.1,-0.01,-0.457,10.947
2026-02-25T03:40:00+00:00,48.79,-0.029,-0.446,10.955
2026-02-25T03:45:00+00:00,49.03,-0.037,-0.446,10.982
2026-02-25T03:50:00+00:00,49.6,-0.038,-0.452,10.994
2026-02-25T03:55:00+00:00,48.704,-0.032,-0.442,11.016
2026-02-25T04:00:00+00:00,48.363,-0.042,-0.445,11.028
2026-02-25T04:05:00+00:00,48.066,-0.044,-0.439,11.056
2026-02-25T04:10:00+00:00,47.283,-0.058,-0.429,11.076
2026-02-25T04:15:00+00:00,49.325,-0.043,-0.45,11.06
2026-02-25T04:20:00+00:00,46.608,-0.041,-0.428,11.058
2026-02-25T04:25:00+00:00,47.353,-0.053,-0.424,11.062
2026-02-25T04:30:00+00:00,46.846,-0.052,-0.425,11.068
2026-02-25T04:35:00+00:00,47.884,-0.048,-0.436,11.07
2026-02-25T04:40:00+00:00,47.122,-0.035,-0.416,11.08
2026-02-25T04:45:00+00:00,46.21,0.022,-0.393,11.054
2026-02-25T04:50:00+00:00,46.72,0.075,-0.39,11.045
2026-02-25T04:55:00+00:00,46.308,0.085,-0.38,11.044
2026-02-25T05:00:00+00:00,46.938,0.093,-0.393,11.04
2026-02-25T05:05:00+00:00,46.525,0.097,-0.384,11.026
2026-02-25T05:10:00+00:00,45.723,0.072,-0.378,11.008
2026-02-25T05:15:00+00:00,44.215,0.082,-0.362,11.011
2026-02-25T05:20:00+00:00,41.779,0.031,-0.343,11.017
2026-02-25T05:25:00+00:00,42.734,0.041,-0.349,11.018
2026-02-25T05:30:00+00:00,43.141,0.044,-0.352,11.024
2026-02-25T05:35:00+00:00,43.128,0.044,-0.349,11.023
2026-02-25T05:40:00+00:00,44.439,0.045,-0.377,11.012
2026-02-25T05:45:00+00:00,46.228,0.054,-0.388,10.984
2026-02-25T05:50:00+00:00,47.013,0.06,-0.396,10.966
2026-02-25T05:55:00+00:00,50.311,0.06,-0.426,10.952
2026-02-25T06:00:00+00:00,50.622,0.068,-0.433,10.936
2026-02-25T06:05:00+00:00,51.34,0.072,-0.428,10.885
2026-02-25T06:10:00+00:00,52.978,0.005,-0.456,10.837
2026-02-25T06:15:00+00:00,54.474,-0.02,-0.474,10.832
2026-02-25T06:20:00+00:00,53.765,-0.006,-0.479,10.848
2026-02-25T06:25:00+00:00,54.716,-0.044,-0.491,10.881
2026-02-25T06:30:00+00:00,52.621,-0.054,-0.464,10.884
2026-02-25T06:35:00+00:00,55.225,-0.058,-0.498,10.986
2026-02-25T06:40:00+00:00,55.864,-0.048,-0.504,10.975
2026-02-25T06:45:00+00:00,55.536,-0.049,-0.496,10.953
