ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,98.385,0.085,-1.839,10.894
2026-02-25T00:10:00+00:00,102.788,0.068,-1.91,10.822
2026-02-25T00:15:00+00:00,103.959,0.052,-1.946,10.885
2026-02-25T00:20:00+00:00,104.511,0.052,-1.95,10.926
2026-02-25T00:25:00+00:00,105.607,0.062,-1.976,10.922
2026-02-25T00:30:00+00:00,104.684,0.05,-1.967,10.941
2026-02-25T00:35:00+00:00,107.442,0.062,-2.015,10.916
2026-02-25T00:40:00+00:00,110.086,0.074,-2.061,10.886
2026-02-25T00:45:00+00:00,113.604,0.054,-2.137,10.895
2026-02-25T00:50:00+00:00,111.989,0.075,-2.092,10.908
2026-02-25T00:55:00+00:00,109.542,0.084,-2.052,10.923
2026-02-25T01:00:00+00:00,108.11,0.066,-2.029,10.94
2026-02-25T01:05:00+00:00,107.498,0.062,-2.015,10.91
2026-02-25T01:10:00+00:00,105.024,0.08,-1.963,10.909
2026-02-25T01:15:00+00:00,103.195,0.088,-1.94,10.919
2026-02-25T01:20:00+00:00,103.206,0.083,-1.926,10.925
2026-02-25T01:25:00+00:00,102.008,0.086,-1.923,10.933
2026-02-25T01:30:00+00:00,100.72,0.09,-1.896,10.946
2026-02-25T01:35:00+00:00,100.035,0.088,-1.884,10.939
2026-02-25T01:40:00+00:00,100.144,0.085,-1.886,10.948
2026-02-25T01:45:00+00:00,99.532,0.082,-1.864,10.962
2026-02-25T01:50:00+00:00,97.108,0.089,-1.834,10.986
2026-02-25T01:55:00+00:00,97.351,0.105,-1.805,10.962
2026-02-25T02:00:00+00:00,99.113,0.103,-1.825,10.928
2026-02-25T02:05:00+00:00,96.703,0.118,-1.784,10.914
2026-02-25T02:10:00+00:00,96.588,0.098,-1.78,10.918
2026-02-25T02:15:00+00:00,96.962,0.134,-1.796,10.948
2026-02-25T02:20:00+00:00,95.933,0.115,-1.771,10.956
2026-02-25T02:25:00+00:00,95.372,0.108,-1.768,10.97
2026-02-25T02:30:00+00:00,96.145,0.106,-1.778,10.982
2026-02-25T02:35:00+00:00,95.02,0.109,-1.762,10.971
2026-02-25T02:40:00+00:00,96.029,0.11,-1.768,10.978
2026-02-25T02:45:00+00:00,96.758,0.119,-1.797,10.984
2026-02-25T02:50:00+00:00,93.91,0.188,-1.739,10.892
2026-02-25T02:55:00+00:00,91.058,0.152,-1.704,10.897
2026-02-25T03:00:00+00:00,92.443,0.124,-1.728,10.906
2026-02-25T03:05:00+00:00,91.519,0.105,-1.708,10.884
2026-02-25T03:10:00+00:00,90.184,0.094,-1.688,10.938
2026-02-25T03:15:00+00:00,89.981,0.108,-1.681,10.948
2026-02-25T03:20:00+00:00,88.25,0.118,-1.657,10.958
2026-02-25T03:25:00+00:00,87.69,0.116,-1.645,10.962
2026-02-25T03:30:00+00:00,89.12,0.099,-1.676,10.968
2026-02-25T03:35:00+00:00,88.11,0.106,-1.648,10.962
2026-02-25T03:40:00+00:00,86.741,0.111,-1.629,10.956
2026-02-25T03:45:00+00:00,87.05,0.118,-1.636,10.984
2026-02-25T03:50:00+00:00,86.024,0.118,-1.605,10.998
2026-02-25T03:55:00+00:00,87.425,0.108,-1.604,10.946
2026-02-25T04:00:00+00:00,87.827,0.14,-1.61,10.944
2026-02-25T04:05:00+00:00,88.845,0.143,-1.633,10.97
