ValueDate,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,-1.004,0.195,10.856
2026-02-25T00:10:00+00:00,-0.926,0.354,10.898
2026-02-25T00:15:00+00:00,-0.95,0.366,11.006
2026-02-25T00:20:00+00:00,-0.964,0.318,10.95
2026-02-25T00:25:00+00:00,-0.958,0.354,10.951
2026-02-25T00:30:00+00:00,-0.976,0.272,10.967
2026-02-25T00:35:00+00:00,-0.921,0.362,10.927
2026-02-25T00:40:00+00:00,-0.925,0.391,10.899
2026-02-25T00:45:00+00:00,-0.961,0.277,10.913
2026-02-25T00:50:00+00:00,-0.934,0.384,10.919
2026-02-25T00:55:00+00:00,-0.905,0.406,10.929
2026-02-25T01:00:00+00:00,-0.902,0.4,10.939
2026-02-25T01:05:00+00:00,-0.917,0.395,10.913
2026-02-25T01:10:00+00:00,-0.893,0.478,10.908
2026-02-25T01:15:00+00:00,-0.943,0.351,10.934
2026-02-25T01:20:00+00:00,-0.892,0.453,10.936
2026-02-25T01:25:00+00:00,-0.89,0.486,10.948
2026-02-25T01:30:00+00:00,-0.912,0.355,10.965
2026-02-25T01:35:00+00:00,-0.932,0.348,10.96
2026-02-25T01:40:00+00:00,-0.934,0.351,10.968
2026-02-25T01:45:00+00:00,-0.934,0.313,10.988
2026-02-25T01:50:00+00:00,-0.954,0.307,11.014
2026-02-25T01:55:00+00:00,-0.948,0.288,11.028
2026-02-25T02:00:00+00:00,-0.918,0.35,11.02
2026-02-25T02:05:00+00:00,-0.944,0.271,11.003
2026-02-25T02:10:00+00:00,-0.982,0.149,11.02
2026-02-25T02:15:00+00:00,-0.96,0.267,11.026
2026-02-25T02:20:00+00:00,-0.978,0.207,10.948
2026-02-25T02:25:00+00:00,-0.979,0.229,10.94
2026-02-25T02:30:00+00:00,-0.954,0.262,10.944
2026-02-25T02:35:00+00:00,-0.98,0.153,10.94
2026-02-25T02:40:00+00:00,-0.952,0.257,10.938
2026-02-25T02:45:00+00:00,-0.923,0.238,10.946
2026-02-25T02:50:00+00:00,-0.959,0.212,10.891
2026-02-25T02:55:00+00:00,-1.0,0.128,10.939
2026-02-25T03:00:00+00:00,-0.972,0.266,10.938
2026-02-25T03:05:00+00:00,-0.937,0.279,10.904
2026-02-25T03:10:00+00:00,-0.874,0.506,10.877
2026-02-25T03:15:00+00:00,-0.925,0.329,10.902
2026-02-25T03:20:00+00:00,-0.923,0.336,10.909
2026-02-25T03:25:00+00:00,-0.949,0.26,10.917
2026-02-25T03:30:00+00:00,-0.94,0.266,10.919
2026-02-25T03:35:00+00:00,-0.984,0.195,10.916
2026-02-25T03:40:00+00:00,-0.948,0.23,10.908
2026-02-25T03:45:00+00:00,-0.939,0.236,10.933
2026-02-25T03:50:00+00:00,-0.906,0.328,10.936
2026-02-25T03:55:00+00:00,-0.902,0.285,10.951
2026-02-25T04:00:00+00:00,-0.93,0.244,10.962
2026-02-25T04:05:00+00:00,-0.962,0.332,10.983
2026-02-25T04:10:00+00:00,-0.928,0.468,10.986
2026-02-25T04:15:00+00:00,-0.938,0.33,10.988
2026-02-25T04:20:00+00:00,-0.914,0.384,10.973
2026-02-25T04:25:00+00:00,-0.933,0.258,10.984
2026-02-25T04:30:00+00:00,-0.953,0.16,10.984
2026-02-25T04:35:00+00:00,-0.967,0.134,10.992
2026-02-25T04:40:00+00:00,-0.938,0.184,10.99
2026-02-25T04:45:00+00:00,-0.958,0.174,11.009
2026-02-25T04:50:00+00:00,-0.96,0.145,11.006
2026-02-25T04:55:00+00:00,-0.894,0.278,10.993
2026-02-25T05:00:00+00:00,-0.97,0.198,11.006
2026-02-25T05:05:00+00:00,-0.944,0.274,10.987
2026-02-25T05:10:00+00:00,-0.9,0.329,10.963
2026-02-25T05:15:00+00:00,-0.942,0.321,10.96
2026-02-25T05:20:00+00:00,-0.944,0.298,10.964
