ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,136.821,-0.572,2.522,10.798
2026-02-25T00:10:00+00:00,137.43,-0.571,2.53,10.758
2026-02-25T00:15:00+00:00,135.814,-0.596,2.496,10.751
2026-02-25T00:20:00+00:00,134.648,-0.578,2.468,10.75
2026-02-25T00:25:00+00:00,134.736,-0.601,2.472,10.753
2026-02-25T00:30:00+00:00,134.804,-0.586,2.473,10.768
2026-02-25T00:35:00+00:00,133.332,-0.592,2.444,10.762
2026-02-25T00:40:00+00:00,131.96,-0.58,2.414,10.748
2026-02-25T00:45:00+00:00,132.425,-0.568,2.427,10.769
2026-02-25T00:50:00+00:00,129.21,-0.578,2.37,10.782
2026-02-25T00:55:00+00:00,128.896,-0.578,2.368,10.798
2026-02-25T01:00:00+00:00,130.712,-0.578,2.402,10.798
2026-02-25T01:05:00+00:00,132.023,-0.57,2.421,10.759
2026-02-25T01:10:00+00:00,127.833,-0.592,2.342,10.768
2026-02-25T01:15:00+00:00,128.531,-0.585,2.359,10.776
2026-02-25T01:20:00+00:00,128.61,-0.556,2.362,10.776
2026-02-25T01:25:00+00:00,129.685,-0.562,2.389,10.794
2026-02-25T01:30:00+00:00,128.839,-0.572,2.372,10.798
2026-02-25T01:35:00+00:00,130.305,-0.55,2.406,10.79
2026-02-25T01:40:00+00:00,129.222,-0.534,2.378,10.793
2026-02-25T01:45:00+00:00,129.86,-0.542,2.394,10.806
2026-02-25T01:50:00+00:00,127.836,-0.598,2.356,10.834
2026-02-25T01:55:00+00:00,126.806,-0.576,2.342,10.842
2026-02-25T02:00:00+00:00,127.215,-0.571,2.348,10.838
2026-02-25T02:05:00+00:00,127.164,-0.572,2.344,10.822
2026-02-25T02:10:00+00:00,127.809,-0.571,2.357,10.828
2026-02-25T02:15:00+00:00,128.83,-0.584,2.382,10.854
2026-02-25T02:20:00+00:00,129.04,-0.579,2.39,10.867
2026-02-25T02:25:00+00:00,129.233,-0.588,2.397,10.878
2026-02-25T02:30:00+00:00,129.302,-0.568,2.398,10.883
2026-02-25T02:35:00+00:00,131.215,-0.536,2.437,10.865
2026-02-25T02:40:00+00:00,131.073,-0.573,2.435,10.876
2026-02-25T02:45:00+00:00,129.736,-0.566,2.409,10.882
2026-02-25T02:50:00+00:00,129.806,-0.587,2.414,10.902
2026-02-25T02:55:00+00:00,130.395,-0.544,2.426,10.89
2026-02-25T03:00:00+00:00,131.032,-0.54,2.421,10.822
2026-02-25T03:05:00+00:00,132.428,-0.546,2.45,10.802
2026-02-25T03:10:00+00:00,131.167,-0.542,2.42,10.8
2026-02-25T03:15:00+00:00,129.38,-0.54,2.381,10.798
2026-02-25T03:20:00+00:00,129.078,-0.574,2.375,10.808
2026-02-25T03:25:00+00:00,129.68,-0.543,2.392,10.806
2026-02-25T03:30:00+00:00,128.01,-0.564,2.357,10.818
2026-02-25T03:35:00+00:00,126.62,-0.554,2.325,10.793
2026-02-25T03:40:00+00:00,126.358,-0.548,2.318,10.78
2026-02-25T03:45:00+00:00,126.43,-0.55,2.324,10.796
2026-02-25T03:50:00+00:00,129.034,-0.519,2.383,10.791
2026-02-25T03:55:00+00:00,126.969,-0.558,2.338,10.806
2026-02-25T04:00:00+00:00,126.674,-0.548,2.332,10.816
2026-02-25T04:05:00+00:00,126.76,-0.534,2.346,10.84
2026-02-25T04:10:00+00:00,126.797,-0.544,2.345,10.836
2026-02-25T04:15:00+00:00,126.466,-0.525,2.337,10.827
2026-02-25T04:20:00+00:00,123.868,-0.528,2.286,10.826
2026-02-25T04:25:00+00:00,126.766,-0.498,2.346,10.817
2026-02-25T04:30:00+00:00,127.015,-0.501,2.346,10.813
2026-02-25T04:35:00+00:00,125.778,-0.546,2.322,10.82
2026-02-25T04:40:00+00:00,125.48,-0.534,2.316,10.818
2026-02-25T04:45:00+00:00,122.898,-0.551,2.266,10.832
2026-02-25T04:50:00+00:00,122.872,-0.553,2.265,10.83
2026-02-25T04:55:00+00:00,121.923,-0.521,2.25,10.83
2026-02-25T05:00:00+00:00,122.767,-0.502,2.271,10.827
2026-02-25T05:05:00+00:00,124.993,-0.497,2.312,10.813
2026-02-25T05:10:00+00:00,123.036,-0.505,2.271,10.801
2026-02-25T05:15:00+00:00,123.732,-0.522,2.281,10.8
2026-02-25T05:20:00+00:00,124.143,-0.512,2.29,10.804
2026-02-25T05:25:00+00:00,124.698,-0.47,2.3,10.796
2026-02-25T05:30:00+00:00,127.496,-0.48,2.362,10.794
2026-02-25T05:35:00+00:00,126.789,-0.472,2.347,10.8
2026-02-25T05:40:00+00:00,127.782,-0.482,2.364,10.798
2026-02-25T05:45:00+00:00,128.668,-0.505,2.367,10.78
2026-02-25T05:50:00+00:00,133.162,-0.474,2.461,10.76
2026-02-25T05:55:00+00:00,134.394,-0.504,2.48,10.766
2026-02-25T06:00:00+00:00,133.81,-0.493,2.468,10.757
2026-02-25T06:05:00+00:00,135.93,-0.478,2.498,10.718
2026-02-25T06:10:00+00:00,139.731,-0.437,2.542,10.732
2026-02-25T06:15:00+00:00,141.541,-0.485,2.582,10.726
2026-02-25T06:20:00+00:00,134.228,-0.556,2.468,10.76
2026-02-25T06:25:00+00:00,137.35,-0.483,2.536,10.76
2026-02-25T06:30:00+00:00,139.096,-0.485,2.573,10.761
2026-02-25T06:35:00+00:00,141.743,-0.428,2.624,10.752
2026-02-25T06:40:00+00:00,139.324,-0.481,2.574,10.75
2026-02-25T06:45:00+00:00,143.486,-0.443,2.642,10.72
2026-02-25T06:50:00+00:00,146.374,-0.335,2.692,10.85
2026-02-25T06:55:00+00:00,144.556,-0.43,2.656,10.85
2026-02-25T07:00:00+00:00,143.046,-0.403,2.625,10.85
2026-02-25T07:05:00+00:00,143.515,-0.36,2.631,10.838
2026-02-25T07:10:00+00:00,140.377,-0.43,2.608,10.793
2026-02-25T07:15:00+00:00,141.115,-0.412,2.619,10.792
2026-02-25T07:20:00+00:00,140.954,-0.426,2.622,10.806
2026-02-25T07:25:00+00:00,144.004,-0.426,2.681,10.819
