ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,101.649,0.222,-1.895,10.842
2026-02-25T00:10:00+00:00,108.322,0.279,-1.989,10.766
2026-02-25T00:15:00+00:00,109.552,0.239,-1.983,10.84
2026-02-25T00:20:00+00:00,109.158,0.2,-1.995,10.882
2026-02-25T00:25:00+00:00,111.116,0.206,-2.043,10.97
2026-02-25T00:30:00+00:00,108.602,0.221,-1.995,10.992
2026-02-25T00:35:00+00:00,104.884,0.235,-1.976,10.912
2026-02-25T00:40:00+00:00,103.83,0.268,-1.956,10.948
2026-02-25T00:45:00+00:00,103.076,0.272,-1.94,11.025
2026-02-25T00:50:00+00:00,102.743,0.268,-1.94,11.038
2026-02-25T00:55:00+00:00,106.598,0.23,-2.01,10.932
2026-02-25T01:00:00+00:00,109.433,0.198,-2.052,10.817
2026-02-25T01:05:00+00:00,109.371,0.192,-2.04,10.768
2026-02-25T01:10:00+00:00,108.152,0.206,-2.002,10.782
2026-02-25T01:15:00+00:00,106.894,0.2,-1.996,10.804
2026-02-25T01:20:00+00:00,109.008,0.2,-2.016,10.82
2026-02-25T01:25:00+00:00,107.362,0.212,-1.996,10.834
2026-02-25T01:30:00+00:00,107.042,0.222,-2.001,10.847
2026-02-25T01:35:00+00:00,106.2,0.224,-1.971,10.846
2026-02-25T01:40:00+00:00,105.77,0.222,-1.953,10.859
2026-02-25T01:45:00+00:00,104.366,0.22,-1.949,10.881
2026-02-25T01:50:00+00:00,105.019,0.218,-1.972,10.904
2026-02-25T01:55:00+00:00,103.842,0.184,-1.948,10.914
2026-02-25T02:00:00+00:00,103.053,0.148,-1.949,10.89
2026-02-25T02:05:00+00:00,104.169,0.167,-1.972,10.876
2026-02-25T02:10:00+00:00,106.985,0.231,-1.996,10.9
2026-02-25T02:15:00+00:00,102.172,0.247,-1.919,10.938
2026-02-25T02:20:00+00:00,102.92,0.253,-1.915,10.946
2026-02-25T02:25:00+00:00,102.882,0.243,-1.916,10.956
2026-02-25T02:30:00+00:00,100.35,0.258,-1.902,10.966
2026-02-25T02:35:00+00:00,97.142,0.276,-1.826,10.971
2026-02-25T02:40:00+00:00,95.951,0.233,-1.824,10.968
2026-02-25T02:45:00+00:00,101.889,0.215,-1.917,10.982
2026-02-25T02:50:00+00:00,103.986,0.226,-1.936,10.842
2026-02-25T02:55:00+00:00,98.99,0.232,-1.848,10.85
2026-02-25T03:00:00+00:00,102.837,0.222,-1.899,10.847
2026-02-25T03:05:00+00:00,103.067,0.208,-1.886,10.805
2026-02-25T03:10:00+00:00,103.264,0.197,-1.874,10.78
2026-02-25T03:15:00+00:00,100.986,0.164,-1.862,10.788
2026-02-25T03:20:00+00:00,97.893,0.082,-1.822,10.8
2026-02-25T03:25:00+00:00,100.852,0.206,-1.88,10.798
2026-02-25T03:30:00+00:00,103.67,0.226,-1.928,10.802
2026-02-25T03:35:00+00:00,96.338,0.212,-1.791,10.81
2026-02-25T03:40:00+00:00,95.97,0.143,-1.779,10.814
2026-02-25T03:45:00+00:00,97.372,0.088,-1.81,10.848
2026-02-25T03:50:00+00:00,97.618,0.006,-1.832,10.859
2026-02-25T03:55:00+00:00,100.523,0.04,-1.88,10.852
2026-02-25T04:00:00+00:00,103.046,0.195,-1.922,10.866
2026-02-25T04:05:00+00:00,103.459,0.205,-1.942,10.878
2026-02-25T04:10:00+00:00,100.594,0.216,-1.889,10.87
2026-02-25T04:15:00+00:00,94.116,0.228,-1.772,10.884
2026-02-25T04:20:00+00:00,90.986,0.25,-1.696,10.88
2026-02-25T04:25:00+00:00,89.161,0.262,-1.661,10.88
2026-02-25T04:30:00+00:00,89.454,0.235,-1.666,10.866
2026-02-25T04:35:00+00:00,90.532,0.23,-1.673,10.834
2026-02-25T04:40:00+00:00,91.098,0.201,-1.688,10.836
2026-02-25T04:45:00+00:00,91.664,0.213,-1.704,10.852
2026-02-25T04:50:00+00:00,91.238,0.225,-1.712,10.85
2026-02-25T04:55:00+00:00,89.973,0.22,-1.674,10.856
2026-02-25T05:00:00+00:00,89.379,0.213,-1.666,10.88
2026-02-25T05:05:00+00:00,90.204,0.224,-1.677,10.888
2026-02-25T05:10:00+00:00,92.682,0.205,-1.726,10.816
2026-02-25T05:15:00+00:00,90.898,0.226,-1.686,10.799
2026-02-25T05:20:00+00:00,92.05,0.212,-1.716,10.783
2026-02-25T05:25:00+00:00,93.582,0.204,-1.73,10.747
2026-02-25T05:30:00+00:00,94.869,0.264,-1.733,10.742
2026-02-25T05:35:00+00:00,94.361,0.314,-1.723,10.755
2026-02-25T05:40:00+00:00,95.212,0.355,-1.751,10.77
2026-02-25T05:45:00+00:00,97.983,0.367,-1.766,10.743
2026-02-25T05:50:00+00:00,97.921,0.196,-1.762,10.826
2026-02-25T05:55:00+00:00,100.508,0.217,-1.802,10.813
2026-02-25T06:00:00+00:00,101.436,0.227,-1.827,10.821
2026-02-25T06:05:00+00:00,107.325,0.175,-1.948,10.876
2026-02-25T06:10:00+00:00,110.992,0.156,-2.01,10.818
2026-02-25T06:15:00+00:00,111.284,0.11,-2.05,10.904
2026-02-25T06:20:00+00:00,115.46,0.138,-2.122,10.91
2026-02-25T06:25:00+00:00,117.617,0.113,-2.177,10.933
2026-02-25T06:30:00+00:00,121.751,0.061,-2.246,10.936
2026-02-25T06:35:00+00:00,126.548,0.041,-2.332,10.907
2026-02-25T06:40:00+00:00,129.885,0.07,-2.385,10.892
2026-02-25T06:45:00+00:00,130.396,0.023,-2.394,10.861
2026-02-25T06:50:00+00:00,127.18,0.068,-2.33,10.851
2026-02-25T06:55:00+00:00,129.82,0.072,-2.39,10.828
2026-02-25T07:00:00+00:00,131.358,0.067,-2.425,10.862
2026-02-25T07:05:00+00:00,134.01,0.074,-2.466,10.82
2026-02-25T07:10:00+00:00,135.243,0.05,-2.545,10.907
2026-02-25T07:15:00+00:00,137.798,0.02,-2.608,10.965
2026-02-25T07:20:00+00:00,138.799,-0.043,-2.63,10.963
2026-02-25T07:25:00+00:00,136.634,-0.042,-2.593,10.972
2026-02-25T07:30:00+00:00,139.263,-0.043,-2.645,10.988
2026-02-25T07:35:00+00:00,140.038,0.014,-2.664,10.971
2026-02-25T07:40:00+00:00,141.763,-0.056,-2.676,10.918
2026-02-25T07:45:00+00:00,138.868,-0.029,-2.621,10.901
2026-02-25T07:50:00+00:00,141.13,-0.144,-2.66,10.87
2026-02-25T07:55:00+00:00,143.798,-0.088,-2.704,10.886
2026-02-25T08:00:00+00:00,146.58,-0.109,-2.755,10.876
2026-02-25T08:05:00+00:00,148.378,-0.114,-2.793,10.874
2026-02-25T08:10:00+00:00,155.749,-0.131,-2.91,10.814
2026-02-25T08:15:00+00:00,158.602,-0.138,-2.96,10.774
2026-02-25T08:20:00+00:00,156.33,-0.141,-2.919,10.811
2026-02-25T08:25:00+00:00,154.778,-0.138,-2.901,10.837
2026-02-25T08:30:00+00:00,158.126,-0.138,-2.973,10.856
2026-02-25T08:35:00+00:00,158.609,-0.138,-2.984,10.878
