ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,39.98,0.17,-0.74,11.297
2026-02-25T00:10:00+00:00,39.991,0.17,-0.74,11.38
2026-02-25T00:15:00+00:00,44.177,0.001,-0.815,11.394
2026-02-25T00:20:00+00:00,52.284,-0.128,-0.963,11.429
2026-02-25T00:25:00+00:00,48.76,-0.117,-0.924,11.445
2026-02-25T00:30:00+00:00,50.736,-0.132,-0.961,11.465
2026-02-25T00:35:00+00:00,52.421,-0.153,-0.99,11.418
2026-02-25T00:40:00+00:00,56.569,-0.157,-1.071,11.444
2026-02-25T00:45:00+00:00,59.021,-0.171,-1.103,11.511
2026-02-25T00:50:00+00:00,57.668,-0.157,-1.082,11.528
2026-02-25T00:55:00+00:00,56.893,-0.146,-1.089,11.547
2026-02-25T01:00:00+00:00,55.377,-0.136,-1.051,11.553
2026-02-25T01:05:00+00:00,55.575,-0.144,-1.058,11.513
2026-02-25T01:10:00+00:00,56.169,-0.157,-1.071,11.513
2026-02-25T01:15:00+00:00,54.161,-0.149,-1.031,11.529
2026-02-25T01:20:00+00:00,53.366,-0.141,-1.009,11.547
2026-02-25T01:25:00+00:00,53.885,-0.158,-1.019,11.569
2026-02-25T01:30:00+00:00,54.631,-0.136,-1.035,11.586
2026-02-25T01:35:00+00:00,55.03,-0.15,-1.058,11.58
2026-02-25T01:40:00+00:00,55.403,-0.121,-1.053,11.577
2026-02-25T01:45:00+00:00,55.597,-0.15,-1.061,11.597
2026-02-25T01:50:00+00:00,54.216,-0.147,-1.032,11.631
2026-02-25T01:55:00+00:00,54.102,-0.137,-1.042,11.639
2026-02-25T02:00:00+00:00,53.916,-0.117,-1.052,11.642
2026-02-25T02:05:00+00:00,54.578,-0.118,-1.055,11.624
2026-02-25T02:10:00+00:00,53.802,-0.108,-1.031,11.637
2026-02-25T02:15:00+00:00,53.428,-0.109,-1.019,11.618
2026-02-25T02:20:00+00:00,54.105,-0.119,-1.024,11.52
2026-02-25T02:25:00+00:00,54.134,-0.118,-1.055,11.54
2026-02-25T02:30:00+00:00,55.475,-0.112,-1.067,11.555
2026-02-25T02:35:00+00:00,53.647,-0.118,-1.017,11.551
