ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,206.74,2.43,-3.118,11.236
2026-02-25T00:10:00+00:00,215.055,2.379,-3.358,11.234
2026-02-25T00:15:00+00:00,224.176,2.393,-3.5,11.283
2026-02-25T00:20:00+00:00,224.53,2.435,-3.49,11.304
2026-02-25T00:25:00+00:00,225.39,2.456,-3.488,11.302
2026-02-25T00:30:00+00:00,228.568,2.456,-3.568,11.315
2026-02-25T00:35:00+00:00,235.764,2.494,-3.788,11.305
2026-02-25T00:40:00+00:00,243.12,2.448,-4.019,11.337
2026-02-25T00:45:00+00:00,247.129,2.461,-4.104,11.334
2026-02-25T00:50:00+00:00,246.672,2.455,-4.095,11.343
2026-02-25T00:55:00+00:00,245.687,2.456,-4.081,11.367
2026-02-25T01:00:00+00:00,241.64,2.478,-3.984,11.386
2026-02-25T01:05:00+00:00,242.098,2.456,-4.009,11.356
2026-02-25T01:10:00+00:00,241.659,2.454,-3.99,11.357
2026-02-25T01:15:00+00:00,239.532,2.454,-3.95,11.374
2026-02-25T01:20:00+00:00,237.094,2.447,-3.916,11.384
2026-02-25T01:25:00+00:00,234.95,2.43,-3.873,11.39
2026-02-25T01:30:00+00:00,234.704,2.437,-3.864,11.402
2026-02-25T01:35:00+00:00,232.756,2.43,-3.816,11.398
2026-02-25T01:40:00+00:00,233.384,2.452,-3.822,11.41
2026-02-25T01:45:00+00:00,233.058,2.472,-3.786,11.423
2026-02-25T01:50:00+00:00,229.486,2.484,-3.696,11.343
2026-02-25T01:55:00+00:00,228.668,2.484,-3.676,11.346
2026-02-25T02:00:00+00:00,228.519,2.505,-3.657,11.348
2026-02-25T02:05:00+00:00,233.176,2.462,-3.778,11.315
2026-02-25T02:10:00+00:00,231.514,2.46,-3.746,11.318
2026-02-25T02:15:00+00:00,228.156,2.504,-3.656,11.36
2026-02-25T02:20:00+00:00,224.782,2.516,-3.573,11.376
2026-02-25T02:25:00+00:00,224.778,2.511,-3.582,11.389
2026-02-25T02:30:00+00:00,224.13,2.507,-3.564,11.405
2026-02-25T02:35:00+00:00,221.098,2.497,-3.504,11.39
2026-02-25T02:40:00+00:00,219.88,2.488,-3.476,11.396
2026-02-25T02:45:00+00:00,218.662,2.497,-3.454,11.412
2026-02-25T02:50:00+00:00,218.768,2.52,-3.416,11.362
2026-02-25T02:55:00+00:00,215.814,2.486,-3.338,11.29
2026-02-25T03:00:00+00:00,215.36,2.485,-3.332,11.282
2026-02-25T03:05:00+00:00,211.475,2.459,-3.234,11.26
2026-02-25T03:10:00+00:00,211.293,2.458,-3.233,11.252
2026-02-25T03:15:00+00:00,212.107,2.486,-3.224,11.264
2026-02-25T03:20:00+00:00,207.681,2.516,-3.116,11.282
2026-02-25T03:25:00+00:00,206.876,2.464,-3.117,11.276
2026-02-25T03:30:00+00:00,207.921,2.476,-3.144,11.28
2026-02-25T03:35:00+00:00,203.715,2.484,-3.034,11.282
2026-02-25T03:40:00+00:00,203.352,2.458,-3.033,11.274
2026-02-25T03:45:00+00:00,202.106,2.473,-3.018,11.3
2026-02-25T03:50:00+00:00,201.108,2.494,-2.98,11.313
2026-02-25T03:55:00+00:00,201.32,2.519,-2.971,11.332
2026-02-25T04:00:00+00:00,200.212,2.512,-2.936,11.34
2026-02-25T04:05:00+00:00,200.807,2.44,-2.954,11.201
2026-02-25T04:10:00+00:00,201.322,2.448,-2.979,11.22
2026-02-25T04:15:00+00:00,205.338,2.451,-3.016,11.272
2026-02-25T04:20:00+00:00,203.403,2.472,-3.016,11.308
2026-02-25T04:25:00+00:00,201.643,2.488,-3.017,11.343
2026-02-25T04:30:00+00:00,200.696,2.491,-2.974,11.345
