ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,68.513,-0.386,1.216,10.71
2026-02-25T00:10:00+00:00,74.052,-0.386,1.309,10.674
2026-02-25T00:15:00+00:00,73.224,-0.378,1.322,10.803
2026-02-25T00:20:00+00:00,72.97,-0.388,1.319,10.817
2026-02-25T00:25:00+00:00,72.926,-0.388,1.326,10.82
2026-02-25T00:30:00+00:00,73.102,-0.384,1.33,10.835
2026-02-25T00:35:00+00:00,76.393,-0.352,1.386,10.802
2026-02-25T00:40:00+00:00,78.224,-0.347,1.422,10.782
2026-02-25T00:45:00+00:00,77.877,-0.362,1.422,10.796
2026-02-25T00:50:00+00:00,77.854,-0.368,1.417,10.811
2026-02-25T00:55:00+00:00,77.548,-0.37,1.413,10.824
2026-02-25T01:00:00+00:00,76.598,-0.366,1.393,10.834
2026-02-25T01:05:00+00:00,76.384,-0.351,1.386,10.806
2026-02-25T01:10:00+00:00,76.466,-0.352,1.388,10.806
2026-02-25T01:15:00+00:00,75.367,-0.371,1.358,10.818
2026-02-25T01:20:00+00:00,75.134,-0.348,1.358,10.828
2026-02-25T01:25:00+00:00,73.603,-0.362,1.334,10.839
2026-02-25T01:30:00+00:00,74.864,-0.369,1.354,10.849
2026-02-25T01:35:00+00:00,74.051,-0.368,1.346,10.842
2026-02-25T01:40:00+00:00,73.524,-0.376,1.328,10.854
2026-02-25T01:45:00+00:00,78.478,-0.473,1.326,10.84
2026-02-25T01:50:00+00:00,71.64,-0.37,1.288,10.747
2026-02-25T01:55:00+00:00,70.785,-0.368,1.287,10.766
2026-02-25T02:00:00+00:00,71.311,-0.364,1.294,10.768
2026-02-25T02:05:00+00:00,73.12,-0.374,1.324,10.742
2026-02-25T02:10:00+00:00,73.068,-0.366,1.307,10.753
2026-02-25T02:15:00+00:00,73.21,-0.361,1.326,10.784
2026-02-25T02:20:00+00:00,72.893,-0.374,1.321,10.795
2026-02-25T02:25:00+00:00,74.48,-0.364,1.327,10.758
2026-02-25T02:30:00+00:00,73.615,-0.374,1.302,10.651
2026-02-25T02:35:00+00:00,70.414,-0.365,1.248,10.642
2026-02-25T02:40:00+00:00,69.432,-0.36,1.236,10.647
2026-02-25T02:45:00+00:00,69.508,-0.371,1.231,10.665
2026-02-25T02:50:00+00:00,69.324,-0.366,1.221,10.686
2026-02-25T02:55:00+00:00,67.96,-0.368,1.19,10.674
2026-02-25T03:00:00+00:00,67.964,-0.373,1.196,10.682
2026-02-25T03:05:00+00:00,68.02,-0.37,1.189,10.644
2026-02-25T03:10:00+00:00,67.086,-0.363,1.162,10.622
2026-02-25T03:15:00+00:00,64.84,-0.376,1.134,10.634
2026-02-25T03:20:00+00:00,65.748,-0.387,1.146,10.644
2026-02-25T03:25:00+00:00,63.986,-0.37,1.126,10.654
2026-02-25T03:30:00+00:00,63.935,-0.36,1.124,10.664
2026-02-25T03:35:00+00:00,62.648,-0.364,1.1,10.653
2026-02-25T03:40:00+00:00,64.828,-0.37,1.136,10.656
2026-02-25T03:45:00+00:00,62.456,-0.373,1.092,10.689
2026-02-25T03:50:00+00:00,62.643,-0.358,1.097,10.698
2026-02-25T03:55:00+00:00,61.893,-0.351,1.079,10.715
2026-02-25T04:00:00+00:00,60.054,-0.346,1.046,10.73
2026-02-25T04:05:00+00:00,61.03,-0.347,1.064,10.749
2026-02-25T04:10:00+00:00,61.15,-0.35,1.092,10.752
2026-02-25T04:15:00+00:00,59.002,-0.348,1.034,10.748
2026-02-25T04:20:00+00:00,58.893,-0.368,1.022,10.742
