ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,194.44,3.007,0.889,-2.22,11.251
2026-02-25T00:10:00+00:00,204.092,3.052,0.9,-2.318,11.231
2026-02-25T00:15:00+00:00,207.504,3.092,0.903,-2.359,11.23
2026-02-25T00:20:00+00:00,207.957,3.132,0.882,-2.37,11.218
2026-02-25T00:25:00+00:00,206.496,3.173,0.909,-2.365,11.232
2026-02-25T00:30:00+00:00,206.212,3.213,0.881,-2.374,11.236
2026-02-25T00:35:00+00:00,212.145,3.253,0.874,-2.439,11.206
2026-02-25T00:40:00+00:00,215.898,3.279,0.825,-2.49,11.247
2026-02-25T00:45:00+00:00,219.116,3.292,0.842,-2.52,11.256
2026-02-25T00:50:00+00:00,217.808,3.28,0.801,-2.507,11.264
2026-02-25T00:55:00+00:00,215.095,3.238,0.781,-2.481,11.282
2026-02-25T01:00:00+00:00,211.932,3.199,0.779,-2.45,11.286
2026-02-25T01:05:00+00:00,215.388,3.182,0.761,-2.474,11.262
2026-02-25T01:10:00+00:00,217.2,3.168,0.748,-2.489,11.254
2026-02-25T01:15:00+00:00,214.183,3.156,0.754,-2.463,11.27
2026-02-25T01:20:00+00:00,212.571,3.142,0.772,-2.446,11.288
2026-02-25T01:25:00+00:00,209.75,3.128,0.828,-2.414,11.311
2026-02-25T01:30:00+00:00,205.808,3.115,0.843,-2.378,11.326
2026-02-25T01:35:00+00:00,206.83,3.102,0.774,-2.384,11.316
2026-02-25T01:40:00+00:00,207.044,3.088,0.786,-2.383,11.328
2026-02-25T01:45:00+00:00,207.513,3.075,0.761,-2.387,11.34
2026-02-25T01:50:00+00:00,203.719,3.061,0.77,-2.354,11.367
2026-02-25T01:55:00+00:00,202.446,3.048,0.768,-2.342,11.378
2026-02-25T02:00:00+00:00,203.877,3.034,0.752,-2.352,11.372
2026-02-25T02:05:00+00:00,205.526,3.022,0.756,-2.364,11.358
2026-02-25T02:10:00+00:00,203.054,3.008,0.754,-2.338,11.37
2026-02-25T02:15:00+00:00,202.38,2.994,0.805,-2.333,11.398
2026-02-25T02:20:00+00:00,201.727,2.981,0.829,-2.324,11.413
2026-02-25T02:25:00+00:00,196.758,2.966,0.858,-2.271,11.382
2026-02-25T02:30:00+00:00,193.611,2.942,0.867,-2.226,11.323
2026-02-25T02:35:00+00:00,192.35,2.918,0.854,-2.205,11.273
2026-02-25T02:40:00+00:00,194.57,2.893,0.865,-2.22,11.28
2026-02-25T02:45:00+00:00,192.311,2.869,0.867,-2.196,11.29
2026-02-25T02:50:00+00:00,191.414,2.844,0.848,-2.191,11.328
2026-02-25T02:55:00+00:00,189.935,2.82,0.838,-2.172,11.334
2026-02-25T03:00:00+00:00,187.767,2.795,0.85,-2.143,11.336
2026-02-25T03:05:00+00:00,190.352,2.771,0.858,-2.147,11.242
2026-02-25T03:10:00+00:00,188.816,2.746,0.853,-2.123,11.232
2026-02-25T03:15:00+00:00,186.691,2.722,0.853,-2.099,11.239
2026-02-25T03:20:00+00:00,187.088,2.698,0.84,-2.099,11.242
2026-02-25T03:25:00+00:00,184.124,2.684,0.843,-2.064,11.248
2026-02-25T03:30:00+00:00,182.58,2.694,0.845,-2.053,11.258
2026-02-25T03:35:00+00:00,181.182,2.705,0.85,-2.039,11.243
2026-02-25T03:40:00+00:00,179.785,2.715,0.848,-2.028,11.233
2026-02-25T03:45:00+00:00,178.759,2.726,0.844,-2.024,11.254
2026-02-25T03:50:00+00:00,178.232,2.737,0.837,-2.022,11.26
2026-02-25T03:55:00+00:00,177.965,2.747,0.844,-2.023,11.278
2026-02-25T04:00:00+00:00,177.48,2.758,0.855,-2.023,11.294
2026-02-25T04:05:00+00:00,183.766,2.769,0.849,-2.095,11.312
2026-02-25T04:10:00+00:00,180.971,2.78,0.85,-2.067,11.321
2026-02-25T04:15:00+00:00,178.726,2.79,0.85,-2.047,11.313
2026-02-25T04:20:00+00:00,180.719,2.801,0.85,-2.066,11.302
2026-02-25T04:25:00+00:00,180.146,2.811,0.873,-2.062,11.312
2026-02-25T04:30:00+00:00,177.056,2.822,0.877,-2.035,11.316
2026-02-25T04:35:00+00:00,178.019,2.833,0.875,-2.047,11.314
2026-02-25T04:40:00+00:00,176.284,2.843,0.872,-2.033,11.315
2026-02-25T04:45:00+00:00,176.207,2.854,0.866,-2.037,11.328
2026-02-25T04:50:00+00:00,177.648,2.865,0.866,-2.054,11.327
2026-02-25T04:55:00+00:00,179.959,2.875,0.862,-2.077,11.325
2026-02-25T05:00:00+00:00,180.509,2.886,0.878,-2.085,11.333
2026-02-25T05:05:00+00:00,180.089,2.897,0.865,-2.082,11.311
2026-02-25T05:10:00+00:00,179.275,2.907,0.878,-2.071,11.295
2026-02-25T05:15:00+00:00,178.398,2.918,0.892,-2.065,11.292
2026-02-25T05:20:00+00:00,180.388,2.929,0.883,-2.088,11.29
2026-02-25T05:25:00+00:00,179.945,2.94,0.89,-2.087,11.288
2026-02-25T05:30:00+00:00,179.601,2.95,0.893,-2.086,11.292
2026-02-25T05:35:00+00:00,182.228,2.961,0.91,-2.113,11.298
2026-02-25T05:40:00+00:00,183.845,2.972,0.899,-2.132,11.29
2026-02-25T05:45:00+00:00,188.588,2.982,0.894,-2.175,11.262
2026-02-25T05:50:00+00:00,192.36,2.995,0.908,-2.212,11.25
2026-02-25T05:55:00+00:00,199.084,3.045,0.915,-2.29,11.255
2026-02-25T06:00:00+00:00,202.035,3.112,0.908,-2.335,11.242
2026-02-25T06:05:00+00:00,203.966,3.178,0.892,-2.365,11.182
2026-02-25T06:10:00+00:00,214.701,3.25,0.811,-2.491,11.242
2026-02-25T06:15:00+00:00,220.069,3.329,0.797,-2.562,11.265
2026-02-25T06:20:00+00:00,223.048,3.407,0.801,-2.603,11.266
2026-02-25T06:25:00+00:00,226.726,3.468,0.811,-2.649,11.253
2026-02-25T06:30:00+00:00,229.156,3.545,0.825,-2.691,11.247
2026-02-25T06:35:00+00:00,237.167,3.656,0.83,-2.797,11.234
2026-02-25T06:40:00+00:00,240.87,3.73,0.818,-2.864,11.279
2026-02-25T06:45:00+00:00,245.211,3.775,0.8,-2.924,11.29
2026-02-25T06:50:00+00:00,249.482,3.82,0.8,-2.991,11.32
2026-02-25T06:55:00+00:00,249.948,3.865,0.801,-3.005,11.298
2026-02-25T07:00:00+00:00,252.389,3.871,0.806,-3.046,11.306
2026-02-25T07:05:00+00:00,253.78,3.868,0.814,-3.07,11.274
2026-02-25T07:10:00+00:00,262.643,3.972,0.795,-3.157,11.22
2026-02-25T07:15:00+00:00,268.798,4.026,0.739,-3.223,11.175
2026-02-25T07:20:00+00:00,271.068,4.079,0.722,-3.272,11.239
2026-02-25T07:25:00+00:00,276.225,4.123,0.717,-3.332,11.252
2026-02-25T07:30:00+00:00,275.932,4.136,0.741,-3.344,11.279
2026-02-25T07:35:00+00:00,273.296,4.138,0.709,-3.317,11.247
2026-02-25T07:40:00+00:00,276.616,4.139,0.717,-3.346,11.215
2026-02-25T07:45:00+00:00,270.744,4.141,0.769,-3.302,11.236
2026-02-25T07:50:00+00:00,273.126,4.178,0.746,-3.329,11.229
2026-02-25T07:55:00+00:00,284.196,4.275,0.684,-3.433,11.193
2026-02-25T08:00:00+00:00,286.338,4.238,0.659,-3.462,11.182
2026-02-25T08:05:00+00:00,289.451,4.296,0.683,-3.51,11.192
2026-02-25T08:10:00+00:00,290.434,4.351,0.692,-3.531,11.183
2026-02-25T08:15:00+00:00,287.773,4.402,0.686,-3.519,11.182
2026-02-25T08:20:00+00:00,292.96,4.454,0.688,-3.577,11.2
2026-02-25T08:25:00+00:00,296.312,4.502,0.685,-3.593,11.208
2026-02-25T08:30:00+00:00,296.92,4.434,0.718,-3.593,11.242
2026-02-25T08:35:00+00:00,290.631,4.331,0.734,-3.517,11.248
2026-02-25T08:40:00+00:00,289.088,4.302,0.727,-3.529,11.26
2026-02-25T08:45:00+00:00,285.368,4.264,0.729,-3.475,11.266
2026-02-25T08:50:00+00:00,284.76,4.226,0.733,-3.464,11.27
2026-02-25T08:55:00+00:00,288.038,4.187,0.737,-3.5,11.261
2026-02-25T09:00:00+00:00,284.953,4.148,0.744,-3.454,11.273
2026-02-25T09:05:00+00:00,277.709,4.099,0.742,-3.36,11.26
2026-02-25T09:10:00+00:00,270.588,4.011,0.719,-3.248,11.258
2026-02-25T09:15:00+00:00,254.671,3.824,0.729,-3.048,11.264
2026-02-25T09:20:00+00:00,263.093,3.996,0.734,-3.173,11.262
2026-02-25T09:25:00+00:00,279.692,4.225,0.719,-3.413,11.27
2026-02-25T09:30:00+00:00,285.674,4.224,0.728,-3.484,11.284
2026-02-25T09:35:00+00:00,278.976,4.17,0.733,-3.403,11.292
2026-02-25T09:40:00+00:00,278.503,4.117,0.715,-3.383,11.298
2026-02-25T09:45:00+00:00,278.487,4.063,0.697,-3.371,11.302
2026-02-25T09:50:00+00:00,272.862,4.06,0.688,-3.329,11.302
2026-02-25T09:55:00+00:00,274.248,4.182,0.676,-3.369,11.318
2026-02-25T10:00:00+00:00,269.622,4.122,0.678,-3.283,11.346
2026-02-25T10:05:00+00:00,253.166,4.046,0.712,-3.076,11.374
2026-02-25T10:10:00+00:00,256.962,4.006,0.704,-3.139,11.37
2026-02-25T10:15:00+00:00,261.626,3.965,0.734,-3.2,11.388
2026-02-25T10:20:00+00:00,265.362,3.924,0.732,-3.226,11.406
2026-02-25T10:25:00+00:00,260.657,3.884,0.682,-3.166,11.402
2026-02-25T10:30:00+00:00,257.953,3.844,0.636,-3.124,11.408
2026-02-25T10:35:00+00:00,242.904,3.677,0.662,-2.914,11.35
2026-02-25T10:40:00+00:00,235.037,3.466,0.651,-2.768,11.336
2026-02-25T10:45:00+00:00,227.322,3.436,0.655,-2.713,11.364
2026-02-25T10:50:00+00:00,218.48,3.397,0.638,-2.615,11.394
2026-02-25T10:55:00+00:00,162.914,2.442,0.513,-1.84,11.378
2026-02-25T11:00:00+00:00,118.738,1.77,0.407,-1.301,11.407
2026-02-25T11:05:00+00:00,98.282,1.665,0.407,-1.058,11.4
2026-02-25T11:10:00+00:00,119.432,1.874,0.452,-1.322,11.383
2026-02-25T11:15:00+00:00,115.032,1.9,0.464,-1.272,11.359
2026-02-25T11:20:00+00:00,92.882,1.43,0.343,-0.989,11.36
2026-02-25T11:25:00+00:00,102.362,1.596,0.411,-1.106,11.384
2026-02-25T11:30:00+00:00,64.618,0.936,0.224,-0.686,11.393
