ValueDate,Current Inst,MVA Inst,Volts Inst
2026-02-25T00:05:00+00:00,149.032,3.465,10.963
2026-02-25T00:10:00+00:00,155.902,3.465,11.052
2026-02-25T00:15:00+00:00,155.173,3.465,11.122
2026-02-25T00:20:00+00:00,154.211,3.465,11.121
2026-02-25T00:25:00+00:00,153.418,3.465,11.108
2026-02-25T00:30:00+00:00,152.032,3.465,11.13
2026-02-25T00:35:00+00:00,156.01,3.465,11.104
2026-02-25T00:40:00+00:00,159.055,3.465,11.102
2026-02-25T00:45:00+00:00,161.694,3.465,11.146
2026-02-25T00:50:00+00:00,160.275,3.465,11.176
2026-02-25T00:55:00+00:00,157.889,3.465,11.186
2026-02-25T01:00:00+00:00,158.416,3.465,11.188
2026-02-25T01:05:00+00:00,159.533,3.465,11.164
2026-02-25T01:10:00+00:00,159.338,3.465,11.172
2026-02-25T01:15:00+00:00,158.678,3.465,11.186
2026-02-25T01:20:00+00:00,156.764,3.465,11.204
2026-02-25T01:25:00+00:00,155.449,3.465,11.155
2026-02-25T01:30:00+00:00,154.561,3.465,11.106
2026-02-25T01:35:00+00:00,153.2,3.465,11.094
2026-02-25T01:40:00+00:00,152.937,3.465,11.106
2026-02-25T01:45:00+00:00,152.046,3.465,11.124
2026-02-25T01:50:00+00:00,150.33,3.465,11.119
2026-02-25T01:55:00+00:00,149.183,3.465,10.987
2026-02-25T02:00:00+00:00,147.658,3.465,10.977
2026-02-25T02:05:00+00:00,151.046,3.465,10.966
2026-02-25T02:10:00+00:00,149.218,3.465,10.986
2026-02-25T02:15:00+00:00,149.882,3.465,11.008
2026-02-25T02:20:00+00:00,147.977,3.465,11.016
2026-02-25T02:25:00+00:00,146.215,3.465,11.034
2026-02-25T02:30:00+00:00,144.708,3.465,11.043
2026-02-25T02:35:00+00:00,145.692,3.465,11.026
2026-02-25T02:40:00+00:00,146.654,3.465,11.031
2026-02-25T02:45:00+00:00,145.607,3.465,11.056
2026-02-25T02:50:00+00:00,145.079,3.465,11.084
2026-02-25T02:55:00+00:00,143.156,3.465,11.092
2026-02-25T03:00:00+00:00,142.672,3.465,11.084
