ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,111.94,2.26,-0.25,2.238,10.94
2026-02-25T00:10:00+00:00,116.904,2.34,-0.252,2.316,10.894
2026-02-25T00:15:00+00:00,118.492,2.351,-0.247,2.327,10.924
2026-02-25T00:20:00+00:00,118.261,2.327,-0.242,2.305,10.95
2026-02-25T00:25:00+00:00,119.214,2.327,-0.238,2.305,11.035
2026-02-25T00:30:00+00:00,117.774,2.327,-0.233,2.304,11.051
2026-02-25T00:35:00+00:00,117.884,2.249,-0.228,2.231,11.028
2026-02-25T00:40:00+00:00,119.435,2.206,-0.224,2.18,11.058
2026-02-25T00:45:00+00:00,116.459,2.258,-0.219,2.214,11.126
2026-02-25T00:50:00+00:00,119.639,2.254,-0.219,2.208,11.102
2026-02-25T00:55:00+00:00,115.306,2.152,-0.236,2.138,11.026
2026-02-25T01:00:00+00:00,116.085,2.142,-0.257,2.127,10.904
2026-02-25T01:05:00+00:00,114.259,2.132,-0.272,2.117,10.908
2026-02-25T01:10:00+00:00,114.716,2.122,-0.268,2.106,10.94
2026-02-25T01:15:00+00:00,115.636,2.112,-0.262,2.096,10.968
2026-02-25T01:20:00+00:00,112.377,2.101,-0.256,2.085,10.994
2026-02-25T01:25:00+00:00,110.516,2.09,-0.251,2.074,11.003
2026-02-25T01:30:00+00:00,111.041,2.08,-0.245,2.064,11.005
2026-02-25T01:35:00+00:00,114.252,2.07,-0.239,2.054,10.994
2026-02-25T01:40:00+00:00,112.432,2.06,-0.234,2.043,11.01
2026-02-25T01:45:00+00:00,110.58,2.05,-0.227,2.032,11.032
2026-02-25T01:50:00+00:00,110.413,2.039,-0.222,2.022,11.034
2026-02-25T01:55:00+00:00,106.89,2.037,-0.22,2.019,10.994
2026-02-25T02:00:00+00:00,108.618,2.038,-0.22,2.019,10.986
2026-02-25T02:05:00+00:00,108.238,2.038,-0.221,2.02,10.976
2026-02-25T02:10:00+00:00,108.439,2.039,-0.221,2.021,10.987
2026-02-25T02:15:00+00:00,108.116,2.039,-0.222,2.021,11.02
2026-02-25T02:20:00+00:00,108.986,2.039,-0.222,2.021,11.034
2026-02-25T02:25:00+00:00,108.806,2.04,-0.222,2.021,11.04
2026-02-25T02:30:00+00:00,106.888,2.041,-0.222,2.021,11.055
2026-02-25T02:35:00+00:00,106.626,2.041,-0.223,2.022,11.038
2026-02-25T02:40:00+00:00,107.715,2.042,-0.223,2.022,11.046
2026-02-25T02:45:00+00:00,105.762,2.042,-0.223,2.022,11.076
2026-02-25T02:50:00+00:00,109.881,2.042,-0.223,2.022,10.922
2026-02-25T02:55:00+00:00,109.33,2.043,-0.224,2.023,10.924
2026-02-25T03:00:00+00:00,109.246,2.043,-0.225,2.023,10.93
2026-02-25T03:05:00+00:00,111.486,2.058,-0.225,2.022,10.875
2026-02-25T03:10:00+00:00,111.645,2.096,-0.225,2.022,10.92
2026-02-25T03:15:00+00:00,110.204,2.092,-0.228,2.021,10.948
2026-02-25T03:20:00+00:00,111.339,2.078,-0.229,2.019,10.966
2026-02-25T03:25:00+00:00,110.148,2.063,-0.23,2.018,10.958
2026-02-25T03:30:00+00:00,111.567,2.048,-0.232,2.017,10.954
2026-02-25T03:35:00+00:00,110.182,2.034,-0.234,2.016,10.954
2026-02-25T03:40:00+00:00,109.306,2.018,-0.236,2.015,10.968
2026-02-25T03:45:00+00:00,108.854,2.004,-0.238,2.014,11.016
2026-02-25T03:50:00+00:00,108.33,1.99,-0.239,2.013,11.016
2026-02-25T03:55:00+00:00,107.876,1.975,-0.241,2.011,11.022
2026-02-25T04:00:00+00:00,107.008,1.969,-0.242,2.021,11.036
2026-02-25T04:05:00+00:00,108.708,1.99,-0.244,2.06,11.028
2026-02-25T04:10:00+00:00,107.806,2.042,-0.249,2.096,10.964
2026-02-25T04:15:00+00:00,108.89,2.114,-0.256,2.124,10.961
2026-02-25T04:20:00+00:00,112.77,2.18,-0.262,2.15,10.941
2026-02-25T04:25:00+00:00,114.264,2.184,-0.269,2.175,10.933
2026-02-25T04:30:00+00:00,112.158,2.174,-0.276,2.198,10.924
2026-02-25T04:35:00+00:00,112.852,2.165,-0.283,2.222,10.9
2026-02-25T04:40:00+00:00,110.851,2.156,-0.29,2.246,10.915
2026-02-25T04:45:00+00:00,110.794,2.195,-0.297,2.268,10.927
2026-02-25T04:50:00+00:00,118.139,2.309,-0.304,2.308,10.9
2026-02-25T04:55:00+00:00,123.216,2.38,-0.31,2.362,10.903
2026-02-25T05:00:00+00:00,125.212,2.43,-0.318,2.414,10.92
2026-02-25T05:05:00+00:00,129.291,2.487,-0.324,2.46,10.906
2026-02-25T05:10:00+00:00,128.742,2.518,-0.331,2.473,10.858
2026-02-25T05:15:00+00:00,132.32,2.54,-0.336,2.486,10.902
2026-02-25T05:20:00+00:00,134.634,2.522,-0.338,2.499,10.891
2026-02-25T05:25:00+00:00,132.326,2.501,-0.34,2.512,10.913
2026-02-25T05:30:00+00:00,131.188,2.512,-0.341,2.526,10.934
2026-02-25T05:35:00+00:00,132.289,2.546,-0.342,2.539,10.94
2026-02-25T05:40:00+00:00,132.558,2.581,-0.344,2.552,10.948
2026-02-25T05:45:00+00:00,132.546,2.615,-0.344,2.565,10.904
2026-02-25T05:50:00+00:00,137.168,2.646,-0.345,2.579,10.883
2026-02-25T05:55:00+00:00,141.258,2.663,-0.346,2.6,10.896
2026-02-25T06:00:00+00:00,141.686,2.69,-0.347,2.63,10.892
2026-02-25T06:05:00+00:00,141.426,2.721,-0.348,2.666,10.954
2026-02-25T06:10:00+00:00,143.158,2.752,-0.35,2.702,10.908
2026-02-25T06:15:00+00:00,141.706,2.784,-0.351,2.737,11.068
2026-02-25T06:20:00+00:00,143.016,2.806,-0.353,2.764,11.059
2026-02-25T06:25:00+00:00,142.118,2.821,-0.354,2.786,11.074
2026-02-25T06:30:00+00:00,141.872,2.837,-0.356,2.808,11.072
2026-02-25T06:35:00+00:00,145.103,2.852,-0.358,2.788,11.039
2026-02-25T06:40:00+00:00,142.764,2.868,-0.359,2.702,11.028
2026-02-25T06:45:00+00:00,143.812,2.883,-0.361,2.73,10.99
2026-02-25T06:50:00+00:00,144.252,2.899,-0.362,2.756,10.966
2026-02-25T06:55:00+00:00,147.294,2.915,-0.364,2.791,10.928
2026-02-25T07:00:00+00:00,148.534,2.932,-0.366,2.836,10.963
2026-02-25T07:05:00+00:00,150.639,2.962,-0.368,2.892,10.926
2026-02-25T07:10:00+00:00,151.97,2.99,-0.369,2.947,10.965
2026-02-25T07:15:00+00:00,152.048,2.936,-0.37,2.902,11.024
2026-02-25T07:20:00+00:00,150.674,2.924,-0.372,2.891,11.02
2026-02-25T07:25:00+00:00,151.646,2.982,-0.374,2.946,11.028
2026-02-25T07:30:00+00:00,156.287,3.052,-0.375,3.013,11.032
2026-02-25T07:35:00+00:00,160.748,3.086,-0.377,3.046,10.998
2026-02-25T07:40:00+00:00,159.765,3.092,-0.378,3.052,10.966
2026-02-25T07:45:00+00:00,158.517,3.097,-0.38,3.058,10.948
