ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,1.064,-0.005,0.004,11.079
2026-02-25T00:10:00+00:00,1.141,-0.005,0.004,11.06
2026-02-25T00:15:00+00:00,1.217,-0.005,0.004,11.101
2026-02-25T00:20:00+00:00,1.293,-0.005,0.004,11.113
2026-02-25T00:25:00+00:00,1.369,-0.005,0.005,11.123
2026-02-25T00:30:00+00:00,1.445,-0.005,0.005,11.13
2026-02-25T00:35:00+00:00,1.521,-0.005,0.005,11.114
2026-02-25T00:40:00+00:00,1.598,-0.005,0.005,11.129
2026-02-25T00:45:00+00:00,1.674,-0.006,0.006,11.13
2026-02-25T00:50:00+00:00,1.75,-0.006,0.006,11.139
2026-02-25T00:55:00+00:00,1.826,-0.006,0.006,11.157
2026-02-25T01:00:00+00:00,1.902,-0.006,0.006,11.169
2026-02-25T01:05:00+00:00,2.216,-0.006,0.008,11.138
2026-02-25T01:10:00+00:00,3.712,-0.006,0.019,11.132
2026-02-25T01:15:00+00:00,2.991,-0.006,0.014,11.146
2026-02-25T01:20:00+00:00,0.736,-0.006,0.003,11.154
2026-02-25T01:25:00+00:00,0.175,-0.006,0.001,11.168
2026-02-25T01:30:00+00:00,0.324,-0.006,0.002,11.18
2026-02-25T01:35:00+00:00,0.473,-0.006,0.003,11.169
2026-02-25T01:40:00+00:00,0.622,-0.006,0.004,11.179
2026-02-25T01:45:00+00:00,0.772,-0.007,0.005,11.192
2026-02-25T01:50:00+00:00,0.921,-0.007,0.006,11.218
2026-02-25T01:55:00+00:00,3.27,-0.002,0.018,11.229
2026-02-25T02:00:00+00:00,3.13,-0.005,0.017,11.223
2026-02-25T02:05:00+00:00,0.528,-0.003,0.003,11.204
2026-02-25T02:10:00+00:00,0.745,-0.003,0.006,11.218
2026-02-25T02:15:00+00:00,0.603,-0.004,0.004,11.244
2026-02-25T02:20:00+00:00,1.165,-0.002,0.004,11.257
2026-02-25T02:25:00+00:00,0.289,-0.002,0.002,11.241
2026-02-25T02:30:00+00:00,0.569,-0.004,0.004,11.146
2026-02-25T02:35:00+00:00,0.849,-0.006,0.006,11.131
2026-02-25T02:40:00+00:00,2.488,-0.001,0.009,11.14
2026-02-25T02:45:00+00:00,2.226,-0.003,0.007,11.149
2026-02-25T02:50:00+00:00,0.323,-0.004,0.002,11.187
2026-02-25T02:55:00+00:00,1.364,-0.005,0.007,11.153
2026-02-25T03:00:00+00:00,2.291,-0.004,0.009,11.145
