ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,61.272,1.229,0.0,0.0,11.191
2026-02-25T00:10:00+00:00,67.439,1.342,0.0,0.0,11.153
2026-02-25T00:15:00+00:00,72.722,1.441,0.0,0.0,11.343
2026-02-25T00:20:00+00:00,75.37,1.534,0.0,0.0,11.279
2026-02-25T00:25:00+00:00,74.988,1.597,0.0,0.0,11.28
2026-02-25T00:30:00+00:00,76.065,1.649,0.0,0.0,11.287
2026-02-25T00:35:00+00:00,81.538,1.702,0.0,0.0,11.237
2026-02-25T00:40:00+00:00,88.369,1.733,0.0,0.0,11.211
2026-02-25T00:45:00+00:00,92.586,1.729,0.0,0.0,11.22
2026-02-25T00:50:00+00:00,93.234,1.724,0.0,0.0,11.231
2026-02-25T00:55:00+00:00,93.528,1.719,0.0,0.0,11.249
2026-02-25T01:00:00+00:00,92.149,1.714,0.0,0.0,11.257
2026-02-25T01:05:00+00:00,90.083,1.709,0.0,0.0,11.222
2026-02-25T01:10:00+00:00,89.996,1.704,0.0,0.0,11.232
2026-02-25T01:15:00+00:00,88.194,1.699,0.0,0.0,11.246
2026-02-25T01:20:00+00:00,86.858,1.695,0.0,0.0,11.236
2026-02-25T01:25:00+00:00,84.218,1.69,0.0,0.0,11.268
2026-02-25T01:30:00+00:00,84.425,1.685,0.0,0.0,11.282
2026-02-25T01:35:00+00:00,83.494,1.68,0.0,0.0,11.276
2026-02-25T01:40:00+00:00,86.186,1.675,0.0,0.0,11.288
2026-02-25T01:45:00+00:00,83.861,1.67,0.0,0.0,11.303
2026-02-25T01:50:00+00:00,83.483,1.665,0.0,0.0,11.332
2026-02-25T01:55:00+00:00,82.515,1.661,0.0,0.0,11.343
2026-02-25T02:00:00+00:00,82.398,1.655,0.0,0.0,11.337
2026-02-25T02:05:00+00:00,83.87,1.648,0.0,0.0,11.324
2026-02-25T02:10:00+00:00,81.813,1.641,0.0,0.0,11.346
2026-02-25T02:15:00+00:00,81.984,1.633,0.0,0.0,11.368
2026-02-25T02:20:00+00:00,80.9,1.626,0.0,0.0,11.38
2026-02-25T02:25:00+00:00,81.66,1.618,0.0,0.0,11.398
2026-02-25T02:30:00+00:00,79.763,1.611,0.0,0.0,11.344
2026-02-25T02:35:00+00:00,80.603,1.604,0.0,0.0,11.299
2026-02-25T02:40:00+00:00,81.007,1.596,0.0,0.0,11.3
2026-02-25T02:45:00+00:00,79.184,1.589,0.0,0.0,11.328
2026-02-25T02:50:00+00:00,79.34,1.581,0.0,0.0,11.295
2026-02-25T02:55:00+00:00,80.042,1.574,0.0,0.0,11.28
2026-02-25T03:00:00+00:00,78.417,1.566,0.0,0.0,11.28
2026-02-25T03:05:00+00:00,78.305,1.547,0.0,0.0,11.237
2026-02-25T03:10:00+00:00,77.352,1.521,0.0,0.0,11.243
2026-02-25T03:15:00+00:00,76.125,1.495,0.0,0.0,11.26
2026-02-25T03:20:00+00:00,74.283,1.469,0.0,0.0,11.262
2026-02-25T03:25:00+00:00,71.493,1.444,0.0,0.0,11.26
2026-02-25T03:30:00+00:00,71.363,1.421,0.0,0.0,11.277
2026-02-25T03:35:00+00:00,70.851,1.398,0.0,0.0,11.271
2026-02-25T03:40:00+00:00,69.787,1.375,0.0,0.0,11.273
2026-02-25T03:45:00+00:00,68.775,1.36,0.0,0.0,11.3
2026-02-25T03:50:00+00:00,67.276,1.347,0.0,0.0,11.315
2026-02-25T03:55:00+00:00,67.175,1.335,0.0,0.0,11.321
2026-02-25T04:00:00+00:00,66.142,1.323,0.0,0.0,11.317
2026-02-25T04:05:00+00:00,67.52,1.31,0.0,0.0,11.205
2026-02-25T04:10:00+00:00,66.554,1.298,0.0,0.0,11.199
2026-02-25T04:15:00+00:00,64.988,1.286,0.0,0.0,11.181
