ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,110.694,2.152,0.448,-0.59,10.866
2026-02-25T00:10:00+00:00,113.485,2.184,0.446,-0.589,10.898
2026-02-25T00:15:00+00:00,114.354,2.208,0.472,-0.548,11.011
2026-02-25T00:20:00+00:00,115.76,2.209,0.532,-0.469,11.015
2026-02-25T00:25:00+00:00,116.979,2.2,0.538,-0.464,11.008
2026-02-25T00:30:00+00:00,115.631,2.177,0.533,-0.458,11.032
2026-02-25T00:35:00+00:00,112.05,2.12,0.397,-0.624,10.93
2026-02-25T00:40:00+00:00,112.75,2.127,0.398,-0.626,10.892
2026-02-25T00:45:00+00:00,113.479,2.14,0.4,-0.627,10.902
2026-02-25T00:50:00+00:00,113.023,2.143,0.404,-0.631,10.916
2026-02-25T00:55:00+00:00,114.12,2.153,0.406,-0.634,10.93
2026-02-25T01:00:00+00:00,113.053,2.152,0.4,-0.635,10.937
2026-02-25T01:05:00+00:00,112.853,2.15,0.397,-0.639,10.902
2026-02-25T01:10:00+00:00,113.338,2.16,0.399,-0.641,10.906
2026-02-25T01:15:00+00:00,114.13,2.168,0.401,-0.643,10.91
2026-02-25T01:20:00+00:00,114.212,2.178,0.402,-0.648,10.922
2026-02-25T01:25:00+00:00,114.615,2.185,0.404,-0.648,10.931
2026-02-25T01:30:00+00:00,114.745,2.197,0.41,-0.647,10.949
2026-02-25T01:35:00+00:00,116.07,2.209,0.419,-0.647,10.936
2026-02-25T01:40:00+00:00,115.802,2.214,0.421,-0.65,10.952
2026-02-25T01:45:00+00:00,114.416,2.2,0.406,-0.656,10.975
2026-02-25T01:50:00+00:00,114.24,2.197,0.4,-0.657,10.952
2026-02-25T01:55:00+00:00,111.758,2.181,0.39,-0.664,10.933
2026-02-25T02:00:00+00:00,111.592,2.183,0.386,-0.664,10.924
2026-02-25T02:05:00+00:00,112.728,2.192,0.39,-0.664,10.907
2026-02-25T02:10:00+00:00,112.705,2.195,0.39,-0.664,10.918
2026-02-25T02:15:00+00:00,113.535,2.206,0.391,-0.664,10.948
2026-02-25T02:20:00+00:00,113.549,2.213,0.396,-0.667,10.956
2026-02-25T02:25:00+00:00,113.532,2.22,0.397,-0.665,10.973
2026-02-25T02:30:00+00:00,114.094,2.233,0.406,-0.665,10.989
2026-02-25T02:35:00+00:00,112.766,2.217,0.393,-0.671,10.987
2026-02-25T02:40:00+00:00,112.814,2.22,0.392,-0.674,10.998
2026-02-25T02:45:00+00:00,112.609,2.221,0.388,-0.671,11.02
2026-02-25T02:50:00+00:00,116.279,2.246,0.425,-0.634,10.912
2026-02-25T02:55:00+00:00,118.018,2.262,0.518,-0.51,10.869
2026-02-25T03:00:00+00:00,116.27,2.235,0.501,-0.502,10.888
2026-02-25T03:05:00+00:00,115.122,2.212,0.497,-0.498,10.886
2026-02-25T03:10:00+00:00,115.947,2.213,0.506,-0.487,10.929
2026-02-25T03:15:00+00:00,116.459,2.21,0.514,-0.475,10.936
2026-02-25T03:20:00+00:00,115.278,2.192,0.506,-0.471,10.956
2026-02-25T03:25:00+00:00,112.248,2.157,0.492,-0.469,10.965
2026-02-25T03:30:00+00:00,112.632,2.153,0.488,-0.463,10.971
2026-02-25T03:35:00+00:00,112.484,2.145,0.486,-0.463,10.962
2026-02-25T03:40:00+00:00,112.92,2.151,0.496,-0.463,10.973
2026-02-25T03:45:00+00:00,112.524,2.151,0.5,-0.46,11.0
2026-02-25T03:50:00+00:00,114.286,2.158,0.505,-0.459,11.016
2026-02-25T03:55:00+00:00,113.374,2.157,0.506,-0.458,11.028
2026-02-25T04:00:00+00:00,115.17,2.18,0.523,-0.452,11.033
2026-02-25T04:05:00+00:00,112.77,2.138,0.405,-0.616,11.0
2026-02-25T04:10:00+00:00,108.668,2.098,0.377,-0.627,11.032
2026-02-25T04:15:00+00:00,108.197,2.088,0.372,-0.628,11.018
2026-02-25T04:20:00+00:00,107.267,2.081,0.372,-0.632,11.01
2026-02-25T04:25:00+00:00,106.852,2.077,0.371,-0.637,11.028
2026-02-25T04:30:00+00:00,106.068,2.072,0.37,-0.64,11.037
2026-02-25T04:35:00+00:00,107.121,2.081,0.373,-0.641,11.027
2026-02-25T04:40:00+00:00,106.478,2.081,0.374,-0.639,11.038
2026-02-25T04:45:00+00:00,108.198,2.096,0.38,-0.635,11.048
2026-02-25T04:50:00+00:00,109.332,2.112,0.388,-0.632,11.042
2026-02-25T04:55:00+00:00,108.923,2.109,0.385,-0.635,11.048
2026-02-25T05:00:00+00:00,109.1,2.117,0.39,-0.63,11.046
2026-02-25T05:05:00+00:00,108.865,2.116,0.389,-0.633,11.028
2026-02-25T05:10:00+00:00,110.952,2.136,0.398,-0.634,11.003
2026-02-25T05:15:00+00:00,110.886,2.135,0.405,-0.632,11.008
2026-02-25T05:20:00+00:00,109.18,2.128,0.399,-0.636,11.018
2026-02-25T05:25:00+00:00,107.518,2.111,0.382,-0.639,11.026
2026-02-25T05:30:00+00:00,108.223,2.118,0.386,-0.639,11.025
2026-02-25T05:35:00+00:00,109.501,2.134,0.395,-0.634,11.026
2026-02-25T05:40:00+00:00,111.494,2.158,0.41,-0.627,11.003
2026-02-25T05:45:00+00:00,110.004,2.143,0.399,-0.631,10.987
2026-02-25T05:50:00+00:00,110.242,2.145,0.396,-0.626,10.969
2026-02-25T05:55:00+00:00,110.211,2.149,0.396,-0.625,10.968
2026-02-25T06:00:00+00:00,109.649,2.147,0.395,-0.63,10.953
2026-02-25T06:05:00+00:00,112.88,2.169,0.411,-0.628,10.886
2026-02-25T06:10:00+00:00,115.754,2.186,0.521,-0.468,10.878
2026-02-25T06:15:00+00:00,116.404,2.157,0.518,-0.448,10.84
2026-02-25T06:20:00+00:00,113.678,2.115,0.457,-0.527,10.895
2026-02-25T06:25:00+00:00,112.256,2.127,0.407,-0.604,10.971
2026-02-25T06:30:00+00:00,113.082,2.16,0.412,-0.611,10.966
2026-02-25T06:35:00+00:00,113.781,2.198,0.492,-0.519,11.037
2026-02-25T06:40:00+00:00,115.841,2.212,0.533,-0.455,11.003
2026-02-25T06:45:00+00:00,115.798,2.21,0.53,-0.455,10.976
2026-02-25T06:50:00+00:00,117.412,2.222,0.536,-0.448,10.948
2026-02-25T06:55:00+00:00,117.5,2.222,0.536,-0.447,10.926
2026-02-25T07:00:00+00:00,117.506,2.222,0.533,-0.446,10.934
2026-02-25T07:05:00+00:00,118.875,2.233,0.539,-0.441,10.888
2026-02-25T07:10:00+00:00,119.242,2.246,0.551,-0.435,10.965
