ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,193.925,0.104,3.609,10.747
2026-02-25T00:10:00+00:00,200.004,0.122,3.766,10.864
2026-02-25T00:15:00+00:00,199.501,0.17,3.779,10.937
2026-02-25T00:20:00+00:00,195.763,0.124,3.712,10.942
2026-02-25T00:25:00+00:00,194.515,0.124,3.684,10.94
2026-02-25T00:30:00+00:00,193.587,0.129,3.67,10.958
2026-02-25T00:35:00+00:00,193.808,0.13,3.67,10.939
2026-02-25T00:40:00+00:00,195.062,0.14,3.693,10.936
2026-02-25T00:45:00+00:00,197.106,0.196,3.741,10.968
2026-02-25T00:50:00+00:00,193.313,0.148,3.677,10.998
2026-02-25T00:55:00+00:00,190.29,0.143,3.626,11.013
2026-02-25T01:00:00+00:00,191.527,0.175,3.65,11.02
2026-02-25T01:05:00+00:00,195.745,0.17,3.72,10.994
2026-02-25T01:10:00+00:00,197.14,0.142,3.754,10.994
2026-02-25T01:15:00+00:00,195.703,0.144,3.73,11.006
2026-02-25T01:20:00+00:00,192.579,0.133,3.674,11.02
2026-02-25T01:25:00+00:00,194.416,0.13,3.714,11.035
2026-02-25T01:30:00+00:00,194.7,0.121,3.686,10.982
2026-02-25T01:35:00+00:00,193.861,0.131,3.665,10.984
2026-02-25T01:40:00+00:00,195.72,0.134,3.702,10.984
2026-02-25T01:45:00+00:00,193.44,0.11,3.666,11.002
2026-02-25T01:50:00+00:00,189.748,0.093,3.595,10.95
2026-02-25T01:55:00+00:00,188.611,0.048,3.534,10.816
2026-02-25T02:00:00+00:00,189.644,0.041,3.55,10.804
2026-02-25T02:05:00+00:00,192.488,0.069,3.595,10.787
2026-02-25T02:10:00+00:00,193.402,0.046,3.614,10.796
2026-02-25T02:15:00+00:00,195.714,0.052,3.662,10.821
2026-02-25T02:20:00+00:00,192.884,0.048,3.616,10.831
2026-02-25T02:25:00+00:00,191.357,0.028,3.592,10.841
2026-02-25T02:30:00+00:00,190.646,0.05,3.58,10.853
2026-02-25T02:35:00+00:00,191.964,0.106,3.6,10.844
2026-02-25T02:40:00+00:00,191.557,0.09,3.598,10.852
2026-02-25T02:45:00+00:00,186.395,0.025,3.507,10.87
2026-02-25T02:50:00+00:00,186.462,0.04,3.52,10.901
2026-02-25T02:55:00+00:00,186.028,0.036,3.515,10.914
2026-02-25T03:00:00+00:00,186.738,0.08,3.526,10.913
2026-02-25T03:05:00+00:00,188.55,0.079,3.549,10.862
2026-02-25T03:10:00+00:00,184.154,0.048,3.46,10.856
2026-02-25T03:15:00+00:00,183.144,0.044,3.447,10.864
