ValueDate,Current Inst,Volts Inst
2026-02-25T00:05:00+00:00,154.022,11.043
2026-02-25T00:10:00+00:00,155.183,10.97
2026-02-25T00:15:00+00:00,155.288,11.067
2026-02-25T00:20:00+00:00,153.978,11.104
2026-02-25T00:25:00+00:00,153.748,11.11
2026-02-25T00:30:00+00:00,152.963,11.126
2026-02-25T00:35:00+00:00,154.693,11.082
2026-02-25T00:40:00+00:00,155.776,11.062
2026-02-25T00:45:00+00:00,157.105,11.073
2026-02-25T00:50:00+00:00,156.075,11.088
2026-02-25T00:55:00+00:00,154.414,11.108
2026-02-25T01:00:00+00:00,154.666,11.112
2026-02-25T01:05:00+00:00,155.69,11.076
2026-02-25T01:10:00+00:00,153.855,11.082
2026-02-25T01:15:00+00:00,153.29,11.1
2026-02-25T01:20:00+00:00,153.532,11.108
2026-02-25T01:25:00+00:00,153.69,11.115
2026-02-25T01:30:00+00:00,151.705,11.122
2026-02-25T01:35:00+00:00,151.188,11.117
2026-02-25T01:40:00+00:00,149.866,11.134
2026-02-25T01:45:00+00:00,150.238,11.15
2026-02-25T01:50:00+00:00,148.303,11.174
2026-02-25T01:55:00+00:00,150.162,11.144
2026-02-25T02:00:00+00:00,148.469,11.092
2026-02-25T02:05:00+00:00,149.829,11.074
2026-02-25T02:10:00+00:00,149.021,11.09
2026-02-25T02:15:00+00:00,149.52,11.098
2026-02-25T02:20:00+00:00,148.79,11.037
2026-02-25T02:25:00+00:00,150.699,11.049
2026-02-25T02:30:00+00:00,149.664,11.052
2026-02-25T02:35:00+00:00,147.962,11.048
2026-02-25T02:40:00+00:00,147.206,11.056
2026-02-25T02:45:00+00:00,147.07,11.074
2026-02-25T02:50:00+00:00,146.104,11.042
2026-02-25T02:55:00+00:00,146.338,10.966
2026-02-25T03:00:00+00:00,145.522,10.976
2026-02-25T03:05:00+00:00,146.23,10.965
2026-02-25T03:10:00+00:00,146.856,11.093
2026-02-25T03:15:00+00:00,146.726,11.108
2026-02-25T03:20:00+00:00,145.582,11.116
2026-02-25T03:25:00+00:00,145.943,11.116
2026-02-25T03:30:00+00:00,146.093,11.125
2026-02-25T03:35:00+00:00,146.137,11.118
2026-02-25T03:40:00+00:00,143.398,11.122
2026-02-25T03:45:00+00:00,144.475,11.142
2026-02-25T03:50:00+00:00,145.228,11.156
2026-02-25T03:55:00+00:00,147.217,11.166
2026-02-25T04:00:00+00:00,146.12,11.183
2026-02-25T04:05:00+00:00,145.702,11.074
2026-02-25T04:10:00+00:00,146.924,11.042
2026-02-25T04:15:00+00:00,147.716,11.029
2026-02-25T04:20:00+00:00,145.553,11.027
