ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,38.252,0.74,0.0,0.0,11.059
2026-02-25T00:10:00+00:00,41.622,0.785,0.0,0.0,11.017
2026-02-25T00:15:00+00:00,46.645,0.9,0.0,0.0,11.104
2026-02-25T00:20:00+00:00,50.535,0.973,0.0,0.0,11.105
2026-02-25T00:25:00+00:00,51.018,0.978,0.0,0.0,11.102
2026-02-25T00:30:00+00:00,52.613,1.002,0.0,0.0,11.122
2026-02-25T00:35:00+00:00,55.018,1.049,0.0,0.0,11.067
2026-02-25T00:40:00+00:00,60.926,1.164,0.0,0.0,11.008
2026-02-25T00:45:00+00:00,55.743,1.064,0.0,0.0,11.024
2026-02-25T00:50:00+00:00,46.093,0.892,0.0,0.0,11.056
2026-02-25T00:55:00+00:00,49.459,0.954,0.0,0.0,11.067
2026-02-25T01:00:00+00:00,46.845,0.903,0.0,0.0,11.07
2026-02-25T01:05:00+00:00,44.639,0.863,0.0,0.0,11.035
2026-02-25T01:10:00+00:00,45.556,0.878,0.0,0.0,11.046
2026-02-25T01:15:00+00:00,50.165,0.99,0.0,0.0,11.046
2026-02-25T01:20:00+00:00,52.962,1.028,0.0,0.0,11.045
2026-02-25T01:25:00+00:00,51.66,0.993,0.0,0.0,11.068
2026-02-25T01:30:00+00:00,48.738,0.948,0.0,0.0,11.083
2026-02-25T01:35:00+00:00,46.429,0.874,0.0,0.0,11.085
2026-02-25T01:40:00+00:00,47.504,0.904,0.0,0.0,11.089
2026-02-25T01:45:00+00:00,44.638,0.848,0.0,0.0,11.113
2026-02-25T01:50:00+00:00,43.297,0.836,0.0,0.0,11.136
2026-02-25T01:55:00+00:00,44.567,0.864,0.0,0.0,11.143
2026-02-25T02:00:00+00:00,44.458,0.87,0.0,0.0,11.143
2026-02-25T02:05:00+00:00,44.94,0.851,0.0,0.0,11.125
2026-02-25T02:10:00+00:00,43.075,0.838,0.0,0.0,11.145
2026-02-25T02:15:00+00:00,43.872,0.872,0.0,0.0,11.173
2026-02-25T02:20:00+00:00,49.82,0.97,0.0,0.0,11.176
2026-02-25T02:25:00+00:00,49.594,0.953,0.0,0.0,11.2
2026-02-25T02:30:00+00:00,45.975,0.881,0.0,0.0,11.152
2026-02-25T02:35:00+00:00,43.027,0.846,0.0,0.0,11.086
2026-02-25T02:40:00+00:00,44.156,0.837,0.0,0.0,11.084
2026-02-25T02:45:00+00:00,34.396,0.67,0.0,0.0,11.108
2026-02-25T02:50:00+00:00,33.406,0.664,0.0,0.0,11.026
2026-02-25T02:55:00+00:00,35.5,0.68,0.0,0.0,11.005
2026-02-25T03:00:00+00:00,37.195,0.717,0.0,0.0,11.007
2026-02-25T03:05:00+00:00,39.441,0.758,0.0,0.0,10.962
2026-02-25T03:10:00+00:00,40.427,0.779,0.0,0.0,11.075
2026-02-25T03:15:00+00:00,37.941,0.739,0.0,0.0,11.085
2026-02-25T03:20:00+00:00,34.263,0.65,0.0,0.0,11.098
2026-02-25T03:25:00+00:00,34.261,0.664,0.0,0.0,11.108
2026-02-25T03:30:00+00:00,34.033,0.665,0.0,0.0,11.124
2026-02-25T03:35:00+00:00,25.24,0.526,0.0,0.0,11.106
2026-02-25T03:40:00+00:00,25.013,0.52,0.0,0.0,11.111
2026-02-25T03:45:00+00:00,23.68,0.485,0.0,0.0,11.137
2026-02-25T03:50:00+00:00,22.939,0.474,0.0,0.0,11.167
2026-02-25T03:55:00+00:00,21.916,0.461,0.0,0.0,11.19
2026-02-25T04:00:00+00:00,21.353,0.441,0.0,0.0,11.167
2026-02-25T04:05:00+00:00,20.934,0.429,0.0,0.0,11.101
2026-02-25T04:10:00+00:00,19.149,0.4,0.0,0.0,11.119
2026-02-25T04:15:00+00:00,18.604,0.407,0.0,0.0,11.108
2026-02-25T04:20:00+00:00,22.106,0.446,0.0,0.0,11.086
2026-02-25T04:25:00+00:00,22.784,0.463,0.0,0.0,11.1
2026-02-25T04:30:00+00:00,22.935,0.488,0.0,0.0,11.112
2026-02-25T04:35:00+00:00,19.212,0.401,0.0,0.0,11.107
2026-02-25T04:40:00+00:00,21.404,0.424,0.0,0.0,11.107
2026-02-25T04:45:00+00:00,22.768,0.468,0.0,0.0,11.125
2026-02-25T04:50:00+00:00,24.219,0.476,0.0,0.0,11.123
2026-02-25T04:55:00+00:00,21.649,0.433,0.0,0.0,11.135
2026-02-25T05:00:00+00:00,22.254,0.438,0.0,0.0,11.141
2026-02-25T05:05:00+00:00,19.751,0.377,0.0,0.0,11.103
2026-02-25T05:10:00+00:00,20.891,0.456,0.0,0.0,11.081
2026-02-25T05:15:00+00:00,22.855,0.453,0.0,0.0,11.074
2026-02-25T05:20:00+00:00,21.518,0.406,0.0,0.0,11.074
2026-02-25T05:25:00+00:00,22.126,0.451,0.0,0.0,11.064
2026-02-25T05:30:00+00:00,20.735,0.427,0.0,0.0,11.083
2026-02-25T05:35:00+00:00,23.27,0.458,0.0,0.0,11.078
2026-02-25T05:40:00+00:00,26.388,0.508,0.0,0.0,11.067
2026-02-25T05:45:00+00:00,25.583,0.494,0.0,0.0,11.034
2026-02-25T05:50:00+00:00,23.823,0.461,0.0,0.0,11.005
2026-02-25T05:55:00+00:00,23.305,0.454,0.0,0.0,11.007
2026-02-25T06:00:00+00:00,25.281,0.493,0.0,0.0,10.993
2026-02-25T06:05:00+00:00,24.339,0.484,0.0,0.0,10.975
2026-02-25T06:10:00+00:00,25.127,0.513,0.0,0.0,10.991
2026-02-25T06:15:00+00:00,24.863,0.497,0.0,0.0,11.023
2026-02-25T06:20:00+00:00,29.695,0.594,0.0,0.0,11.044
2026-02-25T06:25:00+00:00,33.04,0.644,0.0,0.0,11.065
2026-02-25T06:30:00+00:00,35.48,0.697,0.0,0.0,11.033
2026-02-25T06:35:00+00:00,37.307,0.711,0.0,0.0,11.018
2026-02-25T06:40:00+00:00,38.352,0.722,0.0,0.0,10.982
2026-02-25T06:45:00+00:00,31.593,0.617,0.0,0.0,10.97
2026-02-25T06:50:00+00:00,30.295,0.594,0.0,0.0,11.057
2026-02-25T06:55:00+00:00,32.715,0.669,0.0,0.0,11.158
2026-02-25T07:00:00+00:00,30.974,0.604,0.0,0.0,11.088
2026-02-25T07:05:00+00:00,31.606,0.598,0.0,0.0,11.014
2026-02-25T07:10:00+00:00,30.93,0.665,0.0,0.0,10.941
2026-02-25T07:15:00+00:00,32.176,0.679,0.0,0.0,11.038
2026-02-25T07:20:00+00:00,34.761,0.689,0.0,0.0,11.059
2026-02-25T07:25:00+00:00,35.372,0.705,0.0,0.0,11.064
2026-02-25T07:30:00+00:00,40.617,0.825,0.0,0.0,11.096
2026-02-25T07:35:00+00:00,41.948,0.822,0.0,0.0,11.092
2026-02-25T07:40:00+00:00,45.753,0.891,0.0,0.0,11.088
2026-02-25T07:45:00+00:00,42.958,0.829,0.0,0.0,11.084
2026-02-25T07:50:00+00:00,47.724,0.936,0.0,0.0,11.084
2026-02-25T07:55:00+00:00,49.962,0.963,0.0,0.0,11.076
2026-02-25T08:00:00+00:00,46.897,0.914,0.0,0.0,11.064
2026-02-25T08:05:00+00:00,41.911,0.812,0.0,0.0,11.058
2026-02-25T08:10:00+00:00,41.978,0.817,0.0,0.0,11.137
2026-02-25T08:15:00+00:00,44.097,0.871,0.0,0.0,11.152
2026-02-25T08:20:00+00:00,45.103,0.887,0.0,0.0,11.174
2026-02-25T08:25:00+00:00,51.567,1.001,0.0,0.0,11.177
2026-02-25T08:30:00+00:00,50.947,0.986,0.0,0.0,11.198
2026-02-25T08:35:00+00:00,50.666,0.976,0.0,0.0,11.182
2026-02-25T08:40:00+00:00,51.692,0.998,0.0,0.0,11.197
