ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,152.384,0.587,-2.786,10.77
2026-02-25T00:10:00+00:00,159.713,0.574,-2.912,10.702
2026-02-25T00:15:00+00:00,162.494,0.554,-3.01,10.796
2026-02-25T00:20:00+00:00,163.566,0.557,-3.034,10.817
2026-02-25T00:25:00+00:00,164.32,0.555,-3.023,10.817
2026-02-25T00:30:00+00:00,163.97,0.558,-3.014,10.829
2026-02-25T00:35:00+00:00,165.118,0.553,-3.044,10.8
2026-02-25T00:40:00+00:00,171.932,0.554,-3.157,10.774
2026-02-25T00:45:00+00:00,176.718,0.552,-3.248,10.79
2026-02-25T00:50:00+00:00,175.182,0.559,-3.242,10.793
2026-02-25T00:55:00+00:00,173.28,0.555,-3.196,10.808
2026-02-25T01:00:00+00:00,170.962,0.558,-3.164,10.822
2026-02-25T01:05:00+00:00,171.83,0.547,-3.146,10.794
2026-02-25T01:10:00+00:00,170.824,0.559,-3.134,10.794
2026-02-25T01:15:00+00:00,170.004,0.554,-3.128,10.81
2026-02-25T01:20:00+00:00,167.101,0.556,-3.092,10.82
2026-02-25T01:25:00+00:00,163.978,0.561,-3.024,10.834
2026-02-25T01:30:00+00:00,164.088,0.55,-3.036,10.842
2026-02-25T01:35:00+00:00,164.353,0.553,-3.042,10.84
2026-02-25T01:40:00+00:00,162.162,0.551,-2.993,10.85
2026-02-25T01:45:00+00:00,160.17,0.568,-2.964,10.864
2026-02-25T01:50:00+00:00,158.792,0.571,-2.95,10.887
2026-02-25T01:55:00+00:00,156.952,0.585,-2.92,10.903
2026-02-25T02:00:00+00:00,156.12,0.553,-2.892,10.895
2026-02-25T02:05:00+00:00,158.296,0.555,-2.928,10.875
2026-02-25T02:10:00+00:00,156.866,0.583,-2.901,10.881
2026-02-25T02:15:00+00:00,154.998,0.585,-2.874,10.917
2026-02-25T02:20:00+00:00,152.625,0.584,-2.831,10.927
2026-02-25T02:25:00+00:00,151.743,0.582,-2.808,10.91
2026-02-25T02:30:00+00:00,150.222,0.578,-2.777,10.86
2026-02-25T02:35:00+00:00,151.144,0.553,-2.784,10.843
2026-02-25T02:40:00+00:00,152.557,0.557,-2.794,10.847
2026-02-25T02:45:00+00:00,152.03,0.564,-2.788,10.86
2026-02-25T02:50:00+00:00,150.148,0.588,-2.762,10.89
2026-02-25T02:55:00+00:00,148.421,0.587,-2.723,10.871
2026-02-25T03:00:00+00:00,147.741,0.579,-2.696,10.872
2026-02-25T03:05:00+00:00,148.671,0.586,-2.691,10.839
2026-02-25T03:10:00+00:00,144.908,0.58,-2.638,10.819
2026-02-25T03:15:00+00:00,144.215,0.592,-2.623,10.83
2026-02-25T03:20:00+00:00,142.652,0.585,-2.594,10.843
2026-02-25T03:25:00+00:00,140.508,0.578,-2.56,10.846
2026-02-25T03:30:00+00:00,139.904,0.554,-2.55,10.855
2026-02-25T03:35:00+00:00,139.404,0.58,-2.53,10.844
2026-02-25T03:40:00+00:00,136.538,0.591,-2.498,10.843
2026-02-25T03:45:00+00:00,134.294,0.587,-2.476,10.875
2026-02-25T03:50:00+00:00,133.696,0.581,-2.466,10.888
2026-02-25T03:55:00+00:00,134.532,0.588,-2.474,10.895
2026-02-25T04:00:00+00:00,133.517,0.588,-2.46,10.915
2026-02-25T04:05:00+00:00,135.001,0.581,-2.502,10.942
2026-02-25T04:10:00+00:00,134.491,0.588,-2.501,10.947
2026-02-25T04:15:00+00:00,133.736,0.585,-2.464,10.944
2026-02-25T04:20:00+00:00,133.424,0.571,-2.47,10.935
2026-02-25T04:25:00+00:00,132.162,0.586,-2.451,10.935
2026-02-25T04:30:00+00:00,130.858,0.585,-2.423,10.933
2026-02-25T04:35:00+00:00,130.444,0.579,-2.407,10.938
2026-02-25T04:40:00+00:00,128.303,0.585,-2.4,10.942
2026-02-25T04:45:00+00:00,128.608,0.589,-2.429,10.954
2026-02-25T04:50:00+00:00,129.784,0.586,-2.408,10.883
2026-02-25T04:55:00+00:00,131.594,0.576,-2.426,10.864
2026-02-25T05:00:00+00:00,130.553,0.556,-2.423,10.871
2026-02-25T05:05:00+00:00,130.833,0.572,-2.45,10.858
2026-02-25T05:10:00+00:00,130.456,0.582,-2.437,10.836
2026-02-25T05:15:00+00:00,132.573,0.565,-2.456,10.836
2026-02-25T05:20:00+00:00,132.354,0.554,-2.451,10.839
2026-02-25T05:25:00+00:00,133.68,0.56,-2.465,10.831
2026-02-25T05:30:00+00:00,134.659,0.548,-2.477,10.839
2026-02-25T05:35:00+00:00,135.09,0.558,-2.5,10.844
2026-02-25T05:40:00+00:00,137.044,0.55,-2.53,10.838
2026-02-25T05:45:00+00:00,138.056,0.554,-2.544,10.802
2026-02-25T05:50:00+00:00,136.904,0.555,-2.532,10.786
2026-02-25T05:55:00+00:00,140.438,0.558,-2.585,10.788
2026-02-25T06:00:00+00:00,145.056,0.554,-2.657,10.776
2026-02-25T06:05:00+00:00,151.12,0.556,-2.751,10.727
2026-02-25T06:10:00+00:00,153.088,0.562,-2.818,10.732
