ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,123.005,0.0,0.14,-1.218,10.836
2026-02-25T00:10:00+00:00,127.645,0.0,0.15,-1.258,10.816
2026-02-25T00:15:00+00:00,126.227,0.0,0.182,-1.257,10.815
2026-02-25T00:20:00+00:00,124.964,0.0,0.176,-1.252,10.805
2026-02-25T00:25:00+00:00,125.229,0.0,0.147,-1.252,10.798
2026-02-25T00:30:00+00:00,125.831,0.0,0.168,-1.251,10.816
2026-02-25T00:35:00+00:00,129.695,0.0,0.164,-1.284,10.79
2026-02-25T00:40:00+00:00,136.973,0.0,0.158,-1.355,10.822
2026-02-25T00:45:00+00:00,138.472,0.0,0.156,-1.375,10.835
2026-02-25T00:50:00+00:00,138.642,0.0,0.154,-1.379,10.836
2026-02-25T00:55:00+00:00,136.997,0.0,0.158,-1.356,10.854
2026-02-25T01:00:00+00:00,137.699,0.0,0.151,-1.374,10.852
2026-02-25T01:05:00+00:00,135.965,0.0,0.168,-1.351,10.836
2026-02-25T01:10:00+00:00,137.536,0.0,0.176,-1.359,10.829
2026-02-25T01:15:00+00:00,135.165,0.0,0.178,-1.336,10.852
2026-02-25T01:20:00+00:00,134.936,0.0,0.158,-1.346,10.858
2026-02-25T01:25:00+00:00,133.875,0.0,0.152,-1.336,10.874
2026-02-25T01:30:00+00:00,131.247,0.0,0.164,-1.324,10.902
2026-02-25T01:35:00+00:00,132.947,0.0,0.166,-1.332,10.886
2026-02-25T01:40:00+00:00,132.044,0.0,0.179,-1.314,10.907
2026-02-25T01:45:00+00:00,131.219,0.0,0.184,-1.296,10.926
2026-02-25T01:50:00+00:00,130.776,0.0,0.168,-1.313,10.947
2026-02-25T01:55:00+00:00,128.24,0.0,0.184,-1.29,10.961
2026-02-25T02:00:00+00:00,127.718,0.0,0.192,-1.276,10.89
2026-02-25T02:05:00+00:00,130.907,0.0,0.158,-1.292,10.789
2026-02-25T02:10:00+00:00,129.013,0.0,0.176,-1.279,10.808
2026-02-25T02:15:00+00:00,126.937,0.0,0.179,-1.258,10.839
2026-02-25T02:20:00+00:00,126.908,0.0,0.178,-1.258,10.851
2026-02-25T02:25:00+00:00,128.172,0.0,0.17,-1.268,10.87
2026-02-25T02:30:00+00:00,124.925,0.0,0.164,-1.238,10.817
2026-02-25T02:35:00+00:00,125.685,0.0,0.168,-1.242,10.781
2026-02-25T02:40:00+00:00,126.92,0.0,0.167,-1.253,10.779
2026-02-25T02:45:00+00:00,126.683,0.0,0.18,-1.248,10.799
2026-02-25T02:50:00+00:00,122.404,0.0,0.187,-1.218,10.851
2026-02-25T02:55:00+00:00,121.533,0.0,0.176,-1.199,10.868
2026-02-25T03:00:00+00:00,122.503,0.0,0.162,-1.206,10.851
2026-02-25T03:05:00+00:00,119.544,0.0,0.167,-1.18,10.758
2026-02-25T03:10:00+00:00,116.97,0.0,0.175,-1.156,10.766
2026-02-25T03:15:00+00:00,117.073,0.0,0.175,-1.159,10.768
2026-02-25T03:20:00+00:00,117.381,0.0,0.175,-1.156,10.782
2026-02-25T03:25:00+00:00,117.41,0.0,0.174,-1.157,10.781
2026-02-25T03:30:00+00:00,115.028,0.0,0.164,-1.136,10.788
2026-02-25T03:35:00+00:00,116.063,0.0,0.158,-1.14,10.776
2026-02-25T03:40:00+00:00,118.191,0.0,0.159,-1.162,10.766
2026-02-25T03:45:00+00:00,116.064,0.0,0.182,-1.146,10.796
2026-02-25T03:50:00+00:00,112.937,0.0,0.192,-1.112,10.811
2026-02-25T03:55:00+00:00,113.227,0.0,0.184,-1.116,10.831
2026-02-25T04:00:00+00:00,111.745,0.0,0.176,-1.102,10.844
2026-02-25T04:05:00+00:00,109.633,0.0,0.169,-1.087,10.86
2026-02-25T04:10:00+00:00,111.406,0.0,0.17,-1.102,10.869
2026-02-25T04:15:00+00:00,111.135,0.0,0.177,-1.09,10.859
2026-02-25T04:20:00+00:00,108.696,0.0,0.168,-1.072,10.851
2026-02-25T04:25:00+00:00,107.887,0.0,0.173,-1.078,10.859
2026-02-25T04:30:00+00:00,108.177,0.0,0.166,-1.078,10.859
2026-02-25T04:35:00+00:00,110.908,0.0,0.182,-1.086,10.863
2026-02-25T04:40:00+00:00,113.05,0.0,0.185,-1.114,10.864
2026-02-25T04:45:00+00:00,110.692,0.0,0.188,-1.094,10.887
2026-02-25T04:50:00+00:00,110.362,0.0,0.192,-1.09,10.889
2026-02-25T04:55:00+00:00,109.866,0.0,0.194,-1.086,10.887
