ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,93.273,0.2,-1.643,10.776
2026-02-25T00:10:00+00:00,91.349,0.208,-1.67,10.836
2026-02-25T00:15:00+00:00,91.896,0.22,-1.69,10.914
2026-02-25T00:20:00+00:00,90.11,0.22,-1.662,10.913
2026-02-25T00:25:00+00:00,92.214,0.22,-1.705,10.904
2026-02-25T00:30:00+00:00,90.788,0.214,-1.668,10.928
2026-02-25T00:35:00+00:00,92.172,0.205,-1.702,10.902
2026-02-25T00:40:00+00:00,93.631,0.22,-1.728,10.901
2026-02-25T00:45:00+00:00,93.377,0.225,-1.739,10.932
2026-02-25T00:50:00+00:00,94.5,0.22,-1.764,10.954
2026-02-25T00:55:00+00:00,93.034,0.238,-1.748,10.976
2026-02-25T01:00:00+00:00,93.952,0.224,-1.768,10.984
2026-02-25T01:05:00+00:00,96.918,0.196,-1.822,10.952
2026-02-25T01:10:00+00:00,96.593,0.206,-1.814,10.958
2026-02-25T01:15:00+00:00,95.104,0.209,-1.777,10.978
2026-02-25T01:20:00+00:00,91.976,0.218,-1.738,10.993
2026-02-25T01:25:00+00:00,90.327,0.235,-1.696,11.013
2026-02-25T01:30:00+00:00,88.506,0.223,-1.658,11.026
2026-02-25T01:35:00+00:00,88.538,0.196,-1.666,11.017
2026-02-25T01:40:00+00:00,90.508,0.212,-1.698,11.024
2026-02-25T01:45:00+00:00,90.28,0.207,-1.704,11.041
2026-02-25T01:50:00+00:00,88.152,0.224,-1.669,11.05
2026-02-25T01:55:00+00:00,86.634,0.244,-1.616,10.92
2026-02-25T02:00:00+00:00,88.452,0.236,-1.642,10.907
2026-02-25T02:05:00+00:00,88.998,0.184,-1.649,10.891
2026-02-25T02:10:00+00:00,89.582,0.23,-1.658,10.9
2026-02-25T02:15:00+00:00,91.264,0.218,-1.697,10.924
2026-02-25T02:20:00+00:00,90.718,0.226,-1.686,10.936
2026-02-25T02:25:00+00:00,89.42,0.218,-1.666,10.944
2026-02-25T02:30:00+00:00,86.904,0.22,-1.62,10.958
2026-02-25T02:35:00+00:00,86.791,0.236,-1.619,10.954
2026-02-25T02:40:00+00:00,87.452,0.246,-1.626,10.963
2026-02-25T02:45:00+00:00,86.982,0.231,-1.615,10.977
2026-02-25T02:50:00+00:00,84.992,0.233,-1.583,11.006
2026-02-25T02:55:00+00:00,84.555,0.242,-1.563,11.022
2026-02-25T03:00:00+00:00,85.082,0.241,-1.581,11.021
2026-02-25T03:05:00+00:00,86.263,0.245,-1.59,10.978
2026-02-25T03:10:00+00:00,87.38,0.238,-1.612,10.966
2026-02-25T03:15:00+00:00,84.676,0.245,-1.572,10.981
2026-02-25T03:20:00+00:00,84.004,0.244,-1.558,11.002
2026-02-25T03:25:00+00:00,82.442,0.246,-1.523,11.0
2026-02-25T03:30:00+00:00,81.668,0.2,-1.511,11.002
2026-02-25T03:35:00+00:00,83.06,0.256,-1.524,10.999
2026-02-25T03:40:00+00:00,82.272,0.246,-1.51,10.998
2026-02-25T03:45:00+00:00,82.174,0.245,-1.511,11.026
2026-02-25T03:50:00+00:00,81.286,0.251,-1.507,11.035
2026-02-25T03:55:00+00:00,81.392,0.256,-1.502,11.045
2026-02-25T04:00:00+00:00,78.64,0.264,-1.442,11.064
2026-02-25T04:05:00+00:00,82.068,0.263,-1.448,11.022
2026-02-25T04:10:00+00:00,84.686,0.209,-1.485,11.01
2026-02-25T04:15:00+00:00,84.572,0.248,-1.486,11.008
2026-02-25T04:20:00+00:00,83.921,0.236,-1.466,11.004
2026-02-25T04:25:00+00:00,83.338,0.23,-1.458,10.999
2026-02-25T04:30:00+00:00,84.74,0.24,-1.48,10.994
