ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,190.407,3.632,0.0,0.0,10.815
2026-02-26T00:10:00+00:00,206.045,3.885,0.0,0.0,10.786
2026-02-26T00:15:00+00:00,206.72,3.865,0.0,0.0,10.862
2026-02-26T00:20:00+00:00,200.886,3.868,0.0,0.0,10.887
2026-02-26T00:25:00+00:00,204.383,3.966,0.0,0.0,10.89
2026-02-26T00:30:00+00:00,206.278,3.996,0.0,0.0,10.903
2026-02-26T00:35:00+00:00,217.239,4.084,0.0,0.0,10.831
2026-02-26T00:40:00+00:00,214.38,4.043,0.0,0.0,10.806
2026-02-26T00:45:00+00:00,199.975,3.779,0.0,0.0,10.817
2026-02-26T00:50:00+00:00,198.701,3.76,0.0,0.0,10.819
2026-02-26T00:55:00+00:00,199.294,3.779,0.0,0.0,10.813
2026-02-26T01:00:00+00:00,195.679,3.726,0.0,0.0,10.843
2026-02-26T01:05:00+00:00,200.252,3.792,0.0,0.0,10.839
2026-02-26T01:10:00+00:00,200.555,3.773,0.0,0.0,10.836
2026-02-26T01:15:00+00:00,199.006,3.733,0.0,0.0,10.834
2026-02-26T01:20:00+00:00,201.214,3.725,0.0,0.0,10.85
2026-02-26T01:25:00+00:00,200.308,3.674,0.0,0.0,10.866
2026-02-26T01:30:00+00:00,192.125,3.635,0.0,0.0,10.878
2026-02-26T01:35:00+00:00,189.597,3.582,0.0,0.0,10.886
2026-02-26T01:40:00+00:00,188.112,3.599,0.0,0.0,10.897
2026-02-26T01:45:00+00:00,187.37,3.623,0.0,0.0,10.911
2026-02-26T01:50:00+00:00,190.634,3.649,0.0,0.0,10.904
2026-02-26T01:55:00+00:00,196.616,3.676,0.0,0.0,10.91
2026-02-26T02:00:00+00:00,199.97,3.69,0.0,0.0,10.917
2026-02-26T02:05:00+00:00,199.14,3.658,0.0,0.0,10.903
2026-02-26T02:10:00+00:00,198.182,3.727,0.0,0.0,10.897
2026-02-26T02:15:00+00:00,199.281,3.738,0.0,0.0,10.91
2026-02-26T02:20:00+00:00,196.277,3.689,0.0,0.0,10.916
2026-02-26T02:25:00+00:00,192.44,3.654,0.0,0.0,10.936
2026-02-26T02:30:00+00:00,191.35,3.668,0.0,0.0,10.944
2026-02-26T02:35:00+00:00,193.945,3.662,0.0,0.0,10.948
2026-02-26T02:40:00+00:00,190.25,3.618,0.0,0.0,10.969
2026-02-26T02:45:00+00:00,187.387,3.583,0.0,0.0,10.983
2026-02-26T02:50:00+00:00,182.666,3.518,0.0,0.0,10.995
2026-02-26T02:55:00+00:00,180.376,3.481,0.0,0.0,10.997
2026-02-26T03:00:00+00:00,179.968,3.478,0.0,0.0,10.932
2026-02-26T03:05:00+00:00,176.977,3.451,0.0,0.0,10.878
2026-02-26T03:10:00+00:00,179.576,3.432,0.0,0.0,10.871
2026-02-26T03:15:00+00:00,173.863,3.393,0.0,0.0,10.88
2026-02-26T03:20:00+00:00,186.071,3.546,0.0,0.0,10.867
2026-02-26T03:25:00+00:00,184.159,3.481,0.0,0.0,10.895
2026-02-26T03:30:00+00:00,185.03,3.529,0.0,0.0,10.894
2026-02-26T03:35:00+00:00,184.412,3.494,0.0,0.0,10.877
2026-02-26T03:40:00+00:00,186.225,3.6,0.0,0.0,10.871
2026-02-26T03:45:00+00:00,197.412,3.713,0.0,0.0,10.873
2026-02-26T03:50:00+00:00,193.597,3.622,0.0,0.0,10.894
2026-02-26T03:55:00+00:00,184.286,3.441,0.0,0.0,10.915
2026-02-26T04:00:00+00:00,174.069,3.386,0.0,0.0,10.951
2026-02-26T04:05:00+00:00,177.514,3.386,0.0,0.0,10.936
2026-02-26T04:10:00+00:00,176.067,3.337,0.0,0.0,10.946
2026-02-26T04:15:00+00:00,161.69,3.027,0.0,0.0,10.972
2026-02-26T04:20:00+00:00,151.657,2.913,0.0,0.0,10.993
2026-02-26T04:25:00+00:00,149.319,2.921,0.0,0.0,10.994
2026-02-26T04:30:00+00:00,161.147,3.106,0.0,0.0,10.978
2026-02-26T04:35:00+00:00,162.962,3.139,0.0,0.0,10.985
2026-02-26T04:40:00+00:00,161.238,3.172,0.0,0.0,10.98
2026-02-26T04:45:00+00:00,161.866,3.109,0.0,0.0,10.881
2026-02-26T04:50:00+00:00,157.87,2.978,0.0,0.0,10.901
2026-02-26T04:55:00+00:00,161.278,3.108,0.0,0.0,10.905
2026-02-26T05:00:00+00:00,163.97,3.146,0.0,0.0,10.893
2026-02-26T05:05:00+00:00,158.045,3.039,0.0,0.0,10.869
2026-02-26T05:10:00+00:00,164.322,3.13,0.0,0.0,10.856
2026-02-26T05:15:00+00:00,161.766,3.091,0.0,0.0,10.866
2026-02-26T05:20:00+00:00,162.919,3.105,0.0,0.0,10.861
2026-02-26T05:25:00+00:00,164.021,3.08,0.0,0.0,10.862
2026-02-26T05:30:00+00:00,164.233,3.184,0.0,0.0,10.86
2026-02-26T05:35:00+00:00,164.004,3.169,0.0,0.0,10.855
2026-02-26T05:40:00+00:00,167.489,3.306,0.0,0.0,10.85
2026-02-26T05:45:00+00:00,168.085,3.227,0.0,0.0,10.845
2026-02-26T05:50:00+00:00,175.757,3.369,0.0,0.0,10.814
2026-02-26T05:55:00+00:00,170.395,3.2,0.0,0.0,10.833
2026-02-26T06:00:00+00:00,166.274,3.155,0.0,0.0,10.854
2026-02-26T06:05:00+00:00,166.428,3.16,0.0,0.0,10.798
2026-02-26T06:10:00+00:00,164.461,3.067,0.0,0.0,10.894
2026-02-26T06:15:00+00:00,165.457,3.032,0.0,0.0,10.949
2026-02-26T06:20:00+00:00,156.08,2.892,0.0,0.0,10.968
2026-02-26T06:25:00+00:00,133.416,2.602,0.0,0.0,10.929
2026-02-26T06:30:00+00:00,127.021,2.363,0.0,0.0,10.952
2026-02-26T06:35:00+00:00,106.269,2.039,0.0,0.0,10.966
2026-02-26T06:40:00+00:00,111.483,2.163,0.0,0.0,10.915
2026-02-26T06:45:00+00:00,110.793,2.186,0.0,0.0,10.938
2026-02-26T06:50:00+00:00,113.627,2.196,0.0,0.0,10.995
2026-02-26T06:55:00+00:00,110.941,2.094,0.0,0.0,11.006
2026-02-26T07:00:00+00:00,108.684,2.16,0.0,0.0,10.993
2026-02-26T07:05:00+00:00,108.955,2.197,0.0,0.0,10.962
2026-02-26T07:10:00+00:00,122.211,2.366,0.0,0.0,10.906
2026-02-26T07:15:00+00:00,125.746,2.378,0.0,0.0,10.888
2026-02-26T07:20:00+00:00,122.993,2.328,0.0,0.0,10.893
2026-02-26T07:25:00+00:00,120.15,2.338,0.0,0.0,10.887
