ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,123.103,3.03,-0.035,3.03,10.89
2026-02-25T00:10:00+00:00,134.008,3.03,-0.035,3.03,10.935
2026-02-25T00:15:00+00:00,135.602,3.03,-0.035,3.03,10.965
2026-02-25T00:20:00+00:00,135.573,3.03,-0.035,3.03,10.973
2026-02-25T00:25:00+00:00,132.635,3.03,-0.035,3.03,10.978
2026-02-25T00:30:00+00:00,132.496,3.03,-0.035,3.03,10.994
2026-02-25T00:35:00+00:00,135.152,3.03,-0.035,3.03,10.941
2026-02-25T00:40:00+00:00,141.966,3.03,-0.035,3.03,10.906
2026-02-25T00:45:00+00:00,144.858,3.03,-0.035,3.03,10.918
2026-02-25T00:50:00+00:00,144.094,3.03,-0.035,3.03,10.932
2026-02-25T00:55:00+00:00,145.392,3.03,-0.035,3.03,10.952
2026-02-25T01:00:00+00:00,146.177,3.03,-0.035,3.03,10.95
2026-02-25T01:05:00+00:00,147.534,3.03,-0.035,3.03,10.916
2026-02-25T01:10:00+00:00,143.57,3.03,-0.035,3.03,10.928
2026-02-25T01:15:00+00:00,142.368,3.03,-0.035,3.03,10.94
2026-02-25T01:20:00+00:00,142.906,3.03,-0.035,3.03,10.951
2026-02-25T01:25:00+00:00,140.181,3.03,-0.035,3.03,10.971
2026-02-25T01:30:00+00:00,140.064,3.03,-0.035,3.03,10.98
2026-02-25T01:35:00+00:00,137.896,3.03,-0.035,3.03,10.978
2026-02-25T01:40:00+00:00,136.624,3.03,-0.035,3.03,10.984
2026-02-25T01:45:00+00:00,134.29,3.03,-0.035,3.03,11.007
2026-02-25T01:50:00+00:00,133.553,3.03,-0.035,3.03,11.022
2026-02-25T01:55:00+00:00,132.119,3.03,-0.035,3.03,11.039
2026-02-25T02:00:00+00:00,130.017,3.03,-0.035,3.03,11.031
2026-02-25T02:05:00+00:00,131.916,3.03,-0.035,3.03,11.016
2026-02-25T02:10:00+00:00,134.154,3.03,-0.035,3.03,11.028
2026-02-25T02:15:00+00:00,133.86,3.03,-0.035,3.03,11.05
2026-02-25T02:20:00+00:00,133.664,3.03,-0.035,3.03,11.056
2026-02-25T02:25:00+00:00,134.05,3.03,-0.035,3.03,11.061
2026-02-25T02:30:00+00:00,132.038,3.03,-0.035,3.03,11.084
2026-02-25T02:35:00+00:00,131.03,3.03,-0.035,3.03,11.067
2026-02-25T02:40:00+00:00,130.447,3.03,-0.035,3.03,11.087
2026-02-25T02:45:00+00:00,130.906,3.03,-0.035,3.03,11.09
2026-02-25T02:50:00+00:00,129.571,3.03,-0.035,3.03,11.007
2026-02-25T02:55:00+00:00,127.336,3.03,-0.035,3.03,11.008
2026-02-25T03:00:00+00:00,127.111,3.03,-0.035,3.03,11.008
2026-02-25T03:05:00+00:00,127.363,3.03,-0.035,3.03,10.964
2026-02-25T03:10:00+00:00,127.83,3.03,-0.035,3.03,10.957
2026-02-25T03:15:00+00:00,126.98,3.03,-0.035,3.03,10.974
2026-02-25T03:20:00+00:00,124.505,3.03,-0.035,3.03,10.982
2026-02-25T03:25:00+00:00,121.992,3.03,-0.035,3.03,10.988
2026-02-25T03:30:00+00:00,121.064,3.03,-0.035,3.03,11.0
2026-02-25T03:35:00+00:00,119.057,3.03,-0.035,3.03,10.992
2026-02-25T03:40:00+00:00,118.678,3.03,-0.035,3.03,10.999
2026-02-25T03:45:00+00:00,117.995,3.03,-0.035,3.03,11.018
2026-02-25T03:50:00+00:00,117.45,3.03,-0.035,3.03,11.028
2026-02-25T03:55:00+00:00,116.222,3.03,-0.035,3.03,11.001
2026-02-25T04:00:00+00:00,115.08,3.03,-0.035,3.03,10.994
2026-02-25T04:05:00+00:00,114.844,3.03,-0.035,3.03,10.922
2026-02-25T04:10:00+00:00,114.724,3.03,-0.035,3.03,10.929
2026-02-25T04:15:00+00:00,113.032,3.03,-0.035,3.03,10.923
2026-02-25T04:20:00+00:00,112.706,3.03,-0.035,3.03,10.916
2026-02-25T04:25:00+00:00,114.274,3.03,-0.035,3.03,10.907
2026-02-25T04:30:00+00:00,114.628,3.03,-0.035,3.03,10.914
2026-02-25T04:35:00+00:00,112.43,3.03,-0.035,3.03,10.928
2026-02-25T04:40:00+00:00,111.211,3.03,-0.035,3.03,10.932
2026-02-25T04:45:00+00:00,111.692,3.03,-0.035,3.03,10.948
2026-02-25T04:50:00+00:00,113.186,3.03,-0.035,3.03,10.946
2026-02-25T04:55:00+00:00,111.954,3.03,-0.035,3.03,10.95
2026-02-25T05:00:00+00:00,112.944,3.03,-0.035,3.03,10.948
2026-02-25T05:05:00+00:00,114.256,3.03,-0.035,3.03,10.926
2026-02-25T05:10:00+00:00,116.022,3.03,-0.035,3.03,10.903
2026-02-25T05:15:00+00:00,117.666,3.03,-0.035,3.03,10.906
2026-02-25T05:20:00+00:00,116.961,3.03,-0.035,3.03,10.91
2026-02-25T05:25:00+00:00,115.94,3.03,-0.035,3.03,10.908
2026-02-25T05:30:00+00:00,114.744,3.03,-0.035,3.03,10.91
2026-02-25T05:35:00+00:00,115.476,3.03,-0.035,3.03,10.91
2026-02-25T05:40:00+00:00,117.249,3.03,-0.035,3.03,10.902
2026-02-25T05:45:00+00:00,117.942,3.03,-0.035,3.03,10.867
2026-02-25T05:50:00+00:00,119.746,3.03,-0.035,3.03,10.85
2026-02-25T05:55:00+00:00,122.134,3.03,-0.035,3.03,10.85
2026-02-25T06:00:00+00:00,122.592,3.03,-0.035,3.03,10.873
2026-02-25T06:05:00+00:00,128.628,3.03,-0.035,3.03,10.879
2026-02-25T06:10:00+00:00,131.844,3.03,-0.035,3.03,10.939
2026-02-25T06:15:00+00:00,133.248,3.03,-0.035,3.03,10.994
2026-02-25T06:20:00+00:00,137.487,3.03,-0.035,3.03,10.966
2026-02-25T06:25:00+00:00,139.899,3.03,-0.035,3.03,10.95
2026-02-25T06:30:00+00:00,138.683,3.03,-0.035,3.03,10.949
2026-02-25T06:35:00+00:00,144.036,3.03,-0.035,3.03,10.938
2026-02-25T06:40:00+00:00,149.733,3.03,-0.035,3.03,10.902
2026-02-25T06:45:00+00:00,152.652,3.03,-0.035,3.03,10.934
2026-02-25T06:50:00+00:00,152.835,3.03,-0.035,3.03,10.905
2026-02-25T06:55:00+00:00,152.202,3.03,-0.035,3.03,10.902
2026-02-25T07:00:00+00:00,151.817,3.03,-0.035,3.03,10.954
2026-02-25T07:05:00+00:00,152.243,3.03,-0.035,3.03,10.963
2026-02-25T07:10:00+00:00,154.274,3.03,-0.035,3.03,10.968
2026-02-25T07:15:00+00:00,156.284,3.03,-0.035,3.03,10.95
2026-02-25T07:20:00+00:00,159.586,3.03,-0.035,3.03,10.943
2026-02-25T07:25:00+00:00,160.346,3.03,-0.035,3.03,10.944
2026-02-25T07:30:00+00:00,164.068,3.03,-0.035,3.03,10.94
2026-02-25T07:35:00+00:00,163.816,3.03,-0.035,3.03,10.92
2026-02-25T07:40:00+00:00,168.202,3.03,-0.035,3.03,10.899
2026-02-25T07:45:00+00:00,169.908,3.03,-0.035,3.03,10.894
2026-02-25T07:50:00+00:00,172.782,3.03,-0.035,3.03,10.894
2026-02-25T07:55:00+00:00,170.382,3.03,-0.035,3.03,10.899
2026-02-25T08:00:00+00:00,173.384,3.03,-0.035,3.03,10.89
2026-02-25T08:05:00+00:00,173.486,3.03,-0.035,3.03,10.894
2026-02-25T08:10:00+00:00,175.334,3.03,-0.035,3.03,10.877
2026-02-25T08:15:00+00:00,176.572,3.03,-0.035,3.03,10.889
2026-02-25T08:20:00+00:00,177.245,3.03,-0.035,3.03,10.907
2026-02-25T08:25:00+00:00,176.5,3.03,-0.035,3.03,10.904
2026-02-25T08:30:00+00:00,178.265,3.03,-0.035,3.03,10.932
2026-02-25T08:35:00+00:00,176.711,3.03,-0.035,3.03,10.934
2026-02-25T08:40:00+00:00,179.439,3.03,-0.035,3.03,10.936
2026-02-25T08:45:00+00:00,178.176,3.03,-0.035,3.03,10.948
2026-02-25T08:50:00+00:00,175.37,3.03,-0.035,3.03,10.942
2026-02-25T08:55:00+00:00,180.65,3.03,-0.035,3.03,10.922
2026-02-25T09:00:00+00:00,177.86,3.03,-0.035,3.03,10.918
2026-02-25T09:05:00+00:00,180.37,3.03,-0.035,3.03,10.894
2026-02-25T09:10:00+00:00,180.87,3.03,-0.035,3.03,10.905
2026-02-25T09:15:00+00:00,179.48,3.03,-0.035,3.03,10.92
2026-02-25T09:20:00+00:00,180.647,3.03,-0.035,3.03,10.919
2026-02-25T09:25:00+00:00,178.473,3.03,-0.035,3.03,10.938
2026-02-25T09:30:00+00:00,180.863,3.03,-0.035,3.03,10.956
2026-02-25T09:35:00+00:00,179.547,3.03,-0.035,3.03,10.957
2026-02-25T09:40:00+00:00,178.688,3.03,-0.035,3.03,10.975
2026-02-25T09:45:00+00:00,177.812,3.03,-0.035,3.03,10.996
2026-02-25T09:50:00+00:00,174.492,3.03,-0.035,3.03,11.008
2026-02-25T09:55:00+00:00,169.928,3.03,-0.035,3.03,11.022
2026-02-25T10:00:00+00:00,164.94,3.03,-0.035,3.03,11.05
2026-02-25T10:05:00+00:00,161.94,3.03,-0.035,3.03,11.059
2026-02-25T10:10:00+00:00,158.467,3.03,-0.035,3.03,11.084
2026-02-25T10:15:00+00:00,160.935,3.03,-0.035,3.03,11.032
2026-02-25T10:20:00+00:00,159.338,3.03,-0.035,3.03,10.993
2026-02-25T10:25:00+00:00,160.961,3.03,-0.035,3.03,10.98
2026-02-25T10:30:00+00:00,158.176,3.03,-0.035,3.03,10.988
2026-02-25T10:35:00+00:00,151.547,3.03,-0.035,3.03,11.0
2026-02-25T10:40:00+00:00,155.976,3.03,-0.035,3.03,10.978
2026-02-25T10:45:00+00:00,157.486,3.03,-0.035,3.03,10.982
2026-02-25T10:50:00+00:00,150.134,3.03,-0.035,3.03,11.025
2026-02-25T10:55:00+00:00,155.158,3.03,-0.035,3.03,11.052
2026-02-25T11:00:00+00:00,153.728,3.03,-0.035,3.03,11.065
2026-02-25T11:05:00+00:00,156.858,3.03,-0.035,3.03,11.026
2026-02-25T11:10:00+00:00,155.02,3.03,-0.035,3.03,11.02
2026-02-25T11:15:00+00:00,155.282,3.03,-0.035,3.03,11.01
2026-02-25T11:20:00+00:00,154.195,3.03,-0.035,3.03,11.004
2026-02-25T11:25:00+00:00,152.36,3.03,-0.035,3.03,11.028
2026-02-25T11:30:00+00:00,148.32,3.03,-0.035,3.03,11.024
2026-02-25T11:35:00+00:00,148.086,3.03,-0.035,3.03,11.029
