ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,66.195,2.526,0.235,-0.546,11.3
2026-02-25T00:10:00+00:00,71.522,2.742,0.222,-0.604,11.295
2026-02-25T00:15:00+00:00,69.84,2.746,0.252,-0.579,11.342
2026-02-25T00:20:00+00:00,71.995,2.831,0.234,-0.604,11.339
2026-02-25T00:25:00+00:00,73.708,2.808,0.238,-0.623,11.336
2026-02-25T00:30:00+00:00,72.78,2.766,0.248,-0.608,11.357
2026-02-25T00:35:00+00:00,75.284,2.724,0.215,-0.642,11.31
2026-02-25T00:40:00+00:00,71.563,2.714,0.246,-0.594,11.295
2026-02-25T00:45:00+00:00,70.792,2.781,0.248,-0.586,11.297
2026-02-25T00:50:00+00:00,73.851,2.761,0.22,-0.628,11.297
2026-02-25T00:55:00+00:00,70.435,2.678,0.249,-0.584,11.323
2026-02-25T01:00:00+00:00,69.073,2.712,0.244,-0.571,11.331
2026-02-25T01:05:00+00:00,71.488,2.747,0.23,-0.601,11.299
2026-02-25T01:10:00+00:00,70.642,2.782,0.25,-0.585,11.306
2026-02-25T01:15:00+00:00,71.768,2.811,0.238,-0.599,11.318
2026-02-25T01:20:00+00:00,71.317,2.703,0.237,-0.597,11.325
2026-02-25T01:25:00+00:00,63.502,2.411,0.251,-0.514,11.345
2026-02-25T01:30:00+00:00,61.925,2.398,0.222,-0.512,11.352
2026-02-25T01:35:00+00:00,67.852,2.587,0.234,-0.568,11.35
2026-02-25T01:40:00+00:00,64.257,2.45,0.239,-0.528,11.362
2026-02-25T01:45:00+00:00,61.355,2.362,0.226,-0.505,11.374
2026-02-25T01:50:00+00:00,59.75,2.395,0.234,-0.488,11.406
2026-02-25T01:55:00+00:00,56.767,2.238,0.25,-0.45,11.425
2026-02-25T02:00:00+00:00,59.08,2.316,0.223,-0.486,11.419
2026-02-25T02:05:00+00:00,59.982,2.346,0.226,-0.495,11.399
2026-02-25T02:10:00+00:00,62.88,2.482,0.24,-0.516,11.412
2026-02-25T02:15:00+00:00,65.374,2.573,0.234,-0.548,11.44
2026-02-25T02:20:00+00:00,65.892,2.598,0.241,-0.55,11.448
2026-02-25T02:25:00+00:00,65.26,2.55,0.241,-0.544,11.46
2026-02-25T02:30:00+00:00,65.487,2.497,0.238,-0.546,11.407
2026-02-25T02:35:00+00:00,66.243,2.503,0.228,-0.549,11.325
2026-02-25T02:40:00+00:00,63.584,2.395,0.233,-0.524,11.33
2026-02-25T02:45:00+00:00,58.032,2.224,0.24,-0.466,11.349
2026-02-25T02:50:00+00:00,58.377,2.252,0.248,-0.466,11.397
2026-02-25T02:55:00+00:00,59.147,2.322,0.24,-0.48,11.41
2026-02-25T03:00:00+00:00,57.508,2.304,0.246,-0.462,11.412
2026-02-25T03:05:00+00:00,58.31,2.349,0.24,-0.469,11.373
2026-02-25T03:10:00+00:00,60.615,2.317,0.232,-0.496,11.356
2026-02-25T03:15:00+00:00,56.952,2.178,0.242,-0.454,11.374
2026-02-25T03:20:00+00:00,56.667,2.19,0.241,-0.451,11.386
2026-02-25T03:25:00+00:00,57.847,2.288,0.23,-0.47,11.385
2026-02-25T03:30:00+00:00,60.305,2.366,0.245,-0.489,11.398
2026-02-25T03:35:00+00:00,60.323,2.414,0.251,-0.485,11.387
2026-02-25T03:40:00+00:00,61.73,2.369,0.234,-0.506,11.374
2026-02-25T03:45:00+00:00,56.212,2.158,0.252,-0.444,11.409
2026-02-25T03:50:00+00:00,57.298,2.266,0.248,-0.456,11.417
2026-02-25T03:55:00+00:00,58.352,2.303,0.23,-0.476,11.428
2026-02-25T04:00:00+00:00,58.451,2.319,0.254,-0.468,11.435
2026-02-25T04:05:00+00:00,60.743,2.283,0.254,-0.487,11.382
2026-02-25T04:10:00+00:00,60.805,2.207,0.225,-0.5,11.377
2026-02-25T04:15:00+00:00,58.542,2.28,0.244,-0.47,11.377
2026-02-25T04:20:00+00:00,59.337,2.392,0.241,-0.478,11.364
2026-02-25T04:25:00+00:00,61.343,2.362,0.227,-0.503,11.36
2026-02-25T04:30:00+00:00,60.476,2.279,0.248,-0.488,11.372
2026-02-25T04:35:00+00:00,60.271,2.228,0.23,-0.49,11.37
2026-02-25T04:40:00+00:00,59.23,2.19,0.234,-0.48,11.371
2026-02-25T04:45:00+00:00,57.782,2.263,0.255,-0.456,11.395
2026-02-25T04:50:00+00:00,59.511,2.295,0.24,-0.48,11.389
2026-02-25T04:55:00+00:00,61.467,2.335,0.232,-0.504,11.38
2026-02-25T05:00:00+00:00,57.984,2.253,0.254,-0.46,11.401
