ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,41.268,1.726,-0.184,-1.008,2.777
2026-02-25T00:10:00+00:00,42.845,1.771,-0.247,-1.058,2.759
2026-02-25T00:15:00+00:00,50.219,1.795,-0.283,-1.178,2.767
2026-02-25T00:20:00+00:00,51.176,1.787,-0.28,-1.192,2.767
2026-02-25T00:25:00+00:00,51.108,1.78,-0.276,-1.187,2.766
2026-02-25T00:30:00+00:00,51.145,1.772,-0.272,-1.202,2.77
2026-02-25T00:35:00+00:00,52.943,1.765,-0.284,-1.241,2.76
2026-02-25T00:40:00+00:00,53.641,1.757,-0.288,-1.28,2.752
2026-02-25T00:45:00+00:00,53.499,1.75,-0.292,-1.282,2.752
2026-02-25T00:50:00+00:00,52.676,1.742,-0.294,-1.276,2.755
2026-02-25T00:55:00+00:00,53.11,1.735,-0.297,-1.279,2.759
2026-02-25T01:00:00+00:00,52.7,1.727,-0.296,-1.282,2.759
2026-02-25T01:05:00+00:00,52.662,1.719,-0.289,-1.283,2.752
2026-02-25T01:10:00+00:00,53.112,1.712,-0.29,-1.282,2.752
2026-02-25T01:15:00+00:00,53.386,1.704,-0.295,-1.277,2.757
2026-02-25T01:20:00+00:00,52.646,1.697,-0.296,-1.262,2.758
2026-02-25T01:25:00+00:00,51.71,1.689,-0.29,-1.254,2.761
2026-02-25T01:30:00+00:00,51.585,1.682,-0.295,-1.246,2.764
2026-02-25T01:35:00+00:00,51.676,1.674,-0.292,-1.246,2.762
2026-02-25T01:40:00+00:00,51.21,1.667,-0.292,-1.239,2.766
2026-02-25T01:45:00+00:00,51.363,1.659,-0.292,-1.241,2.769
2026-02-25T01:50:00+00:00,51.5,1.651,-0.292,-1.24,2.774
2026-02-25T01:55:00+00:00,51.188,1.644,-0.295,-1.226,2.778
2026-02-25T02:00:00+00:00,50.603,1.636,-0.294,-1.212,2.777
2026-02-25T02:05:00+00:00,50.502,1.629,-0.29,-1.214,2.772
2026-02-25T02:10:00+00:00,50.543,1.621,-0.29,-1.212,2.774
2026-02-25T02:15:00+00:00,50.162,1.614,-0.296,-1.206,2.781
2026-02-25T02:20:00+00:00,49.63,1.606,-0.292,-1.198,2.784
2026-02-25T02:25:00+00:00,50.055,1.599,-0.302,-1.213,2.787
2026-02-25T02:30:00+00:00,49.696,1.591,-0.314,-1.212,2.788
2026-02-25T02:35:00+00:00,50.326,1.584,-0.308,-1.212,2.784
2026-02-25T02:40:00+00:00,50.434,1.576,-0.313,-1.212,2.786
2026-02-25T02:45:00+00:00,49.86,1.568,-0.31,-1.206,2.788
2026-02-25T02:50:00+00:00,45.643,1.561,-0.187,-1.14,2.793
2026-02-25T02:55:00+00:00,41.136,1.553,-0.106,-1.082,2.776
2026-02-25T03:00:00+00:00,40.848,1.546,-0.114,-1.072,2.767
2026-02-25T03:05:00+00:00,41.817,1.538,-0.112,-1.078,2.759
2026-02-25T03:10:00+00:00,41.757,1.531,-0.11,-1.079,2.758
2026-02-25T03:15:00+00:00,41.7,1.523,-0.108,-1.068,2.759
2026-02-25T03:20:00+00:00,41.662,1.516,-0.106,-1.07,2.761
2026-02-25T03:25:00+00:00,41.488,1.508,-0.104,-1.062,2.762
2026-02-25T03:30:00+00:00,41.087,1.501,-0.102,-1.051,2.766
2026-02-25T03:35:00+00:00,40.399,1.509,-0.103,-1.029,2.762
2026-02-25T03:40:00+00:00,40.442,1.524,-0.108,-1.03,2.762
2026-02-25T03:45:00+00:00,40.414,1.538,-0.108,-1.03,2.767
2026-02-25T03:50:00+00:00,40.892,1.553,-0.108,-1.03,2.769
2026-02-25T03:55:00+00:00,40.938,1.567,-0.11,-1.029,2.771
2026-02-25T04:00:00+00:00,40.623,1.582,-0.108,-1.032,2.774
2026-02-25T04:05:00+00:00,40.944,1.596,-0.105,-1.032,2.78
2026-02-25T04:10:00+00:00,40.979,1.611,-0.108,-1.036,2.772
2026-02-25T04:15:00+00:00,40.488,1.626,-0.108,-1.03,2.758
2026-02-25T04:20:00+00:00,41.71,1.64,-0.102,-1.048,2.757
2026-02-25T04:25:00+00:00,42.35,1.655,-0.092,-1.066,2.757
2026-02-25T04:30:00+00:00,42.256,1.669,-0.09,-1.054,2.758
2026-02-25T04:35:00+00:00,42.353,1.684,-0.092,-1.056,2.758
2026-02-25T04:40:00+00:00,42.18,1.698,-0.092,-1.04,2.76
2026-02-25T04:45:00+00:00,40.956,1.713,-0.092,-1.02,2.764
2026-02-25T04:50:00+00:00,40.75,1.728,-0.092,-1.016,2.764
2026-02-25T04:55:00+00:00,40.772,1.742,-0.096,-1.014,2.764
2026-02-25T05:00:00+00:00,41.006,1.757,-0.094,-1.031,2.764
2026-02-25T05:05:00+00:00,42.018,1.771,-0.088,-1.05,2.758
2026-02-25T05:10:00+00:00,42.686,1.786,-0.092,-1.05,2.756
2026-02-25T05:15:00+00:00,48.641,1.799,-0.252,-1.128,2.767
2026-02-25T05:20:00+00:00,49.002,1.807,-0.274,-1.13,2.769
2026-02-25T05:25:00+00:00,48.911,1.814,-0.273,-1.118,2.77
2026-02-25T05:30:00+00:00,48.612,1.821,-0.276,-1.117,2.771
2026-02-25T05:35:00+00:00,48.915,1.828,-0.278,-1.138,2.771
2026-02-25T05:40:00+00:00,49.36,1.836,-0.281,-1.142,2.77
2026-02-25T05:45:00+00:00,49.265,1.843,-0.284,-1.13,2.764
2026-02-25T05:50:00+00:00,49.971,1.85,-0.268,-1.13,2.76
2026-02-25T05:55:00+00:00,49.358,1.858,-0.261,-1.116,2.761
2026-02-25T06:00:00+00:00,49.992,1.865,-0.254,-1.128,2.759
2026-02-25T06:05:00+00:00,49.966,1.872,-0.31,-1.134,2.75
2026-02-25T06:10:00+00:00,54.252,1.879,-0.348,-1.178,2.764
2026-02-25T06:15:00+00:00,53.564,1.887,-0.349,-1.177,2.771
2026-02-25T06:20:00+00:00,52.907,1.894,-0.36,-1.18,2.782
2026-02-25T06:25:00+00:00,53.89,1.901,-0.37,-1.196,2.789
2026-02-25T06:30:00+00:00,54.597,1.909,-0.379,-1.212,2.787
2026-02-25T06:35:00+00:00,54.864,1.916,-0.378,-1.236,2.783
2026-02-25T06:40:00+00:00,55.294,1.923,-0.362,-1.248,2.777
2026-02-25T06:45:00+00:00,55.474,1.93,-0.354,-1.251,2.774
2026-02-25T06:50:00+00:00,56.684,1.938,-0.357,-1.276,2.768
2026-02-25T06:55:00+00:00,55.844,1.945,-0.342,-1.27,2.763
2026-02-25T07:00:00+00:00,57.03,1.952,-0.342,-1.285,2.764
2026-02-25T07:05:00+00:00,57.854,1.968,-0.342,-1.306,2.757
2026-02-25T07:10:00+00:00,59.513,2.042,-0.343,-1.344,2.768
2026-02-25T07:15:00+00:00,60.6,2.127,-0.345,-1.369,2.765
2026-02-25T07:20:00+00:00,61.299,2.189,-0.34,-1.372,2.768
2026-02-25T07:25:00+00:00,60.877,2.177,-0.342,-1.366,2.768
2026-02-25T07:30:00+00:00,60.648,2.159,-0.342,-1.38,2.773
2026-02-25T07:35:00+00:00,61.65,2.141,-0.343,-1.4,2.768
2026-02-25T07:40:00+00:00,61.514,2.124,-0.346,-1.383,2.766
2026-02-25T07:45:00+00:00,60.702,2.106,-0.361,-1.386,2.786
2026-02-25T07:50:00+00:00,62.165,2.088,-0.348,-1.408,2.788
2026-02-25T07:55:00+00:00,63.262,2.07,-0.339,-1.425,2.786
2026-02-25T08:00:00+00:00,63.483,2.052,-0.357,-1.421,2.788
2026-02-25T08:05:00+00:00,64.321,2.035,-0.362,-1.432,2.789
2026-02-25T08:10:00+00:00,64.02,2.017,-0.358,-1.43,2.787
2026-02-25T08:15:00+00:00,63.66,1.999,-0.358,-1.413,2.788
2026-02-25T08:20:00+00:00,63.237,1.981,-0.342,-1.401,2.794
2026-02-25T08:25:00+00:00,63.421,1.964,-0.345,-1.398,2.795
2026-02-25T08:30:00+00:00,60.752,1.946,-0.276,-1.367,2.793
2026-02-25T08:35:00+00:00,57.53,1.93,-0.173,-1.323,2.786
2026-02-25T08:40:00+00:00,57.317,1.919,-0.158,-1.334,2.789
2026-02-25T08:45:00+00:00,56.556,1.907,-0.156,-1.318,2.79
2026-02-25T08:50:00+00:00,56.558,1.896,-0.176,-1.322,2.786
2026-02-25T08:55:00+00:00,57.083,1.884,-0.174,-1.318,2.784
2026-02-25T09:00:00+00:00,57.229,1.873,-0.176,-1.332,2.786
2026-02-25T09:05:00+00:00,56.6,1.862,-0.173,-1.321,2.782
2026-02-25T09:10:00+00:00,58.005,1.85,-0.176,-1.332,2.781
2026-02-25T09:15:00+00:00,56.945,1.839,-0.175,-1.316,2.78
2026-02-25T09:20:00+00:00,57.92,1.827,-0.17,-1.33,2.782
2026-02-25T09:25:00+00:00,57.336,1.816,-0.158,-1.33,2.787
2026-02-25T09:30:00+00:00,57.106,1.804,-0.156,-1.326,2.79
2026-02-25T09:35:00+00:00,55.813,1.793,-0.16,-1.303,2.792
2026-02-25T09:40:00+00:00,55.562,1.782,-0.177,-1.274,2.795
2026-02-25T09:45:00+00:00,57.461,1.77,-0.192,-1.298,2.792
2026-02-25T09:50:00+00:00,57.818,1.759,-0.216,-1.298,2.794
2026-02-25T09:55:00+00:00,57.162,1.747,-0.2,-1.286,2.797
2026-02-25T10:00:00+00:00,58.047,1.736,-0.208,-1.301,2.801
2026-02-25T10:05:00+00:00,54.654,1.725,-0.139,-1.252,2.797
2026-02-25T10:10:00+00:00,51.813,1.713,-0.023,-1.208,2.794
2026-02-25T10:15:00+00:00,51.507,1.702,-0.034,-1.178,2.796
2026-02-25T10:20:00+00:00,50.595,1.69,-0.035,-1.168,2.797
2026-02-25T10:25:00+00:00,50.407,1.679,-0.028,-1.157,2.779
2026-02-25T10:30:00+00:00,50.91,1.667,-0.026,-1.164,2.782
2026-02-25T10:35:00+00:00,50.368,1.656,-0.032,-1.148,2.787
2026-02-25T10:40:00+00:00,50.612,1.645,-0.044,-1.143,2.786
2026-02-25T10:45:00+00:00,49.955,1.633,-0.042,-1.132,2.786
2026-02-25T10:50:00+00:00,49.9,1.622,-0.04,-1.121,2.789
2026-02-25T10:55:00+00:00,49.457,1.615,-0.029,-1.105,2.779
2026-02-25T11:00:00+00:00,48.36,1.62,-0.04,-1.092,2.779
2026-02-25T11:05:00+00:00,46.659,1.624,-0.046,-1.056,2.774
2026-02-25T11:10:00+00:00,46.757,1.629,-0.024,-1.067,2.77
2026-02-25T11:15:00+00:00,46.437,1.634,-0.042,-1.056,2.766
2026-02-25T11:20:00+00:00,45.447,1.638,-0.042,-1.034,2.764
2026-02-25T11:25:00+00:00,45.096,1.643,-0.044,-1.03,2.767
2026-02-25T11:30:00+00:00,45.173,1.648,-0.044,-1.02,2.767
2026-02-25T11:35:00+00:00,44.464,1.653,-0.057,-1.02,2.765
2026-02-25T11:40:00+00:00,45.199,1.657,-0.051,-1.019,2.764
2026-02-25T11:45:00+00:00,43.93,1.662,-0.041,-0.995,2.765
2026-02-25T11:50:00+00:00,44.311,1.667,-0.044,-0.998,2.764
2026-02-25T11:55:00+00:00,43.794,1.671,-0.042,-0.984,2.762
2026-02-25T12:00:00+00:00,45.048,1.676,-0.044,-1.002,2.762
2026-02-25T12:05:00+00:00,45.388,1.681,-0.044,-1.01,2.761
2026-02-25T12:10:00+00:00,45.234,1.686,-0.042,-0.998,2.77
2026-02-25T12:15:00+00:00,44.182,1.69,-0.042,-0.986,2.77
2026-02-25T12:20:00+00:00,44.936,1.695,-0.043,-1.002,2.77
2026-02-25T12:25:00+00:00,44.214,1.7,-0.042,-0.986,2.77
2026-02-25T12:30:00+00:00,45.008,1.704,-0.042,-1.004,2.768
2026-02-25T12:35:00+00:00,44.436,1.709,-0.042,-1.01,2.764
2026-02-25T12:40:00+00:00,45.291,1.714,-0.042,-1.02,2.764
2026-02-25T12:45:00+00:00,46.124,1.719,-0.044,-1.045,2.767
2026-02-25T12:50:00+00:00,44.919,1.723,-0.058,-1.043,2.767
2026-02-25T12:55:00+00:00,43.811,1.728,-0.056,-1.019,2.769
2026-02-25T13:00:00+00:00,44.767,1.733,-0.048,-1.052,2.767
2026-02-25T13:05:00+00:00,45.98,1.737,-0.044,-1.089,2.764
2026-02-25T13:10:00+00:00,48.171,1.742,-0.042,-1.116,2.761
2026-02-25T13:15:00+00:00,43.919,1.747,-0.052,-1.032,2.77
2026-02-25T13:20:00+00:00,44.88,1.752,-0.048,-1.056,2.772
2026-02-25T13:25:00+00:00,48.23,1.756,-0.024,-1.108,2.772
2026-02-25T13:30:00+00:00,47.386,1.761,-0.036,-1.086,2.775
2026-02-25T13:35:00+00:00,46.666,1.766,-0.046,-1.078,2.774
2026-02-25T13:40:00+00:00,46.808,1.77,-0.042,-1.1,2.772
2026-02-25T13:45:00+00:00,47.988,1.775,-0.04,-1.126,2.77
2026-02-25T13:50:00+00:00,48.142,1.78,-0.043,-1.127,2.768
2026-02-25T13:55:00+00:00,48.252,1.785,-0.043,-1.136,2.773
2026-02-25T14:00:00+00:00,48.916,1.789,-0.043,-1.15,2.774
2026-02-25T14:05:00+00:00,48.466,1.794,-0.042,-1.149,2.772
2026-02-25T14:10:00+00:00,48.427,1.799,-0.038,-1.148,2.772
2026-02-25T14:15:00+00:00,49.179,1.803,-0.026,-1.165,2.771
2026-02-25T14:20:00+00:00,48.939,1.808,-0.021,-1.164,2.77
2026-02-25T14:25:00+00:00,49.042,1.813,-0.026,-1.157,2.771
2026-02-25T14:30:00+00:00,48.675,1.818,-0.024,-1.152,2.774
