ValueDate,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,0.733,-0.012,-0.734,10.925
2026-02-25T00:10:00+00:00,0.737,-0.011,-0.739,10.955
2026-02-25T00:15:00+00:00,0.762,-0.011,-0.763,11.052
2026-02-25T00:20:00+00:00,0.798,-0.013,-0.798,11.067
2026-02-25T00:25:00+00:00,0.833,-0.016,-0.833,11.064
2026-02-25T00:30:00+00:00,0.867,-0.019,-0.867,11.073
2026-02-25T00:35:00+00:00,0.901,-0.021,-0.902,11.032
2026-02-25T00:40:00+00:00,0.931,-0.024,-0.932,11.014
2026-02-25T00:45:00+00:00,0.923,-0.026,-0.924,11.024
2026-02-25T00:50:00+00:00,0.905,-0.029,-0.906,11.043
2026-02-25T00:55:00+00:00,0.887,-0.031,-0.888,11.048
2026-02-25T01:00:00+00:00,0.869,-0.034,-0.87,11.053
2026-02-25T01:05:00+00:00,0.851,-0.037,-0.851,11.031
2026-02-25T01:10:00+00:00,0.834,-0.039,-0.833,11.033
2026-02-25T01:15:00+00:00,0.817,-0.042,-0.817,11.063
2026-02-25T01:20:00+00:00,0.85,-0.044,-0.851,11.065
2026-02-25T01:25:00+00:00,0.906,-0.047,-0.909,11.078
2026-02-25T01:30:00+00:00,0.889,-0.049,-0.891,11.085
2026-02-25T01:35:00+00:00,0.806,-0.052,-0.806,11.084
2026-02-25T01:40:00+00:00,0.798,-0.055,-0.797,11.092
2026-02-25T01:45:00+00:00,0.79,-0.057,-0.789,11.12
2026-02-25T01:50:00+00:00,0.782,-0.06,-0.781,11.13
2026-02-25T01:55:00+00:00,0.773,-0.062,-0.773,11.019
2026-02-25T02:00:00+00:00,0.765,-0.065,-0.765,11.006
2026-02-25T02:05:00+00:00,0.757,-0.067,-0.756,10.979
2026-02-25T02:10:00+00:00,0.749,-0.07,-0.748,11.002
2026-02-25T02:15:00+00:00,0.741,-0.073,-0.74,11.026
2026-02-25T02:20:00+00:00,0.732,-0.075,-0.732,11.03
2026-02-25T02:25:00+00:00,0.724,-0.078,-0.724,11.019
2026-02-25T02:30:00+00:00,0.716,-0.08,-0.715,10.969
2026-02-25T02:35:00+00:00,0.708,-0.083,-0.707,10.965
2026-02-25T02:40:00+00:00,0.7,-0.086,-0.699,10.967
2026-02-25T02:45:00+00:00,0.691,-0.088,-0.691,10.991
2026-02-25T02:50:00+00:00,0.683,-0.091,-0.683,11.007
2026-02-25T02:55:00+00:00,0.675,-0.093,-0.674,10.985
2026-02-25T03:00:00+00:00,0.684,-0.096,-0.683,10.987
2026-02-25T03:05:00+00:00,0.713,-0.098,-0.711,10.939
2026-02-25T03:10:00+00:00,0.726,-0.101,-0.723,10.928
2026-02-25T03:15:00+00:00,0.707,-0.104,-0.704,10.949
2026-02-25T03:20:00+00:00,0.687,-0.106,-0.684,10.951
2026-02-25T03:25:00+00:00,0.668,-0.109,-0.665,10.967
2026-02-25T03:30:00+00:00,0.648,-0.111,-0.645,10.97
2026-02-25T03:35:00+00:00,0.629,-0.114,-0.625,10.963
2026-02-25T03:40:00+00:00,0.61,-0.116,-0.607,10.974
2026-02-25T03:45:00+00:00,0.632,-0.119,-0.625,10.989
2026-02-25T03:50:00+00:00,0.666,-0.115,-0.656,11.007
2026-02-25T03:55:00+00:00,0.674,-0.108,-0.664,11.011
2026-02-25T04:00:00+00:00,0.677,-0.1,-0.667,11.032
2026-02-25T04:05:00+00:00,0.681,-0.093,-0.671,11.065
2026-02-25T04:10:00+00:00,0.684,-0.085,-0.675,11.062
2026-02-25T04:15:00+00:00,0.687,-0.078,-0.679,11.066
2026-02-25T04:20:00+00:00,0.69,-0.07,-0.682,11.063
2026-02-25T04:25:00+00:00,0.694,-0.063,-0.686,11.067
2026-02-25T04:30:00+00:00,0.697,-0.055,-0.69,11.058
2026-02-25T04:35:00+00:00,0.7,-0.048,-0.693,11.047
2026-02-25T04:40:00+00:00,0.703,-0.04,-0.697,11.065
2026-02-25T04:45:00+00:00,0.707,-0.032,-0.701,11.085
2026-02-25T04:50:00+00:00,0.71,-0.025,-0.704,10.993
2026-02-25T04:55:00+00:00,0.713,-0.017,-0.708,10.987
2026-02-25T05:00:00+00:00,0.716,-0.01,-0.712,10.988
2026-02-25T05:05:00+00:00,0.72,-0.003,-0.715,10.965
2026-02-25T05:10:00+00:00,0.723,-0.013,-0.719,10.948
2026-02-25T05:15:00+00:00,0.726,-0.031,-0.723,10.955
2026-02-25T05:20:00+00:00,0.73,-0.05,-0.727,10.962
2026-02-25T05:25:00+00:00,0.725,-0.068,-0.722,10.953
2026-02-25T05:30:00+00:00,0.685,-0.086,-0.68,10.971
2026-02-25T05:35:00+00:00,0.679,-0.104,-0.674,10.953
2026-02-25T05:40:00+00:00,0.702,-0.117,-0.697,10.944
2026-02-25T05:45:00+00:00,0.725,-0.108,-0.72,10.92
2026-02-25T05:50:00+00:00,0.748,-0.097,-0.743,10.893
2026-02-25T05:55:00+00:00,0.77,-0.087,-0.767,10.887
