ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,186.247,0.378,-3.431,10.848
2026-02-25T00:10:00+00:00,190.942,0.374,-3.507,10.852
2026-02-25T00:15:00+00:00,192.275,0.372,-3.55,10.897
2026-02-25T00:20:00+00:00,191.478,0.373,-3.558,10.893
2026-02-25T00:25:00+00:00,190.005,0.392,-3.514,10.896
2026-02-25T00:30:00+00:00,189.723,0.412,-3.513,10.917
2026-02-25T00:35:00+00:00,188.862,0.409,-3.498,10.874
2026-02-25T00:40:00+00:00,192.394,0.36,-3.59,10.83
2026-02-25T00:45:00+00:00,194.259,0.387,-3.624,10.838
2026-02-25T00:50:00+00:00,190.322,0.374,-3.569,10.852
2026-02-25T00:55:00+00:00,195.504,0.358,-3.663,10.86
2026-02-25T01:00:00+00:00,191.468,0.396,-3.592,10.866
2026-02-25T01:05:00+00:00,190.662,0.368,-3.572,10.838
2026-02-25T01:10:00+00:00,193.642,0.374,-3.614,10.843
2026-02-25T01:15:00+00:00,190.63,0.364,-3.558,10.858
2026-02-25T01:20:00+00:00,191.146,0.356,-3.576,10.87
2026-02-25T01:25:00+00:00,186.122,0.353,-3.488,10.888
2026-02-25T01:30:00+00:00,186.778,0.342,-3.492,10.893
2026-02-25T01:35:00+00:00,190.031,0.355,-3.566,10.882
2026-02-25T01:40:00+00:00,186.682,0.377,-3.478,10.901
2026-02-25T01:45:00+00:00,188.751,0.395,-3.517,10.92
2026-02-25T01:50:00+00:00,185.96,0.392,-3.494,10.95
2026-02-25T01:55:00+00:00,183.555,0.366,-3.46,10.959
2026-02-25T02:00:00+00:00,185.915,0.353,-3.498,10.956
2026-02-25T02:05:00+00:00,183.746,0.333,-3.438,10.938
2026-02-25T02:10:00+00:00,185.676,0.35,-3.488,10.949
2026-02-25T02:15:00+00:00,183.673,0.388,-3.464,10.985
2026-02-25T02:20:00+00:00,179.163,0.375,-3.382,10.99
2026-02-25T02:25:00+00:00,182.426,0.36,-3.451,11.009
2026-02-25T02:30:00+00:00,178.874,0.354,-3.384,11.016
2026-02-25T02:35:00+00:00,175.402,0.372,-3.327,11.003
2026-02-25T02:40:00+00:00,179.303,0.394,-3.394,11.006
2026-02-25T02:45:00+00:00,174.464,0.41,-3.29,11.028
2026-02-25T02:50:00+00:00,176.302,0.403,-3.309,10.989
2026-02-25T02:55:00+00:00,175.383,0.386,-3.277,11.008
2026-02-25T03:00:00+00:00,174.743,0.37,-3.284,11.006
2026-02-25T03:05:00+00:00,178.39,0.37,-3.346,10.97
2026-02-25T03:10:00+00:00,175.825,0.394,-3.302,10.962
2026-02-25T03:15:00+00:00,175.198,0.382,-3.3,10.974
2026-02-25T03:20:00+00:00,174.868,0.362,-3.299,10.978
2026-02-25T03:25:00+00:00,170.834,0.363,-3.236,10.974
2026-02-25T03:30:00+00:00,172.04,0.368,-3.26,10.987
2026-02-25T03:35:00+00:00,172.271,0.382,-3.24,10.978
2026-02-25T03:40:00+00:00,170.222,0.384,-3.196,10.984
2026-02-25T03:45:00+00:00,171.433,0.364,-3.208,11.02
2026-02-25T03:50:00+00:00,168.228,0.37,-3.168,11.018
2026-02-25T03:55:00+00:00,166.298,0.376,-3.127,10.956
2026-02-25T04:00:00+00:00,168.348,0.375,-3.126,10.974
2026-02-25T04:05:00+00:00,167.553,0.356,-3.136,10.986
2026-02-25T04:10:00+00:00,167.25,0.356,-3.162,10.994
2026-02-25T04:15:00+00:00,166.798,0.357,-3.124,10.99
2026-02-25T04:20:00+00:00,164.198,0.363,-3.077,10.985
2026-02-25T04:25:00+00:00,167.007,0.381,-3.146,10.986
2026-02-25T04:30:00+00:00,163.459,0.388,-3.096,10.99
2026-02-25T04:35:00+00:00,164.928,0.396,-3.105,10.992
2026-02-25T04:40:00+00:00,164.83,0.378,-3.114,10.996
2026-02-25T04:45:00+00:00,162.794,0.39,-3.088,11.016
2026-02-25T04:50:00+00:00,165.234,0.403,-3.139,11.01
2026-02-25T04:55:00+00:00,161.246,0.41,-3.065,11.015
2026-02-25T05:00:00+00:00,158.924,0.396,-3.02,11.022
2026-02-25T05:05:00+00:00,163.781,0.378,-3.097,10.997
2026-02-25T05:10:00+00:00,163.334,0.365,-3.072,10.972
2026-02-25T05:15:00+00:00,165.04,0.384,-3.104,10.984
2026-02-25T05:20:00+00:00,166.341,0.398,-3.15,10.98
2026-02-25T05:25:00+00:00,163.316,0.4,-3.077,10.982
2026-02-25T05:30:00+00:00,164.712,0.394,-3.111,10.992
2026-02-25T05:35:00+00:00,164.782,0.39,-3.098,10.995
2026-02-25T05:40:00+00:00,163.601,0.379,-3.088,10.984
2026-02-25T05:45:00+00:00,165.742,0.368,-3.114,10.955
2026-02-25T05:50:00+00:00,165.694,0.358,-3.13,10.932
2026-02-25T05:55:00+00:00,170.012,0.388,-3.213,10.926
2026-02-25T06:00:00+00:00,172.353,0.382,-3.237,10.912
2026-02-25T06:05:00+00:00,176.185,0.358,-3.303,10.856
2026-02-25T06:10:00+00:00,183.978,0.333,-3.446,10.798
2026-02-25T06:15:00+00:00,181.425,0.351,-3.43,10.913
2026-02-25T06:20:00+00:00,181.705,0.315,-3.439,10.894
2026-02-25T06:25:00+00:00,187.938,0.316,-3.526,10.875
2026-02-25T06:30:00+00:00,185.87,0.335,-3.484,10.864
2026-02-25T06:35:00+00:00,192.516,0.326,-3.594,10.836
2026-02-25T06:40:00+00:00,195.386,0.318,-3.64,10.802
2026-02-25T06:45:00+00:00,197.864,0.332,-3.706,10.779
2026-02-25T06:50:00+00:00,204.838,0.334,-3.852,10.925
2026-02-25T06:55:00+00:00,201.62,0.301,-3.892,11.041
2026-02-25T07:00:00+00:00,210.67,0.316,-3.984,10.982
2026-02-25T07:05:00+00:00,214.595,0.318,-4.05,10.934
2026-02-25T07:10:00+00:00,215.348,0.29,-4.039,10.875
2026-02-25T07:15:00+00:00,219.961,0.28,-4.162,10.852
2026-02-25T07:20:00+00:00,222.226,0.291,-4.196,10.852
2026-02-25T07:25:00+00:00,228.185,0.29,-4.281,10.846
2026-02-25T07:30:00+00:00,223.522,0.308,-4.201,10.862
