ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,77.93,1.571,-0.226,1.385,11.202
2026-02-25T00:10:00+00:00,85.914,1.706,-0.314,1.428,11.257
2026-02-25T00:15:00+00:00,79.208,1.46,-0.3,1.186,11.312
2026-02-25T00:20:00+00:00,72.772,1.408,-0.286,1.174,11.327
2026-02-25T00:25:00+00:00,71.627,1.434,-0.301,1.198,11.277
2026-02-25T00:30:00+00:00,71.354,1.508,-0.316,1.224,11.296
2026-02-25T00:35:00+00:00,76.059,1.565,-0.34,1.262,11.228
2026-02-25T00:40:00+00:00,83.027,1.686,-0.434,1.31,11.221
2026-02-25T00:45:00+00:00,87.503,1.709,-0.45,1.311,11.281
2026-02-25T00:50:00+00:00,87.55,1.69,-0.442,1.301,11.3
2026-02-25T00:55:00+00:00,87.138,1.672,-0.432,1.292,11.31
2026-02-25T01:00:00+00:00,86.374,1.653,-0.423,1.281,11.316
2026-02-25T01:05:00+00:00,85.351,1.66,-0.414,1.272,11.29
2026-02-25T01:10:00+00:00,84.239,1.656,-0.404,1.262,11.303
2026-02-25T01:15:00+00:00,83.961,1.631,-0.396,1.252,11.327
2026-02-25T01:20:00+00:00,83.004,1.606,-0.387,1.242,11.348
2026-02-25T01:25:00+00:00,81.872,1.589,-0.379,1.232,11.37
2026-02-25T01:30:00+00:00,81.248,1.577,-0.373,1.222,11.377
2026-02-25T01:35:00+00:00,82.567,1.563,-0.367,1.21,11.372
2026-02-25T01:40:00+00:00,81.46,1.549,-0.36,1.202,11.385
2026-02-25T01:45:00+00:00,80.806,1.535,-0.354,1.195,11.343
2026-02-25T01:50:00+00:00,78.172,1.522,-0.347,1.188,11.318
2026-02-25T01:55:00+00:00,78.884,1.508,-0.34,1.181,11.328
2026-02-25T02:00:00+00:00,78.316,1.494,-0.334,1.174,11.32
2026-02-25T02:05:00+00:00,79.163,1.48,-0.328,1.167,11.293
2026-02-25T02:10:00+00:00,78.776,1.49,-0.322,1.16,11.312
2026-02-25T02:15:00+00:00,79.837,1.526,-0.366,1.153,11.344
2026-02-25T02:20:00+00:00,80.038,1.5,-0.361,1.146,11.336
2026-02-25T02:25:00+00:00,77.14,1.462,-0.333,1.14,11.367
2026-02-25T02:30:00+00:00,76.044,1.443,-0.319,1.132,11.384
2026-02-25T02:35:00+00:00,75.243,1.43,-0.31,1.126,11.354
2026-02-25T02:40:00+00:00,75.396,1.476,-0.3,1.17,11.338
2026-02-25T02:45:00+00:00,74.238,1.436,-0.292,1.135,11.33
2026-02-25T02:50:00+00:00,72.956,1.406,-0.282,1.111,11.363
2026-02-25T02:55:00+00:00,72.324,1.388,-0.273,1.1,11.376
2026-02-25T03:00:00+00:00,72.562,1.369,-0.264,1.087,11.372
2026-02-25T03:05:00+00:00,70.328,1.351,-0.256,1.076,11.322
2026-02-25T03:10:00+00:00,69.845,1.333,-0.252,1.064,11.316
2026-02-25T03:15:00+00:00,69.375,1.315,-0.25,1.051,11.328
2026-02-25T03:20:00+00:00,69.615,1.297,-0.246,1.039,11.348
2026-02-25T03:25:00+00:00,68.167,1.317,-0.243,1.065,11.357
2026-02-25T03:30:00+00:00,66.866,1.305,-0.24,1.058,11.37
2026-02-25T03:35:00+00:00,66.45,1.281,-0.237,1.04,11.361
2026-02-25T03:40:00+00:00,66.126,1.286,-0.234,1.052,11.358
2026-02-25T03:45:00+00:00,65.694,1.299,-0.231,1.072,11.358
2026-02-25T03:50:00+00:00,64.844,1.249,-0.228,1.031,11.318
2026-02-25T03:55:00+00:00,65.82,1.269,-0.223,1.064,11.25
2026-02-25T04:00:00+00:00,65.379,1.269,-0.216,1.076,11.256
2026-02-25T04:05:00+00:00,63.96,1.227,-0.209,1.043,11.253
2026-02-25T04:10:00+00:00,63.579,1.216,-0.202,1.041,11.276
2026-02-25T04:15:00+00:00,64.188,1.244,-0.196,1.077,11.264
2026-02-25T04:20:00+00:00,64.466,1.224,-0.191,1.069,11.241
2026-02-25T04:25:00+00:00,62.819,1.184,-0.194,1.039,11.25
2026-02-25T04:30:00+00:00,61.323,1.18,-0.197,1.012,11.249
2026-02-25T04:35:00+00:00,61.425,1.195,-0.201,1.001,11.251
2026-02-25T04:40:00+00:00,61.162,1.174,-0.204,1.014,11.26
2026-02-25T04:45:00+00:00,59.834,1.178,-0.208,1.026,11.288
2026-02-25T04:50:00+00:00,59.317,1.22,-0.211,1.038,11.239
2026-02-25T04:55:00+00:00,60.637,1.256,-0.214,1.051,11.238
2026-02-25T05:00:00+00:00,62.614,1.257,-0.218,1.058,11.244
2026-02-25T05:05:00+00:00,61.767,1.249,-0.221,1.04,11.218
2026-02-25T05:10:00+00:00,63.09,1.296,-0.225,1.078,11.202
2026-02-25T05:15:00+00:00,63.236,1.316,-0.228,1.085,11.194
2026-02-25T05:20:00+00:00,65.898,1.336,-0.231,1.092,11.194
2026-02-25T05:25:00+00:00,65.709,1.357,-0.238,1.099,11.24
2026-02-25T05:30:00+00:00,65.862,1.323,-0.246,1.106,11.242
2026-02-25T05:35:00+00:00,66.1,1.332,-0.254,1.112,11.238
2026-02-25T05:40:00+00:00,67.275,1.358,-0.261,1.12,11.254
2026-02-25T05:45:00+00:00,66.314,1.376,-0.27,1.132,11.26
2026-02-25T05:50:00+00:00,68.208,1.378,-0.277,1.146,11.226
2026-02-25T05:55:00+00:00,68.881,1.386,-0.285,1.164,11.223
2026-02-25T06:00:00+00:00,69.91,1.424,-0.293,1.193,11.204
2026-02-25T06:05:00+00:00,70.802,1.446,-0.3,1.204,11.194
2026-02-25T06:10:00+00:00,73.129,1.461,-0.306,1.204,11.192
2026-02-25T06:15:00+00:00,73.178,1.434,-0.31,1.168,11.178
2026-02-25T06:20:00+00:00,74.172,1.468,-0.314,1.202,11.162
2026-02-25T06:25:00+00:00,75.828,1.479,-0.318,1.236,11.226
2026-02-25T06:30:00+00:00,75.938,1.474,-0.322,1.25,11.276
2026-02-25T06:35:00+00:00,75.524,1.484,-0.326,1.266,11.306
2026-02-25T06:40:00+00:00,79.45,1.538,-0.33,1.288,11.342
2026-02-25T06:45:00+00:00,79.06,1.588,-0.347,1.313,11.334
2026-02-25T06:50:00+00:00,80.072,1.64,-0.383,1.341,11.298
2026-02-25T06:55:00+00:00,84.414,1.672,-0.383,1.382,11.386
