ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,151.817,2.971,0.308,-2.799,11.332
2026-02-24T00:10:00+00:00,152.869,2.984,0.312,-2.815,11.294
2026-02-24T00:15:00+00:00,153.014,2.981,0.298,-2.82,11.304
2026-02-24T00:20:00+00:00,153.308,3.003,0.317,-2.837,11.342
2026-02-24T00:25:00+00:00,153.93,3.032,0.327,-2.848,11.365
2026-02-24T00:30:00+00:00,152.535,3.005,0.328,-2.818,11.367
2026-02-24T00:35:00+00:00,157.403,3.073,0.327,-2.916,11.296
2026-02-24T00:40:00+00:00,160.555,3.119,0.311,-2.977,11.267
2026-02-24T00:45:00+00:00,160.619,3.123,0.334,-2.978,11.267
2026-02-24T00:50:00+00:00,162.72,3.161,0.29,-3.025,11.264
2026-02-24T00:55:00+00:00,163.049,3.172,0.285,-3.036,11.267
2026-02-24T01:00:00+00:00,161.233,3.139,0.291,-2.994,11.267
2026-02-24T01:05:00+00:00,160.821,3.123,0.308,-2.989,11.267
2026-02-24T01:10:00+00:00,158.582,3.09,0.32,-2.949,11.267
2026-02-24T01:15:00+00:00,159.853,3.102,0.303,-2.967,11.266
2026-02-24T01:20:00+00:00,160.166,3.107,0.267,-2.982,11.267
2026-02-24T01:25:00+00:00,157.718,3.067,0.33,-2.932,11.286
2026-02-24T01:30:00+00:00,158.054,3.087,0.33,-2.937,11.308
2026-02-24T01:35:00+00:00,159.071,3.096,0.325,-2.969,11.271
2026-02-24T01:40:00+00:00,159.624,3.113,0.339,-2.973,11.289
2026-02-24T01:45:00+00:00,157.913,3.078,0.335,-2.925,11.292
2026-02-24T01:50:00+00:00,156.917,3.071,0.323,-2.923,11.317
2026-02-24T01:55:00+00:00,155.75,3.051,0.339,-2.901,11.333
2026-02-24T02:00:00+00:00,155.97,3.058,0.293,-2.893,11.325
2026-02-24T02:05:00+00:00,155.433,3.022,0.272,-2.881,11.27
2026-02-24T02:10:00+00:00,154.565,3.008,0.266,-2.864,11.267
2026-02-24T02:15:00+00:00,153.341,2.995,0.302,-2.838,11.305
2026-02-24T02:20:00+00:00,153.691,3.004,0.281,-2.854,11.327
2026-02-24T02:25:00+00:00,153.099,2.997,0.276,-2.843,11.333
2026-02-24T02:30:00+00:00,152.235,2.985,0.277,-2.825,11.333
2026-02-24T02:35:00+00:00,152.571,2.989,0.289,-2.824,11.324
2026-02-24T02:40:00+00:00,152.86,2.994,0.277,-2.84,11.306
2026-02-24T02:45:00+00:00,152.516,2.983,0.282,-2.833,11.328
2026-02-24T02:50:00+00:00,150.73,2.964,0.298,-2.793,11.359
2026-02-24T02:55:00+00:00,149.328,2.938,0.278,-2.775,11.367
2026-02-24T03:00:00+00:00,151.249,2.976,0.253,-2.81,11.362
2026-02-24T03:05:00+00:00,153.273,3.006,0.229,-2.853,11.333
2026-02-24T03:10:00+00:00,153.536,3.011,0.249,-2.857,11.347
2026-02-24T03:15:00+00:00,152.983,3.005,0.243,-2.854,11.367
2026-02-24T03:20:00+00:00,152.454,3.003,0.246,-2.841,11.365
2026-02-24T03:25:00+00:00,151.133,2.958,0.244,-2.8,11.305
2026-02-24T03:30:00+00:00,149.686,2.929,0.293,-2.777,11.326
2026-02-24T03:35:00+00:00,149.253,2.911,0.267,-2.758,11.297
2026-02-24T03:40:00+00:00,147.962,2.886,0.247,-2.735,11.294
2026-02-24T03:45:00+00:00,147.89,2.896,0.265,-2.727,11.316
2026-02-24T03:50:00+00:00,147.608,2.894,0.274,-2.722,11.317
2026-02-24T03:55:00+00:00,146.135,2.868,0.251,-2.703,11.333
2026-02-24T04:00:00+00:00,146.108,2.871,0.267,-2.692,11.333
2026-02-24T04:05:00+00:00,146.092,2.84,0.268,-2.683,11.276
2026-02-24T04:10:00+00:00,148.227,2.885,0.27,-2.719,11.267
2026-02-24T04:15:00+00:00,147.933,2.877,0.285,-2.724,11.267
2026-02-24T04:20:00+00:00,148.282,2.886,0.281,-2.734,11.267
2026-02-24T04:25:00+00:00,148.207,2.886,0.268,-2.735,11.267
2026-02-24T04:30:00+00:00,147.809,2.88,0.26,-2.724,11.269
2026-02-24T04:35:00+00:00,147.758,2.878,0.273,-2.719,11.267
2026-02-24T04:40:00+00:00,149.019,2.899,0.267,-2.745,11.267
2026-02-24T04:45:00+00:00,148.387,2.896,0.274,-2.746,11.267
2026-02-24T04:50:00+00:00,147.067,2.868,0.306,-2.712,11.284
2026-02-24T04:55:00+00:00,146.351,2.86,0.289,-2.702,11.292
2026-02-24T05:00:00+00:00,145.99,2.852,0.259,-2.694,11.271
2026-02-24T05:05:00+00:00,144.78,2.807,0.303,-2.65,11.242
2026-02-24T05:10:00+00:00,144.994,2.812,0.305,-2.643,11.211
2026-02-24T05:15:00+00:00,147.85,2.866,0.292,-2.718,11.232
2026-02-24T05:20:00+00:00,146.451,2.84,0.287,-2.685,11.233
2026-02-24T05:25:00+00:00,146.346,2.849,0.273,-2.689,11.255
2026-02-24T05:30:00+00:00,146.585,2.854,0.296,-2.692,11.262
2026-02-24T05:35:00+00:00,147.546,2.861,0.276,-2.714,11.246
2026-02-24T05:40:00+00:00,148.461,2.878,0.255,-2.72,11.233
2026-02-24T05:45:00+00:00,150.38,2.912,0.28,-2.755,11.233
2026-02-24T05:50:00+00:00,153.05,2.971,0.279,-2.818,11.233
2026-02-24T05:55:00+00:00,153.572,2.976,0.269,-2.827,11.222
2026-02-24T06:00:00+00:00,156.694,3.033,0.279,-2.909,11.2
2026-02-24T06:05:00+00:00,161.927,3.151,0.251,-3.038,11.254
2026-02-24T06:10:00+00:00,169.42,3.309,0.189,-3.202,11.3
2026-02-24T06:15:00+00:00,174.663,3.416,0.126,-3.316,11.31
2026-02-24T06:20:00+00:00,178.978,3.515,0.16,-3.406,11.333
2026-02-24T06:25:00+00:00,184.471,3.632,0.127,-3.535,11.334
2026-02-24T06:30:00+00:00,185.731,3.657,0.144,-3.564,11.332
2026-02-24T06:35:00+00:00,188.893,3.701,0.135,-3.619,11.296
2026-02-24T06:40:00+00:00,191.697,3.753,0.164,-3.679,11.293
2026-02-24T06:45:00+00:00,194.702,3.808,0.096,-3.744,11.298
2026-02-24T06:50:00+00:00,192.958,3.782,0.109,-3.703,11.3
2026-02-24T06:55:00+00:00,195.271,3.82,0.121,-3.755,11.298
2026-02-24T07:00:00+00:00,197.341,3.85,0.09,-3.784,11.283
