ValueDate,Amps,HH Val,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,223.816,0.836,4.368,0.8,-4.272,11.301
2026-02-24T00:10:00+00:00,226.504,0.829,4.458,0.8,-4.327,11.3
2026-02-24T00:15:00+00:00,226.513,0.821,4.456,0.8,-4.324,11.3
2026-02-24T00:20:00+00:00,225.681,0.813,4.427,0.843,-4.3,11.3
2026-02-24T00:25:00+00:00,226.568,0.805,4.456,0.856,-4.361,11.3
2026-02-24T00:30:00+00:00,228.828,0.797,4.49,0.848,-4.384,11.3
2026-02-24T00:35:00+00:00,233.286,0.795,4.559,0.847,-4.462,11.278
2026-02-24T00:40:00+00:00,237.681,0.798,4.627,0.792,-4.542,11.2
2026-02-24T00:45:00+00:00,241.759,0.801,4.726,0.753,-4.656,11.384
2026-02-24T00:50:00+00:00,241.374,0.805,4.739,0.74,-4.662,11.4
2026-02-24T00:55:00+00:00,240.986,0.808,4.751,0.755,-4.661,11.4
2026-02-24T01:00:00+00:00,238.633,0.811,4.704,0.745,-4.614,11.4
2026-02-24T01:05:00+00:00,238.718,0.814,4.7,0.767,-4.627,11.4
2026-02-24T01:10:00+00:00,239.135,0.817,4.7,0.753,-4.639,11.4
2026-02-24T01:15:00+00:00,240.639,0.82,4.727,0.745,-4.659,11.4
2026-02-24T01:20:00+00:00,237.546,0.824,4.697,0.793,-4.61,11.4
2026-02-24T01:25:00+00:00,235.386,0.827,4.663,0.8,-4.581,11.41
2026-02-24T01:30:00+00:00,233.244,0.83,4.641,0.8,-4.537,11.485
2026-02-24T01:35:00+00:00,236.033,0.833,4.67,0.823,-4.589,11.416
2026-02-24T01:40:00+00:00,239.723,0.836,4.721,0.82,-4.657,11.4
2026-02-24T01:45:00+00:00,235.715,0.839,4.683,0.807,-4.6,11.4
2026-02-24T01:50:00+00:00,234.433,0.842,4.657,0.821,-4.562,11.4
2026-02-24T01:55:00+00:00,231.323,0.846,4.587,0.8,-4.5,11.454
2026-02-24T02:00:00+00:00,229.848,0.849,4.556,0.8,-4.464,11.42
2026-02-24T02:05:00+00:00,235.305,0.852,4.613,0.8,-4.552,11.4
2026-02-24T02:10:00+00:00,233.101,0.855,4.609,0.8,-4.522,11.4
2026-02-24T02:15:00+00:00,227.341,0.858,4.506,0.8,-4.426,11.42
2026-02-24T02:20:00+00:00,223.575,0.861,4.433,0.8,-4.34,11.47
2026-02-24T02:25:00+00:00,223.376,0.864,4.436,0.813,-4.315,11.476
2026-02-24T02:30:00+00:00,224.075,0.867,4.478,0.805,-4.338,11.5
2026-02-24T02:35:00+00:00,222.444,0.87,4.41,0.8,-4.315,11.42
2026-02-24T02:40:00+00:00,220.361,0.873,4.355,0.8,-4.272,11.417
2026-02-24T02:45:00+00:00,216.192,0.876,4.305,0.836,-4.184,11.496
2026-02-24T02:50:00+00:00,217.803,0.88,4.337,0.864,-4.2,11.468
2026-02-24T02:55:00+00:00,216.05,0.883,4.244,0.855,-4.151,11.348
2026-02-24T03:00:00+00:00,217.92,0.886,4.266,0.837,-4.151,11.34
2026-02-24T03:05:00+00:00,222.08,0.886,4.302,0.868,-4.232,11.3
2026-02-24T03:10:00+00:00,221.582,0.882,4.334,0.837,-4.232,11.3
2026-02-24T03:15:00+00:00,217.21,0.879,4.23,0.851,-4.133,11.3
2026-02-24T03:20:00+00:00,213.132,0.875,4.184,0.889,-4.071,11.3
2026-02-24T03:25:00+00:00,212.241,0.872,4.18,0.9,-4.041,11.324
2026-02-24T03:30:00+00:00,215.61,0.868,4.214,0.859,-4.123,11.32
2026-02-24T03:35:00+00:00,210.549,0.872,4.121,0.848,-4.007,11.228
2026-02-24T03:40:00+00:00,207.828,0.884,4.076,0.837,-4.0,11.3
2026-02-24T03:45:00+00:00,206.354,0.896,4.035,0.864,-3.958,11.351
2026-02-24T03:50:00+00:00,204.892,0.908,4.011,0.844,-3.957,11.346
2026-02-24T03:55:00+00:00,204.728,0.92,4.0,0.855,-3.895,11.382
2026-02-24T04:00:00+00:00,206.638,0.932,4.032,0.866,-3.951,11.34
