ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,62.348,1.203,-0.041,-1.203,11.2
2026-02-24T00:10:00+00:00,63.34,1.214,-0.033,-1.212,11.2
2026-02-24T00:15:00+00:00,63.812,1.223,-0.041,-1.223,11.2
2026-02-24T00:20:00+00:00,64.788,1.264,-0.056,-1.253,11.2
2026-02-24T00:25:00+00:00,63.368,1.212,-0.013,-1.212,11.2
2026-02-24T00:30:00+00:00,62.862,1.203,-0.017,-1.202,11.2
2026-02-24T00:35:00+00:00,67.084,1.288,-0.038,-1.287,11.186
2026-02-24T00:40:00+00:00,69.449,1.335,-0.072,-1.336,11.184
2026-02-24T00:45:00+00:00,70.827,1.4,-0.085,-1.398,11.296
2026-02-24T00:50:00+00:00,72.658,1.407,-0.098,-1.402,11.3
2026-02-24T00:55:00+00:00,72.19,1.4,-0.1,-1.4,11.3
2026-02-24T01:00:00+00:00,69.848,1.4,-0.08,-1.382,11.3
2026-02-24T01:05:00+00:00,67.724,1.317,-0.036,-1.303,11.3
2026-02-24T01:10:00+00:00,67.014,1.302,-0.038,-1.3,11.3
2026-02-24T01:15:00+00:00,66.298,1.3,-0.056,-1.3,11.3
2026-02-24T01:20:00+00:00,65.752,1.3,-0.027,-1.3,11.302
2026-02-24T01:25:00+00:00,66.634,1.3,-0.006,-1.3,11.368
2026-02-24T01:30:00+00:00,67.145,1.31,-0.034,-1.3,11.38
2026-02-24T01:35:00+00:00,65.856,1.296,0.004,-1.298,11.323
2026-02-24T01:40:00+00:00,66.012,1.3,0.038,-1.3,11.356
2026-02-24T01:45:00+00:00,66.448,1.3,0.001,-1.3,11.302
2026-02-24T01:50:00+00:00,64.488,1.287,0.018,-1.285,11.32
2026-02-24T01:55:00+00:00,63.314,1.24,-0.016,-1.242,11.388
2026-02-24T02:00:00+00:00,64.954,1.292,0.006,-1.295,11.36
2026-02-24T02:05:00+00:00,67.297,1.316,-0.038,-1.3,11.3
2026-02-24T02:10:00+00:00,63.898,1.26,0.006,-1.252,11.3
2026-02-24T02:15:00+00:00,62.936,1.235,0.007,-1.228,11.356
2026-02-24T02:20:00+00:00,61.168,1.2,0.016,-1.2,11.392
2026-02-24T02:25:00+00:00,60.629,1.2,0.04,-1.2,11.4
2026-02-24T02:30:00+00:00,58.174,1.138,0.057,-1.136,11.4
2026-02-24T02:35:00+00:00,60.278,1.196,0.052,-1.199,11.38
2026-02-24T02:40:00+00:00,61.303,1.2,0.02,-1.2,11.339
2026-02-24T02:45:00+00:00,60.187,1.195,0.026,-1.196,11.383
2026-02-24T02:50:00+00:00,60.498,1.2,0.031,-1.2,11.4
2026-02-24T02:55:00+00:00,58.788,1.156,0.038,-1.161,11.4
2026-02-24T03:00:00+00:00,57.62,1.121,0.035,-1.119,11.4
2026-02-24T03:05:00+00:00,58.379,1.146,-0.002,-1.145,11.376
2026-02-24T03:10:00+00:00,59.935,1.195,-0.01,-1.192,11.374
2026-02-24T03:15:00+00:00,58.755,1.154,0.001,-1.151,11.4
2026-02-24T03:20:00+00:00,57.572,1.11,0.032,-1.111,11.4
2026-02-24T03:25:00+00:00,57.808,1.121,0.071,-1.12,11.4
2026-02-24T03:30:00+00:00,55.466,1.098,0.056,-1.091,11.4
2026-02-24T03:35:00+00:00,54.161,1.053,0.072,-1.031,11.242
2026-02-24T03:40:00+00:00,52.968,1.001,0.092,-1.0,11.2
2026-02-24T03:45:00+00:00,53.189,1.014,0.098,-1.016,11.2
2026-02-24T03:50:00+00:00,53.322,1.006,0.094,-1.002,11.2
2026-02-24T03:55:00+00:00,53.382,1.014,0.1,-1.005,11.21
2026-02-24T04:00:00+00:00,51.731,1.004,0.101,-1.002,11.206
2026-02-24T04:05:00+00:00,53.132,1.022,0.067,-1.009,11.14
2026-02-24T04:10:00+00:00,54.158,1.035,0.054,-1.008,11.1
2026-02-24T04:15:00+00:00,54.296,1.048,0.06,-1.027,11.104
2026-02-24T04:20:00+00:00,54.01,1.026,0.092,-1.01,11.167
2026-02-24T04:25:00+00:00,54.804,1.068,0.076,-1.05,11.17
2026-02-24T04:30:00+00:00,53.942,1.054,0.069,-1.049,11.197
2026-02-24T04:35:00+00:00,51.27,0.997,0.086,-0.996,11.2
2026-02-24T04:40:00+00:00,53.612,1.015,0.098,-1.003,11.199
2026-02-24T04:45:00+00:00,54.026,1.032,0.096,-1.014,11.192
2026-02-24T04:50:00+00:00,54.645,1.074,0.104,-1.048,11.214
2026-02-24T04:55:00+00:00,54.28,1.052,0.106,-1.039,11.2
2026-02-24T05:00:00+00:00,54.945,1.079,0.1,-1.066,11.181
2026-02-24T05:05:00+00:00,58.317,1.127,0.087,-1.113,11.1
2026-02-24T05:10:00+00:00,62.534,1.197,0.038,-1.191,11.099
2026-02-24T05:15:00+00:00,64.508,1.222,0.044,-1.225,11.1
2026-02-24T05:20:00+00:00,68.874,1.305,-0.03,-1.309,11.1
2026-02-24T05:25:00+00:00,70.224,1.336,-0.064,-1.353,11.1
2026-02-24T05:30:00+00:00,69.536,1.318,-0.079,-1.334,11.106
2026-02-24T05:35:00+00:00,68.69,1.304,-0.055,-1.317,11.101
2026-02-24T05:40:00+00:00,67.525,1.286,-0.073,-1.293,11.114
2026-02-24T05:45:00+00:00,68.942,1.318,-0.099,-1.323,11.14
2026-02-24T05:50:00+00:00,70.08,1.342,-0.088,-1.346,11.139
2026-02-24T05:55:00+00:00,71.807,1.375,-0.088,-1.37,11.104
2026-02-24T06:00:00+00:00,71.767,1.374,-0.054,-1.378,11.1
2026-02-24T06:05:00+00:00,79.105,1.531,-0.133,-1.512,11.157
2026-02-24T06:10:00+00:00,84.105,1.622,-0.196,-1.612,11.14
2026-02-24T06:15:00+00:00,85.013,1.639,-0.194,-1.641,11.2
2026-02-24T06:20:00+00:00,87.885,1.7,-0.189,-1.696,11.2
2026-02-24T06:25:00+00:00,83.685,1.615,-0.174,-1.612,11.275
2026-02-24T06:30:00+00:00,81.138,1.586,-0.184,-1.576,11.26
2026-02-24T06:35:00+00:00,85.038,1.634,-0.188,-1.638,11.2
2026-02-24T06:40:00+00:00,84.857,1.634,-0.162,-1.629,11.2
2026-02-24T06:45:00+00:00,86.492,1.669,-0.194,-1.672,11.202
2026-02-24T06:50:00+00:00,84.744,1.633,-0.2,-1.62,11.2
2026-02-24T06:55:00+00:00,89.709,1.738,-0.2,-1.723,11.2
2026-02-24T07:00:00+00:00,88.734,1.714,-0.192,-1.706,11.2
2026-02-24T07:05:00+00:00,90.122,1.74,-0.2,-1.73,11.18
2026-02-24T07:10:00+00:00,92.685,1.785,-0.205,-1.768,11.144
