ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,34.592,23.523,-0.224,1.286,5.65
2026-02-24T00:10:00+00:00,34.766,23.644,-0.238,1.3,5.65
2026-02-24T00:15:00+00:00,34.776,23.651,-0.223,1.3,5.65
2026-02-24T00:20:00+00:00,35.51,24.14,-0.223,1.346,5.65
2026-02-24T00:25:00+00:00,35.524,24.15,-0.252,1.353,5.65
2026-02-24T00:30:00+00:00,35.574,24.183,-0.267,1.351,5.65
2026-02-24T00:35:00+00:00,36.528,24.819,-0.208,1.4,5.633
2026-02-24T00:40:00+00:00,37.08,25.198,-0.2,1.4,5.6
2026-02-24T00:45:00+00:00,37.67,25.605,-0.2,1.4,5.6
2026-02-24T00:50:00+00:00,37.63,25.573,-0.2,1.4,5.6
2026-02-24T00:55:00+00:00,37.14,25.236,-0.2,1.4,5.6
2026-02-24T01:00:00+00:00,37.012,25.143,-0.2,1.4,5.6
2026-02-24T01:05:00+00:00,37.806,25.688,-0.2,1.418,5.6
2026-02-24T01:10:00+00:00,37.684,25.615,-0.2,1.402,5.6
2026-02-24T01:15:00+00:00,36.988,25.137,-0.2,1.4,5.6
2026-02-24T01:20:00+00:00,36.443,24.762,-0.2,1.391,5.602
2026-02-24T01:25:00+00:00,36.513,24.809,-0.2,1.391,5.628
2026-02-24T01:30:00+00:00,36.6,24.867,-0.2,1.4,5.625
2026-02-24T01:35:00+00:00,35.696,24.264,-0.2,1.344,5.601
2026-02-24T01:40:00+00:00,36.515,24.81,-0.2,1.399,5.6
2026-02-24T01:45:00+00:00,36.474,24.782,-0.2,1.4,5.6
2026-02-24T01:50:00+00:00,36.522,24.815,-0.202,1.4,5.618
2026-02-24T01:55:00+00:00,36.21,24.606,-0.216,1.38,5.631
2026-02-24T02:00:00+00:00,36.332,24.688,-0.239,1.392,5.61
2026-02-24T02:05:00+00:00,36.236,24.624,-0.209,1.374,5.6
2026-02-24T02:10:00+00:00,36.716,24.944,-0.221,1.389,5.6
2026-02-24T02:15:00+00:00,36.576,24.851,-0.234,1.4,5.617
2026-02-24T02:20:00+00:00,36.096,24.53,-0.246,1.374,5.62
2026-02-24T02:25:00+00:00,35.486,24.124,-0.259,1.35,5.629
2026-02-24T02:30:00+00:00,35.522,24.148,-0.271,1.341,5.65
2026-02-24T02:35:00+00:00,35.583,24.189,-0.284,1.349,5.626
2026-02-24T02:40:00+00:00,35.936,24.424,-0.278,1.357,5.642
2026-02-24T02:45:00+00:00,35.454,24.103,-0.257,1.35,5.65
2026-02-24T02:50:00+00:00,34.942,23.761,-0.241,1.31,5.65
2026-02-24T02:55:00+00:00,34.688,23.592,-0.238,1.3,5.65
2026-02-24T03:00:00+00:00,33.95,23.086,-0.225,1.3,5.65
2026-02-24T03:05:00+00:00,35.608,24.205,-0.21,1.347,5.65
2026-02-24T03:10:00+00:00,35.869,24.379,-0.2,1.36,5.65
2026-02-24T03:15:00+00:00,34.844,23.696,-0.2,1.307,5.65
2026-02-24T03:20:00+00:00,34.79,23.659,-0.2,1.312,5.65
2026-02-24T03:25:00+00:00,34.992,23.795,-0.219,1.3,5.65
2026-02-24T03:30:00+00:00,34.736,23.624,-0.235,1.3,5.65
2026-02-24T03:35:00+00:00,34.606,23.534,-0.2,1.3,5.65
2026-02-24T03:40:00+00:00,33.964,23.093,-0.2,1.3,5.65
2026-02-24T03:45:00+00:00,34.04,23.139,-0.2,1.281,5.65
2026-02-24T03:50:00+00:00,34.774,23.649,-0.2,1.3,5.65
2026-02-24T03:55:00+00:00,34.448,23.43,-0.227,1.3,5.65
2026-02-24T04:00:00+00:00,34.122,23.199,-0.24,1.3,5.65
2026-02-24T04:05:00+00:00,35.276,23.984,-0.241,1.3,5.618
2026-02-24T04:10:00+00:00,35.5,24.133,-0.236,1.319,5.6
2026-02-24T04:15:00+00:00,35.51,24.14,-0.204,1.349,5.606
2026-02-24T04:20:00+00:00,34.868,23.705,-0.2,1.3,5.619
2026-02-24T04:25:00+00:00,34.594,23.511,-0.2,1.3,5.616
2026-02-24T04:30:00+00:00,35.096,23.864,-0.2,1.313,5.636
