ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,167.08,3.252,0.397,-3.182,11.252
2026-02-24T00:10:00+00:00,167.804,3.266,0.468,-3.171,11.25
2026-02-24T00:15:00+00:00,168.849,3.278,0.402,-3.21,11.25
2026-02-24T00:20:00+00:00,166.328,3.236,0.464,-3.16,11.25
2026-02-24T00:25:00+00:00,163.348,3.178,0.524,-3.104,11.258
2026-02-24T00:30:00+00:00,158.566,3.098,0.633,-3.033,11.258
2026-02-24T00:35:00+00:00,164.935,3.217,0.52,-3.132,11.249
2026-02-24T00:40:00+00:00,169.493,3.301,0.338,-3.226,11.273
2026-02-24T00:45:00+00:00,169.634,3.328,0.326,-3.25,11.288
2026-02-24T00:50:00+00:00,169.292,3.313,0.346,-3.232,11.282
2026-02-24T00:55:00+00:00,170.567,3.333,0.358,-3.25,11.292
2026-02-24T01:00:00+00:00,167.986,3.303,0.334,-3.208,11.336
2026-02-24T01:05:00+00:00,165.01,3.239,0.429,-3.158,11.35
2026-02-24T01:10:00+00:00,164.676,3.24,0.551,-3.152,11.342
2026-02-24T01:15:00+00:00,169.449,3.348,0.322,-3.241,11.334
2026-02-24T01:20:00+00:00,168.629,3.306,0.348,-3.22,11.349
2026-02-24T01:25:00+00:00,167.487,3.282,0.363,-3.199,11.35
2026-02-24T01:30:00+00:00,166.693,3.251,0.394,-3.186,11.35
2026-02-24T01:35:00+00:00,163.918,3.196,0.425,-3.14,11.35
2026-02-24T01:40:00+00:00,161.64,3.162,0.56,-3.095,11.35
2026-02-24T01:45:00+00:00,160.662,3.156,0.562,-3.076,11.35
2026-02-24T01:50:00+00:00,165.285,3.241,0.342,-3.158,11.35
2026-02-24T01:55:00+00:00,163.94,3.222,0.426,-3.138,11.35
2026-02-24T02:00:00+00:00,163.155,3.196,0.482,-3.117,11.35
2026-02-24T02:05:00+00:00,164.945,3.235,0.366,-3.151,11.35
2026-02-24T02:10:00+00:00,162.091,3.181,0.449,-3.089,11.35
2026-02-24T02:15:00+00:00,159.614,3.14,0.526,-3.05,11.35
2026-02-24T02:20:00+00:00,162.174,3.186,0.498,-3.076,11.303
2026-02-24T02:25:00+00:00,165.414,3.24,0.401,-3.141,11.3
2026-02-24T02:30:00+00:00,165.33,3.236,0.36,-3.134,11.3
2026-02-24T02:35:00+00:00,164.707,3.232,0.436,-3.13,11.3
2026-02-24T02:40:00+00:00,162.765,3.184,0.444,-3.072,11.3
2026-02-24T02:45:00+00:00,160.218,3.13,0.482,-3.02,11.3
2026-02-24T02:50:00+00:00,158.324,3.095,0.47,-2.998,11.3
2026-02-24T02:55:00+00:00,154.904,3.036,0.586,-2.946,11.291
2026-02-24T03:00:00+00:00,154.499,2.997,0.588,-2.921,11.25
2026-02-24T03:05:00+00:00,155.5,3.002,0.495,-2.93,11.221
2026-02-24T03:10:00+00:00,157.166,3.062,0.522,-2.964,11.233
2026-02-24T03:15:00+00:00,157.1,3.044,0.54,-2.96,11.243
2026-02-24T03:20:00+00:00,155.122,3.026,0.566,-2.918,11.25
2026-02-24T03:25:00+00:00,152.635,2.991,0.65,-2.883,11.25
2026-02-24T03:30:00+00:00,150.516,2.932,0.621,-2.834,11.25
2026-02-24T03:35:00+00:00,153.524,2.992,0.396,-2.892,11.25
2026-02-24T03:40:00+00:00,152.668,2.98,0.516,-2.888,11.25
2026-02-24T03:45:00+00:00,150.566,2.951,0.496,-2.851,11.25
2026-02-24T03:50:00+00:00,148.166,2.872,0.539,-2.811,11.25
2026-02-24T03:55:00+00:00,148.781,2.89,0.494,-2.797,11.279
