ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,190.787,3.737,0.56,0.357,11.289
2026-02-24T00:10:00+00:00,190.07,3.731,0.554,0.331,11.275
2026-02-24T00:15:00+00:00,190.898,3.734,0.568,0.362,11.277
2026-02-24T00:20:00+00:00,191.809,3.762,0.595,0.393,11.289
2026-02-24T00:25:00+00:00,189.261,3.701,0.574,0.403,11.299
2026-02-24T00:30:00+00:00,188.962,3.707,0.573,0.416,11.3
2026-02-24T00:35:00+00:00,195.134,3.816,0.554,0.411,11.268
2026-02-24T00:40:00+00:00,200.867,3.91,0.56,0.438,11.228
2026-02-24T00:45:00+00:00,196.278,3.805,0.539,0.295,11.205
2026-02-24T00:50:00+00:00,200.018,3.881,0.519,0.308,11.208
2026-02-24T00:55:00+00:00,201.556,3.908,0.51,0.335,11.202
2026-02-24T01:00:00+00:00,200.043,3.874,0.53,0.359,11.21
2026-02-24T01:05:00+00:00,195.927,3.809,0.528,0.376,11.2
2026-02-24T01:10:00+00:00,199.38,3.875,0.529,0.452,11.216
2026-02-24T01:15:00+00:00,198.515,3.876,0.528,0.473,11.225
2026-02-24T01:20:00+00:00,199.936,3.894,0.518,0.531,11.239
2026-02-24T01:25:00+00:00,196.407,3.834,0.512,0.501,11.275
2026-02-24T01:30:00+00:00,201.565,3.933,0.555,0.631,11.275
2026-02-24T01:35:00+00:00,202.628,3.964,0.534,0.602,11.268
2026-02-24T01:40:00+00:00,196.273,3.824,0.505,0.439,11.275
2026-02-24T01:45:00+00:00,192.888,3.782,0.531,0.398,11.282
2026-02-24T01:50:00+00:00,185.23,3.631,0.53,0.268,11.3
2026-02-24T01:55:00+00:00,178.23,3.494,0.523,0.126,11.3
2026-02-24T02:00:00+00:00,179.52,3.514,0.528,0.196,11.298
2026-02-24T02:05:00+00:00,189.713,3.709,0.548,0.362,11.272
2026-02-24T02:10:00+00:00,187.943,3.679,0.533,0.351,11.268
2026-02-24T02:15:00+00:00,184.054,3.601,0.547,0.341,11.28
2026-02-24T02:20:00+00:00,184.003,3.601,0.542,0.371,11.295
2026-02-24T02:25:00+00:00,183.417,3.59,0.524,0.378,11.303
2026-02-24T02:30:00+00:00,184.705,3.634,0.546,0.428,11.303
2026-02-24T02:35:00+00:00,185.262,3.626,0.548,0.387,11.286
2026-02-24T02:40:00+00:00,184.526,3.622,0.546,0.441,11.291
2026-02-24T02:45:00+00:00,182.109,3.576,0.53,0.39,11.294
2026-02-24T02:50:00+00:00,191.288,3.766,0.554,0.578,11.315
2026-02-24T02:55:00+00:00,188.96,3.723,0.544,0.56,11.326
2026-02-24T03:00:00+00:00,186.798,3.686,0.538,0.528,11.333
2026-02-24T03:05:00+00:00,185.683,3.628,0.536,0.494,11.294
2026-02-24T03:10:00+00:00,185.829,3.644,0.512,0.472,11.302
2026-02-24T03:15:00+00:00,176.606,3.483,0.492,0.286,11.354
2026-02-24T03:20:00+00:00,177.828,3.512,0.502,0.394,11.369
2026-02-24T03:25:00+00:00,176.918,3.48,0.506,0.405,11.289
2026-02-24T03:30:00+00:00,179.947,3.528,0.525,0.502,11.282
2026-02-24T03:35:00+00:00,177.978,3.474,0.543,0.506,11.275
2026-02-24T03:40:00+00:00,170.218,3.329,0.536,0.373,11.275
2026-02-24T03:45:00+00:00,167.217,3.278,0.507,0.347,11.288
2026-02-24T03:50:00+00:00,169.33,3.297,0.511,0.39,11.282
2026-02-24T03:55:00+00:00,159.355,3.118,0.483,0.21,11.309
2026-02-24T04:00:00+00:00,155.992,3.062,0.477,0.182,11.308
2026-02-24T04:05:00+00:00,157.914,3.083,0.452,0.159,11.272
2026-02-24T04:10:00+00:00,157.531,3.073,0.432,0.118,11.25
2026-02-24T04:15:00+00:00,162.02,3.17,0.458,0.25,11.252
2026-02-24T04:20:00+00:00,162.852,3.184,0.465,0.235,11.274
2026-02-24T04:25:00+00:00,160.319,3.146,0.465,0.19,11.297
2026-02-24T04:30:00+00:00,159.404,3.126,0.468,0.18,11.297
2026-02-24T04:35:00+00:00,165.223,3.249,0.501,0.352,11.266
2026-02-24T04:40:00+00:00,169.95,3.326,0.476,0.356,11.26
2026-02-24T04:45:00+00:00,169.782,3.316,0.466,0.32,11.275
2026-02-24T04:50:00+00:00,169.07,3.307,0.466,0.326,11.289
2026-02-24T04:55:00+00:00,165.06,3.238,0.442,0.294,11.3
2026-02-24T05:00:00+00:00,166.26,3.255,0.455,0.336,11.264
2026-02-24T05:05:00+00:00,170.125,3.309,0.471,0.333,11.202
2026-02-24T05:10:00+00:00,173.813,3.383,0.462,0.376,11.204
2026-02-24T05:15:00+00:00,173.588,3.386,0.488,0.357,11.242
2026-02-24T05:20:00+00:00,172.079,3.354,0.494,0.316,11.243
2026-02-24T05:25:00+00:00,164.205,3.206,0.463,0.217,11.259
2026-02-24T05:30:00+00:00,163.384,3.197,0.443,0.231,11.261
2026-02-24T05:35:00+00:00,164.114,3.207,0.443,0.236,11.262
