ValueDate,Amps,HH Val,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,112.026,0.517,2.258,0.629,-2.117,11.57
2026-02-24T00:10:00+00:00,114.489,0.507,2.3,0.621,-2.165,11.55
2026-02-24T00:15:00+00:00,113.32,0.497,2.268,0.56,-2.149,11.54
2026-02-24T00:20:00+00:00,113.444,0.487,2.27,0.564,-2.168,11.55
2026-02-24T00:25:00+00:00,114.02,0.477,2.274,0.602,-2.164,11.55
2026-02-24T00:30:00+00:00,113.736,0.467,2.281,0.578,-2.165,11.55
2026-02-24T00:35:00+00:00,116.904,0.46,2.34,0.562,-2.224,11.522
2026-02-24T00:40:00+00:00,120.323,0.454,2.375,0.546,-2.29,11.452
2026-02-24T00:45:00+00:00,124.44,0.45,2.452,0.534,-2.377,11.45
2026-02-24T00:50:00+00:00,123.438,0.444,2.436,0.53,-2.35,11.45
2026-02-24T00:55:00+00:00,123.268,0.44,2.424,0.522,-2.352,11.455
2026-02-24T01:00:00+00:00,123.307,0.434,2.442,0.524,-2.36,11.488
2026-02-24T01:05:00+00:00,122.881,0.431,2.415,0.523,-2.35,11.463
2026-02-24T01:10:00+00:00,122.352,0.43,2.422,0.51,-2.341,11.476
2026-02-24T01:15:00+00:00,122.112,0.428,2.412,0.526,-2.338,11.475
2026-02-24T01:20:00+00:00,121.042,0.426,2.404,0.516,-2.31,11.49
2026-02-24T01:25:00+00:00,119.879,0.425,2.392,0.5,-2.284,11.527
2026-02-24T01:30:00+00:00,119.87,0.424,2.4,0.54,-2.298,11.548
2026-02-24T01:35:00+00:00,119.345,0.422,2.385,0.526,-2.278,11.518
2026-02-24T01:40:00+00:00,119.556,0.42,2.383,0.524,-2.282,11.525
2026-02-24T01:45:00+00:00,119.607,0.419,2.398,0.524,-2.286,11.506
2026-02-24T01:50:00+00:00,119.002,0.418,2.378,0.526,-2.268,11.528
2026-02-24T01:55:00+00:00,119.084,0.416,2.398,0.502,-2.276,11.533
2026-02-24T02:00:00+00:00,119.64,0.414,2.401,0.508,-2.286,11.516
2026-02-24T02:05:00+00:00,119.018,0.414,2.364,0.5,-2.258,11.48
2026-02-24T02:10:00+00:00,118.725,0.416,2.365,0.498,-2.256,11.473
2026-02-24T02:15:00+00:00,118.275,0.418,2.372,0.526,-2.238,11.514
2026-02-24T02:20:00+00:00,117.421,0.42,2.348,0.561,-2.216,11.51
2026-02-24T02:25:00+00:00,115.534,0.422,2.298,0.554,-2.203,11.482
2026-02-24T02:30:00+00:00,115.376,0.423,2.31,0.573,-2.204,11.55
2026-02-24T02:35:00+00:00,114.382,0.426,2.302,0.563,-2.166,11.533
2026-02-24T02:40:00+00:00,116.248,0.43,2.323,0.58,-2.22,11.55
2026-02-24T02:45:00+00:00,115.397,0.434,2.306,0.568,-2.201,11.55
2026-02-24T02:50:00+00:00,113.804,0.438,2.3,0.576,-2.158,11.55
2026-02-24T02:55:00+00:00,111.252,0.442,2.239,0.564,-2.104,11.58
2026-02-24T03:00:00+00:00,110.746,0.445,2.23,0.554,-2.102,11.523
2026-02-24T03:05:00+00:00,111.881,0.448,2.235,0.562,-2.115,11.485
2026-02-24T03:10:00+00:00,112.038,0.45,2.239,0.574,-2.132,11.482
2026-02-24T03:15:00+00:00,110.505,0.452,2.228,0.602,-2.078,11.494
2026-02-24T03:20:00+00:00,109.68,0.453,2.198,0.594,-2.07,11.5
2026-02-24T03:25:00+00:00,109.03,0.454,2.173,0.599,-2.038,11.5
2026-02-24T03:30:00+00:00,108.714,0.456,2.17,0.597,-2.03,11.492
2026-02-24T03:35:00+00:00,107.606,0.458,2.155,0.611,-1.994,11.508
2026-02-24T03:40:00+00:00,107.803,0.46,2.137,0.612,-2.002,11.497
2026-02-24T03:45:00+00:00,106.815,0.462,2.135,0.578,-2.006,11.528
2026-02-24T03:50:00+00:00,105.936,0.464,2.105,0.62,-1.975,11.55
2026-02-24T03:55:00+00:00,104.696,0.466,2.078,0.606,-1.965,11.542
2026-02-24T04:00:00+00:00,104.955,0.467,2.086,0.596,-1.96,11.525
2026-02-24T04:05:00+00:00,106.52,0.465,2.106,0.564,-1.982,11.427
2026-02-24T04:10:00+00:00,106.925,0.459,2.101,0.556,-1.969,11.394
2026-02-24T04:15:00+00:00,105.822,0.453,2.087,0.556,-1.962,11.404
2026-02-24T04:20:00+00:00,104.537,0.447,2.07,0.542,-1.952,11.423
2026-02-24T04:25:00+00:00,104.977,0.441,2.086,0.55,-1.958,11.434
2026-02-24T04:30:00+00:00,102.704,0.435,2.018,0.568,-1.931,11.45
2026-02-24T04:35:00+00:00,101.94,0.432,2.0,0.544,-1.905,11.45
2026-02-24T04:40:00+00:00,101.604,0.433,2.002,0.54,-1.893,11.454
2026-02-24T04:45:00+00:00,100.654,0.434,1.992,0.567,-1.873,11.458
2026-02-24T04:50:00+00:00,101.54,0.434,1.99,0.598,-1.903,11.511
2026-02-24T04:55:00+00:00,101.739,0.436,2.0,0.593,-1.892,11.515
2026-02-24T05:00:00+00:00,102.32,0.436,2.008,0.606,-1.911,11.484
2026-02-24T05:05:00+00:00,102.816,0.437,2.035,0.592,-1.913,11.441
2026-02-24T05:10:00+00:00,105.332,0.438,2.094,0.6,-1.967,11.49
2026-02-24T05:15:00+00:00,103.797,0.439,2.086,0.599,-1.946,11.538
2026-02-24T05:20:00+00:00,102.982,0.44,2.07,0.636,-1.91,11.55
2026-02-24T05:25:00+00:00,102.955,0.44,2.078,0.58,-1.932,11.55
2026-02-24T05:30:00+00:00,102.172,0.441,2.052,0.554,-1.913,11.533
2026-02-24T05:35:00+00:00,103.614,0.44,2.087,0.575,-1.935,11.55
2026-02-24T05:40:00+00:00,103.394,0.436,2.09,0.564,-1.95,11.55
2026-02-24T05:45:00+00:00,104.038,0.432,2.098,0.547,-1.954,11.552
2026-02-24T05:50:00+00:00,107.11,0.428,2.16,0.573,-2.015,11.55
2026-02-24T05:55:00+00:00,105.142,0.424,2.12,0.55,-1.991,11.535
2026-02-24T06:00:00+00:00,108.573,0.42,2.161,0.516,-2.06,11.509
2026-02-24T06:05:00+00:00,111.134,0.411,2.211,0.51,-2.105,11.472
2026-02-24T06:10:00+00:00,115.517,0.396,2.286,0.486,-2.214,11.428
2026-02-24T06:15:00+00:00,115.408,0.382,2.278,0.467,-2.207,11.411
2026-02-24T06:20:00+00:00,117.498,0.368,2.33,0.468,-2.252,11.433
2026-02-24T06:25:00+00:00,119.858,0.354,2.382,0.492,-2.316,11.497
2026-02-24T06:30:00+00:00,121.292,0.34,2.422,0.477,-2.345,11.497
2026-02-24T06:35:00+00:00,124.465,0.331,2.459,0.466,-2.395,11.433
2026-02-24T06:40:00+00:00,128.478,0.328,2.54,0.487,-2.465,11.418
2026-02-24T06:45:00+00:00,132.281,0.326,2.622,0.444,-2.538,11.434
2026-02-24T06:50:00+00:00,130.64,0.322,2.578,0.46,-2.499,11.41
2026-02-24T06:55:00+00:00,131.896,0.32,2.614,0.464,-2.533,11.428
2026-02-24T07:00:00+00:00,134.684,0.317,2.661,0.448,-2.598,11.446
2026-02-24T07:05:00+00:00,134.835,0.315,2.668,0.462,-2.582,11.433
