ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,98.508,1.923,0.293,-1.756,11.3
2026-02-24T00:10:00+00:00,99.375,1.941,0.267,-1.77,11.3
2026-02-24T00:15:00+00:00,99.485,1.94,0.304,-1.755,11.3
2026-02-24T00:20:00+00:00,98.701,1.927,0.305,-1.741,11.292
2026-02-24T00:25:00+00:00,99.541,1.942,0.309,-1.763,11.3
2026-02-24T00:30:00+00:00,98.76,1.928,0.311,-1.757,11.3
2026-02-24T00:35:00+00:00,105.288,2.052,0.284,-1.867,11.252
2026-02-24T00:40:00+00:00,110.54,2.169,0.336,-2.004,11.26
2026-02-24T00:45:00+00:00,113.244,2.209,0.342,-2.052,11.211
2026-02-24T00:50:00+00:00,110.702,2.168,0.356,-2.023,11.219
2026-02-24T00:55:00+00:00,114.579,2.233,0.317,-2.087,11.2
2026-02-24T01:00:00+00:00,114.574,2.239,0.331,-2.102,11.217
2026-02-24T01:05:00+00:00,114.393,2.232,0.327,-2.066,11.209
2026-02-24T01:10:00+00:00,113.139,2.209,0.344,-2.045,11.231
2026-02-24T01:15:00+00:00,110.963,2.189,0.356,-2.026,11.241
2026-02-24T01:20:00+00:00,113.375,2.219,0.331,-2.041,11.219
2026-02-24T01:25:00+00:00,112.428,2.205,0.341,-2.036,11.283
2026-02-24T01:30:00+00:00,113.181,2.218,0.343,-2.055,11.282
2026-02-24T01:35:00+00:00,112.791,2.221,0.345,-2.047,11.283
2026-02-24T01:40:00+00:00,113.164,2.223,0.37,-2.033,11.287
2026-02-24T01:45:00+00:00,113.906,2.251,0.37,-2.018,11.28
2026-02-24T01:50:00+00:00,114.227,2.246,0.354,-2.026,11.293
2026-02-24T01:55:00+00:00,110.354,2.165,0.357,-1.995,11.3
2026-02-24T02:00:00+00:00,111.425,2.186,0.357,-2.015,11.3
2026-02-24T02:05:00+00:00,112.914,2.213,0.376,-2.047,11.283
2026-02-24T02:10:00+00:00,112.721,2.207,0.381,-2.023,11.283
2026-02-24T02:15:00+00:00,111.351,2.186,0.401,-2.029,11.296
2026-02-24T02:20:00+00:00,111.076,2.183,0.361,-2.011,11.3
2026-02-24T02:25:00+00:00,110.772,2.187,0.383,-1.985,11.313
2026-02-24T02:30:00+00:00,108.969,2.141,0.38,-1.978,11.305
2026-02-24T02:35:00+00:00,109.491,2.15,0.38,-1.991,11.3
2026-02-24T02:40:00+00:00,108.012,2.122,0.353,-1.959,11.3
2026-02-24T02:45:00+00:00,109.09,2.151,0.333,-1.977,11.3
2026-02-24T02:50:00+00:00,107.991,2.123,0.343,-1.963,11.315
2026-02-24T02:55:00+00:00,107.296,2.116,0.367,-1.947,11.35
2026-02-24T03:00:00+00:00,106.142,2.093,0.375,-1.925,11.344
2026-02-24T03:05:00+00:00,102.619,2.021,0.368,-1.872,11.336
2026-02-24T03:10:00+00:00,101.376,2.004,0.361,-1.88,11.35
2026-02-24T03:15:00+00:00,100.32,1.986,0.367,-1.863,11.375
2026-02-24T03:20:00+00:00,101.995,2.018,0.357,-1.883,11.386
2026-02-24T03:25:00+00:00,103.107,2.037,0.374,-1.901,11.384
2026-02-24T03:30:00+00:00,103.41,2.045,0.334,-1.941,11.4
2026-02-24T03:35:00+00:00,102.095,2.011,0.332,-1.898,11.4
2026-02-24T03:40:00+00:00,102.885,2.032,0.305,-1.895,11.4
2026-02-24T03:45:00+00:00,100.363,1.981,0.309,-1.841,11.4
2026-02-24T03:50:00+00:00,100.803,1.979,0.31,-1.849,11.397
2026-02-24T03:55:00+00:00,100.956,1.983,0.316,-1.851,11.4
