ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,117.166,2.272,0.458,-2.207,11.2
2026-02-24T00:10:00+00:00,121.34,2.342,0.428,-2.294,11.182
2026-02-24T00:15:00+00:00,119.818,2.312,0.459,-2.261,11.187
2026-02-24T00:20:00+00:00,120.053,2.327,0.452,-2.26,11.2
2026-02-24T00:25:00+00:00,119.656,2.319,0.471,-2.264,11.2
2026-02-24T00:30:00+00:00,118.336,2.276,0.466,-2.236,11.2
2026-02-24T00:35:00+00:00,125.188,2.414,0.467,-2.366,11.177
2026-02-24T00:40:00+00:00,131.766,2.553,0.438,-2.51,11.206
2026-02-24T00:45:00+00:00,135.234,2.631,0.4,-2.575,11.204
2026-02-24T00:50:00+00:00,134.286,2.598,0.41,-2.569,11.2
2026-02-24T00:55:00+00:00,133.798,2.587,0.41,-2.554,11.212
2026-02-24T01:00:00+00:00,132.008,2.574,0.422,-2.508,11.241
2026-02-24T01:05:00+00:00,132.973,2.582,0.434,-2.533,11.24
2026-02-24T01:10:00+00:00,130.921,2.543,0.427,-2.502,11.241
2026-02-24T01:15:00+00:00,131.412,2.552,0.4,-2.51,11.244
2026-02-24T01:20:00+00:00,128.488,2.496,0.442,-2.46,11.25
2026-02-24T01:25:00+00:00,127.784,2.474,0.46,-2.447,11.25
2026-02-24T01:30:00+00:00,127.952,2.482,0.463,-2.446,11.256
2026-02-24T01:35:00+00:00,127.934,2.469,0.46,-2.432,11.25
2026-02-24T01:40:00+00:00,129.163,2.494,0.409,-2.469,11.25
2026-02-24T01:45:00+00:00,127.155,2.462,0.432,-2.418,11.25
2026-02-24T01:50:00+00:00,124.919,2.406,0.438,-2.379,11.25
2026-02-24T01:55:00+00:00,123.85,2.396,0.44,-2.362,11.254
2026-02-24T02:00:00+00:00,121.043,2.352,0.436,-2.31,11.261
2026-02-24T02:05:00+00:00,121.298,2.356,0.412,-2.314,11.25
2026-02-24T02:10:00+00:00,119.498,2.328,0.42,-2.265,11.25
2026-02-24T02:15:00+00:00,117.029,2.278,0.454,-2.216,11.274
2026-02-24T02:20:00+00:00,116.066,2.274,0.438,-2.22,11.3
2026-02-24T02:25:00+00:00,116.734,2.28,0.4,-2.222,11.275
