ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,60.162,1.182,-0.152,-1.153,11.3
2026-02-24T00:10:00+00:00,61.521,1.2,-0.139,-1.182,11.273
2026-02-24T00:15:00+00:00,59.825,1.17,-0.108,-1.144,11.276
2026-02-24T00:20:00+00:00,61.445,1.199,-0.152,-1.186,11.3
2026-02-24T00:25:00+00:00,61.689,1.203,-0.11,-1.192,11.3
2026-02-24T00:30:00+00:00,58.889,1.156,-0.1,-1.13,11.3
2026-02-24T00:35:00+00:00,62.623,1.22,-0.1,-1.203,11.25
2026-02-24T00:40:00+00:00,66.198,1.28,-0.104,-1.261,11.178
2026-02-24T00:45:00+00:00,68.628,1.346,-0.109,-1.311,11.246
2026-02-24T00:50:00+00:00,68.324,1.358,-0.115,-1.313,11.3
2026-02-24T00:55:00+00:00,65.042,1.28,-0.078,-1.257,11.3
2026-02-24T01:00:00+00:00,64.416,1.27,-0.1,-1.247,11.3
2026-02-24T01:05:00+00:00,65.739,1.291,-0.106,-1.276,11.3
2026-02-24T01:10:00+00:00,66.149,1.3,-0.103,-1.286,11.3
2026-02-24T01:15:00+00:00,65.778,1.292,-0.1,-1.285,11.323
2026-02-24T01:20:00+00:00,63.244,1.231,-0.1,-1.219,11.344
2026-02-24T01:25:00+00:00,65.643,1.288,-0.104,-1.282,11.387
2026-02-24T01:30:00+00:00,64.233,1.26,-0.1,-1.248,11.4
2026-02-24T01:35:00+00:00,65.786,1.293,-0.102,-1.282,11.36
2026-02-24T01:40:00+00:00,64.865,1.272,-0.1,-1.265,11.35
2026-02-24T01:45:00+00:00,64.094,1.252,-0.101,-1.239,11.345
2026-02-24T01:50:00+00:00,63.178,1.228,-0.104,-1.215,11.38
2026-02-24T01:55:00+00:00,64.412,1.266,-0.1,-1.26,11.398
2026-02-24T02:00:00+00:00,62.67,1.223,-0.1,-1.218,11.39
2026-02-24T02:05:00+00:00,61.51,1.201,-0.106,-1.193,11.346
2026-02-24T02:10:00+00:00,61.938,1.21,-0.112,-1.199,11.336
2026-02-24T02:15:00+00:00,61.356,1.202,-0.1,-1.191,11.392
2026-02-24T02:20:00+00:00,60.662,1.192,-0.1,-1.181,11.4
2026-02-24T02:25:00+00:00,61.78,1.202,-0.1,-1.203,11.4
2026-02-24T02:30:00+00:00,62.396,1.214,-0.096,-1.216,11.4
2026-02-24T02:35:00+00:00,64.561,1.262,-0.108,-1.258,11.36
2026-02-24T02:40:00+00:00,65.08,1.278,-0.12,-1.266,11.346
2026-02-24T02:45:00+00:00,64.034,1.254,-0.101,-1.247,11.386
2026-02-24T02:50:00+00:00,61.94,1.204,-0.1,-1.205,11.4
2026-02-24T02:55:00+00:00,62.082,1.21,-0.108,-1.211,11.404
2026-02-24T03:00:00+00:00,62.379,1.215,-0.108,-1.215,11.407
2026-02-24T03:05:00+00:00,64.382,1.258,-0.109,-1.25,11.394
2026-02-24T03:10:00+00:00,63.065,1.231,-0.119,-1.226,11.376
2026-02-24T03:15:00+00:00,64.447,1.263,-0.102,-1.26,11.4
2026-02-24T03:20:00+00:00,63.752,1.247,-0.106,-1.244,11.41
2026-02-24T03:25:00+00:00,67.144,1.325,-0.134,-1.208,11.38
2026-02-24T03:30:00+00:00,63.57,1.256,-0.078,-1.174,11.334
2026-02-24T03:35:00+00:00,59.856,1.177,-0.113,-1.157,11.3
2026-02-24T03:40:00+00:00,60.264,1.18,-0.096,-1.158,11.3
2026-02-24T03:45:00+00:00,61.756,1.205,-0.099,-1.198,11.327
2026-02-24T03:50:00+00:00,59.552,1.166,-0.046,-1.146,11.331
2026-02-24T03:55:00+00:00,59.126,1.152,-0.051,-1.141,11.372
2026-02-24T04:00:00+00:00,59.75,1.17,-0.096,-1.164,11.35
2026-02-24T04:05:00+00:00,59.311,1.158,-0.072,-1.135,11.268
2026-02-24T04:10:00+00:00,59.972,1.165,-0.08,-1.149,11.25
2026-02-24T04:15:00+00:00,59.236,1.151,-0.082,-1.122,11.277
2026-02-24T04:20:00+00:00,60.436,1.184,-0.057,-1.167,11.3
2026-02-24T04:25:00+00:00,59.124,1.164,0.022,-1.139,11.3
2026-02-24T04:30:00+00:00,58.326,1.141,0.021,-1.13,11.3
2026-02-24T04:35:00+00:00,58.039,1.134,0.006,-1.118,11.3
2026-02-24T04:40:00+00:00,57.498,1.114,-0.03,-1.103,11.3
2026-02-24T04:45:00+00:00,57.82,1.126,-0.01,-1.116,11.3
2026-02-24T04:50:00+00:00,58.133,1.136,0.026,-1.119,11.302
2026-02-24T04:55:00+00:00,58.292,1.136,-0.056,-1.122,11.3
2026-02-24T05:00:00+00:00,58.484,1.136,-0.066,-1.126,11.282
2026-02-24T05:05:00+00:00,64.953,1.252,-0.091,-1.242,11.16
2026-02-24T05:10:00+00:00,68.517,1.35,-0.108,-1.318,11.287
2026-02-24T05:15:00+00:00,68.56,1.36,-0.148,-1.316,11.3
2026-02-24T05:20:00+00:00,70.83,1.4,-0.145,-1.37,11.3
2026-02-24T05:25:00+00:00,72.116,1.416,-0.146,-1.394,11.324
2026-02-24T05:30:00+00:00,71.416,1.418,-0.169,-1.371,11.299
2026-02-24T05:35:00+00:00,82.238,1.6,-0.202,-1.589,11.3
2026-02-24T05:40:00+00:00,86.33,1.683,-0.202,-1.668,11.3
2026-02-24T05:45:00+00:00,86.036,1.676,-0.208,-1.66,11.3
2026-02-24T05:50:00+00:00,84.146,1.638,-0.21,-1.622,11.3
2026-02-24T05:55:00+00:00,80.79,1.57,-0.201,-1.551,11.287
2026-02-24T06:00:00+00:00,88.464,1.715,-0.212,-1.695,11.232
2026-02-24T06:05:00+00:00,93.024,1.824,-0.272,-1.788,11.295
2026-02-24T06:10:00+00:00,98.652,1.92,-0.32,-1.876,11.242
2026-02-24T06:15:00+00:00,99.205,1.946,-0.338,-1.908,11.317
2026-02-24T06:20:00+00:00,101.232,1.987,-0.334,-1.949,11.326
2026-02-24T06:25:00+00:00,104.772,2.064,-0.346,-2.018,11.361
2026-02-24T06:30:00+00:00,95.732,1.889,-0.322,-1.848,11.384
2026-02-24T06:35:00+00:00,92.969,1.82,-0.294,-1.785,11.308
2026-02-24T06:40:00+00:00,95.03,1.863,-0.304,-1.828,11.304
2026-02-24T06:45:00+00:00,97.32,1.91,-0.305,-1.868,11.308
2026-02-24T06:50:00+00:00,93.522,1.837,-0.303,-1.797,11.317
2026-02-24T06:55:00+00:00,99.449,1.95,-0.308,-1.912,11.304
2026-02-24T07:00:00+00:00,103.152,2.025,-0.31,-1.982,11.3
