ValueDate,Amps,MVA,Volts
2026-02-24T00:05:00+00:00,85.284,1.651,5.59
2026-02-24T00:10:00+00:00,85.44,1.644,5.556
2026-02-24T00:15:00+00:00,87.786,1.684,5.552
2026-02-24T00:20:00+00:00,86.448,1.658,5.566
2026-02-24T00:25:00+00:00,83.72,1.611,5.571
2026-02-24T00:30:00+00:00,85.179,1.646,5.574
2026-02-24T00:35:00+00:00,89.821,1.718,5.542
2026-02-24T00:40:00+00:00,99.102,1.892,5.524
2026-02-24T00:45:00+00:00,101.512,1.944,5.546
2026-02-24T00:50:00+00:00,99.274,1.902,5.549
2026-02-24T00:55:00+00:00,101.031,1.926,5.525
2026-02-24T01:00:00+00:00,102.521,1.96,5.52
2026-02-24T01:05:00+00:00,105.508,2.05,5.584
2026-02-24T01:10:00+00:00,104.81,2.044,5.6
2026-02-24T01:15:00+00:00,100.294,1.948,5.611
2026-02-24T01:20:00+00:00,101.075,1.983,5.65
2026-02-24T01:25:00+00:00,101.537,1.998,5.65
2026-02-24T01:30:00+00:00,100.641,1.976,5.65
2026-02-24T01:35:00+00:00,99.776,1.961,5.65
2026-02-24T01:40:00+00:00,101.649,1.999,5.65
2026-02-24T01:45:00+00:00,99.138,1.949,5.65
2026-02-24T01:50:00+00:00,98.915,1.934,5.637
2026-02-24T01:55:00+00:00,98.099,1.898,5.6
2026-02-24T02:00:00+00:00,99.386,1.924,5.6
2026-02-24T02:05:00+00:00,99.42,1.921,5.583
2026-02-24T02:10:00+00:00,99.477,1.918,5.58
2026-02-24T02:15:00+00:00,98.134,1.897,5.6
2026-02-24T02:20:00+00:00,97.687,1.888,5.6
2026-02-24T02:25:00+00:00,96.106,1.866,5.624
2026-02-24T02:30:00+00:00,94.711,1.846,5.65
2026-02-24T02:35:00+00:00,92.262,1.8,5.634
2026-02-24T02:40:00+00:00,92.412,1.8,5.648
2026-02-24T02:45:00+00:00,92.336,1.802,5.65
2026-02-24T02:50:00+00:00,94.37,1.84,5.65
2026-02-24T02:55:00+00:00,92.591,1.796,5.604
2026-02-24T03:00:00+00:00,93.22,1.8,5.585
2026-02-24T03:05:00+00:00,93.824,1.808,5.55
2026-02-24T03:10:00+00:00,94.142,1.817,5.55
2026-02-24T03:15:00+00:00,92.088,1.771,5.58
2026-02-24T03:20:00+00:00,93.207,1.804,5.581
2026-02-24T03:25:00+00:00,90.08,1.748,5.6
2026-02-24T03:30:00+00:00,90.356,1.748,5.6
2026-02-24T03:35:00+00:00,88.897,1.72,5.6
2026-02-24T03:40:00+00:00,88.835,1.723,5.6
2026-02-24T03:45:00+00:00,87.558,1.696,5.6
2026-02-24T03:50:00+00:00,86.905,1.686,5.618
2026-02-24T03:55:00+00:00,84.809,1.652,5.628
2026-02-24T04:00:00+00:00,86.172,1.677,5.624
2026-02-24T04:05:00+00:00,87.23,1.676,5.564
2026-02-24T04:10:00+00:00,87.983,1.686,5.55
2026-02-24T04:15:00+00:00,86.591,1.662,5.558
2026-02-24T04:20:00+00:00,86.891,1.664,5.55
2026-02-24T04:25:00+00:00,85.593,1.64,5.559
2026-02-24T04:30:00+00:00,83.736,1.606,5.564
2026-02-24T04:35:00+00:00,82.976,1.602,5.575
2026-02-24T04:40:00+00:00,83.174,1.61,5.588
2026-02-24T04:45:00+00:00,82.784,1.604,5.6
2026-02-24T04:50:00+00:00,83.734,1.626,5.618
2026-02-24T04:55:00+00:00,81.396,1.575,5.626
2026-02-24T05:00:00+00:00,82.278,1.594,5.598
2026-02-24T05:05:00+00:00,88.352,1.69,5.542
2026-02-24T05:10:00+00:00,98.59,1.888,5.55
2026-02-24T05:15:00+00:00,99.38,1.924,5.599
2026-02-24T05:20:00+00:00,98.426,1.905,5.602
2026-02-24T05:25:00+00:00,97.793,1.912,5.632
2026-02-24T05:30:00+00:00,99.936,1.938,5.597
2026-02-24T05:35:00+00:00,97.195,1.877,5.6
2026-02-24T05:40:00+00:00,96.748,1.881,5.614
2026-02-24T05:45:00+00:00,103.87,2.022,5.6
2026-02-24T05:50:00+00:00,112.684,2.18,5.577
2026-02-24T05:55:00+00:00,113.654,2.186,5.546
2026-02-24T06:00:00+00:00,121.088,2.308,5.512
2026-02-24T06:05:00+00:00,121.551,2.341,5.549
2026-02-24T06:10:00+00:00,126.994,2.438,5.536
2026-02-24T06:15:00+00:00,125.916,2.47,5.646
2026-02-24T06:20:00+00:00,127.869,2.502,5.65
2026-02-24T06:25:00+00:00,130.814,2.55,5.642
2026-02-24T06:30:00+00:00,128.149,2.48,5.584
2026-02-24T06:35:00+00:00,135.232,2.598,5.542
2026-02-24T06:40:00+00:00,133.765,2.572,5.55
2026-02-24T06:45:00+00:00,135.6,2.608,5.548
2026-02-24T06:50:00+00:00,138.863,2.668,5.55
2026-02-24T06:55:00+00:00,140.37,2.692,5.538
2026-02-24T07:00:00+00:00,141.958,2.723,5.536
2026-02-24T07:05:00+00:00,141.424,2.71,5.532
2026-02-24T07:10:00+00:00,143.026,2.739,5.538
2026-02-24T07:15:00+00:00,140.55,2.727,5.591
2026-02-24T07:20:00+00:00,135.248,2.644,5.641
2026-02-24T07:25:00+00:00,137.526,2.69,5.636
2026-02-24T07:30:00+00:00,136.735,2.664,5.614
2026-02-24T07:35:00+00:00,135.55,2.63,5.611
2026-02-24T07:40:00+00:00,133.702,2.59,5.608
2026-02-24T07:45:00+00:00,137.32,2.686,5.632
2026-02-24T07:50:00+00:00,139.191,2.721,5.642
2026-02-24T07:55:00+00:00,131.132,2.565,5.643
2026-02-24T08:00:00+00:00,132.372,2.592,5.65
2026-02-24T08:05:00+00:00,134.011,2.583,5.564
2026-02-24T08:10:00+00:00,131.915,2.544,5.562
2026-02-24T08:15:00+00:00,134.912,2.588,5.534
2026-02-24T08:20:00+00:00,130.061,2.502,5.549
2026-02-24T08:25:00+00:00,129.57,2.492,5.55
2026-02-24T08:30:00+00:00,129.569,2.494,5.55
2026-02-24T08:35:00+00:00,121.896,2.352,5.558
2026-02-24T08:40:00+00:00,124.697,2.398,5.55
2026-02-24T08:45:00+00:00,127.695,2.456,5.55
2026-02-24T08:50:00+00:00,127.941,2.462,5.55
2026-02-24T08:55:00+00:00,121.682,2.343,5.55
2026-02-24T09:00:00+00:00,123.378,2.377,5.552
2026-02-24T09:05:00+00:00,116.432,2.258,5.598
2026-02-24T09:10:00+00:00,107.008,2.08,5.6
2026-02-24T09:15:00+00:00,108.276,2.105,5.608
2026-02-24T09:20:00+00:00,108.266,2.115,5.641
2026-02-24T09:25:00+00:00,103.285,2.009,5.6
2026-02-24T09:30:00+00:00,103.916,2.014,5.584
2026-02-24T09:35:00+00:00,104.634,2.014,5.554
2026-02-24T09:40:00+00:00,97.764,1.875,5.55
2026-02-24T09:45:00+00:00,97.818,1.876,5.55
2026-02-24T09:50:00+00:00,99.142,1.91,5.566
2026-02-24T09:55:00+00:00,94.432,1.815,5.55
2026-02-24T10:00:00+00:00,93.072,1.788,5.55
2026-02-24T10:05:00+00:00,91.844,1.768,5.55
2026-02-24T10:10:00+00:00,83.289,1.606,5.568
2026-02-24T10:15:00+00:00,82.273,1.592,5.588
2026-02-24T10:20:00+00:00,74.438,1.447,5.6
2026-02-24T10:25:00+00:00,79.198,1.536,5.6
2026-02-24T10:30:00+00:00,76.672,1.488,5.6
2026-02-24T10:35:00+00:00,72.717,1.412,5.6
2026-02-24T10:40:00+00:00,72.0,1.399,5.6
2026-02-24T10:45:00+00:00,71.854,1.398,5.6
