ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,134.514,2.659,-0.363,2.764,11.46
2026-02-24T00:10:00+00:00,138.156,2.762,-0.336,2.834,11.5
2026-02-24T00:15:00+00:00,139.23,2.778,-0.4,2.852,11.5
2026-02-24T00:20:00+00:00,139.53,2.792,-0.4,2.872,11.5
2026-02-24T00:25:00+00:00,140.14,2.798,-0.4,2.869,11.5
2026-02-24T00:30:00+00:00,141.174,2.802,-0.4,2.911,11.5
2026-02-24T00:35:00+00:00,147.172,2.909,-0.398,3.028,11.445
2026-02-24T00:40:00+00:00,155.904,3.075,-0.33,3.173,11.438
2026-02-24T00:45:00+00:00,157.0,3.092,-0.346,3.21,11.4
2026-02-24T00:50:00+00:00,158.836,3.134,-0.346,3.25,11.403
2026-02-24T00:55:00+00:00,152.696,3.019,-0.374,3.142,11.448
2026-02-24T01:00:00+00:00,152.702,3.048,-0.389,3.114,11.469
2026-02-24T01:05:00+00:00,151.815,3.02,-0.4,3.116,11.448
2026-02-24T01:10:00+00:00,152.035,3.029,-0.384,3.118,11.479
2026-02-24T01:15:00+00:00,151.502,3.022,-0.404,3.119,11.496
2026-02-24T01:20:00+00:00,150.437,3.008,-0.401,3.114,11.5
2026-02-24T01:25:00+00:00,148.196,2.958,-0.428,3.062,11.5
2026-02-24T01:30:00+00:00,147.389,2.94,-0.414,3.043,11.529
2026-02-24T01:35:00+00:00,149.576,2.987,-0.422,3.08,11.5
2026-02-24T01:40:00+00:00,149.996,3.002,-0.425,3.118,11.5
2026-02-24T01:45:00+00:00,151.563,3.033,-0.41,3.132,11.5
2026-02-24T01:50:00+00:00,148.844,2.976,-0.406,3.081,11.522
2026-02-24T01:55:00+00:00,147.994,2.981,-0.41,3.058,11.532
2026-02-24T02:00:00+00:00,147.224,2.956,-0.397,3.05,11.506
2026-02-24T02:05:00+00:00,149.43,2.978,-0.385,3.07,11.5
2026-02-24T02:10:00+00:00,150.544,3.004,-0.376,3.08,11.502
2026-02-24T02:15:00+00:00,149.802,2.993,-0.428,3.068,11.55
2026-02-24T02:20:00+00:00,147.714,2.964,-0.431,3.039,11.582
2026-02-24T02:25:00+00:00,147.959,2.973,-0.45,3.051,11.59
2026-02-24T02:30:00+00:00,145.35,2.924,-0.449,2.989,11.6
2026-02-24T02:35:00+00:00,144.772,2.915,-0.436,2.992,11.573
2026-02-24T02:40:00+00:00,143.738,2.9,-0.439,2.968,11.581
2026-02-24T02:45:00+00:00,142.573,2.88,-0.422,2.944,11.598
2026-02-24T02:50:00+00:00,142.348,2.862,-0.426,2.958,11.584
2026-02-24T02:55:00+00:00,142.454,2.851,-0.416,2.958,11.508
2026-02-24T03:00:00+00:00,140.128,2.798,-0.417,2.865,11.5
2026-02-24T03:05:00+00:00,142.294,2.837,-0.426,2.886,11.5
2026-02-24T03:10:00+00:00,140.561,2.805,-0.45,2.85,11.5
2026-02-24T03:15:00+00:00,139.6,2.779,-0.45,2.828,11.5
2026-02-24T03:20:00+00:00,139.642,2.782,-0.46,2.84,11.517
2026-02-24T03:25:00+00:00,138.14,2.758,-0.45,2.804,11.525
2026-02-24T03:30:00+00:00,138.541,2.748,-0.45,2.813,11.479
2026-02-24T03:35:00+00:00,134.677,2.667,-0.45,2.764,11.472
2026-02-24T03:40:00+00:00,134.289,2.658,-0.45,2.742,11.478
2026-02-24T03:45:00+00:00,133.745,2.664,-0.45,2.738,11.484
2026-02-24T03:50:00+00:00,132.632,2.651,-0.45,2.716,11.5
2026-02-24T03:55:00+00:00,131.78,2.641,-0.446,2.69,11.5
2026-02-24T04:00:00+00:00,130.322,2.594,-0.444,2.676,11.487
2026-02-24T04:05:00+00:00,134.379,2.662,-0.419,2.755,11.458
2026-02-24T04:10:00+00:00,134.368,2.665,-0.44,2.751,11.5
2026-02-24T04:15:00+00:00,131.448,2.616,-0.433,2.708,11.5
2026-02-24T04:20:00+00:00,130.906,2.606,-0.424,2.693,11.5
2026-02-24T04:25:00+00:00,129.742,2.577,-0.409,2.679,11.5
2026-02-24T04:30:00+00:00,129.122,2.562,-0.446,2.65,11.5
2026-02-24T04:35:00+00:00,127.09,2.515,-0.449,2.624,11.5
2026-02-24T04:40:00+00:00,127.611,2.531,-0.45,2.622,11.5
2026-02-24T04:45:00+00:00,126.848,2.511,-0.45,2.594,11.5
2026-02-24T04:50:00+00:00,125.092,2.49,-0.45,2.568,11.499
2026-02-24T04:55:00+00:00,126.489,2.516,-0.45,2.583,11.444
2026-02-24T05:00:00+00:00,124.568,2.476,-0.45,2.56,11.404
2026-02-24T05:05:00+00:00,124.631,2.47,-0.444,2.548,11.439
2026-02-24T05:10:00+00:00,126.334,2.494,-0.424,2.591,11.408
2026-02-24T05:15:00+00:00,126.752,2.514,-0.45,2.598,11.467
2026-02-24T05:20:00+00:00,127.593,2.534,-0.45,2.609,11.486
