ValueDate,Amps,MVA,Volts
2026-02-24T00:05:00+00:00,44.601,0.863,11.226
2026-02-24T00:10:00+00:00,47.101,0.888,11.2
2026-02-24T00:15:00+00:00,47.948,0.94,11.2
2026-02-24T00:20:00+00:00,46.963,0.923,11.234
2026-02-24T00:25:00+00:00,45.338,0.887,11.25
2026-02-24T00:30:00+00:00,48.388,0.92,11.241
2026-02-24T00:35:00+00:00,56.296,1.091,11.151
2026-02-24T00:40:00+00:00,62.564,1.195,11.069
2026-02-24T00:45:00+00:00,64.365,1.22,11.139
2026-02-24T00:50:00+00:00,65.846,1.272,11.15
2026-02-24T00:55:00+00:00,66.606,1.294,11.15
2026-02-24T01:00:00+00:00,66.864,1.301,11.15
2026-02-24T01:05:00+00:00,63.829,1.225,11.15
2026-02-24T01:10:00+00:00,64.402,1.253,11.15
2026-02-24T01:15:00+00:00,64.655,1.256,11.174
2026-02-24T01:20:00+00:00,67.164,1.317,11.182
2026-02-24T01:25:00+00:00,66.044,1.282,11.249
2026-02-24T01:30:00+00:00,65.231,1.258,11.25
2026-02-24T01:35:00+00:00,66.653,1.282,11.192
2026-02-24T01:40:00+00:00,68.109,1.328,11.178
2026-02-24T01:45:00+00:00,65.753,1.284,11.182
2026-02-24T01:50:00+00:00,65.736,1.266,11.221
2026-02-24T01:55:00+00:00,65.146,1.276,11.25
2026-02-24T02:00:00+00:00,64.309,1.24,11.25
2026-02-24T02:05:00+00:00,62.922,1.234,11.227
2026-02-24T02:10:00+00:00,60.792,1.184,11.225
2026-02-24T02:15:00+00:00,60.408,1.172,11.245
2026-02-24T02:20:00+00:00,60.924,1.185,11.25
2026-02-24T02:25:00+00:00,57.16,1.105,11.259
2026-02-24T02:30:00+00:00,57.204,1.111,11.27
2026-02-24T02:35:00+00:00,58.607,1.132,11.243
2026-02-24T02:40:00+00:00,58.026,1.128,11.225
2026-02-24T02:45:00+00:00,56.664,1.106,11.248
2026-02-24T02:50:00+00:00,57.178,1.116,11.268
2026-02-24T02:55:00+00:00,56.922,1.114,11.294
2026-02-24T03:00:00+00:00,58.062,1.138,11.293
2026-02-24T03:05:00+00:00,58.441,1.135,11.25
2026-02-24T03:10:00+00:00,56.369,1.103,11.25
2026-02-24T03:15:00+00:00,55.858,1.088,11.284
2026-02-24T03:20:00+00:00,56.294,1.114,11.311
2026-02-24T03:25:00+00:00,54.743,1.092,11.35
2026-02-24T03:30:00+00:00,53.095,1.052,11.347
2026-02-24T03:35:00+00:00,54.244,1.07,11.3
