ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,293.002,0.0,0.554,-5.486,11.058
2026-02-24T00:10:00+00:00,293.036,0.0,0.554,-5.486,11.05
2026-02-24T00:15:00+00:00,293.07,0.0,0.554,-5.488,11.052
2026-02-24T00:20:00+00:00,293.105,0.0,0.554,-5.488,11.078
2026-02-24T00:25:00+00:00,293.138,0.0,0.554,-5.488,11.08
2026-02-24T00:30:00+00:00,293.172,0.0,0.554,-5.488,11.072
2026-02-24T00:35:00+00:00,293.206,0.0,0.554,-5.489,11.039
2026-02-24T00:40:00+00:00,293.24,0.0,0.554,-5.489,11.0
2026-02-24T00:45:00+00:00,293.274,0.0,0.554,-5.49,11.0
2026-02-24T00:50:00+00:00,293.308,0.0,0.554,-5.49,11.0
2026-02-24T00:55:00+00:00,293.343,0.0,0.554,-5.49,11.0
2026-02-24T01:00:00+00:00,293.377,0.0,0.554,-5.491,11.0
2026-02-24T01:05:00+00:00,293.41,0.0,0.554,-5.492,11.0
2026-02-24T01:10:00+00:00,293.444,0.0,0.554,-5.492,11.0
2026-02-24T01:15:00+00:00,293.479,0.0,0.555,-5.492,11.0
2026-02-24T01:20:00+00:00,293.513,0.0,0.555,-5.492,11.006
2026-02-24T01:25:00+00:00,293.546,0.0,0.555,-5.493,11.04
2026-02-24T01:30:00+00:00,293.581,0.0,0.555,-5.494,11.018
2026-02-24T01:35:00+00:00,293.615,0.0,0.555,-5.494,11.018
2026-02-24T01:40:00+00:00,293.649,0.0,0.555,-5.494,11.048
2026-02-24T01:45:00+00:00,293.683,0.0,0.555,-5.495,11.05
2026-02-24T01:50:00+00:00,293.717,0.0,0.555,-5.495,11.05
2026-02-24T01:55:00+00:00,293.751,0.0,0.555,-5.496,11.076
2026-02-24T02:00:00+00:00,293.785,0.0,0.555,-5.496,11.056
2026-02-24T02:05:00+00:00,293.819,0.0,0.555,-5.496,11.014
2026-02-24T02:10:00+00:00,293.853,0.0,0.555,-5.496,11.04
2026-02-24T02:15:00+00:00,293.888,0.0,0.556,-5.498,11.053
2026-02-24T02:20:00+00:00,293.922,0.0,0.556,-5.498,11.074
2026-02-24T02:25:00+00:00,293.955,0.0,0.556,-5.498,11.091
2026-02-24T02:30:00+00:00,293.99,0.0,0.556,-5.498,11.076
2026-02-24T02:35:00+00:00,294.024,0.0,0.556,-5.499,11.051
2026-02-24T02:40:00+00:00,294.058,0.0,0.556,-5.499,11.05
2026-02-24T02:45:00+00:00,294.092,0.0,0.556,-5.5,11.072
2026-02-24T02:50:00+00:00,294.126,0.0,0.556,-5.5,11.098
2026-02-24T02:55:00+00:00,294.16,0.0,0.556,-5.5,11.1
2026-02-24T03:00:00+00:00,294.194,0.0,0.556,-5.501,11.1
2026-02-24T03:05:00+00:00,294.228,0.0,0.556,-5.502,11.1
2026-02-24T03:10:00+00:00,294.262,0.0,0.556,-5.502,11.1
2026-02-24T03:15:00+00:00,294.296,0.0,0.556,-5.502,11.118
2026-02-24T03:20:00+00:00,294.33,0.0,0.556,-5.502,11.106
2026-02-24T03:25:00+00:00,294.364,0.0,0.556,-5.503,11.05
2026-02-24T03:30:00+00:00,294.398,0.0,0.556,-5.504,11.05
2026-02-24T03:35:00+00:00,294.432,0.0,0.556,-5.504,11.05
2026-02-24T03:40:00+00:00,294.466,0.0,0.556,-5.504,11.05
2026-02-24T03:45:00+00:00,294.5,0.0,0.556,-5.505,11.05
2026-02-24T03:50:00+00:00,294.534,0.0,0.556,-5.505,11.055
2026-02-24T03:55:00+00:00,294.568,0.0,0.556,-5.506,11.081
2026-02-24T04:00:00+00:00,294.602,0.0,0.556,-5.507,11.061
2026-02-24T04:05:00+00:00,294.636,0.0,0.556,-5.507,11.01
2026-02-24T04:10:00+00:00,294.67,0.0,0.556,-5.507,11.0
2026-02-24T04:15:00+00:00,294.704,0.0,0.556,-5.508,11.0
2026-02-24T04:20:00+00:00,294.738,0.0,0.556,-5.508,11.0
2026-02-24T04:25:00+00:00,294.772,0.0,0.556,-5.508,11.024
2026-02-24T04:30:00+00:00,294.806,0.0,0.556,-5.509,11.03
2026-02-24T04:35:00+00:00,294.84,0.0,0.556,-5.509,11.0
