ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,192.398,3.811,0.328,-3.612,11.41
2026-02-24T00:10:00+00:00,189.373,3.739,0.377,-3.544,11.4
2026-02-24T00:15:00+00:00,180.44,3.554,0.415,-3.341,11.4
2026-02-24T00:20:00+00:00,180.126,3.534,0.408,-3.342,11.4
2026-02-24T00:25:00+00:00,186.845,3.686,0.398,-3.501,11.4
2026-02-24T00:30:00+00:00,186.892,3.694,0.393,-3.514,11.4
2026-02-24T00:35:00+00:00,194.153,3.835,0.378,-3.625,11.4
2026-02-24T00:40:00+00:00,199.872,3.923,0.38,-3.726,11.342
2026-02-24T00:45:00+00:00,201.471,3.947,0.365,-3.76,11.3
2026-02-24T00:50:00+00:00,204.388,4.007,0.331,-3.829,11.3
2026-02-24T00:55:00+00:00,202.885,3.974,0.358,-3.798,11.3
2026-02-24T01:00:00+00:00,198.684,3.894,0.358,-3.724,11.3
2026-02-24T01:05:00+00:00,200.597,3.93,0.366,-3.754,11.3
2026-02-24T01:10:00+00:00,197.658,3.875,0.358,-3.694,11.3
2026-02-24T01:15:00+00:00,190.075,3.718,0.375,-3.555,11.307
2026-02-24T01:20:00+00:00,195.514,3.834,0.366,-3.659,11.336
2026-02-24T01:25:00+00:00,196.469,3.879,0.373,-3.684,11.4
2026-02-24T01:30:00+00:00,193.978,3.825,0.379,-3.64,11.4
2026-02-24T01:35:00+00:00,195.8,3.863,0.375,-3.66,11.4
2026-02-24T01:40:00+00:00,197.73,3.898,0.36,-3.714,11.394
2026-02-24T01:45:00+00:00,198.837,3.918,0.352,-3.752,11.383
2026-02-24T01:50:00+00:00,195.834,3.861,0.395,-3.685,11.398
2026-02-24T01:55:00+00:00,185.734,3.673,0.408,-3.463,11.4
2026-02-24T02:00:00+00:00,183.278,3.623,0.427,-3.409,11.4
2026-02-24T02:05:00+00:00,184.445,3.641,0.4,-3.433,11.4
2026-02-24T02:10:00+00:00,187.615,3.711,0.391,-3.53,11.398
2026-02-24T02:15:00+00:00,186.678,3.693,0.414,-3.508,11.4
2026-02-24T02:20:00+00:00,185.896,3.669,0.397,-3.5,11.4
2026-02-24T02:25:00+00:00,190.308,3.762,0.394,-3.597,11.4
2026-02-24T02:30:00+00:00,189.286,3.732,0.389,-3.584,11.4
2026-02-24T02:35:00+00:00,194.406,3.835,0.38,-3.673,11.4
2026-02-24T02:40:00+00:00,194.908,3.846,0.363,-3.688,11.4
2026-02-24T02:45:00+00:00,190.592,3.774,0.374,-3.599,11.4
2026-02-24T02:50:00+00:00,183.216,3.636,0.423,-3.426,11.45
2026-02-24T02:55:00+00:00,181.862,3.625,0.434,-3.39,11.492
2026-02-24T03:00:00+00:00,180.802,3.606,0.417,-3.362,11.5
2026-02-24T03:05:00+00:00,183.687,3.628,0.413,-3.416,11.418
2026-02-24T03:10:00+00:00,183.196,3.624,0.421,-3.397,11.427
2026-02-24T03:15:00+00:00,191.469,3.798,0.4,-3.602,11.479
2026-02-24T03:20:00+00:00,189.816,3.788,0.4,-3.556,11.5
2026-02-24T03:25:00+00:00,190.185,3.793,0.399,-3.564,11.5
2026-02-24T03:30:00+00:00,186.07,3.71,0.381,-3.482,11.5
