ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,177.71,3.51,-0.369,3.543,11.401
2026-02-24T00:10:00+00:00,179.257,3.533,-0.361,3.573,11.376
2026-02-24T00:15:00+00:00,180.555,3.56,-0.423,3.61,11.38
2026-02-24T00:20:00+00:00,180.44,3.56,-0.451,3.617,11.402
2026-02-24T00:25:00+00:00,180.992,3.567,-0.442,3.636,11.4
2026-02-24T00:30:00+00:00,179.936,3.547,-0.46,3.611,11.4
2026-02-24T00:35:00+00:00,192.505,3.791,-0.404,3.83,11.351
2026-02-24T00:40:00+00:00,199.924,3.91,-0.376,3.972,11.291
2026-02-24T00:45:00+00:00,201.318,3.958,-0.363,4.045,11.362
2026-02-24T00:50:00+00:00,200.51,3.956,-0.377,4.034,11.4
2026-02-24T00:55:00+00:00,200.826,3.968,-0.37,4.034,11.4
2026-02-24T01:00:00+00:00,201.366,3.982,-0.359,4.056,11.4
2026-02-24T01:05:00+00:00,199.247,3.932,-0.374,4.04,11.4
2026-02-24T01:10:00+00:00,200.802,3.966,-0.377,4.062,11.42
2026-02-24T01:15:00+00:00,198.267,3.922,-0.378,4.018,11.426
2026-02-24T01:20:00+00:00,197.233,3.917,-0.352,4.007,11.468
2026-02-24T01:25:00+00:00,194.314,3.862,-0.388,3.942,11.5
2026-02-24T01:30:00+00:00,193.3,3.822,-0.397,3.924,11.5
2026-02-24T01:35:00+00:00,194.728,3.86,-0.375,3.963,11.48
2026-02-24T01:40:00+00:00,195.146,3.875,-0.424,3.97,11.48
2026-02-24T01:45:00+00:00,195.19,3.872,-0.449,3.98,11.478
2026-02-24T01:50:00+00:00,195.258,3.878,-0.391,3.976,11.5
2026-02-24T01:55:00+00:00,195.83,3.914,-0.41,3.972,11.524
2026-02-24T02:00:00+00:00,193.255,3.85,-0.399,3.924,11.506
2026-02-24T02:05:00+00:00,194.94,3.856,-0.369,3.988,11.474
2026-02-24T02:10:00+00:00,195.646,3.874,-0.382,3.984,11.479
2026-02-24T02:15:00+00:00,195.719,3.894,-0.406,3.986,11.515
2026-02-24T02:20:00+00:00,194.815,3.876,-0.376,3.988,11.526
2026-02-24T02:25:00+00:00,194.813,3.904,-0.401,3.985,11.54
2026-02-24T02:30:00+00:00,192.486,3.833,-0.373,3.949,11.55
2026-02-24T02:35:00+00:00,192.838,3.839,-0.366,3.932,11.518
2026-02-24T02:40:00+00:00,193.608,3.86,-0.364,3.923,11.496
2026-02-24T02:45:00+00:00,191.839,3.841,-0.372,3.906,11.545
2026-02-24T02:50:00+00:00,192.632,3.85,-0.375,3.934,11.55
2026-02-24T02:55:00+00:00,188.414,3.776,-0.45,3.865,11.574
2026-02-24T03:00:00+00:00,188.096,3.756,-0.42,3.82,11.477
2026-02-24T03:05:00+00:00,189.784,3.793,-0.406,3.86,11.45
2026-02-24T03:10:00+00:00,188.102,3.766,-0.45,3.795,11.45
2026-02-24T03:15:00+00:00,191.346,3.816,-0.361,3.87,11.46
2026-02-24T03:20:00+00:00,190.254,3.802,-0.438,3.85,11.484
