ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,57.652,1.128,0.182,-1.112,11.31
2026-02-24T00:10:00+00:00,58.051,1.143,0.179,-1.12,11.3
2026-02-24T00:15:00+00:00,58.092,1.136,0.196,-1.116,11.3
2026-02-24T00:20:00+00:00,58.574,1.157,0.208,-1.11,11.312
2026-02-24T00:25:00+00:00,58.578,1.156,0.225,-1.109,11.326
2026-02-24T00:30:00+00:00,59.434,1.164,0.213,-1.138,11.3
2026-02-24T00:35:00+00:00,59.348,1.168,0.232,-1.127,11.292
2026-02-24T00:40:00+00:00,60.211,1.16,0.194,-1.148,11.246
2026-02-24T00:45:00+00:00,64.352,1.254,0.193,-1.24,11.298
2026-02-24T00:50:00+00:00,63.408,1.242,0.188,-1.212,11.3
2026-02-24T00:55:00+00:00,64.402,1.251,0.15,-1.248,11.3
2026-02-24T01:00:00+00:00,64.351,1.271,0.172,-1.242,11.314
2026-02-24T01:05:00+00:00,65.439,1.272,0.169,-1.26,11.3
2026-02-24T01:10:00+00:00,65.582,1.288,0.192,-1.268,11.307
2026-02-24T01:15:00+00:00,65.732,1.296,0.182,-1.262,11.305
2026-02-24T01:20:00+00:00,66.365,1.306,0.148,-1.281,11.324
2026-02-24T01:25:00+00:00,65.27,1.272,0.169,-1.261,11.35
2026-02-24T01:30:00+00:00,64.385,1.266,0.181,-1.238,11.35
2026-02-24T01:35:00+00:00,63.72,1.251,0.162,-1.224,11.35
2026-02-24T01:40:00+00:00,64.168,1.268,0.15,-1.25,11.35
2026-02-24T01:45:00+00:00,65.36,1.296,0.147,-1.262,11.35
2026-02-24T01:50:00+00:00,65.005,1.288,0.161,-1.248,11.35
2026-02-24T01:55:00+00:00,64.939,1.278,0.173,-1.244,11.351
2026-02-24T02:00:00+00:00,63.698,1.247,0.152,-1.237,11.356
2026-02-24T02:05:00+00:00,63.635,1.234,0.176,-1.216,11.324
2026-02-24T02:10:00+00:00,65.425,1.275,0.179,-1.26,11.312
2026-02-24T02:15:00+00:00,65.775,1.292,0.154,-1.281,11.343
2026-02-24T02:20:00+00:00,65.624,1.288,0.15,-1.28,11.36
2026-02-24T02:25:00+00:00,65.212,1.284,0.15,-1.263,11.357
2026-02-24T02:30:00+00:00,64.356,1.278,0.154,-1.252,11.4
2026-02-24T02:35:00+00:00,63.304,1.243,0.151,-1.233,11.376
2026-02-24T02:40:00+00:00,60.932,1.205,0.15,-1.184,11.394
2026-02-24T02:45:00+00:00,62.656,1.241,0.156,-1.23,11.398
2026-02-24T02:50:00+00:00,59.384,1.171,0.174,-1.154,11.401
2026-02-24T02:55:00+00:00,60.891,1.197,0.167,-1.195,11.439
2026-02-24T03:00:00+00:00,60.762,1.2,0.154,-1.196,11.43
2026-02-24T03:05:00+00:00,61.784,1.222,0.15,-1.216,11.4
2026-02-24T03:10:00+00:00,61.91,1.238,0.168,-1.215,11.405
2026-02-24T03:15:00+00:00,62.418,1.216,0.176,-1.202,11.401
2026-02-24T03:20:00+00:00,62.399,1.232,0.168,-1.233,11.422
2026-02-24T03:25:00+00:00,64.478,1.28,0.167,-1.254,11.439
2026-02-24T03:30:00+00:00,62.781,1.256,0.176,-1.212,11.43
2026-02-24T03:35:00+00:00,60.507,1.201,0.178,-1.18,11.448
2026-02-24T03:40:00+00:00,58.695,1.155,0.175,-1.148,11.45
2026-02-24T03:45:00+00:00,60.902,1.209,0.172,-1.188,11.45
2026-02-24T03:50:00+00:00,60.607,1.183,0.176,-1.178,11.388
2026-02-24T03:55:00+00:00,59.478,1.177,0.215,-1.138,11.381
2026-02-24T04:00:00+00:00,57.506,1.128,0.232,-1.112,11.367
2026-02-24T04:05:00+00:00,58.172,1.134,0.171,-1.108,11.285
2026-02-24T04:10:00+00:00,58.554,1.152,0.15,-1.121,11.254
2026-02-24T04:15:00+00:00,59.23,1.168,0.174,-1.142,11.33
2026-02-24T04:20:00+00:00,58.58,1.159,0.174,-1.124,11.36
2026-02-24T04:25:00+00:00,57.986,1.148,0.175,-1.116,11.381
2026-02-24T04:30:00+00:00,57.296,1.139,0.162,-1.111,11.4
2026-02-24T04:35:00+00:00,58.13,1.144,0.168,-1.136,11.4
2026-02-24T04:40:00+00:00,57.332,1.142,0.182,-1.103,11.4
2026-02-24T04:45:00+00:00,57.04,1.117,0.179,-1.114,11.418
2026-02-24T04:50:00+00:00,56.85,1.127,0.168,-1.102,11.43
2026-02-24T04:55:00+00:00,56.71,1.112,0.175,-1.104,11.393
2026-02-24T05:00:00+00:00,57.57,1.126,0.167,-1.116,11.342
2026-02-24T05:05:00+00:00,58.726,1.16,0.193,-1.112,11.248
2026-02-24T05:10:00+00:00,61.644,1.202,0.168,-1.188,11.313
