ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,125.234,2.455,0.132,-2.462,11.052
2026-02-24T00:10:00+00:00,128.874,2.516,0.156,-2.536,11.05
2026-02-24T00:15:00+00:00,131.734,2.574,0.138,-2.589,11.05
2026-02-24T00:20:00+00:00,132.416,2.591,0.166,-2.602,11.05
2026-02-24T00:25:00+00:00,130.692,2.552,0.159,-2.57,11.05
2026-02-24T00:30:00+00:00,130.643,2.552,0.151,-2.568,11.05
2026-02-24T00:35:00+00:00,135.786,2.65,0.134,-2.66,11.027
2026-02-24T00:40:00+00:00,137.468,2.682,0.174,-2.684,11.014
2026-02-24T00:45:00+00:00,135.83,2.681,0.139,-2.682,11.093
2026-02-24T00:50:00+00:00,136.114,2.69,0.16,-2.695,11.1
2026-02-24T00:55:00+00:00,136.904,2.702,0.124,-2.704,11.1
2026-02-24T01:00:00+00:00,135.318,2.672,0.162,-2.684,11.1
2026-02-24T01:05:00+00:00,137.429,2.709,0.118,-2.718,11.1
2026-02-24T01:10:00+00:00,135.128,2.666,0.105,-2.678,11.12
2026-02-24T01:15:00+00:00,135.504,2.676,0.1,-2.68,11.125
2026-02-24T01:20:00+00:00,134.582,2.658,0.108,-2.669,11.131
2026-02-24T01:25:00+00:00,133.57,2.644,0.135,-2.656,11.15
2026-02-24T01:30:00+00:00,131.942,2.616,0.134,-2.63,11.17
2026-02-24T01:35:00+00:00,132.981,2.628,0.139,-2.646,11.152
2026-02-24T01:40:00+00:00,132.523,2.616,0.113,-2.632,11.15
2026-02-24T01:45:00+00:00,131.734,2.61,0.126,-2.616,11.15
2026-02-24T01:50:00+00:00,129.274,2.556,0.121,-2.572,11.15
2026-02-24T01:55:00+00:00,131.093,2.597,0.112,-2.606,11.152
2026-02-24T02:00:00+00:00,130.516,2.583,0.108,-2.592,11.158
2026-02-24T02:05:00+00:00,130.974,2.592,0.098,-2.6,11.15
2026-02-24T02:10:00+00:00,128.082,2.524,0.128,-2.545,11.15
2026-02-24T02:15:00+00:00,129.802,2.562,0.112,-2.581,11.163
2026-02-24T02:20:00+00:00,128.554,2.554,0.127,-2.561,11.178
2026-02-24T02:25:00+00:00,129.342,2.568,0.118,-2.574,11.182
2026-02-24T02:30:00+00:00,127.226,2.509,0.136,-2.514,11.126
