ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,125.608,2.477,0.656,-2.367,11.374
2026-02-24T00:10:00+00:00,128.518,2.54,0.672,-2.426,11.353
2026-02-24T00:15:00+00:00,129.758,2.563,0.695,-2.441,11.353
2026-02-24T00:20:00+00:00,128.486,2.548,0.689,-2.421,11.39
2026-02-24T00:25:00+00:00,127.664,2.52,0.684,-2.41,11.394
2026-02-24T00:30:00+00:00,126.623,2.504,0.682,-2.391,11.392
2026-02-24T00:35:00+00:00,134.674,2.652,0.653,-2.54,11.35
2026-02-24T00:40:00+00:00,138.287,2.722,0.644,-2.598,11.338
2026-02-24T00:45:00+00:00,137.944,2.714,0.647,-2.612,11.346
2026-02-24T00:50:00+00:00,137.106,2.704,0.634,-2.596,11.35
2026-02-24T00:55:00+00:00,136.791,2.697,0.65,-2.588,11.35
2026-02-24T01:00:00+00:00,136.466,2.691,0.646,-2.586,11.362
2026-02-24T01:05:00+00:00,136.308,2.692,0.634,-2.59,11.35
2026-02-24T01:10:00+00:00,135.164,2.668,0.609,-2.566,11.361
2026-02-24T01:15:00+00:00,134.626,2.65,0.6,-2.557,11.362
2026-02-24T01:20:00+00:00,134.402,2.654,0.6,-2.549,11.378
2026-02-24T01:25:00+00:00,134.02,2.659,0.6,-2.552,11.4
2026-02-24T01:30:00+00:00,133.321,2.65,0.619,-2.55,11.4
2026-02-24T01:35:00+00:00,135.136,2.67,0.591,-2.563,11.4
2026-02-24T01:40:00+00:00,132.576,2.626,0.628,-2.528,11.4
2026-02-24T01:45:00+00:00,131.354,2.606,0.602,-2.494,11.4
2026-02-24T01:50:00+00:00,131.13,2.609,0.618,-2.5,11.4
2026-02-24T01:55:00+00:00,128.285,2.544,0.637,-2.42,11.4
2026-02-24T02:00:00+00:00,126.95,2.508,0.631,-2.405,11.4
2026-02-24T02:05:00+00:00,128.05,2.542,0.619,-2.421,11.378
2026-02-24T02:10:00+00:00,128.086,2.542,0.609,-2.44,11.364
2026-02-24T02:15:00+00:00,126.797,2.508,0.626,-2.406,11.4
