ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,56.168,1.1,-0.05,-0.05,5.65
2026-02-24T00:10:00+00:00,57.93,1.137,-0.05,-0.05,5.632
2026-02-24T00:15:00+00:00,58.03,1.142,-0.05,-0.05,5.622
2026-02-24T00:20:00+00:00,56.1,1.102,-0.05,-0.05,5.65
2026-02-24T00:25:00+00:00,56.16,1.1,-0.05,-0.05,5.65
2026-02-24T00:30:00+00:00,56.064,1.098,-0.05,-0.05,5.65
2026-02-24T00:35:00+00:00,59.97,1.168,-0.05,-0.05,5.606
2026-02-24T00:40:00+00:00,63.35,1.226,-0.05,-0.05,5.582
2026-02-24T00:45:00+00:00,65.169,1.268,-0.05,-0.05,5.635
2026-02-24T00:50:00+00:00,63.704,1.25,-0.05,-0.05,5.65
2026-02-24T00:55:00+00:00,63.492,1.249,-0.05,-0.05,5.65
2026-02-24T01:00:00+00:00,62.749,1.229,-0.05,-0.05,5.65
2026-02-24T01:05:00+00:00,63.674,1.246,-0.05,-0.05,5.65
2026-02-24T01:10:00+00:00,64.791,1.258,-0.05,-0.05,5.65
2026-02-24T01:15:00+00:00,63.939,1.25,-0.05,-0.05,5.65
2026-02-24T01:20:00+00:00,64.228,1.252,-0.05,-0.05,5.662
2026-02-24T01:25:00+00:00,62.424,1.231,-0.05,-0.05,5.7
2026-02-24T01:30:00+00:00,60.32,1.193,-0.05,-0.05,5.7
2026-02-24T01:35:00+00:00,60.785,1.198,-0.05,-0.05,5.687
2026-02-24T01:40:00+00:00,59.978,1.182,-0.05,-0.05,5.7
2026-02-24T01:45:00+00:00,59.888,1.182,-0.05,-0.05,5.7
2026-02-24T01:50:00+00:00,59.708,1.176,-0.05,-0.05,5.7
2026-02-24T01:55:00+00:00,58.969,1.159,-0.05,-0.05,5.7
2026-02-24T02:00:00+00:00,58.466,1.15,-0.05,-0.05,5.7
2026-02-24T02:05:00+00:00,59.532,1.165,-0.05,-0.05,5.7
2026-02-24T02:10:00+00:00,58.447,1.15,-0.05,-0.05,5.7
2026-02-24T02:15:00+00:00,57.812,1.15,-0.05,-0.05,5.7
2026-02-24T02:20:00+00:00,57.531,1.15,-0.05,-0.05,5.7
2026-02-24T02:25:00+00:00,57.074,1.133,-0.05,-0.05,5.7
2026-02-24T02:30:00+00:00,56.586,1.116,-0.05,-0.05,5.7
2026-02-24T02:35:00+00:00,56.53,1.117,-0.05,-0.05,5.7
2026-02-24T02:40:00+00:00,57.066,1.136,-0.05,-0.05,5.7
2026-02-24T02:45:00+00:00,57.016,1.136,-0.05,-0.05,5.7
2026-02-24T02:50:00+00:00,56.492,1.113,-0.05,-0.05,5.67
2026-02-24T02:55:00+00:00,56.192,1.101,-0.05,-0.05,5.65
2026-02-24T03:00:00+00:00,56.406,1.102,-0.05,-0.05,5.65
2026-02-24T03:05:00+00:00,57.532,1.118,-0.05,-0.05,5.624
2026-02-24T03:10:00+00:00,56.302,1.1,-0.05,-0.05,5.634
2026-02-24T03:15:00+00:00,56.147,1.099,-0.05,-0.05,5.65
2026-02-24T03:20:00+00:00,55.366,1.087,-0.05,-0.05,5.65
2026-02-24T03:25:00+00:00,54.282,1.062,-0.05,-0.05,5.65
2026-02-24T03:30:00+00:00,54.562,1.061,-0.05,-0.05,5.65
2026-02-24T03:35:00+00:00,54.932,1.072,-0.05,-0.05,5.65
2026-02-24T03:40:00+00:00,54.15,1.053,-0.05,-0.05,5.65
2026-02-24T03:45:00+00:00,52.382,1.024,-0.05,-0.05,5.662
2026-02-24T03:50:00+00:00,51.599,1.004,-0.05,-0.05,5.682
2026-02-24T03:55:00+00:00,51.536,1.011,-0.05,-0.05,5.675
2026-02-24T04:00:00+00:00,50.952,1.004,-0.05,-0.05,5.672
2026-02-24T04:05:00+00:00,51.848,1.014,-0.05,-0.05,5.639
2026-02-24T04:10:00+00:00,50.93,1.0,-0.05,-0.05,5.645
2026-02-24T04:15:00+00:00,51.492,1.0,-0.05,-0.05,5.65
2026-02-24T04:20:00+00:00,50.041,0.982,-0.05,-0.05,5.65
2026-02-24T04:25:00+00:00,49.39,0.958,-0.05,-0.05,5.65
2026-02-24T04:30:00+00:00,49.836,0.98,-0.05,-0.05,5.65
2026-02-24T04:35:00+00:00,50.612,0.997,-0.05,-0.05,5.65
2026-02-24T04:40:00+00:00,50.93,1.0,-0.05,-0.05,5.65
2026-02-24T04:45:00+00:00,48.498,0.954,-0.05,-0.05,5.65
2026-02-24T04:50:00+00:00,48.055,0.946,-0.05,-0.05,5.652
2026-02-24T04:55:00+00:00,47.986,0.944,-0.05,-0.05,5.65
2026-02-24T05:00:00+00:00,48.121,0.941,-0.05,-0.05,5.65
2026-02-24T05:05:00+00:00,49.897,0.971,-0.05,-0.05,5.61
2026-02-24T05:10:00+00:00,51.44,0.998,-0.05,-0.05,5.6
2026-02-24T05:15:00+00:00,51.65,1.001,-0.05,-0.05,5.6
2026-02-24T05:20:00+00:00,51.021,0.995,-0.05,-0.05,5.608
2026-02-24T05:25:00+00:00,50.618,0.993,-0.05,-0.05,5.635
2026-02-24T05:30:00+00:00,50.374,0.984,-0.05,-0.05,5.614
2026-02-24T05:35:00+00:00,49.139,0.95,-0.05,-0.05,5.6
2026-02-24T05:40:00+00:00,49.14,0.95,-0.05,-0.05,5.6
2026-02-24T05:45:00+00:00,50.441,0.976,-0.05,-0.05,5.6
2026-02-24T05:50:00+00:00,52.204,1.01,-0.05,-0.05,5.6
2026-02-24T05:55:00+00:00,52.358,1.012,-0.05,-0.05,5.6
2026-02-24T06:00:00+00:00,53.448,1.042,-0.05,-0.05,5.58
2026-02-24T06:05:00+00:00,58.493,1.131,-0.05,-0.05,5.602
2026-02-24T06:10:00+00:00,60.791,1.179,-0.05,-0.05,5.61
2026-02-24T06:15:00+00:00,61.229,1.19,-0.05,-0.05,5.6
2026-02-24T06:20:00+00:00,62.482,1.216,-0.05,-0.05,5.654
2026-02-24T06:25:00+00:00,62.164,1.217,-0.05,-0.05,5.671
2026-02-24T06:30:00+00:00,61.785,1.206,-0.05,-0.05,5.634
2026-02-24T06:35:00+00:00,61.724,1.195,-0.06,-0.05,5.6
2026-02-24T06:40:00+00:00,62.394,1.209,-0.074,-0.05,5.6
2026-02-24T06:45:00+00:00,62.328,1.207,-0.086,-0.05,5.588
2026-02-24T06:50:00+00:00,65.433,1.268,-0.092,-0.05,5.6
2026-02-24T06:55:00+00:00,67.664,1.314,-0.068,-0.05,5.597
2026-02-24T07:00:00+00:00,66.875,1.294,-0.081,-0.05,5.582
2026-02-24T07:05:00+00:00,71.5,1.38,-0.1,-0.05,5.576
2026-02-24T07:10:00+00:00,71.986,1.4,-0.1,-0.05,5.603
2026-02-24T07:15:00+00:00,73.567,1.429,-0.1,-0.05,5.6
2026-02-24T07:20:00+00:00,72.396,1.406,-0.1,-0.05,5.6
2026-02-24T07:25:00+00:00,74.152,1.44,-0.1,-0.05,5.6
2026-02-24T07:30:00+00:00,74.053,1.439,-0.1,-0.05,5.6
2026-02-24T07:35:00+00:00,73.646,1.435,-0.1,-0.05,5.6
2026-02-24T07:40:00+00:00,73.151,1.423,-0.1,-0.05,5.6
2026-02-24T07:45:00+00:00,74.695,1.449,-0.1,-0.05,5.6
2026-02-24T07:50:00+00:00,72.474,1.404,-0.1,-0.05,5.6
2026-02-24T07:55:00+00:00,72.092,1.399,-0.1,-0.05,5.6
2026-02-24T08:00:00+00:00,71.811,1.394,-0.1,-0.05,5.6
2026-02-24T08:05:00+00:00,72.624,1.402,-0.1,-0.05,5.587
2026-02-24T08:10:00+00:00,74.358,1.44,-0.1,-0.05,5.6
2026-02-24T08:15:00+00:00,73.137,1.418,-0.1,-0.05,5.6
2026-02-24T08:20:00+00:00,73.048,1.42,-0.1,-0.05,5.6
2026-02-24T08:25:00+00:00,73.79,1.431,-0.1,-0.05,5.6
2026-02-24T08:30:00+00:00,74.85,1.451,-0.1,-0.05,5.6
2026-02-24T08:35:00+00:00,75.419,1.46,-0.1,-0.05,5.6
2026-02-24T08:40:00+00:00,76.12,1.472,-0.1,-0.05,5.6
2026-02-24T08:45:00+00:00,76.665,1.486,-0.1,-0.05,5.6
2026-02-24T08:50:00+00:00,77.547,1.502,-0.1,-0.05,5.6
2026-02-24T08:55:00+00:00,76.688,1.484,-0.1,-0.05,5.6
2026-02-24T09:00:00+00:00,76.458,1.477,-0.1,-0.05,5.604
2026-02-24T09:05:00+00:00,73.993,1.446,-0.1,-0.05,5.626
2026-02-24T09:10:00+00:00,74.916,1.454,-0.1,-0.05,5.626
2026-02-24T09:15:00+00:00,74.788,1.465,-0.1,-0.05,5.648
2026-02-24T09:20:00+00:00,72.684,1.429,-0.1,-0.05,5.65
2026-02-24T09:25:00+00:00,72.952,1.441,-0.1,-0.05,5.654
2026-02-24T09:30:00+00:00,72.098,1.426,-0.1,-0.05,5.662
2026-02-24T09:35:00+00:00,71.244,1.412,-0.1,-0.05,5.669
2026-02-24T09:40:00+00:00,70.39,1.398,-0.1,-0.05,5.676
2026-02-24T09:45:00+00:00,69.536,1.384,-0.1,-0.05,5.683
2026-02-24T09:50:00+00:00,68.682,1.37,-0.1,-0.05,5.69
2026-02-24T09:55:00+00:00,67.896,1.356,-0.1,-0.05,5.694
2026-02-24T10:00:00+00:00,66.554,1.302,-0.1,-0.05,5.674
2026-02-24T10:05:00+00:00,67.94,1.34,-0.1,-0.05,5.69
2026-02-24T10:10:00+00:00,69.474,1.362,-0.099,-0.05,5.65
2026-02-24T10:15:00+00:00,66.976,1.309,-0.088,-0.05,5.65
2026-02-24T10:20:00+00:00,66.591,1.298,-0.074,-0.05,5.65
2026-02-24T10:25:00+00:00,65.347,1.273,-0.059,-0.05,5.65
2026-02-24T10:30:00+00:00,63.94,1.252,-0.072,-0.05,5.65
2026-02-24T10:35:00+00:00,65.84,1.287,-0.083,-0.05,5.647
2026-02-24T10:40:00+00:00,66.236,1.292,-0.078,-0.05,5.625
2026-02-24T10:45:00+00:00,69.342,1.348,-0.1,-0.05,5.632
2026-02-24T10:50:00+00:00,66.565,1.303,-0.1,-0.05,5.65
2026-02-24T10:55:00+00:00,69.718,1.352,-0.1,-0.05,5.61
2026-02-24T11:00:00+00:00,71.869,1.396,-0.1,-0.05,5.614
2026-02-24T11:05:00+00:00,72.7,1.41,-0.1,-0.05,5.608
2026-02-24T11:10:00+00:00,71.684,1.39,-0.1,-0.05,5.6
2026-02-24T11:15:00+00:00,69.367,1.344,-0.1,-0.05,5.618
2026-02-24T11:20:00+00:00,69.544,1.35,-0.1,-0.05,5.612
2026-02-24T11:25:00+00:00,69.126,1.342,-0.1,-0.05,5.613
2026-02-24T11:30:00+00:00,68.5,1.34,-0.094,-0.05,5.641
2026-02-24T11:35:00+00:00,66.733,1.301,-0.074,-0.05,5.644
2026-02-24T11:40:00+00:00,63.816,1.273,-0.062,-0.05,5.65
2026-02-24T11:45:00+00:00,62.843,1.232,-0.075,-0.05,5.65
2026-02-24T11:50:00+00:00,60.682,1.182,-0.076,-0.05,5.66
2026-02-24T11:55:00+00:00,62.672,1.223,-0.07,-0.05,5.634
2026-02-24T12:00:00+00:00,56.497,1.094,-0.05,-0.05,5.6
2026-02-24T12:05:00+00:00,54.621,1.063,-0.05,-0.05,5.622
2026-02-24T12:10:00+00:00,52.702,1.032,-0.05,-0.05,5.648
2026-02-24T12:15:00+00:00,52.752,1.028,-0.05,-0.05,5.65
2026-02-24T12:20:00+00:00,54.222,1.061,-0.05,-0.05,5.65
2026-02-24T12:25:00+00:00,53.159,1.048,-0.05,-0.05,5.662
2026-02-24T12:30:00+00:00,55.302,1.074,-0.05,-0.05,5.604
2026-02-24T12:35:00+00:00,50.986,0.996,-0.05,-0.05,5.638
2026-02-24T12:40:00+00:00,50.04,0.978,-0.05,-0.05,5.65
