ValueDate,Amps,HH Val,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,182.888,-0.531,3.588,0.049,-0.011,11.349
2026-02-24T00:10:00+00:00,188.104,-0.527,3.694,0.057,-0.011,11.327
2026-02-24T00:15:00+00:00,188.139,-0.523,3.696,0.066,-0.01,11.328
2026-02-24T00:20:00+00:00,189.634,-0.52,3.732,0.07,-0.011,11.321
2026-02-24T00:25:00+00:00,193.998,-0.516,3.822,0.075,-0.022,11.35
2026-02-24T00:30:00+00:00,192.316,-0.512,3.787,0.064,-0.014,11.35
2026-02-24T00:35:00+00:00,208.943,-0.506,4.113,0.111,-0.02,11.35
2026-02-24T00:40:00+00:00,217.229,-0.496,4.288,0.067,-0.017,11.372
2026-02-24T00:45:00+00:00,219.754,-0.487,4.303,0.068,-0.016,11.35
2026-02-24T00:50:00+00:00,218.432,-0.478,4.298,0.07,-0.025,11.35
2026-02-24T00:55:00+00:00,217.93,-0.469,4.288,0.075,-0.018,11.35
2026-02-24T01:00:00+00:00,217.48,-0.46,4.288,0.075,-0.01,11.35
2026-02-24T01:05:00+00:00,221.634,-0.454,4.35,0.1,-0.009,11.35
2026-02-24T01:10:00+00:00,222.644,-0.452,4.379,0.076,0.0,11.35
2026-02-24T01:15:00+00:00,221.592,-0.449,4.354,0.089,-0.014,11.358
2026-02-24T01:20:00+00:00,220.639,-0.447,4.334,0.074,-0.004,11.386
2026-02-24T01:25:00+00:00,221.884,-0.444,4.388,0.085,0.006,11.427
2026-02-24T01:30:00+00:00,219.556,-0.441,4.354,0.067,0.014,11.45
2026-02-24T01:35:00+00:00,220.04,-0.445,4.354,0.05,0.01,11.428
2026-02-24T01:40:00+00:00,220.782,-0.456,4.374,0.051,0.004,11.429
2026-02-24T01:45:00+00:00,219.084,-0.467,4.338,0.05,0.006,11.421
2026-02-24T01:50:00+00:00,219.358,-0.477,4.343,0.051,0.002,11.446
2026-02-24T01:55:00+00:00,216.82,-0.488,4.297,0.044,0.016,11.45
2026-02-24T02:00:00+00:00,215.854,-0.498,4.285,0.05,0.008,11.45
2026-02-24T02:05:00+00:00,218.168,-0.503,4.324,0.05,0.007,11.45
2026-02-24T02:10:00+00:00,214.85,-0.501,4.262,0.05,0.009,11.45
2026-02-24T02:15:00+00:00,212.293,-0.499,4.214,0.062,0.012,11.45
2026-02-24T02:20:00+00:00,209.262,-0.496,4.156,0.07,0.009,11.45
2026-02-24T02:25:00+00:00,210.2,-0.494,4.176,0.073,0.006,11.45
2026-02-24T02:30:00+00:00,209.462,-0.492,4.16,0.06,0.006,11.45
2026-02-24T02:35:00+00:00,209.948,-0.484,4.174,0.059,-0.001,11.45
2026-02-24T02:40:00+00:00,207.695,-0.469,4.119,0.073,-0.006,11.45
2026-02-24T02:45:00+00:00,206.775,-0.455,4.097,0.064,-0.014,11.45
2026-02-24T02:50:00+00:00,207.04,-0.44,4.123,0.06,0.001,11.508
2026-02-24T02:55:00+00:00,206.024,-0.426,4.124,0.062,0.012,11.532
2026-02-24T03:00:00+00:00,203.9,-0.411,4.086,0.056,0.012,11.515
2026-02-24T03:05:00+00:00,205.984,-0.397,4.095,0.053,0.006,11.462
2026-02-24T03:10:00+00:00,206.298,-0.382,4.094,0.05,0.003,11.499
2026-02-24T03:15:00+00:00,204.358,-0.368,4.094,0.056,0.003,11.546
2026-02-24T03:20:00+00:00,202.529,-0.353,4.064,0.068,-0.01,11.55
2026-02-24T03:25:00+00:00,200.763,-0.339,3.992,0.534,0.032,11.506
2026-02-24T03:30:00+00:00,199.631,-0.324,3.965,0.745,0.052,11.501
2026-02-24T03:35:00+00:00,197.436,-0.331,3.904,0.182,0.023,11.443
2026-02-24T03:40:00+00:00,196.022,-0.359,3.878,0.056,0.017,11.43
2026-02-24T03:45:00+00:00,192.542,-0.388,3.826,0.072,0.02,11.424
2026-02-24T03:50:00+00:00,190.414,-0.416,3.777,0.075,0.013,11.434
2026-02-24T03:55:00+00:00,189.904,-0.444,3.766,0.064,0.008,11.45
2026-02-24T04:00:00+00:00,186.894,-0.473,3.716,0.068,0.034,11.45
2026-02-24T04:05:00+00:00,193.546,-0.491,3.831,0.06,0.019,11.371
2026-02-24T04:10:00+00:00,196.176,-0.498,3.875,0.034,0.008,11.35
2026-02-24T04:15:00+00:00,194.114,-0.506,3.83,0.031,-0.01,11.372
2026-02-24T04:20:00+00:00,193.148,-0.513,3.828,0.042,-0.009,11.384
2026-02-24T04:25:00+00:00,192.056,-0.521,3.814,0.049,-0.013,11.402
2026-02-24T04:30:00+00:00,190.343,-0.528,3.782,0.032,-0.009,11.43
2026-02-24T04:35:00+00:00,189.753,-0.531,3.773,0.019,-0.008,11.4
2026-02-24T04:40:00+00:00,190.369,-0.528,3.782,0.023,-0.011,11.401
2026-02-24T04:45:00+00:00,191.681,-0.525,3.803,0.036,-0.01,11.385
2026-02-24T04:50:00+00:00,191.805,-0.522,3.81,0.033,-0.01,11.413
2026-02-24T04:55:00+00:00,196.956,-0.519,3.896,0.044,-0.013,11.426
2026-02-24T05:00:00+00:00,198.408,-0.516,3.913,0.029,-0.019,11.392
2026-02-24T05:05:00+00:00,203.57,-0.513,3.997,0.047,-0.004,11.361
2026-02-24T05:10:00+00:00,202.928,-0.51,3.988,0.04,-0.004,11.354
2026-02-24T05:15:00+00:00,200.497,-0.508,3.942,0.052,-0.004,11.387
2026-02-24T05:20:00+00:00,200.373,-0.505,3.94,0.05,-0.011,11.376
2026-02-24T05:25:00+00:00,200.127,-0.502,3.936,0.049,-0.006,11.373
2026-02-24T05:30:00+00:00,200.178,-0.499,3.934,0.042,-0.008,11.378
2026-02-24T05:35:00+00:00,198.437,-0.495,3.912,0.043,-0.008,11.378
2026-02-24T05:40:00+00:00,199.57,-0.489,3.922,0.019,-0.014,11.35
2026-02-24T05:45:00+00:00,200.829,-0.484,3.946,0.04,-0.014,11.35
2026-02-24T05:50:00+00:00,199.793,-0.478,3.932,0.046,-0.009,11.35
