ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-24T00:05:00+00:00,72.417,1.912,0.486,-1.844,11.098
2026-02-24T00:10:00+00:00,74.564,1.962,0.516,-1.886,11.085
2026-02-24T00:15:00+00:00,77.857,2.052,0.542,-1.991,11.099
2026-02-24T00:20:00+00:00,78.046,2.036,0.511,-1.965,11.085
2026-02-24T00:25:00+00:00,77.486,2.027,0.487,-1.963,11.088
2026-02-24T00:30:00+00:00,77.588,2.029,0.475,-1.97,11.061
2026-02-24T00:35:00+00:00,88.454,2.326,0.475,-2.27,11.082
2026-02-24T00:40:00+00:00,94.927,2.498,0.479,-2.448,11.068
2026-02-24T00:45:00+00:00,99.366,2.626,0.463,-2.59,11.138
2026-02-24T00:50:00+00:00,99.637,2.63,0.446,-2.598,11.118
2026-02-24T00:55:00+00:00,99.261,2.628,0.45,-2.595,11.139
2026-02-24T01:00:00+00:00,98.121,2.601,0.448,-2.558,11.16
2026-02-24T01:05:00+00:00,98.104,2.62,0.483,-2.569,11.186
2026-02-24T01:10:00+00:00,98.517,2.625,0.474,-2.575,11.196
2026-02-24T01:15:00+00:00,99.389,2.66,0.475,-2.611,11.174
2026-02-24T01:20:00+00:00,100.073,2.672,0.46,-2.638,11.221
2026-02-24T01:25:00+00:00,98.168,2.63,0.47,-2.589,11.212
2026-02-24T01:30:00+00:00,98.249,2.616,0.458,-2.586,11.206
2026-02-24T01:35:00+00:00,97.52,2.607,0.468,-2.558,11.188
2026-02-24T01:40:00+00:00,97.057,2.589,0.483,-2.535,11.172
2026-02-24T01:45:00+00:00,94.644,2.528,0.519,-2.482,11.188
2026-02-24T01:50:00+00:00,96.254,2.572,0.497,-2.526,11.2
2026-02-24T01:55:00+00:00,96.532,2.586,0.479,-2.55,11.181
2026-02-24T02:00:00+00:00,96.543,2.581,0.454,-2.531,11.182
2026-02-24T02:05:00+00:00,97.235,2.604,0.459,-2.564,11.2
2026-02-24T02:10:00+00:00,96.072,2.573,0.478,-2.522,11.19
2026-02-24T02:15:00+00:00,94.38,2.54,0.488,-2.5,11.179
2026-02-24T02:20:00+00:00,94.007,2.519,0.488,-2.464,11.215
2026-02-24T02:25:00+00:00,92.722,2.495,0.475,-2.438,11.267
2026-02-24T02:30:00+00:00,91.583,2.478,0.518,-2.402,11.248
2026-02-24T02:35:00+00:00,91.804,2.458,0.532,-2.394,11.208
2026-02-24T02:40:00+00:00,92.227,2.451,0.528,-2.4,11.189
2026-02-24T02:45:00+00:00,90.589,2.444,0.516,-2.384,11.256
2026-02-24T02:50:00+00:00,89.827,2.422,0.508,-2.353,11.286
2026-02-24T02:55:00+00:00,88.769,2.409,0.525,-2.335,11.3
2026-02-24T03:00:00+00:00,87.582,2.364,0.516,-2.278,11.3
2026-02-24T03:05:00+00:00,88.238,2.378,0.501,-2.293,11.266
2026-02-24T03:10:00+00:00,88.54,2.397,0.5,-2.316,11.264
2026-02-24T03:15:00+00:00,88.695,2.406,0.512,-2.302,11.292
2026-02-24T03:20:00+00:00,88.431,2.394,0.513,-2.317,11.298
2026-02-24T03:25:00+00:00,87.706,2.389,0.492,-2.313,11.296
2026-02-24T03:30:00+00:00,86.604,2.347,0.492,-2.282,11.291
2026-02-24T03:35:00+00:00,84.494,2.28,0.502,-2.214,11.297
2026-02-24T03:40:00+00:00,82.519,2.215,0.498,-2.17,11.288
2026-02-24T03:45:00+00:00,82.001,2.19,0.502,-2.126,11.234
2026-02-24T03:50:00+00:00,82.324,2.184,0.484,-2.118,11.158
